Date,Close/Last,Volume,Open,High,Low
03/22/2024,$167.86,2837023,$167.00,$168.80,$166.6401
03/21/2024,$168.18,5986505,$165.81,$170.10,$165.00
03/20/2024,$164.71,4766298,$162.39,$165.75,$162.265
03/19/2024,$161.79,3420732,$161.49,$164.0999,$161.055
03/18/2024,$161.86,4296942,$161.945,$162.87,$160.60
03/15/2024,$160.64,7153845,$166.39,$166.5225,$160.16
03/14/2024,$166.44,5078143,$165.74,$166.7199,$162.72
03/13/2024,$164.76,7502821,$162.42,$168.00,$160.69
03/12/2024,$166.67,3945890,$163.00,$167.00,$162.73
03/11/2024,$162.99,3149599,$163.76,$164.26,$161.975
03/08/2024,$164.91,4105743,$166.00,$168.19,$163.48
03/07/2024,$163.54,3810295,$165.00,$165.385,$162.24
03/06/2024,$163.87,5167916,$160.10,$164.59,$160.07
03/05/2024,$159.33,4714293,$157.20,$159.98,$156.14
03/04/2024,$158.09,4403219,$159.90,$163.015,$157.93
03/01/2024,$159.72,5367283,$157.23,$160.98,$156.8106
02/29/2024,$157.47,8002291,$153.40,$160.00,$153.22
02/28/2024,$153.43,4329074,$152.03,$154.90,$151.79
02/27/2024,$152.06,4623715,$150.00,$152.47,$149.23
02/26/2024,$149.27,5277943,$149.96,$150.18,$148.56
02/23/2024,$152.66,4851068,$153.27,$155.30,$150.825
02/22/2024,$155.26,6115025,$151.02,$155.70,$150.265
02/21/2024,$149.24,4570787,$145.98,$149.26,$145.396
02/20/2024,$148.15,5229688,$150.31,$150.68,$145.88
02/16/2024,$152.51,6520114,$156.10,$156.10,$151.78
02/15/2024,$157.69,11922990,$148.91,$158.27,$148.75
02/14/2024,$148.20,16021810,$146.16,$149.53,$142.57
02/13/2024,$150.82,11801680,$149.21,$153.02,$148.58
02/12/2024,$153.80,7909487,$148.68,$157.345,$148.34
02/09/2024,$147.595,5006763,$145.84,$148.68,$145.18
02/08/2024,$150.54,3508283,$149.25,$150.67,$148.06
02/07/2024,$147.55,4214118,$145.12,$148.77,$143.86
