Date,Close/Last,Volume,Open,High,Low
03/22/2024,$193.51,2104330,$195.29,$195.62,$192.55
03/21/2024,$195.15,3109230,$196.63,$198.67,$194.30
03/20/2024,$194.32,2594336,$190.46,$194.75,$189.95
03/19/2024,$190.54,2226816,$190.33,$191.08,$188.10
03/18/2024,$191.22,2846715,$197.21,$198.29,$191.12
03/15/2024,$195.20,10198230,$188.75,$195.92,$188.75
03/14/2024,$194.43,4361924,$199.06,$199.895,$193.535
03/13/2024,$198.60,3647563,$198.45,$199.825,$197.42
03/12/2024,$199.20,3864629,$199.30,$199.60,$196.525
03/11/2024,$198.21,3111005,$194.60,$198.49,$194.60
03/08/2024,$195.94,3752627,$199.00,$199.67,$195.575
03/07/2024,$198.24,4275258,$193.68,$199.385,$193.68
03/06/2024,$191.70,3905461,$191.37,$194.00,$190.39
03/05/2024,$189.80,3328464,$193.29,$195.05,$188.89
03/04/2024,$194.66,3150660,$195.83,$196.225,$193.70
03/01/2024,$196.16,2934748,$192.55,$197.22,$191.62
02/29/2024,$191.82,3119254,$190.13,$192.29,$188.7553
02/28/2024,$187.76,1774834,$187.20,$188.65,$186.22
02/27/2024,$189.07,1886102,$189.80,$190.365,$187.99
02/26/2024,$189.01,2827059,$191.28,$191.49,$188.88
02/23/2024,$190.11,3720452,$193.06,$193.06,$189.87
02/22/2024,$191.91,5780443,$197.14,$197.34,$189.035
02/21/2024,$193.72,5557212,$190.26,$194.29,$190.1675
02/20/2024,$189.40,4600510,$187.25,$189.51,$186.02
02/16/2024,$188.24,4353324,$187.59,$190.52,$186.06
02/15/2024,$187.54,2811237,$187.78,$189.33,$186.69
02/14/2024,$186.32,3780847,$185.91,$187.08,$184.75
02/13/2024,$184.69,6800197,$188.16,$188.95,$183.01
02/12/2024,$194.05,6264933,$194.68,$195.679,$192.605
02/09/2024,$195.02,3183967,$195.53,$195.53,$193.45
02/08/2024,$194.06,2594515,$192.97,$195.17,$191.905
02/07/2024,$191.97,3500533,$191.83,$192.82,$188.88
02/06/2024,$189.71,3991755,$193.21,$193.21,$189.02
02/05/2024,$192.56,3193872,$192.79,$193.99,$190.415
02/02/2024,$192.10,2948446,$190.33,$192.88,$189.74
02/01/2024,$192.01,2628009,$192.11,$192.63,$188.74
01/31/2024,$192.36,4125682,$193.51,$196.09,$191.62
01/30/2024,$194.74,2479828,$195.83,$196.56,$193.35
01/29/2024,$197.20,2766529,$193.94,$197.32,$192.915
01/26/2024,$193.93,2379139,$195.32,$196.47,$193.4707
01/25/2024,$197.30,2957271,$202.00,$202.045,$196.96
01/24/2024,$198.30,4255541,$200.86,$202.44,$197.86
01/23/2024,$201.37,3801095,$197.14,$201.57,$196.89
01/22/2024,$197.31,2861798,$196.00,$197.85,$195.47
01/19/2024,$194.77,4408441,$191.36,$195.58,$191.04
01/18/2024,$189.97,3585619,$190.36,$190.72,$187.71
01/17/2024,$185.43,2926027,$184.68,$185.70,$182.88
01/16/2024,$187.79,2373528,$187.85,$189.37,$185.45
01/12/2024,$188.36,1597134,$189.69,$190.31,$187.415
01/11/2024,$188.96,2918888,$188.38,$189.76,$185.73
01/10/2024,$188.37,3080387,$189.62,$189.62,$186.35
01/09/2024,$189.76,3151706,$186.50,$190.32,$185.89
01/08/2024,$188.98,2587199,$187.18,$189.46,$187.01
01/05/2024,$186.55,2492221,$186.01,$187.80,$184.98
01/04/2024,$186.07,3923546,$181.90,$186.89,$181.805
