Date,Close/Last,Volume,Open,High,Low
03/22/2024,$247.61,1612600,$251.23,$251.23,$246.96
03/21/2024,$248.95,1857956,$248.47,$250.525,$247.42
03/20/2024,$247.72,2105155,$245.01,$247.87,$244.115
03/19/2024,$244.13,1864214,$242.57,$244.315,$241.285
03/18/2024,$241.85,2002087,$243.61,$244.28,$241.68
03/15/2024,$242.09,11912120,$242.98,$243.83,$238.83
03/14/2024,$243.25,1867498,$244.71,$244.99,$242.23
03/13/2024,$244.21,1558996,$244.67,$245.26,$243.07
03/12/2024,$244.67,1978830,$244.09,$245.66,$242.61
03/11/2024,$244.09,1477161,$243.23,$244.53,$241.70
03/08/2024,$242.40,1815867,$243.90,$244.31,$241.475
03/07/2024,$244.25,2445421,$243.76,$245.97,$243.25
03/06/2024,$243.76,2163688,$244.96,$246.28,$243.08
03/05/2024,$244.00,2433279,$246.35,$246.655,$242.575
03/04/2024,$246.20,3661533,$247.01,$249.4247,$243.80
03/01/2024,$249.69,2091034,$249.43,$250.18,$248.325
02/29/2024,$251.13,2796700,$253.70,$253.81,$250.16
02/28/2024,$251.56,1508241,$250.56,$251.91,$250.15
02/27/2024,$251.31,1241809,$253.15,$253.30,$250.21
02/26/2024,$253.55,1141319,$256.57,$256.57,$253.48
02/23/2024,$255.87,1306581,$255.24,$256.205,$254.96
02/22/2024,$254.76,1692891,$254.07,$255.75,$253.51
02/21/2024,$253.92,1146430,$253.56,$254.02,$251.53
02/20/2024,$252.94,1439426,$253.40,$254.52,$252.54
02/16/2024,$252.97,2099105,$251.75,$254.355,$250.635
02/15/2024,$252.05,1387583,$251.60,$252.82,$251.13
02/14/2024,$250.90,1131497,$250.10,$251.26,$249.06
02/13/2024,$249.59,1827939,$250.45,$250.50,$247.87
02/12/2024,$250.07,1260530,$249.75,$250.78,$249.395
02/09/2024,$249.99,1243350,$250.89,$251.00,$248.87
02/08/2024,$251.08,1330892,$249.99,$251.19,$248.395
02/07/2024,$250.27,1460685,$251.83,$252.37,$249.70
02/06/2024,$250.81,1690542,$249.40,$251.80,$248.52
02/05/2024,$248.28,1733196,$248.59,$248.84,$246.09
02/02/2024,$248.81,2223044,$247.58,$249.83,$246.73
02/01/2024,$247.08,2008210,$245.00,$247.25,$241.97
01/31/2024,$245.78,4436278,$246.41,$251.22,$244.00
01/30/2024,$238.59,2024058,$235.93,$238.84,$235.11
01/29/2024,$237.71,2165144,$234.44,$237.71,$234.38
01/26/2024,$236.10,1677891,$237.76,$237.76,$235.495
01/25/2024,$236.72,1993315,$239.24,$240.75,$236.26
01/24/2024,$238.44,1744535,$241.41,$241.59,$238.175
01/23/2024,$240.36,1245157,$239.40,$240.50,$238.43
01/22/2024,$239.40,1761180,$238.08,$240.26,$237.92
01/19/2024,$238.24,1822287,$236.70,$239.22,$234.64
01/18/2024,$236.08,1182820,$235.06,$236.68,$234.16
01/17/2024,$235.39,1409327,$236.14,$237.26,$234.4472
01/16/2024,$235.28,1288817,$235.13,$235.89,$233.29
01/12/2024,$235.95,932235,$236.65,$237.40,$234.06
01/11/2024,$235.34,1545229,$235.35,$235.80,$232.35
01/10/2024,$235.29,1218033,$234.96,$236.12,$234.435
01/09/2024,$235.22,1135022,$235.00,$236.9899,$234.725
01/08/2024,$236.76,1678498,$235.55,$237.16,$234.94
01/05/2024,$235.21,1765352,$232.64,$235.43,$232.45
01/04/2024,$233.66,2145399,$233.99,$235.35,$233.41
01/03/2024,$232.51,1831502,$233.63,$234.22,$231.67
01/02/2024,$233.42,1955467,$233.38,$233.85,$231.89
12/29/2023,$232.97,1020155,$232.43,$233.435,$231.855
12/28/2023,$232.49,1140991,$232.12,$233.37,$231.38
12/27/2023,$231.61,925597,$231.89,$232.75,$230.96
12/26/2023,$232.54,1029037,$231.59,$233.02,$230.38
12/22/2023,$230.97,1231856,$228.99,$231.63,$228.50
12/21/2023,$228.99,1744872,$232.00,$232.00,$227.12
12/20/2023,$232.23,1654363,$233.51,$235.46,$232.01
12/19/2023,$233.70,1393993,$234.96,$235.85,$233.395
12/18/2023,$234.85,1492570,$236.34,$236.48,$233.986
12/15/2023,$234.14,5260548,$235.89,$237.18,$233.69
12/14/2023,$235.97,2361066,$240.19,$240.22,$235.29
12/13/2023,$239.22,1579818,$237.27,$239.26,$235.57
12/12/2023,$236.68,1905119,$235.00,$236.69,$233.16
12/11/2023,$233.29,1981474,$231.32,$235.255,$230.86
12/08/2023,$229.27,1772416,$229.19,$232.585,$228.27
12/07/2023,$229.99,1758502,$231.50,$232.72,$229.40
12/06/2023,$232.35,1676916,$232.19,$232.99,$230.225
12/05/2023,$231.56,1665991,$232.53,$232.885,$229.86
12/04/2023,$232.58,2795076,$231.40,$233.29,$231.17
12/01/2023,$232.94,1647754,$229.64,$233.31,$229.23
11/30/2023,$229.92,4351881,$229.50,$230.00,$227.48
11/29/2023,$229.16,1291161,$229.84,$231.055,$228.84
11/28/2023,$228.99,1162303,$229.41,$230.29,$228.435
11/27/2023,$229.16,1551615,$230.20,$230.37,$228.185
11/24/2023,$230.66,659835,$231.52,$231.98,$229.10
11/22/2023,$231.15,1439226,$232.70,$233.75,$229.80
11/21/2023,$231.21,1715590,$231.81,$232.145,$230.065
11/20/2023,$231.71,1404003,$228.64,$232.44,$228.4417
11/17/2023,$229.39,1664621,$230.96,$230.96,$228.00
11/16/2023,$229.91,1588382,$231.71,$233.30,$227.25
11/15/2023,$230.46,1553667,$230.44,$232.48,$230.13
11/14/2023,$230.42,1297554,$229.64,$231.22,$228.775
11/13/2023,$226.35,1229205,$227.45,$227.53,$226.09
11/10/2023,$228.49,1429552,$228.12,$229.19,$226.34
11/09/2023,$226.52,1513242,$226.43,$227.11,$225.38
11/08/2023,$225.48,1389184,$224.06,$226.47,$223.28
11/07/2023,$222.25,1668398,$221.02,$223.41,$219.21
11/06/2023,$220.54,1127068,$219.43,$220.96,$218.63
11/03/2023,$219.31,2455292,$221.03,$222.315,$216.42
11/02/2023,$218.56,2262700,$211.63,$218.75,$211.52
11/01/2023,$210.37,3416665,$215.00,$215.00,$205.53
10/31/2023,$218.22,2557198,$216.67,$218.95,$215.25
10/30/2023,$216.08,1704173,$215.68,$217.11,$213.26
10/27/2023,$214.84,2070197,$218.33,$218.58,$213.90
10/26/2023,$218.84,2603919,$218.30,$222.46,$217.12
10/25/2023,$218.33,4914408,$229.65,$230.06,$217.00
10/24/2023,$240.45,1562079,$241.01,$242.58,$237.92
10/23/2023,$241.16,1162505,$241.68,$243.63,$240.82
10/20/2023,$241.68,1562208,$246.30,$246.60,$241.45
10/19/2023,$246.08,1156833,$248.08,$249.50,$245.64
10/18/2023,$248.26,1074973,$249.57,$250.34,$247.85
10/17/2023,$249.33,1054633,$250.40,$250.41,$248.0512
10/16/2023,$249.26,1037942,$248.91,$250.11,$247.67
10/13/2023,$247.50,1443827,$248.50,$249.54,$245.34
10/12/2023,$247.65,1400815,$250.61,$250.815,$246.30
10/11/2023,$249.46,1134373,$249.66,$249.92,$247.42
10/10/2023,$249.15,1648895,$250.18,$251.30,$247.69
10/09/2023,$250.18,1022850,$245.78,$250.42,$245.30
10/06/2023,$246.38,1574943,$242.15,$247.65,$240.275
10/05/2023,$243.36,935328,$244.51,$244.92,$241.1001
10/04/2023,$243.98,1388645,$241.29,$244.35,$239.88
10/03/2023,$240.42,1216614,$238.91,$240.555,$238.28
10/02/2023,$239.37,1206402,$240.58,$240.95,$238.045
09/29/2023,$240.58,1337015,$244.00,$244.00,$239.63
09/28/2023,$243.31,1391030,$242.29,$244.40,$241.86
09/27/2023,$242.63,2256253,$238.00,$243.60,$236.83
09/26/2023,$237.24,1557661,$238.79,$239.31,$236.13
09/25/2023,$240.02,1077206,$239.86,$240.53,$238.04
09/22/2023,$239.35,1026176,$237.62,$240.93,$237.62
09/21/2023,$238.72,1260127,$242.63,$243.09,$238.6153
09/20/2023,$243.865,1364956,$247.21,$247.21,$243.80
09/19/2023,$245.84,1030736,$246.44,$247.05,$243.97
09/18/2023,$247.28,1218486,$246.16,$248.14,$245.7001
09/15/2023,$245.31,2898762,$248.44,$248.91,$244.69
09/14/2023,$248.29,1350163,$248.43,$248.74,$246.35
09/13/2023,$247.81,1364383,$247.44,$249.13,$246.95
09/12/2023,$248.02,1303361,$247.05,$248.675,$246.90
09/11/2023,$248.20,1297186,$249.28,$249.89,$246.89
09/08/2023,$249.37,1191044,$251.28,$251.39,$248.86
09/07/2023,$250.12,1021596,$250.81,$251.5865,$249.805
09/06/2023,$251.05,1311207,$252.58,$252.67,$249.90
09/05/2023,$252.85,1616460,$254.88,$255.57,$250.32
09/01/2023,$255.75,1484201,$254.79,$256.76,$254.05
08/31/2023,$254.61,2400226,$255.85,$256.425,$254.00
08/30/2023,$254.93,1587459,$254.78,$256.1875,$253.64
08/29/2023,$254.35,1139582,$253.88,$255.60,$252.94
08/28/2023,$254.39,813560,$254.90,$255.78,$253.34
08/25/2023,$253.05,1039476,$251.37,$254.145,$250.625
08/24/2023,$249.795,1132661,$251.87,$253.63,$249.68
08/23/2023,$250.92,1027797,$250.13,$251.515,$249.86
08/22/2023,$249.53,926119,$250.88,$252.03,$248.91
08/21/2023,$251.11,1205350,$250.37,$252.335,$249.91
08/18/2023,$251.05,2044321,$249.16,$251.76,$248.63
08/17/2023,$250.28,1394469,$252.43,$252.84,$249.435
08/16/2023,$250.90,1275345,$250.92,$252.98,$250.35
08/15/2023,$250.97,1092821,$250.77,$252.23,$250.115
08/14/2023,$251.96,1113206,$253.15,$254.31,$250.99
08/11/2023,$252.82,926625,$250.26,$253.37,$250.08
08/10/2023,$250.56,1153721,$251.67,$254.13,$249.775
08/09/2023,$250.31,1145176,$248.80,$251.30,$248.31
08/08/2023,$248.34,1068563,$249.49,$250.70,$247.26
08/07/2023,$250.82,1266835,$246.89,$251.015,$246.38
08/04/2023,$245.76,1238012,$249.07,$249.26,$245.37
08/03/2023,$248.00,1129013,$247.95,$248.81,$246.11
08/02/2023,$247.36,1809148,$245.05,$248.32,$245.05
08/01/2023,$248.32,1305854,$247.26,$248.77,$245.02
07/31/2023,$247.26,2052013,$250.60,$250.60,$245.84
07/28/2023,$250.61,1788605,$254.07,$254.985,$249.56
07/27/2023,$250.88,2677413,$254.75,$256.84,$249.64
07/26/2023,$253.45,3397887,$244.00,$256.15,$244.00
07/25/2023,$240.48,1936730,$238.61,$241.07,$238.135
07/24/2023,$239.50,1564575,$237.38,$239.61,$236.98
07/21/2023,$237.69,4660953,$238.69,$239.82,$237.53
07/20/2023,$237.08,1453871,$236.48,$238.33,$235.29
07/19/2023,$237.33,1818950,$235.18,$238.53,$235.11
07/18/2023,$235.90,1718443,$233.39,$237.09,$233.00
07/17/2023,$233.72,1700876,$228.26,$234.44,$228.26
07/14/2023,$229.47,1185648,$227.20,$229.71,$226.62
07/13/2023,$227.16,1192084,$225.24,$227.61,$224.61
07/12/2023,$224.99,1368771,$228.88,$228.97,$224.37
07/11/2023,$226.38,1278199,$224.84,$226.64,$223.6238
07/10/2023,$224.26,1788296,$219.24,$225.725,$219.2125
07/07/2023,$218.74,1678389,$219.82,$221.35,$218.52
07/06/2023,$221.65,1889434,$218.09,$222.155,$218.09
07/05/2023,$219.70,1113460,$218.11,$220.20,$217.22
07/03/2023,$218.73,848018,$218.22,$219.23,$216.25
06/30/2023,$219.79,1782028,$217.52,$220.55,$217.465
06/29/2023,$216.46,1539680,$216.10,$219.48,$214.29
06/28/2023,$215.61,1725595,$215.15,$216.48,$213.73
06/27/2023,$215.61,1313279,$215.71,$216.36,$214.05
06/26/2023,$215.54,1169681,$212.92,$216.295,$212.82
06/23/2023,$213.83,2189728,$218.45,$218.855,$213.21
06/22/2023,$220.40,1279768,$220.15,$222.27,$218.83
06/21/2023,$220.56,1602669,$219.43,$221.81,$218.33
06/20/2023,$220.28,1779421,$221.47,$222.28,$219.90
06/16/2023,$221.32,3337403,$222.29,$222.74,$220.735
06/15/2023,$220.97,1911194,$216.31,$221.56,$215.60
06/14/2023,$216.09,2116842,$221.50,$222.15,$215.30
06/13/2023,$220.49,1345093,$218.93,$220.61,$218.54
06/12/2023,$218.36,1348189,$215.23,$218.60,$214.48
06/09/2023,$215.22,1295890,$214.33,$215.68,$213.48
06/08/2023,$215.19,1338715,$215.39,$215.70,$213.48
06/07/2023,$216.47,1652496,$216.25,$216.63,$214.715
06/06/2023,$216.74,1252599,$217.20,$217.96,$215.23
06/05/2023,$216.24,1205407,$217.05,$217.27,$215.61
06/02/2023,$216.52,1449246,$212.70,$216.94,$211.405
06/01/2023,$211.81,1963170,$210.39,$212.17,$208.66
05/31/2023,$208.99,7408434,$210.45,$210.51,$206.17
05/30/2023,$210.12,1916646,$212.66,$213.00,$207.715
05/26/2023,$212.48,2143589,$211.41,$212.96,$209.92
05/25/2023,$210.40,2066030,$211.81,$212.10,$208.81
05/24/2023,$214.00,1434163,$215.73,$215.99,$213.91
05/23/2023,$215.55,1942936,$216.00,$216.495,$215.04
05/22/2023,$216.53,1521646,$216.86,$217.40,$215.205
05/19/2023,$216.18,1504198,$216.64,$217.54,$215.26
05/18/2023,$215.43,1598194,$213.30,$215.79,$213.01
05/17/2023,$213.96,1257344,$213.74,$214.99,$212.37
05/16/2023,$212.34,1706757,$213.51,$213.865,$211.89
05/15/2023,$214.39,893415,$212.24,$214.57,$212.00
