Date,Close/Last,Volume,Open,High,Low
03/22/2024,$262.86,893034,$265.11,$267.04,$262.73
03/21/2024,$265.75,1693437,$265.00,$268.90,$263.90
03/20/2024,$262.43,1260051,$257.35,$262.83,$256.725
03/19/2024,$256.19,857664,$253.05,$257.24,$251.37
03/18/2024,$255.18,906396,$256.18,$259.48,$254.90
03/15/2024,$254.24,3010936,$256.66,$258.04,$253.13
03/14/2024,$258.53,1227778,$258.56,$259.47,$254.38
03/13/2024,$258.70,1134330,$262.91,$264.075,$258.51
03/12/2024,$262.78,1437911,$258.85,$264.09,$258.39
03/11/2024,$258.26,1469357,$252.31,$259.11,$251.38
03/08/2024,$251.86,881719,$253.77,$256.03,$251.6902
03/07/2024,$253.84,1381047,$252.89,$256.09,$250.89
03/06/2024,$251.10,1008050,$248.15,$252.23,$248.15
03/05/2024,$247.29,1850322,$257.35,$257.51,$246.17
03/04/2024,$260.70,1945028,$263.01,$263.85,$259.66
03/01/2024,$264.74,3854244,$275.00,$279.53,$258.60
02/29/2024,$258.17,3331660,$256.35,$258.985,$255.00
02/28/2024,$255.25,1702995,$254.80,$258.84,$254.66
02/27/2024,$256.95,951007,$258.50,$258.5994,$255.96
02/26/2024,$257.35,987824,$257.84,$259.135,$256.14
02/23/2024,$257.20,821491,$259.25,$260.00,$256.85
02/22/2024,$256.98,1077877,$258.65,$260.33,$255.77
02/21/2024,$252.52,742306,$252.00,$252.68,$249.13
02/20/2024,$255.26,1277518,$256.33,$256.70,$251.66
02/16/2024,$258.30,1369454,$261.00,$261.435,$257.20
02/15/2024,$261.25,724512,$264.74,$264.94,$259.59
02/14/2024,$262.17,925541,$259.41,$263.03,$259.13
02/13/2024,$256.76,1341584,$254.14,$258.7276,$252.75
02/12/2024,$262.04,1055527,$265.91,$267.31,$261.5114
02/09/2024,$266.68,1828625,$262.85,$269.53,$262.85
02/08/2024,$261.51,771127,$258.08,$262.9175,$258.02
02/07/2024,$258.43,1125207,$256.81,$261.00,$255.185
02/06/2024,$253.98,865174,$254.07,$254.91,$252.70
02/05/2024,$252.81,1336118,$255.84,$256.42,$251.74
02/02/2024,$256.45,1592890,$254.50,$259.2488,$254.05
02/01/2024,$255.07,1214059,$253.48,$255.77,$251.37
01/31/2024,$253.81,2017382,$255.02,$256.93,$251.73
01/30/2024,$256.47,1204411,$255.63,$257.56,$255.04
01/29/2024,$257.23,937343,$253.05,$257.63,$252.685
01/26/2024,$253.07,940236,$252.40,$254.285,$250.86
