Date,Close/Last,Volume,Open,High,Low
03/22/2024,$82.95,2374189,$83.35,$83.42,$82.46
03/21/2024,$83.10,3108814,$82.95,$83.69,$82.85
03/20/2024,$82.85,5122771,$83.00,$84.029,$82.59
03/19/2024,$83.32,4138211,$82.12,$83.519,$81.92
03/18/2024,$82.16,4885742,$82.00,$83.15,$81.815
03/15/2024,$82.11,6055927,$81.96,$82.72,$81.74
03/14/2024,$81.86,3828736,$82.62,$82.90,$81.12
03/13/2024,$83.00,2997551,$83.58,$84.305,$82.76
03/12/2024,$83.39,2893636,$83.21,$83.8875,$82.53
03/11/2024,$83.73,5094066,$83.26,$84.425,$82.93
03/08/2024,$83.84,4567891,$83.60,$84.57,$83.20
03/07/2024,$84.10,3554425,$84.76,$85.10,$84.06
03/06/2024,$83.92,4095839,$84.75,$85.03,$83.86
03/05/2024,$84.05,4356535,$85.50,$86.15,$83.97
03/04/2024,$84.95,4358432,$84.62,$85.435,$84.38
03/01/2024,$84.99,9446226,$85.20,$85.20,$83.03
02/29/2024,$85.19,10228550,$84.00,$85.22,$83.58
02/28/2024,$83.32,6342130,$83.09,$83.75,$82.57
02/27/2024,$84.07,7562652,$83.59,$84.16,$81.51
02/26/2024,$80.77,4705321,$82.18,$82.31,$80.75
02/23/2024,$82.45,2766015,$82.00,$82.905,$81.72
02/22/2024,$82.00,4130057,$82.05,$82.51,$81.44
02/21/2024,$82.56,4163439,$81.59,$82.62,$81.23
02/20/2024,$80.88,4043231,$81.59,$82.27,$80.74
02/16/2024,$81.35,6292750,$81.27,$81.99,$80.68
02/15/2024,$81.36,6648717,$79.06,$81.6667,$79.015
02/14/2024,$78.80,3365159,$78.85,$79.13,$78.07
02/13/2024,$78.78,7370160,$79.34,$79.54,$77.51
02/12/2024,$77.59,2507049,$76.57,$77.715,$76.31
02/09/2024,$76.66,2710321,$75.73,$76.73,$75.56
02/08/2024,$75.94,3293535,$76.12,$76.30,$75.22
02/07/2024,$77.33,3087139,$77.54,$77.70,$76.77
02/06/2024,$77.23,3208271,$76.76,$77.475,$76.41
02/05/2024,$76.80,2819537,$77.90,$77.94,$76.74
02/02/2024,$78.63,2947102,$78.94,$79.32,$77.78
02/01/2024,$79.69,2762485,$78.01,$79.74,$77.58
01/31/2024,$78.14,3642015,$79.09,$79.92,$77.55
01/30/2024,$78.44,2514068,$78.01,$78.93,$77.52
01/29/2024,$78.38,2307194,$77.845,$78.60,$77.16
01/26/2024,$77.84,2446758,$78.09,$78.70,$77.61
01/25/2024,$78.09,3183647,$78.04,$78.2756,$77.04
01/24/2024,$76.99,5085829,$78.70,$78.94,$76.82
01/23/2024,$78.11,3808617,$77.38,$78.25,$77.01
01/22/2024,$77.26,2970971,$77.53,$78.24,$76.70
01/19/2024,$77.70,4301553,$78.24,$78.49,$77.04
01/18/2024,$78.20,6144839,$79.25,$79.50,$77.955
01/17/2024,$79.73,4394935,$80.64,$81.09,$79.09
01/16/2024,$80.98,6900716,$81.00,$81.5293,$80.6703
01/12/2024,$81.49,4672844,$80.86,$81.75,$80.585
01/11/2024,$80.40,3574818,$81.39,$81.72,$79.92
01/10/2024,$82.54,3053509,$83.87,$83.9599,$82.49
01/09/2024,$84.13,2922793,$84.02,$84.49,$83.67
01/08/2024,$84.51,2471869,$83.77,$84.56,$83.62
01/05/2024,$84.07,2464013,$83.13,$84.54,$82.98
01/04/2024,$83.39,3155515,$83.33,$83.98,$83.06
01/03/2024,$83.38,2915628,$83.63,$83.72,$82.86
01/02/2024,$83.18,3429261,$81.00,$83.34,$80.81
12/29/2023,$81.22,2170642,$81.05,$81.305,$80.46
12/28/2023,$81.33,2164934,$80.46,$81.405,$80.35
12/27/2023,$80.81,2608557,$80.71,$80.87,$80.23
12/26/2023,$80.73,1750601,$80.50,$81.07,$80.36
12/22/2023,$80.38,2774997,$80.57,$81.42,$80.34
12/21/2023,$80.04,4092636,$80.63,$80.8197,$79.45
12/20/2023,$80.32,3402315,$82.05,$82.49,$80.29
12/19/2023,$82.13,2351113,$82.07,$82.31,$81.58
12/18/2023,$81.73,3329024,$82.24,$82.92,$81.50
12/15/2023,$82.23,10926070,$82.51,$83.58,$81.905
12/14/2023,$83.33,6941618,$83.92,$84.685,$83.17
12/13/2023,$83.57,4082171,$80.20,$83.69,$79.85
12/12/2023,$80.00,3096983,$80.60,$80.66,$79.60
12/11/2023,$80.49,3711562,$79.82,$80.76,$79.51
12/08/2023,$79.64,2708029,$80.12,$80.44,$79.23
12/07/2023,$80.20,2819953,$80.50,$81.00,$79.83
