Date,Close/Last,Volume,Open,High,Low
03/22/2024,$210.25,3829346,$208.508,$211.72,$208.43
03/21/2024,$210.80,6145205,$213.37,$214.91,$210.3562
03/20/2024,$205.06,4277964,$201.00,$205.92,$198.7959
03/19/2024,$201.34,4624515,$199.18,$201.55,$197.30
03/18/2024,$200.73,5062323,$201.68,$203.17,$199.63
03/15/2024,$198.65,9936353,$199.44,$201.2799,$197.0001
03/14/2024,$200.75,4934914,$201.93,$202.40,$199.05
03/13/2024,$200.56,5050329,$202.97,$203.8799,$199.94
03/12/2024,$204.94,7211325,$203.88,$205.01,$199.34
03/11/2024,$201.37,6566567,$203.28,$203.28,$197.61
03/08/2024,$205.56,6940770,$212.48,$213.5954,$205.39
03/07/2024,$212.61,6363079,$213.23,$214.255,$211.51
03/06/2024,$212.17,5642363,$209.95,$213.5101,$209.13
03/05/2024,$207.39,6100185,$207.75,$210.76,$204.78
03/04/2024,$209.49,7089834,$212.00,$213.37,$209.035
03/01/2024,$210.25,7647353,$203.77,$211.38,$203.555
02/29/2024,$201.62,9449578,$199.91,$202.00,$197.26
02/28/2024,$197.54,6207904,$198.49,$199.18,$196.49
02/27/2024,$202.86,5167118,$203.73,$204.44,$201.22
02/26/2024,$203.55,6466592,$199.80,$203.99,$199.13
02/23/2024,$197.16,5108090,$199.32,$201.34,$196.61
02/22/2024,$199.73,10225920,$198.28,$201.55,$196.67
02/21/2024,$190.33,6994439,$187.92,$190.37,$185.89
02/20/2024,$189.14,11216100,$195.585,$195.86,$186.12
02/16/2024,$199.57,15557860,$202.02,$206.77,$197.30
02/15/2024,$187.66,8622946,$189.00,$189.47,$186.38
02/14/2024,$186.19,8437858,$182.64,$186.98,$182.64
02/13/2024,$180.31,9692463,$178.60,$182.1864,$176.94
02/12/2024,$185.54,7085353,$185.27,$188.21,$184.64
02/09/2024,$185.84,9539890,$179.04,$186.15,$178.61
02/08/2024,$173.89,7327895,$169.99,$175.00,$169.38
02/07/2024,$170.90,5103354,$170.49,$172.91,$168.8346
02/06/2024,$168.70,4550248,$170.99,$172.71,$167.5001
02/05/2024,$171.09,5749118,$168.60,$172.28,$168.28
02/02/2024,$168.18,4741027,$165.92,$169.175,$165.46
02/01/2024,$166.97,4082620,$165.455,$167.74,$164.83
01/31/2024,$164.30,6049403,$164.00,$166.615,$160.96
01/30/2024,$166.24,5255325,$167.33,$169.17,$165.82
01/29/2024,$168.48,5370663,$166.31,$168.51,$166.08
01/26/2024,$166.90,6653731,$169.07,$169.5675,$166.62
01/25/2024,$172.63,7234383,$177.17,$178.395,$172.43
01/24/2024,$174.14,9728994,$171.39,$175.955,$170.67
01/23/2024,$167.05,5053559,$167.76,$168.00,$164.71
01/22/2024,$168.30,7176443,$168.18,$171.905,$167.64
01/19/2024,$167.94,9159006,$162.57,$168.28,$162.30
01/18/2024,$160.34,8133734,$158.66,$160.735,$156.776
01/17/2024,$153.37,6630647,$153.11,$153.75,$150.20
01/16/2024,$153.76,6528042,$151.30,$154.24,$149.84
01/12/2024,$151.25,4083673,$152.20,$152.40,$150.37
01/11/2024,$151.95,5995644,$150.25,$152.44,$148.48
01/10/2024,$149.81,5035695,$151.77,$151.90,$148.24
01/09/2024,$151.03,5606916,$149.87,$151.6899,$148.93
01/08/2024,$151.56,6515509,$149.83,$152.79,$149.72
01/05/2024,$149.00,5400055,$150.08,$151.52,$148.05
01/04/2024,$149.31,6196064,$149.80,$152.00,$148.75
01/03/2024,$151.45,6100066,$151.71,$153.17,$150.73
01/02/2024,$154.37,8607329,$160.00,$160.11,$153.4341
12/29/2023,$162.07,2905929,$163.11,$163.5577,$160.70
12/28/2023,$163.12,2909720,$165.00,$165.01,$162.85
12/27/2023,$164.21,3319561,$164.54,$164.99,$163.53
12/26/2023,$164.28,2520478,$162.30,$164.9712,$162.10
12/22/2023,$162.05,2770624,$161.60,$163.00,$160.84
12/21/2023,$161.39,4257488,$161.00,$161.82,$159.58
12/20/2023,$156.92,5488666,$160.81,$162.00,$156.83
12/19/2023,$162.33,4958240,$160.58,$162.73,$160.02
12/18/2023,$160.36,4772322,$160.89,$161.345,$157.73
12/15/2023,$161.95,8577337,$162.21,$164.2087,$161.485
12/14/2023,$161.74,7401171,$157.77,$163.06,$157.705
12/13/2023,$156.99,5561691,$157.03,$158.38,$154.625
12/12/2023,$157.22,5705165,$155.14,$158.1753,$154.64
12/11/2023,$155.14,6945752,$149.21,$155.66,$149.135
12/08/2023,$147.72,4990196,$147.42,$148.81,$145.99
12/07/2023,$148.39,5753646,$146.96,$148.54,$144.57
12/06/2023,$144.70,4491107,$148.68,$148.72,$144.69
12/05/2023,$146.15,5206319,$146.53,$147.47,$145.22
12/04/2023,$148.27,5859577,$150.04,$150.66,$145.655
12/01/2023,$151.59,4929366,$149.56,$151.98,$148.63
11/30/2023,$149.78,7555619,$150.41,$150.48,$147.045
11/29/2023,$149.36,4975739,$150.24,$152.82,$148.853
11/28/2023,$148.06,5799571,$149.36,$149.99,$146.505
11/27/2023,$150.81,3429723,$149.50,$151.76,$148.77
11/24/2023,$150.34,1992027,$149.33,$150.66,$149.3282
11/22/2023,$149.48,5071873,$151.03,$153.7897,$149.02
11/21/2023,$149.25,6517877,$151.57,$151.81,$148.165
11/20/2023,$152.57,7093479,$148.88,$153.00,$148.81
11/17/2023,$148.59,18919640,$142.04,$149.05,$141.94
11/16/2023,$154.81,10513830,$155.40,$157.76,$151.20
11/15/2023,$155.37,4383341,$154.97,$156.77,$154.06
11/14/2023,$154.08,6504983,$153.03,$154.91,$152.14
11/13/2023,$149.74,4125187,$149.00,$150.25,$147.55
11/10/2023,$150.68,6700875,$145.19,$150.99,$144.67
11/09/2023,$143.17,4979876,$144.90,$147.21,$142.8901
11/08/2023,$144.23,4305862,$142.37,$144.525,$141.61
11/07/2023,$141.74,4886905,$140.00,$141.92,$139.69
11/06/2023,$140.36,4823202,$140.40,$140.79,$139.21
11/03/2023,$139.75,5560310,$139.49,$141.77,$139.075
11/02/2023,$138.51,6088377,$137.81,$139.78,$136.67
11/01/2023,$135.29,5127781,$133.03,$135.83,$132.775
10/31/2023,$132.35,4108171,$131.80,$132.55,$129.21
10/30/2023,$131.03,4604623,$131.96,$132.96,$129.82
10/27/2023,$131.30,4397310,$131.27,$133.11,$130.56
10/26/2023,$130.84,5462708,$131.11,$134.41,$130.51
10/25/2023,$130.11,7118080,$133.07,$133.26,$129.75
10/24/2023,$134.90,5238786,$135.33,$135.55,$133.5139
10/23/2023,$134.23,3820145,$133.20,$135.805,$131.90
10/20/2023,$134.12,6149460,$134.52,$136.15,$133.36
10/19/2023,$134.43,9400323,$142.84,$143.05,$133.7735
10/18/2023,$141.45,5357936,$139.90,$142.48,$138.10
