Date,Close/Last,Volume,Open,High,Low
03/22/2024,$276.17,2303249,$277.39,$278.29,$275.10
03/21/2024,$276.95,2489645,$274.63,$277.92,$274.39
03/20/2024,$273.05,2564622,$271.21,$273.08,$269.24
03/19/2024,$271.73,3037584,$270.18,$273.16,$269.51
03/18/2024,$270.90,3608491,$270.00,$273.58,$269.2142
03/15/2024,$268.87,8795786,$272.09,$275.18,$268.17
03/14/2024,$271.54,2370492,$276.84,$277.23,$270.45
03/13/2024,$275.99,1641024,$278.18,$278.56,$275.21
03/12/2024,$276.54,1738941,$276.85,$278.15,$274.14
03/11/2024,$275.36,1851124,$274.51,$278.19,$272.99
03/08/2024,$273.75,2251117,$272.81,$276.56,$272.01
03/07/2024,$272.86,4066261,$276.30,$276.81,$269.58
03/06/2024,$276.59,2240153,$275.38,$278.9687,$274.55
03/05/2024,$276.65,3064004,$279.62,$279.75,$275.0175
03/04/2024,$279.39,2470317,$283.26,$285.89,$277.65
03/01/2024,$280.33,3772930,$276.50,$281.925,$274.88
02/29/2024,$273.83,5863428,$278.52,$279.825,$273.43
02/28/2024,$277.46,3026971,$278.99,$280.43,$277.09
02/27/2024,$278.49,3353933,$279.10,$281.2162,$277.09
02/26/2024,$286.37,2448935,$288.28,$289.87,$285.425
02/23/2024,$289.18,2462555,$286.52,$292.24,$286.01
02/22/2024,$285.18,2992891,$282.48,$285.72,$281.30
02/21/2024,$283.46,1934490,$284.84,$285.78,$280.80
02/20/2024,$283.51,3402126,$283.85,$285.30,$280.55
02/16/2024,$283.70,3596798,$287.71,$287.71,$283.27
02/15/2024,$289.07,2901954,$287.88,$290.35,$285.60
02/14/2024,$290.07,2617288,$289.88,$290.87,$287.545
02/13/2024,$290.48,3610118,$294.61,$295.52,$286.89
02/12/2024,$294.43,3298539,$289.97,$294.60,$288.8595
02/09/2024,$291.12,3341055,$294.85,$295.00,$289.71
02/08/2024,$294.85,5946119,$297.00,$298.00,$288.78
02/07/2024,$295.87,8411337,$315.51,$315.51,$295.275
02/06/2024,$316.07,5767390,$325.40,$326.96,$314.75
02/05/2024,$321.97,3563345,$323.53,$329.72,$317.715
02/02/2024,$323.19,2585923,$323.64,$325.775,$320.75
02/01/2024,$324.56,3883174,$314.50,$324.82,$313.695
01/31/2024,$314.26,3456737,$316.00,$316.635,$312.62
01/30/2024,$314.62,2636955,$312.53,$314.92,$310.52
01/29/2024,$313.45,2447608,$311.44,$313.62,$309.8901
01/26/2024,$311.77,2035761,$310.57,$312.02,$309.8607
01/25/2024,$310.26,2005410,$308.72,$310.32,$305.70
01/24/2024,$305.50,1954418,$309.92,$312.45,$305.24
01/23/2024,$309.91,1775382,$309.53,$311.30,$309.10
01/22/2024,$310.16,2599964,$308.70,$312.16,$306.60
01/19/2024,$307.81,2566513,$304.73,$309.09,$301.11
01/18/2024,$304.49,2357076,$302.25,$305.645,$299.55
01/17/2024,$304.08,2210523,$302.46,$304.63,$301.10
01/16/2024,$303.48,1996271,$306.51,$308.00,$301.18
01/12/2024,$306.51,1567908,$305.24,$306.95,$303.40
01/11/2024,$303.10,2137224,$303.43,$304.605,$300.00
01/10/2024,$304.57,2210940,$307.16,$307.64,$304.27
01/09/2024,$307.26,2603714,$308.02,$309.97,$305.94
01/08/2024,$310.88,3467666,$301.47,$311.05,$300.345
01/05/2024,$303.00,1846201,$302.20,$303.53,$299.76
01/04/2024,$303.17,3358035,$301.50,$305.09,$298.59
01/03/2024,$300.69,2771618,$300.05,$303.25,$297.045
01/02/2024,$297.39,3375095,$287.28,$300.645,$287.28
