Date,Close/Last,Volume,Open,High,Low
03/22/2024,$349.24,558225,$349.83,$352.58,$346.03
03/21/2024,$348.20,366313,$345.98,$351.69,$345.56
03/20/2024,$343.32,560933,$342.96,$344.39,$339.16
03/19/2024,$342.37,579493,$335.27,$343.66,$334.7042
03/18/2024,$335.27,613059,$330.66,$337.14,$328.60
03/15/2024,$327.88,752057,$328.85,$330.11,$326.205
03/14/2024,$330.29,490636,$332.22,$332.35,$327.26
03/13/2024,$329.37,412478,$336.70,$338.46,$328.64
03/12/2024,$337.73,261024,$333.13,$337.99,$333.13
03/11/2024,$333.57,263499,$335.68,$335.92,$330.60
03/08/2024,$335.11,366432,$339.40,$340.10,$334.14
03/07/2024,$339.37,339308,$338.71,$340.88,$335.41
03/06/2024,$335.86,439526,$331.78,$338.00,$329.88
03/05/2024,$328.79,420191,$337.25,$339.06,$327.345
03/04/2024,$340.48,583760,$340.37,$342.50,$338.56
03/01/2024,$339.62,491465,$333.62,$341.50,$332.12
02/29/2024,$334.17,803419,$336.73,$336.73,$332.19
02/28/2024,$333.09,483502,$333.66,$335.36,$332.35
02/27/2024,$335.77,420275,$336.15,$338.76,$333.885
02/26/2024,$336.32,469492,$339.62,$339.62,$336.01
02/23/2024,$340.89,357455,$340.65,$342.44,$339.6399
02/22/2024,$340.34,1275727,$351.64,$352.97,$338.15
02/21/2024,$328.63,551209,$328.30,$328.97,$321.45
02/20/2024,$332.14,574095,$328.74,$332.17,$327.05
02/16/2024,$329.85,444310,$331.00,$334.12,$329.615
02/15/2024,$330.98,383579,$334.05,$334.05,$328.41
02/14/2024,$330.00,582820,$329.91,$331.60,$328.45
02/13/2024,$327.52,1125868,$331.64,$333.45,$326.1601
02/12/2024,$337.88,533374,$341.42,$343.17,$337.48
02/09/2024,$342.28,851488,$345.33,$346.79,$341.89
02/08/2024,$345.33,398501,$340.29,$345.705,$339.50
02/07/2024,$336.93,465690,$339.73,$342.295,$336.60
02/06/2024,$336.66,572916,$337.82,$341.10,$332.26
02/05/2024,$337.50,591716,$337.34,$340.84,$334.57
02/02/2024,$335.25,542516,$333.10,$336.795,$331.81
02/01/2024,$332.66,853379,$328.66,$334.535,$327.82
01/31/2024,$327.83,984961,$328.28,$330.71,$326.83
01/30/2024,$330.96,1070262,$331.78,$334.29,$330.40
01/29/2024,$333.19,1175416,$332.93,$334.97,$330.28
01/26/2024,$332.24,1181830,$338.22,$339.515,$331.67
01/25/2024,$339.42,737045,$343.40,$343.40,$338.78
01/24/2024,$339.57,1072508,$342.58,$345.28,$339.31
01/23/2024,$341.86,713229,$342.10,$343.86,$338.36
01/22/2024,$341.02,937856,$337.09,$343.70,$337.09
01/19/2024,$337.00,898999,$329.12,$338.645,$328.27
01/18/2024,$328.27,1005076,$329.69,$330.87,$327.065
01/17/2024,$330.24,1918391,$326.25,$330.715,$322.24
01/16/2024,$327.42,4532305,$333.91,$336.63,$324.74
01/12/2024,$346.48,846624,$357.00,$357.00,$344.96
01/11/2024,$357.79,1077173,$353.61,$358.06,$350.56
01/10/2024,$354.86,895170,$353.51,$356.43,$350.53
01/09/2024,$353.95,910613,$344.45,$355.70,$344.231
01/08/2024,$348.63,848408,$345.68,$350.94,$345.68
01/05/2024,$344.08,2927650,$344.00,$359.99,$338.03
01/04/2024,$344.16,1090579,$343.58,$349.33,$343.08
01/03/2024,$343.22,864767,$350.36,$351.3343,$343.18
01/02/2024,$353.00,955166,$358.80,$359.60,$349.88
12/29/2023,$362.88,790541,$359.78,$364.31,$359.60
