Date,Close/Last,Volume,Open,High,Low
03/22/2024,$979.96,692811,$973.71,$991.075,$972.569
03/21/2024,$990.79,1112386,$1005.01,$1005.66,$988.08
03/20/2024,$970.92,838613,$956.07,$974.295,$946.89
03/19/2024,$951.91,817593,$938.54,$956.59,$928.00
03/18/2024,$941.34,821446,$949.36,$958.21,$939.75
03/15/2024,$940.21,1727397,$954.78,$954.78,$931.79
03/14/2024,$959.78,876562,$968.59,$971.47,$950.56
03/13/2024,$968.78,851105,$983.16,$983.16,$959.055
03/12/2024,$984.29,1165183,$966.80,$984.99,$950.4801
03/11/2024,$962.67,1432110,$979.50,$981.03,$957.50
03/08/2024,$994.33,1638526,$1038.88,$1040.21,$993.23
03/07/2024,$1047.39,1580298,$1015.67,$1056.34,$1014.82
03/06/2024,$1003.93,1304450,$986.94,$1009.63,$981.47
03/05/2024,$968.84,1259548,$989.71,$992.04,$958.69
03/04/2024,$998.04,1432966,$992.60,$1007.68,$987.75
03/01/2024,$990.94,1698220,$951.575,$991.45,$950.27
02/29/2024,$951.68,777558,$939.50,$952.45,$938.42
02/28/2024,$939.50,519732,$939.04,$943.4999,$935.10
02/27/2024,$941.37,807706,$953.00,$957.76,$940.36
02/26/2024,$947.59,671256,$941.51,$951.72,$936.20
02/23/2024,$933.25,878996,$952.28,$954.56,$932.79
02/22/2024,$951.85,1780845,$946.92,$959.46,$941.2046
02/21/2024,$908.21,870746,$897.45,$908.67,$892.63
02/20/2024,$909.57,1044138,$918.60,$919.98,$898.51
02/16/2024,$928.94,1161340,$932.73,$948.515,$925.73
02/15/2024,$929.84,884296,$929.08,$934.75,$919.34
02/14/2024,$924.44,1206429,$914.78,$925.75,$913.40
02/13/2024,$903.32,1297216,$890.85,$915.89,$889.011
02/12/2024,$929.21,1033552,$939.66,$946.48,$927.35
02/09/2024,$949.60,1588795,$936.69,$954.32,$931.71
02/08/2024,$922.94,1150985,$917.59,$927.73,$910.91
02/07/2024,$922.23,1492165,$905.29,$927.79,$905.06
02/06/2024,$904.89,1409497,$898.80,$905.76,$890.85
02/05/2024,$898.54,950108,$885.60,$901.92,$881.10
02/02/2024,$890.66,896464,$879.24,$893.05,$879.09
02/01/2024,$890.54,1040199,$882.32,$893.775,$876.6601
01/31/2024,$869.82,1251446,$861.22,$884.00,$859.46
01/30/2024,$868.03,895609,$874.05,$877.73,$862.605
01/29/2024,$882.62,1034546,$867.58,$883.42,$865.20
01/26/2024,$867.75,1614811,$863.55,$873.20,$853.205
01/25/2024,$869.08,3449540,$869.00,$883.28,$862.985
01/24/2024,$847.31,7754261,$826.86,$864.5899,$826.50
01/23/2024,$778.39,1800676,$766.05,$778.67,$762.54
01/22/2024,$766.68,1418602,$766.40,$776.5268,$765.53
01/19/2024,$757.83,1796062,$748.50,$759.47,$744.78
01/18/2024,$744.53,2230440,$724.68,$748.27,$724.68
01/17/2024,$712.27,835089,$705.95,$713.17,$696.08
01/16/2024,$706.50,913070,$707.99,$711.30,$702.50
01/12/2024,$713.22,580513,$712.61,$715.545,$709.62
01/11/2024,$718.53,603971,$720.49,$724.19,$708.625
01/10/2024,$717.79,506404,$716.47,$720.00,$708.04
01/09/2024,$715.95,587084,$710.67,$719.07,$710.67
01/08/2024,$720.84,835357,$712.65,$720.84,$711.91
01/05/2024,$703.34,579264,$700.76,$709.785,$699.60
01/04/2024,$700.29,752138,$698.00,$709.51,$697.505
01/03/2024,$703.37,952098,$700.60,$706.64,$699.60
01/02/2024,$716.92,1368749,$730.00,$730.765,$714.14
12/29/2023,$756.92,518006,$758.03,$760.35,$752.33
12/28/2023,$757.85,467953,$762.07,$763.09,$757.81
12/27/2023,$764.03,487076,$760.82,$764.48,$758.35
12/26/2023,$762.68,509242,$750.10,$765.795,$750.00
12/22/2023,$752.53,597364,$752.84,$755.82,$749.105
12/21/2023,$755.27,868434,$744.17,$755.92,$743.5542
12/20/2023,$729.61,1007641,$739.60,$749.86,$729.61
12/19/2023,$744.72,571110,$743.00,$745.08,$740.53
12/18/2023,$742.06,808878,$747.37,$747.795,$736.318
12/15/2023,$752.96,1507015,$753.71,$760.325,$749.62
12/14/2023,$753.71,1446583,$744.30,$755.99,$744.30
12/13/2023,$735.29,1037213,$724.65,$738.68,$720.7401
12/12/2023,$720.56,880117,$714.92,$720.98,$711.31
12/11/2023,$710.24,1584983,$704.72,$713.49,$702.60
12/08/2023,$696.43,920784,$695.34,$702.83,$694.03
12/07/2023,$699.65,780804,$695.37,$700.485,$692.09
12/06/2023,$692.08,657084,$699.425,$703.27,$691.22
12/05/2023,$694.53,609964,$690.32,$697.43,$687.93
12/04/2023,$690.32,748733,$686.74,$690.72,$679.12
12/01/2023,$692.20,857676,$688.17,$695.5795,$683.045
11/30/2023,$683.76,753777,$683.11,$684.33,$676.3788
11/29/2023,$687.61,795479,$686.51,$693.11,$684.665
11/28/2023,$675.99,644544,$680.00,$682.85,$672.645
11/27/2023,$688.38,545480,$687.66,$690.31,$685.05
11/24/2023,$691.18,352123,$690.07,$692.035,$687.90
11/22/2023,$684.80,523137,$689.47,$694.05,$683.91
11/21/2023,$684.42,705427,$693.87,$694.58,$679.92
11/20/2023,$694.31,675094,$685.32,$696.97,$685.32
11/17/2023,$686.09,627685,$681.06,$687.59,$679.20
11/16/2023,$680.87,854670,$676.71,$684.575,$675.00
11/15/2023,$678.00,918711,$680.28,$682.20,$675.01
11/14/2023,$675.41,1166755,$674.65,$678.49,$669.50
11/13/2023,$654.60,641151,$654.14,$657.75,$648.27
11/10/2023,$661.28,1247006,$644.46,$663.22,$640.79
11/09/2023,$634.26,1221623,$646.39,$649.38,$633.85
11/08/2023,$639.29,726957,$639.55,$642.66,$637.1501
11/07/2023,$636.31,529070,$633.82,$641.39,$633.53
11/06/2023,$637.44,651254,$636.88,$638.80,$631.1701
11/03/2023,$642.41,907022,$643.10,$647.00,$638.90
11/02/2023,$631.39,1527442,$636.97,$637.49,$627.09
11/01/2023,$608.27,1005847,$599.67,$608.7999,$596.78
10/31/2023,$598.81,1020360,$599.65,$602.13,$593.56
10/30/2023,$588.88,746696,$592.77,$594.45,$582.48
10/27/2023,$590.00,819484,$594.87,$595.97,$587.33
10/26/2023,$588.20,1092950,$593.10,$599.00,$585.565
10/25/2023,$583.34,1322662,$597.45,$598.19,$581.57
10/24/2023,$600.75,1333863,$590.62,$602.76,$589.625
