Date,Close/Last,Volume,Open,High,Low
03/22/2024,$1353.47,3862386,$1350.00,$1376.22,$1346.15
03/21/2024,$1348.00,7246773,$1328.32,$1403.61,$1316.00
03/20/2024,$1276.00,4094614,$1239.02,$1287.99,$1226.59
03/19/2024,$1238.01,2449087,$1216.95,$1240.27,$1204.02
03/18/2024,$1237.24,2573716,$1253.98,$1262.88,$1231.70
03/15/2024,$1235.50,8882251,$1253.46,$1267.37,$1230.07
03/14/2024,$1262.27,3802938,$1262.54,$1273.13,$1247.71
03/13/2024,$1257.87,3783848,$1282.88,$1282.88,$1252.355
03/12/2024,$1291.88,4278913,$1307.00,$1307.79,$1259.28
03/11/2024,$1293.12,3110512,$1277.93,$1299.02,$1252.56
03/08/2024,$1308.72,7402484,$1394.25,$1413.00,$1301.58
03/07/2024,$1407.01,6283177,$1381.99,$1414.31,$1372.89
03/06/2024,$1350.00,4319589,$1391.58,$1394.83,$1347.06
03/05/2024,$1342.75,3603975,$1395.00,$1395.00,$1332.37
03/04/2024,$1402.26,3485418,$1403.15,$1438.17,$1385.19
03/01/2024,$1399.17,4448772,$1325.93,$1407.76,$1320.00
02/29/2024,$1300.49,2753564,$1303.31,$1308.395,$1287.275
02/28/2024,$1289.42,1096718,$1293.00,$1298.52,$1282.9734
02/27/2024,$1296.23,1212605,$1309.13,$1311.94,$1292.22
02/26/2024,$1309.13,1628248,$1310.00,$1318.7899,$1301.46
02/23/2024,$1296.37,2311464,$1308.37,$1319.62,$1288.82
02/22/2024,$1304.90,4081926,$1281.71,$1310.98,$1276.47
02/21/2024,$1227.45,2063983,$1218.00,$1228.05,$1202.64
02/20/2024,$1226.55,2632919,$1235.86,$1237.72,$1212.56
02/16/2024,$1245.48,2126805,$1259.04,$1275.6846,$1242.39
02/15/2024,$1265.07,2187344,$1279.95,$1280.00,$1244.85
02/14/2024,$1262.22,2730626,$1269.24,$1273.00,$1241.3179
02/13/2024,$1251.65,3190652,$1235.12,$1255.87,$1227.09
02/12/2024,$1265.00,2477822,$1290.01,$1290.07,$1259.00
02/09/2024,$1283.44,2629289,$1252.03,$1285.75,$1248.99
02/08/2024,$1274.76,2932624,$1267.00,$1295.97,$1265.01
02/07/2024,$1257.06,2576775,$1234.00,$1259.51,$1226.70
02/06/2024,$1222.65,2535410,$1263.57,$1272.1099,$1211.94
02/05/2024,$1243.10,2204452,$1226.96,$1247.7522,$1222.15
02/02/2024,$1224.34,2668929,$1208.75,$1234.69,$1205.15
02/01/2024,$1200.01,1941128,$1187.35,$1203.09,$1179.11
01/31/2024,$1180.00,2740019,$1189.45,$1197.22,$1174.31
01/30/2024,$1208.16,2068254,$1216.77,$1228.00,$1204.29
01/29/2024,$1217.77,2152647,$1214.91,$1223.67,$1204.995
01/26/2024,$1204.88,2581760,$1219.70,$1221.21,$1200.23
01/25/2024,$1230.00,3635610,$1281.00,$1281.00,$1228.80
01/24/2024,$1253.87,3480482,$1242.295,$1284.5499,$1231.0093
01/23/2024,$1226.31,1695211,$1221.00,$1226.98,$1203.52
01/22/2024,$1220.50,3122224,$1216.25,$1231.33,$1208.2177
01/19/2024,$1211.20,5307712,$1157.31,$1217.00,$1156.00
01/18/2024,$1143.91,3222840,$1124.90,$1146.548,$1121.88
01/17/2024,$1103.67,1831405,$1106.29,$1113.11,$1090.215
01/16/2024,$1114.96,2614508,$1112.34,$1126.2431,$1098.63
01/12/2024,$1107.68,2688196,$1112.10,$1115.6899,$1100.01
01/11/2024,$1099.98,2575722,$1084.32,$1101.30,$1074.505
01/10/2024,$1080.57,1764345,$1080.35,$1082.955,$1062.6047
01/09/2024,$1082.49,2322534,$1065.62,$1088.5499,$1064.71
01/08/2024,$1074.85,3311029,$1056.50,$1077.9999,$1052.0018
01/05/2024,$1049.28,2247469,$1051.60,$1055.46,$1041.51
01/04/2024,$1049.01,2565803,$1057.96,$1069.497,$1047.37
01/03/2024,$1058.58,3473547,$1070.20,$1075.00,$1055.31
01/02/2024,$1085.38,2883102,$1092.12,$1102.00,$1077.09
12/29/2023,$1116.25,2055800,$1121.46,$1124.38,$1114.67
12/28/2023,$1122.41,2124925,$1131.69,$1132.24,$1119.05
12/27/2023,$1126.17,2005523,$1136.00,$1139.57,$1122.9601
12/26/2023,$1131.89,1679327,$1124.24,$1135.50,$1123.02
12/22/2023,$1121.98,1908897,$1127.98,$1132.00,$1113.53
12/21/2023,$1127.29,2410561,$1132.65,$1135.42,$1115.00
12/20/2023,$1110.38,3452335,$1132.70,$1141.36,$1109.26
12/19/2023,$1139.58,3602040,$1142.00,$1150.46,$1132.505
12/18/2023,$1147.00,5474137,$1120.80,$1151.82,$1118.64
12/15/2023,$1129.74,11854370,$1095.22,$1149.8799,$1094.6184
12/14/2023,$1106.49,6696402,$1092.18,$1121.46,$1090.28
12/13/2023,$1089.69,7165375,$1068.00,$1099.78,$1062.54
12/12/2023,$1072.28,9024155,$1027.99,$1079.39,$1024.58
12/11/2023,$1029.24,10118370,$957.01,$1039.51,$956.09
12/08/2023,$944.30,6966842,$927.84,$950.73,$910.5262
12/07/2023,$922.26,4351689,$905.54,$924.12,$903.64
12/06/2023,$903.64,2481269,$920.36,$920.97,$903.10
12/05/2023,$913.12,3706593,$911.60,$917.27,$905.845
12/04/2023,$923.97,2500921,$920.64,$930.97,$916.44
12/01/2023,$930.00,2961244,$922.46,$933.90,$908.00
11/30/2023,$925.73,4957110,$941.00,$942.415,$918.37
11/29/2023,$940.83,3484274,$948.34,$959.4299,$939.37
11/28/2023,$946.35,3902494,$939.94,$950.86,$934.16
11/27/2023,$950.24,9696202,$976.15,$981.01,$949.33
11/24/2023,$978.87,2315789,$974.96,$979.86,$966.75
11/22/2023,$972.00,3375092,$983.69,$987.9899,$971.00
11/21/2023,$981.20,4334384,$975.00,$991.00,$971.63
11/20/2023,$995.71,1868034,$973.00,$999.87,$973.00
11/17/2023,$977.73,1979461,$958.21,$983.89,$951.00
11/16/2023,$959.55,2619803,$964.00,$968.70,$950.52
11/15/2023,$975.40,1609948,$979.51,$981.75,$966.91
11/14/2023,$972.96,2388558,$962.34,$976.77,$955.2521
11/13/2023,$946.93,1689297,$950.05,$952.40,$940.48
11/10/2023,$957.52,3628792,$921.74,$958.95,$918.21
11/09/2023,$911.38,2448621,$912.50,$929.7999,$908.56
11/08/2023,$911.13,1527994,$900.00,$912.9084,$899.00
11/07/2023,$897.82,1936665,$882.32,$901.77,$876.155
11/06/2023,$880.83,1287148,$881.56,$885.89,$871.21
