Date,Close/Last,Volume,Open,High,Low
03/22/2024,$66.26,4098809,$66.49,$66.84,$66.20
03/21/2024,$66.19,5351802,$66.61,$66.79,$66.175
03/20/2024,$65.73,3553319,$65.57,$65.88,$65.20
03/19/2024,$65.86,3402628,$65.60,$65.90,$65.25
03/18/2024,$65.85,3886629,$66.01,$66.37,$65.805
03/15/2024,$66.31,6027405,$67.40,$67.44,$66.075
03/14/2024,$67.04,4626250,$67.73,$67.73,$66.67
03/13/2024,$67.58,4688145,$67.46,$68.03,$67.43
03/12/2024,$67.40,6156496,$67.54,$67.69,$67.26
03/11/2024,$67.67,3927494,$67.22,$67.7699,$66.83
03/08/2024,$66.50,4412892,$66.17,$66.58,$65.98
03/07/2024,$66.19,6130609,$65.82,$66.51,$65.73
03/06/2024,$65.27,4491512,$64.74,$65.53,$64.74
03/05/2024,$64.81,3728949,$64.91,$65.32,$64.61
03/04/2024,$64.79,4406692,$64.29,$64.82,$64.15
03/01/2024,$64.60,3966502,$64.34,$64.825,$63.98
02/29/2024,$64.16,6084729,$65.17,$65.21,$63.74
02/28/2024,$65.35,6030832,$65.46,$65.78,$65.16
02/27/2024,$66.33,4433595,$65.935,$66.455,$65.77
02/26/2024,$65.93,4597861,$66.08,$66.37,$65.7501
02/23/2024,$65.83,7388239,$64.96,$65.925,$64.95
02/22/2024,$64.13,9723091,$63.26,$64.5788,$63.26
02/21/2024,$65.09,5402574,$64.38,$65.09,$64.22
02/20/2024,$65.04,6438525,$66.05,$66.07,$64.58
02/16/2024,$64.27,7648052,$63.84,$64.525,$63.60
02/15/2024,$62.84,7641743,$61.77,$62.86,$61.77
02/14/2024,$61.66,12203650,$61.20,$61.77,$61.06
02/13/2024,$61.03,8272299,$61.25,$61.70,$60.76
02/12/2024,$61.41,12066460,$61.16,$61.44,$60.47
02/09/2024,$62.26,13734520,$62.71,$63.37,$62.08
02/08/2024,$63.52,28929030,$62.02,$63.895,$61.7008
02/07/2024,$66.55,6588795,$66.77,$66.90,$66.49
02/06/2024,$67.04,5566767,$65.85,$67.085,$65.58
02/05/2024,$65.14,10849520,$65.14,$65.64,$65.02
02/02/2024,$65.64,6745489,$65.97,$66.095,$65.585
02/01/2024,$66.85,4472096,$66.21,$66.935,$66.00
01/31/2024,$66.64,4572739,$67.75,$67.83,$66.545
01/30/2024,$67.20,4649364,$67.35,$67.36,$66.94
01/29/2024,$67.19,4944796,$67.26,$67.31,$66.93
01/26/2024,$67.10,5021745,$67.74,$67.81,$66.97
01/25/2024,$67.02,4491485,$66.51,$67.02,$66.34
01/24/2024,$66.60,5684739,$66.73,$66.925,$66.37
01/23/2024,$66.75,4984183,$66.29,$66.82,$65.92
01/22/2024,$67.14,10160520,$67.74,$67.835,$66.69
01/19/2024,$66.54,7082036,$66.89,$66.95,$66.42
01/18/2024,$66.52,7171109,$65.91,$66.785,$65.74
