Date,Close/Last,Volume,Open,High,Low
03/22/2024,$218.10,1071072,$221.30,$221.30,$215.355
03/21/2024,$220.75,1001255,$219.33,$221.74,$217.95
03/20/2024,$218.15,945041,$217.18,$219.36,$216.5254
03/19/2024,$218.63,1518986,$218.35,$219.02,$215.59
03/18/2024,$219.40,1356644,$220.34,$220.56,$217.53
03/15/2024,$219.31,2407106,$219.15,$221.305,$216.80
03/14/2024,$219.62,1611591,$225.25,$226.02,$218.58
03/13/2024,$226.56,1481162,$228.76,$229.90,$224.925
03/12/2024,$227.36,1068888,$229.34,$229.75,$225.35
03/11/2024,$230.07,1218226,$223.30,$230.22,$223.2434
03/08/2024,$223.24,1658043,$225.45,$228.36,$221.98
03/07/2024,$219.36,1150422,$219.92,$219.92,$216.69
03/06/2024,$217.56,1441356,$217.47,$219.99,$216.80
03/05/2024,$217.23,890458,$219.65,$221.50,$216.50
03/04/2024,$221.02,1083626,$221.17,$222.92,$219.76
03/01/2024,$220.95,1085504,$217.46,$222.02,$215.35
02/29/2024,$216.99,1917844,$221.76,$224.00,$216.70
02/28/2024,$221.74,1038644,$222.25,$224.12,$221.00
02/27/2024,$223.94,983082,$223.72,$224.87,$220.20
02/26/2024,$223.71,774466,$222.52,$224.99,$222.00
02/23/2024,$223.32,911025,$223.43,$225.80,$221.50
02/22/2024,$222.48,901095,$221.23,$223.22,$218.69
02/21/2024,$221.11,1055024,$221.49,$223.41,$219.00
02/20/2024,$219.21,1919847,$217.56,$220.25,$215.6801
02/16/2024,$219.08,1768123,$221.15,$221.75,$217.53
02/15/2024,$223.35,1307777,$221.15,$225.00,$220.07
02/14/2024,$220.74,2220580,$227.01,$227.99,$220.56
02/13/2024,$226.65,3403572,$235.64,$237.00,$225.275
02/12/2024,$244.74,962049,$239.45,$244.95,$239.45
02/09/2024,$240.98,689901,$239.88,$241.36,$238.90
02/08/2024,$240.30,743942,$239.89,$240.54,$237.52
02/07/2024,$240.54,773839,$246.44,$246.44,$240.54
02/06/2024,$245.55,1304794,$241.00,$245.88,$239.96
02/05/2024,$241.84,858664,$242.21,$245.2275,$240.50
02/02/2024,$243.72,861460,$245.93,$246.39,$241.53
02/01/2024,$247.83,955585,$245.40,$249.33,$240.00
01/31/2024,$246.66,1119869,$247.67,$251.99,$246.24
01/30/2024,$247.08,815602,$245.98,$248.36,$243.575
01/29/2024,$247.52,681609,$243.41,$248.34,$242.42
01/26/2024,$244.82,540817,$247.36,$248.07,$244.41
01/25/2024,$246.21,696146,$247.22,$249.465,$245.24
01/24/2024,$247.16,855146,$248.34,$250.80,$246.97
01/23/2024,$251.68,727962,$249.13,$251.92,$248.01
01/22/2024,$248.30,787220,$250.30,$252.17,$247.074
01/19/2024,$249.96,2316694,$246.96,$251.28,$244.425
01/18/2024,$246.97,1172010,$243.89,$247.98,$240.83
01/17/2024,$245.27,773097,$244.71,$246.19,$242.52
01/16/2024,$246.19,1055846,$247.00,$247.56,$244.00
01/12/2024,$248.12,769565,$248.17,$250.45,$246.73
01/11/2024,$247.21,1196839,$252.29,$252.94,$245.00
01/10/2024,$254.23,793059,$254.36,$255.18,$251.00
01/09/2024,$255.84,807724,$256.19,$257.28,$253.61
01/08/2024,$257.98,1419728,$255.06,$258.71,$251.53
01/05/2024,$257.88,849606,$257.47,$259.925,$255.375
01/04/2024,$260.28,949011,$264.58,$264.58,$259.605
01/03/2024,$263.43,814316,$268.27,$268.295,$263.39
01/02/2024,$267.71,1084767,$257.56,$267.99,$256.71
12/29/2023,$258.77,802816,$260.16,$260.9952,$257.00
12/28/2023,$260.58,756007,$262.86,$263.98,$260.29
12/27/2023,$261.93,624410,$261.59,$263.3399,$260.64
12/26/2023,$260.70,550277,$258.50,$261.1263,$257.795
12/22/2023,$257.97,689602,$255.31,$258.78,$255.185
12/21/2023,$253.86,939964,$250.03,$254.9657,$250.03
12/20/2023,$248.16,755938,$251.50,$253.00,$248.10
12/19/2023,$251.69,1263541,$250.33,$252.87,$249.09
12/18/2023,$250.33,1641957,$249.70,$251.43,$247.04
12/15/2023,$248.13,3862500,$257.34,$259.86,$248.01
12/14/2023,$256.54,1913174,$257.00,$261.46,$254.765
12/13/2023,$255.56,1613127,$249.27,$255.69,$248.7601
