Date,Close/Last,Volume,Open,High,Low
03/22/2024,$3624.73,205423,$3624.97,$3646.1199,$3604.46
03/21/2024,$3647.81,304480,$3615.29,$3660.19,$3586.66
03/20/2024,$3578.49,430452,$3510.08,$3623.00,$3500.01
03/19/2024,$3505.98,187748,$3454.11,$3510.19,$3445.02
03/18/2024,$3450.93,230996,$3466.52,$3470.00,$3426.31
03/15/2024,$3413.98,771176,$3498.29,$3501.00,$3409.01
03/14/2024,$3511.56,347984,$3550.00,$3550.00,$3500.28
03/13/2024,$3500.00,232567,$3500.00,$3519.72,$3482.23
03/12/2024,$3500.00,188473,$3522.27,$3543.44,$3497.54
03/11/2024,$3502.74,235480,$3477.76,$3546.015,$3476.48
03/08/2024,$3485.70,305407,$3476.98,$3510.00,$3450.62
03/07/2024,$3477.76,270750,$3433.50,$3484.10,$3408.92
03/06/2024,$3428.03,236507,$3433.00,$3447.46,$3398.97
03/05/2024,$3430.25,287508,$3452.00,$3473.31,$3415.685
03/04/2024,$3461.40,270932,$3461.79,$3502.23,$3452.50
03/01/2024,$3499.73,348526,$3482.55,$3511.72,$3454.16
02/29/2024,$3468.83,480863,$3505.69,$3514.9999,$3451.49
02/28/2024,$3495.63,339601,$3478.12,$3507.36,$3460.00
02/27/2024,$3478.12,393033,$3516.31,$3533.72,$3463.37
02/26/2024,$3499.75,433414,$3559.36,$3586.20,$3497.59
02/23/2024,$3505.96,958463,$3698.30,$3698.30,$3491.325
02/22/2024,$3901.99,473969,$3804.08,$3918.00,$3774.87
02/21/2024,$3741.13,229502,$3716.56,$3752.78,$3709.57
02/20/2024,$3700.86,254940,$3709.00,$3730.17,$3688.56
02/16/2024,$3716.84,209708,$3754.20,$3756.18,$3708.97
02/15/2024,$3750.66,297468,$3752.64,$3762.73,$3711.83
02/14/2024,$3738.31,253719,$3741.21,$3770.21,$3695.00
02/13/2024,$3747.61,264129,$3745.00,$3787.79,$3702.12
02/12/2024,$3790.23,247311,$3757.11,$3827.00,$3749.66
02/09/2024,$3758.18,398963,$3700.00,$3761.88,$3663.01
02/08/2024,$3840.22,376525,$3750.00,$3844.76,$3725.95
02/07/2024,$3708.92,284887,$3650.10,$3745.46,$3646.3153
02/06/2024,$3644.94,277027,$3635.00,$3660.20,$3605.425
