Date,Close/Last,Volume,Open,High,Low
03/22/2024,$33.44,6636540,$33.81,$33.91,$33.42
03/21/2024,$33.76,6084540,$33.45,$34.125,$33.37
03/20/2024,$33.39,7429531,$33.09,$33.55,$32.96
03/19/2024,$33.22,6548198,$32.41,$33.32,$32.41
03/18/2024,$32.39,5899359,$32.49,$32.54,$32.08
03/15/2024,$32.32,15268370,$31.93,$32.45,$31.92
03/14/2024,$31.94,6947273,$31.76,$32.21,$31.76
03/13/2024,$31.75,6897851,$31.70,$31.945,$31.38
03/12/2024,$31.49,7136789,$31.41,$31.62,$31.12
03/11/2024,$31.30,6926989,$30.67,$31.39,$30.52
03/08/2024,$30.60,5548490,$30.71,$30.91,$30.435
03/07/2024,$30.83,9733016,$30.64,$31.06,$30.58
03/06/2024,$30.56,10371730,$30.47,$30.8591,$30.41
03/05/2024,$30.17,8765066,$29.44,$30.19,$29.30
03/04/2024,$29.43,6157404,$30.00,$30.03,$29.355
03/01/2024,$29.96,6445680,$29.59,$30.13,$29.51
02/29/2024,$29.59,12879480,$29.75,$29.86,$29.37
02/28/2024,$29.48,6079000,$29.602,$29.75,$29.19
02/27/2024,$29.72,6600361,$30.05,$30.05,$29.525
02/26/2024,$29.84,9822929,$29.73,$30.39,$29.67
02/23/2024,$29.89,13039760,$29.00,$30.09,$28.88
02/22/2024,$29.20,9427397,$29.29,$29.47,$29.01
02/21/2024,$29.34,10578220,$29.13,$29.40,$29.00
02/20/2024,$29.05,8362390,$28.86,$29.09,$28.66
02/16/2024,$29.15,7398691,$29.20,$29.32,$28.94
02/15/2024,$29.20,10899060,$28.91,$29.39,$28.79
02/14/2024,$28.85,8118986,$29.20,$29.215,$28.63
02/13/2024,$29.01,9740465,$29.43,$29.55,$28.70
02/12/2024,$29.50,9720445,$28.98,$29.595,$28.95
02/09/2024,$29.06,7661366,$29.31,$29.46,$28.83
02/08/2024,$29.32,9029122,$28.99,$29.455,$28.91
02/07/2024,$29.12,9040030,$29.47,$29.69,$29.09
02/06/2024,$29.39,13403820,$28.86,$29.62,$28.79
02/05/2024,$28.80,11840640,$28.68,$28.94,$28.32
02/02/2024,$28.99,12945970,$28.70,$29.14,$28.5807
02/01/2024,$28.63,11208700,$28.66,$28.88,$28.37
01/31/2024,$28.50,10664410,$29.43,$29.49,$28.43
01/30/2024,$29.34,23727220,$28.74,$29.525,$28.34
01/29/2024,$30.00,11490280,$30.22,$30.315,$29.825
01/26/2024,$30.48,12352560,$30.26,$30.59,$29.85
01/25/2024,$30.30,21034720,$30.46,$30.60,$29.7148
01/24/2024,$30.04,20069640,$30.25,$31.10,$29.66
01/23/2024,$31.53,14531560,$30.76,$31.66,$30.76
01/22/2024,$30.98,7177228,$30.60,$31.145,$30.45
01/19/2024,$30.70,9750351,$30.99,$31.01,$30.58
01/18/2024,$30.87,5717988,$30.73,$30.98,$30.51
01/17/2024,$30.79,7311279,$30.312,$30.92,$30.135
01/16/2024,$30.67,7541146,$31.32,$31.41,$30.615
01/12/2024,$31.52,12546220,$31.69,$31.78,$30.87
01/11/2024,$31.17,8339816,$31.34,$31.50,$31.03
01/10/2024,$31.23,8471189,$31.64,$31.64,$30.955
01/09/2024,$31.62,7333586,$32.35,$32.38,$31.49
01/08/2024,$32.44,8993451,$32.70,$32.77,$31.91
01/05/2024,$33.42,5629262,$33.47,$33.55,$33.115
01/04/2024,$33.25,7345246,$34.12,$34.20,$33.19
01/03/2024,$33.92,6801717,$34.03,$34.195,$33.79
01/02/2024,$33.93,4721073,$34.43,$34.65,$33.74
12/29/2023,$34.18,5068521,$34.22,$34.30,$34.01
12/28/2023,$34.20,2928023,$34.36,$34.4348,$34.095
12/27/2023,$34.49,2961233,$34.72,$34.925,$34.44
12/26/2023,$34.78,2872950,$34.53,$34.88,$34.45
12/22/2023,$34.12,6369520,$34.39,$34.405,$34.00
12/21/2023,$34.04,5286480,$34.03,$34.12,$33.72
12/20/2023,$34.03,4771343,$34.14,$34.68,$33.97
12/19/2023,$34.07,6660572,$34.24,$34.43,$33.90
12/18/2023,$34.07,5717265,$34.35,$34.85,$33.94
