Date,Close/Last,Volume,Open,High,Low
03/22/2024,$322.74,1752050,$322.75,$324.23,$318.57
03/21/2024,$322.80,1907484,$320.87,$327.355,$320.655
03/20/2024,$316.86,1297687,$314.17,$317.10,$311.7201
03/19/2024,$311.85,1997324,$303.75,$312.79,$303.435
03/18/2024,$300.93,1244129,$300.85,$303.98,$300.26
03/15/2024,$298.44,2606631,$304.25,$305.41,$298.11
03/14/2024,$306.24,1038571,$310.00,$310.385,$304.34
03/13/2024,$306.21,1291497,$311.69,$311.69,$303.50
03/12/2024,$311.28,1356956,$308.98,$312.93,$305.60
03/11/2024,$305.74,1119714,$306.97,$307.44,$301.12
03/08/2024,$308.60,1313057,$318.46,$319.00,$308.495
03/07/2024,$318.04,1177260,$316.01,$319.835,$312.65
03/06/2024,$312.65,1206511,$311.69,$315.8128,$307.15
03/05/2024,$307.70,1744314,$313.38,$316.95,$304.24
03/04/2024,$317.31,1592965,$315.24,$320.7845,$313.965
03/01/2024,$315.24,1840095,$303.23,$315.78,$303.00
02/29/2024,$304.38,1704347,$302.50,$305.79,$299.86
02/28/2024,$300.58,752602,$299.00,$302.685,$298.01
02/27/2024,$300.01,804232,$303.90,$304.05,$298.29
02/26/2024,$303.69,1015361,$305.00,$307.0865,$303.0001
02/23/2024,$303.53,1167826,$307.28,$308.26,$300.55
02/22/2024,$305.57,2240704,$304.50,$308.00,$303.35
02/21/2024,$290.76,1265074,$288.69,$290.96,$285.71
02/20/2024,$292.07,1799208,$289.92,$292.69,$284.79
02/16/2024,$290.30,1621993,$295.80,$298.30,$289.50
02/15/2024,$295.67,2018605,$302.37,$303.33,$294.915
02/14/2024,$300.74,1742970,$300.65,$304.155,$298.40
02/13/2024,$294.33,4063448,$290.00,$300.46,$286.05
02/12/2024,$306.58,3285845,$315.00,$315.70,$305.47
02/09/2024,$311.94,1580103,$311.00,$313.12,$308.815
02/08/2024,$307.36,1506574,$303.502,$308.1896,$302.29
02/07/2024,$300.73,1147827,$295.27,$302.42,$294.855
02/06/2024,$292.80,1123088,$298.24,$299.73,$289.74
02/05/2024,$296.65,1164615,$295.69,$298.35,$294.06
02/02/2024,$296.55,1276072,$290.75,$298.57,$290.75
02/01/2024,$290.52,1056045,$289.50,$291.325,$287.01
01/31/2024,$288.46,1197758,$291.40,$292.01,$287.275
01/30/2024,$294.62,901053,$293.98,$295.23,$292.375
01/29/2024,$294.37,966470,$291.00,$294.82,$291.00
01/26/2024,$290.73,1268970,$289.00,$293.35,$287.20
01/25/2024,$291.19,1395215,$298.65,$298.88,$290.07
01/24/2024,$294.91,1590934,$297.64,$301.61,$294.39
01/23/2024,$295.54,1385907,$295.80,$296.59,$291.00
01/22/2024,$295.73,2322586,$295.96,$299.965,$293.61
01/19/2024,$292.14,2623314,$280.00,$292.54,$280.00
01/18/2024,$279.01,1298749,$276.95,$279.62,$275.28
01/17/2024,$275.39,1883332,$277.56,$279.65,$269.61
01/16/2024,$277.56,2605100,$268.60,$278.86,$268.11
01/12/2024,$268.50,1432089,$267.67,$268.79,$265.6708
01/11/2024,$266.79,1535812,$265.24,$268.49,$261.25
01/10/2024,$263.26,1220020,$262.60,$266.21,$260.75
01/09/2024,$261.75,1135830,$259.50,$264.345,$258.71
01/08/2024,$261.91,1980651,$254.90,$262.13,$253.72
01/05/2024,$252.71,1692517,$255.00,$257.42,$251.94
01/04/2024,$255.92,1095220,$257.11,$259.565,$255.62
01/03/2024,$257.28,1326298,$260.77,$261.9999,$256.60
01/02/2024,$262.90,1594367,$269.16,$269.20,$260.28
12/29/2023,$272.37,818584,$273.44,$274.715,$270.86
12/28/2023,$273.24,900281,$274.56,$275.28,$273.01
12/27/2023,$274.64,858354,$275.61,$277.49,$273.00
12/26/2023,$274.96,872462,$276.64,$279.18,$274.38
12/22/2023,$275.82,1845919,$275.99,$276.73,$269.01
12/21/2023,$275.57,853019,$273.69,$275.84,$272.59
12/20/2023,$270.79,1100612,$273.78,$275.63,$270.73
12/19/2023,$274.33,1334175,$275.00,$277.78,$273.81
12/18/2023,$273.50,1439660,$271.91,$274.635,$271.52
12/15/2023,$271.52,3717092,$270.23,$273.06,$270.08
12/14/2023,$270.10,1854797,$277.61,$277.645,$269.08
12/13/2023,$276.57,1511855,$277.19,$278.20,$271.54
12/12/2023,$274.23,1515295,$268.75,$274.56,$266.51
12/11/2023,$268.75,1840559,$261.60,$270.82,$261.60
12/08/2023,$259.93,1049287,$257.56,$261.58,$257.56
12/07/2023,$259.47,1406049,$258.63,$259.62,$256.95
12/06/2023,$257.68,1758024,$263.38,$263.45,$257.13
12/05/2023,$262.18,1449451,$260.72,$263.15,$257.545
