Date,Close/Last,Volume,Open,High,Low
03/22/2024,$255.67,516358,$255.40,$256.41,$254.40
03/21/2024,$254.81,688948,$253.04,$255.12,$252.55
03/20/2024,$250.80,611898,$247.36,$251.08,$246.96
03/19/2024,$248.00,815645,$245.17,$248.34,$244.84
03/18/2024,$245.02,676584,$246.83,$248.38,$244.84
03/15/2024,$245.51,1531838,$245.73,$247.40,$244.77
03/14/2024,$246.48,482412,$248.63,$249.27,$245.685
03/13/2024,$248.63,645056,$249.95,$250.39,$247.61
03/12/2024,$249.87,626173,$249.03,$250.63,$247.47
03/11/2024,$247.94,524989,$246.21,$249.24,$245.295
03/08/2024,$247.95,620159,$248.49,$249.87,$247.785
03/07/2024,$248.34,472703,$248.25,$249.50,$247.2701
03/06/2024,$247.19,553478,$246.76,$248.88,$245.61
03/05/2024,$244.97,688613,$245.33,$246.41,$243.73
03/04/2024,$246.67,742037,$247.68,$248.60,$245.60
03/01/2024,$247.32,691155,$247.11,$248.86,$246.25
02/29/2024,$246.21,809784,$246.64,$247.47,$243.99
02/28/2024,$244.91,399067,$243.70,$245.91,$243.48
02/27/2024,$244.27,407609,$246.49,$246.49,$243.58
02/26/2024,$246.23,449808,$247.14,$248.18,$245.2725
02/23/2024,$247.11,463433,$247.05,$248.05,$245.36
02/22/2024,$247.56,698617,$244.52,$248.081,$244.32
02/21/2024,$241.34,534266,$241.18,$241.715,$238.815
02/20/2024,$241.79,641387,$239.61,$242.47,$238.36
02/16/2024,$241.37,859670,$243.61,$244.11,$240.54
02/15/2024,$242.75,520668,$240.35,$243.51,$240.32
02/14/2024,$239.48,970192,$239.18,$240.72,$236.58
02/13/2024,$237.47,986389,$236.75,$238.78,$235.04
02/12/2024,$242.00,690215,$244.95,$246.04,$241.79
02/09/2024,$245.23,884825,$244.30,$245.41,$241.49
02/08/2024,$243.96,1089389,$237.60,$244.76,$237.065
02/07/2024,$237.60,2023657,$234.84,$247.63,$233.69
02/06/2024,$230.50,761149,$230.85,$231.82,$229.39
02/05/2024,$230.73,599652,$231.18,$231.935,$229.175
02/02/2024,$232.66,697669,$228.69,$233.46,$228.05
02/01/2024,$230.08,651204,$227.56,$230.19,$225.375
01/31/2024,$226.72,1083140,$229.48,$230.265,$226.06
01/30/2024,$230.22,625918,$229.64,$231.805,$229.12
01/29/2024,$229.11,532856,$229.07,$229.37,$226.6209
01/26/2024,$229.69,641470,$229.00,$229.79,$228.03
01/25/2024,$228.99,696576,$228.00,$229.52,$227.61
01/24/2024,$226.33,575330,$225.54,$228.08,$224.65
01/23/2024,$224.81,586478,$227.95,$228.00,$224.51
01/22/2024,$226.91,563637,$227.50,$228.28,$226.63
01/19/2024,$226.46,615948,$225.74,$227.01,$224.8042
01/18/2024,$225.03,731008,$220.20,$225.27,$219.825
01/17/2024,$219.07,526525,$220.14,$220.445,$218.73
01/16/2024,$220.72,567634,$218.68,$221.08,$217.68
