Date,Close/Last,Volume,Open,High,Low
03/22/2024,$178.24,1608373,$175.00,$178.37,$174.215
03/21/2024,$174.13,2212136,$177.46,$177.81,$172.37
03/20/2024,$175.71,1969318,$172.92,$176.77,$172.6509
03/19/2024,$172.41,1922186,$169.00,$174.01,$168.26
03/18/2024,$168.84,2006774,$167.69,$171.08,$166.19
03/15/2024,$165.52,4532036,$164.18,$168.39,$162.67
03/14/2024,$164.64,3012353,$167.85,$168.39,$163.27
03/13/2024,$167.86,1639110,$171.24,$171.31,$166.44
03/12/2024,$168.37,2617024,$166.57,$169.06,$164.20
03/11/2024,$167.91,2601773,$170.31,$170.96,$166.40
03/08/2024,$170.57,3196966,$179.58,$179.83,$168.46
03/07/2024,$179.58,1968527,$181.75,$182.05,$176.21
03/06/2024,$179.98,2073556,$176.77,$180.81,$175.01
03/05/2024,$176.77,4323775,$177.39,$185.58,$175.42
03/04/2024,$175.99,3818194,$172.96,$177.035,$169.62
03/01/2024,$169.99,4557632,$167.04,$170.31,$165.05
02/29/2024,$168.45,4537148,$171.18,$171.3058,$163.37
02/28/2024,$170.83,8227485,$158.48,$170.98,$156.50
02/27/2024,$155.76,4888282,$135.00,$156.67,$135.00
02/26/2024,$133.22,1494701,$134.68,$135.1999,$132.93
02/23/2024,$133.99,2052310,$133.49,$134.15,$131.35
02/22/2024,$133.39,1529900,$132.40,$134.06,$131.65
02/21/2024,$131.40,983415,$132.29,$132.5812,$130.14
02/20/2024,$131.80,2121235,$131.00,$132.06,$129.39
02/16/2024,$131.16,1295739,$131.26,$132.66,$130.49
02/15/2024,$131.50,1348940,$129.92,$131.62,$128.83
02/14/2024,$128.67,1372350,$128.30,$129.435,$127.69
02/13/2024,$127.91,1503717,$127.91,$128.81,$126.73
02/12/2024,$128.51,1206893,$131.82,$132.19,$127.96
02/09/2024,$132.17,1245398,$130.02,$132.51,$130.00
02/08/2024,$130.72,1228722,$132.55,$133.97,$130.17
02/07/2024,$132.50,2087576,$131.96,$133.80,$130.81
02/06/2024,$131.01,2656914,$127.76,$131.495,$127.19
02/05/2024,$127.03,1878057,$127.90,$128.42,$125.85
02/02/2024,$129.71,3781674,$127.01,$133.07,$126.43
02/01/2024,$127.63,1937524,$122.00,$127.70,$122.00
01/31/2024,$122.00,1666070,$122.78,$124.18,$121.365
01/30/2024,$121.88,1285466,$121.33,$122.31,$120.70
01/29/2024,$121.01,1801469,$121.09,$121.742,$120.005
01/26/2024,$121.27,1558807,$120.07,$122.41,$120.07
01/25/2024,$120.55,1425765,$117.90,$120.59,$117.04
01/24/2024,$115.67,1514735,$119.14,$119.52,$115.34
01/23/2024,$118.69,1929364,$117.73,$120.56,$117.16
01/22/2024,$117.21,1876800,$114.46,$117.375,$114.33
01/19/2024,$114.45,1684303,$111.45,$114.61,$111.45
01/18/2024,$111.41,1614877,$111.37,$111.90,$110.25
