Date,Close/Last,Volume,Open,High,Low
03/22/2024,$42.74,15037890,$43.09,$43.125,$42.465
03/21/2024,$42.89,18752160,$43.00,$43.01,$42.45
03/20/2024,$43.10,27557860,$42.90,$43.22,$42.69
03/19/2024,$42.99,23083730,$42.94,$43.25,$42.63
03/18/2024,$43.12,21627850,$43.05,$43.49,$42.94
03/15/2024,$42.77,45303660,$42.84,$43.31,$42.69
03/14/2024,$42.82,25065930,$43.10,$43.15,$42.01
03/13/2024,$43.28,14472180,$43.41,$43.68,$43.20
03/12/2024,$43.185,18817050,$43.645,$43.645,$42.795
03/11/2024,$43.54,25322110,$42.73,$43.68,$42.64
03/08/2024,$42.58,18007350,$41.74,$42.63,$41.60
03/07/2024,$41.74,17712380,$42.295,$42.37,$41.51
03/06/2024,$42.15,16593580,$42.11,$42.41,$41.67
03/05/2024,$42.06,26734930,$41.91,$42.57,$41.72
03/04/2024,$41.85,20055620,$42.73,$42.88,$41.59
03/01/2024,$42.80,15016140,$42.66,$43.07,$42.17
02/29/2024,$42.85,28706480,$42.53,$42.95,$42.44
02/28/2024,$42.15,13195600,$42.24,$42.63,$42.12
02/27/2024,$42.27,13144060,$42.22,$42.31,$41.895
02/26/2024,$42.19,21113090,$41.92,$42.57,$41.77
02/23/2024,$41.90,14671610,$41.86,$42.32,$41.67
02/22/2024,$41.91,19295000,$41.885,$41.99,$41.40
02/21/2024,$41.85,20653100,$41.92,$41.95,$41.49
02/20/2024,$41.66,20854920,$41.15,$41.73,$40.735
02/16/2024,$41.24,22578770,$41.71,$41.75,$41.16
02/15/2024,$41.80,20890960,$41.79,$42.17,$41.67
02/14/2024,$42.02,24630830,$42.04,$42.13,$41.68
02/13/2024,$41.85,24549520,$42.48,$42.55,$41.505
02/12/2024,$42.61,21666750,$41.94,$42.99,$41.93
02/09/2024,$42.07,27368300,$41.47,$42.275,$41.225
02/08/2024,$41.25,44879560,$43.02,$43.06,$41.055
02/07/2024,$42.86,31222450,$44.63,$44.79,$42.84
02/06/2024,$44.42,18653100,$44.94,$44.94,$44.14
02/05/2024,$44.87,15528380,$44.95,$45.375,$44.78
02/02/2024,$45.09,25234280,$45.33,$45.82,$44.87
02/01/2024,$46.73,18583150,$46.74,$47.11,$46.18
01/31/2024,$46.54,18579550,$46.64,$47.105,$46.375
01/30/2024,$46.65,15675830,$46.40,$46.835,$46.01
01/29/2024,$46.11,19263570,$46.08,$46.51,$45.81
01/26/2024,$46.26,20086380,$45.43,$46.32,$45.33
01/25/2024,$45.27,29722120,$43.70,$46.34,$43.57
01/24/2024,$43.80,19446770,$44.28,$44.33,$43.50
01/23/2024,$43.95,15712060,$43.74,$44.16,$43.425
01/22/2024,$43.62,18082680,$43.51,$43.925,$43.43
01/19/2024,$43.35,23606220,$42.59,$43.36,$42.52
01/18/2024,$42.54,19797260,$42.11,$42.63,$42.08
01/17/2024,$42.35,18568990,$42.82,$43.06,$42.135
01/16/2024,$43.09,17183170,$42.96,$43.225,$42.74
01/12/2024,$42.99,12742490,$43.42,$43.42,$42.86
01/11/2024,$43.27,12706390,$43.58,$43.68,$42.83
01/10/2024,$43.48,12186980,$43.30,$43.56,$42.975
01/09/2024,$43.28,14842180,$43.20,$43.43,$42.795
01/08/2024,$43.73,16124470,$43.04,$43.82,$42.93
01/05/2024,$43.04,12648510,$42.78,$43.31,$42.7256
01/04/2024,$42.63,19595590,$43.27,$43.35,$42.49
01/03/2024,$43.31,15442910,$43.68,$43.875,$43.215
01/02/2024,$43.67,16514550,$43.562,$44.04,$43.26
12/29/2023,$43.85,13695610,$44.09,$44.14,$43.555
12/28/2023,$44.12,9023423,$43.97,$44.405,$43.89
12/27/2023,$43.99,9253757,$43.90,$44.17,$43.71
12/26/2023,$43.93,9624399,$44.00,$44.065,$43.50
12/22/2023,$44.00,11894110,$44.13,$44.616,$43.81
12/21/2023,$44.02,18079660,$44.22,$44.41,$43.38
12/20/2023,$44.20,16281070,$44.62,$44.915,$44.20
12/19/2023,$44.70,16417580,$44.79,$44.91,$44.50
12/18/2023,$44.70,17896010,$44.56,$44.875,$44.315
12/15/2023,$44.48,60346760,$44.61,$44.82,$43.95
12/14/2023,$44.64,29794820,$44.06,$44.995,$43.93
12/13/2023,$43.67,18654880,$42.725,$43.72,$42.24
12/12/2023,$42.67,17533660,$43.04,$43.14,$42.16
12/11/2023,$42.66,19952480,$42.735,$43.01,$42.14
12/08/2023,$42.10,20117290,$41.70,$42.24,$41.66
12/07/2023,$42.17,19522400,$41.99,$42.69,$41.78
12/06/2023,$41.69,16619920,$41.77,$42.07,$41.285
12/05/2023,$41.61,29023110,$42.93,$43.00,$40.6907
12/04/2023,$43.08,22757540,$42.25,$43.42,$42.17
12/01/2023,$42.21,16973920,$42.245,$42.52,$41.8092
11/30/2023,$41.89,23641540,$41.78,$41.94,$41.44
11/29/2023,$41.63,13275110,$41.97,$42.07,$41.41
11/28/2023,$41.87,14512330,$42.00,$42.10,$41.79
11/27/2023,$42.09,19310510,$42.37,$42.51,$41.812
11/24/2023,$42.58,5860002,$42.55,$42.73,$42.40
11/22/2023,$42.48,12855120,$42.72,$42.93,$42.395
11/21/2023,$42.60,11721770,$43.00,$43.035,$42.34
11/20/2023,$42.94,14453470,$42.28,$43.135,$42.17
11/17/2023,$42.42,13386110,$42.66,$42.965,$42.33
11/16/2023,$42.41,18367830,$42.78,$43.07,$41.87
11/15/2023,$42.53,17121490,$41.88,$42.65,$41.88
11/14/2023,$41.87,22518470,$42.30,$42.50,$41.765
11/13/2023,$41.49,14115600,$41.68,$41.825,$41.275
11/10/2023,$41.91,20077760,$41.08,$41.96,$41.05
