Date,Close/Last,Volume,Open,High,Low
03/22/2024,$734.80,1794078,$744.43,$744.79,$734.38
03/21/2024,$742.56,2106857,$743.50,$752.31,$741.10
03/20/2024,$740.72,1398710,$731.00,$742.09,$729.13
03/19/2024,$732.17,1322684,$731.79,$735.35,$730.02
03/18/2024,$731.54,1595245,$726.10,$733.335,$726.015
03/15/2024,$725.63,3390743,$732.52,$732.52,$723.22
03/14/2024,$731.95,1826066,$738.33,$740.6754,$728.99
03/13/2024,$734.20,2270262,$735.00,$736.50,$726.58
03/12/2024,$736.88,3727425,$717.08,$740.0535,$716.905
03/11/2024,$714.08,3762489,$719.81,$720.00,$711.01
03/08/2024,$725.56,8590163,$756.05,$756.22,$725.10
03/07/2024,$785.59,4187879,$779.11,$787.08,$777.0101
03/06/2024,$773.24,2400644,$764.84,$775.16,$763.6647
03/05/2024,$759.95,2353351,$768.42,$769.27,$756.90
03/04/2024,$759.18,2133354,$755.08,$764.74,$753.67
03/01/2024,$749.44,1678119,$740.44,$751.375,$739.25
02/29/2024,$743.89,3361185,$751.42,$752.56,$742.99
02/28/2024,$747.96,1364965,$743.21,$751.88,$743.21
02/27/2024,$744.71,1471310,$746.00,$746.64,$741.33
02/26/2024,$745.35,1707046,$742.00,$746.78,$739.0001
02/23/2024,$737.93,1265759,$740.12,$742.5099,$737.12
02/22/2024,$734.40,1801596,$725.85,$736.05,$725.85
02/21/2024,$723.02,1565913,$725.69,$728.79,$720.27
02/20/2024,$725.69,2407333,$728.03,$734.96,$723.71
02/16/2024,$723.99,1764947,$721.99,$729.06,$718.50
02/15/2024,$724.51,1264141,$721.49,$726.03,$718.28
02/14/2024,$722.18,1472519,$716.00,$722.551,$711.0699
02/13/2024,$714.25,1951080,$721.39,$721.78,$709.04
02/12/2024,$722.41,1572611,$723.52,$723.80,$715.3047
02/09/2024,$723.40,1426119,$725.14,$725.5332,$720.12
02/08/2024,$724.16,1918506,$723.89,$728.17,$720.66
02/07/2024,$719.78,2145467,$714.15,$723.32,$712.00
02/06/2024,$710.79,1920162,$711.23,$712.72,$704.34
02/05/2024,$711.16,2276889,$710.64,$712.86,$705.675
02/02/2024,$709.48,2377629,$703.34,$714.28,$702.26
02/01/2024,$704.48,2039177,$694.00,$705.30,$691.50
01/31/2024,$694.88,1928495,$701.32,$705.52,$693.04
01/30/2024,$700.74,1610482,$692.94,$702.645,$690.80
01/29/2024,$694.01,2215436,$689.90,$694.13,$686.26
01/26/2024,$686.88,1825517,$680.08,$687.24,$679.50
01/25/2024,$679.90,2751888,$686.50,$686.50,$675.96
01/24/2024,$686.51,1946549,$689.00,$689.974,$683.12
01/23/2024,$687.59,2208580,$690.72,$691.63,$684.625
01/22/2024,$692.51,2452868,$695.43,$698.66,$690.515
01/19/2024,$694.97,2267866,$688.50,$696.13,$682.665
01/18/2024,$687.31,1900615,$682.83,$687.72,$680.21
01/17/2024,$684.19,1786799,$680.50,$684.87,$679.19
01/16/2024,$681.49,1626699,$683.24,$686.5199,$678.16
01/12/2024,$683.24,2388399,$677.50,$683.715,$676.11
01/11/2024,$673.58,1670780,$671.00,$674.51,$667.64
01/10/2024,$672.76,1801881,$669.56,$673.83,$669.005
01/09/2024,$667.18,1886171,$658.88,$667.29,$658.255
01/08/2024,$661.69,2245294,$655.81,$662.08,$654.0338
01/05/2024,$656.01,2233451,$656.18,$659.65,$652.24
01/04/2024,$648.35,2171077,$642.08,$649.90,$640.5101
01/03/2024,$644.69,2612563,$651.21,$655.45,$643.10
01/02/2024,$650.65,2657689,$655.58,$657.80,$649.50
12/29/2023,$660.08,1947516,$661.00,$663.185,$657.16
12/28/2023,$663.10,1496929,$665.85,$666.86,$661.5901
12/27/2023,$666.80,1875928,$662.70,$668.58,$660.40
12/26/2023,$674.62,1774769,$673.01,$675.86,$670.78
12/22/2023,$671.60,1641675,$668.00,$673.2733,$666.00
12/21/2023,$665.16,2388448,$665.86,$667.34,$659.45
12/20/2023,$661.00,3782659,$671.79,$674.35,$660.80
12/19/2023,$677.74,3437331,$675.00,$680.7979,$669.12
12/18/2023,$681.24,5733447,$664.50,$681.91,$661.10
12/15/2023,$658.82,8807735,$641.50,$661.88,$640.50
12/14/2023,$630.78,3839180,$641.18,$641.90,$630.30
12/13/2023,$642.00,2436857,$633.92,$642.595,$631.00
12/12/2023,$629.50,2374394,$627.44,$629.69,$623.21
12/11/2023,$623.86,2139261,$621.97,$625.03,$618.7601
12/08/2023,$610.78,1502329,$608.60,$613.61,$607.73
12/07/2023,$610.95,1690366,$610.00,$612.35,$606.35
12/06/2023,$607.43,2234139,$605.50,$608.482,$603.86
12/05/2023,$605.35,2349732,$598.53,$608.88,$597.03
12/04/2023,$599.08,1624045,$592.15,$599.53,$591.46
12/01/2023,$596.25,1475343,$593.28,$596.35,$590.59
11/30/2023,$592.74,1755214,$587.83,$593.07,$582.825
11/29/2023,$587.86,1319844,$595.20,$595.21,$587.42
11/28/2023,$594.00,1286847,$593.19,$597.42,$591.4239
11/27/2023,$594.90,1627378,$592.52,$599.94,$592.4125
11/24/2023,$591.36,645766,$591.02,$594.195,$590.41
11/22/2023,$589.08,1068932,$586.85,$591.1424,$586.3451
11/21/2023,$584.30,1173710,$582.00,$584.95,$577.71
11/20/2023,$580.80,1624460,$577.34,$582.32,$577.34
11/17/2023,$577.15,1774272,$578.90,$579.92,$574.06
11/16/2023,$578.58,2954653,$586.38,$586.585,$572.24
11/15/2023,$596.78,2165104,$593.99,$599.89,$593.39
11/14/2023,$590.80,2037639,$581.74,$591.55,$581.21
11/13/2023,$578.23,1650942,$575.00,$579.95,$573.485
11/10/2023,$577.12,1909263,$567.90,$577.885,$564.94
11/09/2023,$563.27,1288443,$569.00,$569.00,$562.01
11/08/2023,$567.38,1343554,$572.12,$572.99,$564.295
11/07/2023,$571.27,1373229,$572.50,$573.89,$569.5575
11/06/2023,$569.82,2056898,$560.49,$572.65,$560.13
11/03/2023,$560.90,1826753,$557.33,$562.99,$555.23
11/02/2023,$555.97,2100573,$556.50,$559.51,$552.01
11/01/2023,$556.80,1735315,$555.00,$558.44,$549.65
10/31/2023,$552.44,1394661,$552.16,$554.03,$549.063
10/30/2023,$554.88,1696182,$545.74,$556.36,$543.64
10/27/2023,$543.03,1503322,$547.60,$548.03,$540.23
10/26/2023,$547.60,1925263,$549.65,$554.66,$545.5301
10/25/2023,$549.99,1757470,$548.55,$553.83,$545.61
10/24/2023,$551.84,1678622,$552.10,$555.99,$549.325
10/23/2023,$552.29,1776509,$554.14,$556.925,$546.63
10/20/2023,$552.93,2295445,$566.54,$566.67,$552.01
10/19/2023,$565.63,2019564,$573.70,$575.85,$564.11
10/18/2023,$574.64,1311893,$573.915,$577.30,$572.00
10/17/2023,$574.34,1404801,$571.94,$576.06,$570.71
10/16/2023,$572.24,1428517,$569.69,$574.0966,$568.52
10/13/2023,$566.84,1244163,$563.85,$567.44,$561.98
10/12/2023,$563.78,1457979,$568.05,$569.14,$562.38
10/11/2023,$565.52,1449996,$564.85,$566.50,$560.20
10/10/2023,$562.09,2176975,$559.92,$566.95,$557.24
10/09/2023,$558.97,1781511,$555.00,$559.75,$549.78
10/06/2023,$557.53,4246692,$566.09,$566.95,$542.63
10/05/2023,$569.52,1579732,$572.17,$574.75,$564.355
10/04/2023,$571.80,1798756,$569.49,$572.61,$563.7601
10/03/2023,$565.04,2007373,$571.10,$576.1948,$563.01
10/02/2023,$571.31,1831713,$567.91,$571.74,$564.00
09/29/2023,$564.96,1887507,$570.00,$570.99,$560.70
09/28/2023,$568.63,2192427,$564.07,$572.18,$564.07
09/27/2023,$563.53,4591429,$547.38,$566.50,$544.73
09/26/2023,$552.96,2425106,$559.15,$561.37,$552.00
09/25/2023,$558.62,1313326,$559.49,$561.27,$554.735
09/22/2023,$558.59,1527941,$555.16,$562.97,$554.78
09/21/2023,$555.08,1688396,$564.07,$564.57,$554.28
09/20/2023,$563.83,1312150,$564.35,$569.2189,$562.66
09/19/2023,$564.35,1145422,$561.64,$565.33,$559.43
09/18/2023,$562.72,1003221,$558.18,$564.19,$557.465
09/15/2023,$556.36,2945317,$565.33,$565.51,$555.54
09/14/2023,$564.77,1257325,$564.81,$566.6993,$560.25
09/13/2023,$559.76,1162710,$558.30,$560.4439,$554.615
09/12/2023,$558.79,1055620,$559.28,$560.40,$556.18
09/11/2023,$558.78,1388639,$552.81,$559.39,$551.86
09/08/2023,$551.19,1077496,$549.07,$552.3799,$548.10
09/07/2023,$548.62,1340191,$548.65,$550.99,$544.285
09/06/2023,$546.69,1476602,$541.72,$548.68,$540.18
09/05/2023,$544.73,1714296,$545.73,$549.19,$544.00
09/01/2023,$544.25,1437729,$553.07,$553.48,$540.64
08/31/2023,$549.28,2086507,$540.00,$552.20,$540.00
08/30/2023,$542.26,1292815,$542.73,$544.4234,$539.31
08/29/2023,$542.77,1468521,$534.34,$543.07,$534.34
08/28/2023,$536.19,945776,$536.00,$537.04,$533.12
08/25/2023,$534.01,1511474,$532.91,$535.785,$530.56
08/24/2023,$531.71,1587505,$539.29,$541.00,$530.82
08/23/2023,$540.86,1295812,$538.96,$541.17,$536.24
08/22/2023,$538.37,1286150,$541.96,$541.96,$537.50
08/21/2023,$543.21,2076349,$543.86,$545.15,$536.30
08/18/2023,$544.94,1878090,$546.92,$549.47,$543.11
08/17/2023,$547.11,1941923,$559.47,$560.42,$545.08
08/16/2023,$559.05,1340290,$561.70,$564.95,$558.72
08/15/2023,$558.51,1124458,$561.05,$565.16,$558.20
08/14/2023,$561.47,1247567,$564.77,$567.71,$560.44
08/11/2023,$562.96,1043176,$560.35,$564.9999,$559.033
08/10/2023,$561.49,1107233,$563.20,$569.21,$560.70
08/09/2023,$559.70,1471780,$557.98,$562.09,$556.81
08/08/2023,$556.12,1020524,$558.00,$558.895,$551.84
08/07/2023,$558.41,1015378,$554.99,$559.56,$554.99
08/04/2023,$552.04,1141952,$561.07,$561.29,$551.41
08/03/2023,$557.69,1464010,$553.53,$560.35,$552.22
08/02/2023,$552.35,1636012,$552.26,$556.632,$551.0171
08/01/2023,$555.47,1446026,$560.63,$562.8799,$554.54
07/31/2023,$560.67,1366148,$563.00,$564.2908,$559.05
07/28/2023,$563.32,1371583,$564.58,$567.81,$562.62
07/27/2023,$561.83,1485269,$567.72,$571.16,$560.60
07/26/2023,$566.17,1306402,$565.51,$568.025,$563.42
07/25/2023,$565.19,1602739,$566.77,$567.549,$564.30
07/24/2023,$563.93,2087252,$558.00,$566.57,$555.875
07/21/2023,$557.86,5264337,$559.17,$562.05,$557.45
07/20/2023,$556.96,1732780,$553.81,$561.065,$553.71
07/19/2023,$554.11,1261093,$554.48,$555.886,$552.0201
07/18/2023,$553.59,1779168,$552.67,$555.00,$549.39
07/17/2023,$552.96,1910253,$546.18,$554.21,$546.10
07/14/2023,$546.70,1828704,$538.71,$546.86,$538.10
07/13/2023,$538.45,1647200,$537.80,$539.12,$532.785
07/12/2023,$538.00,1960548,$532.00,$540.11,$531.11
07/11/2023,$529.64,1262318,$527.50,$530.76,$526.1504
07/10/2023,$527.01,1955628,$525.06,$531.15,$525.06
07/07/2023,$525.05,2740555,$533.89,$536.46,$524.63
07/06/2023,$537.37,1752931,$538.88,$540.30,$536.58
07/05/2023,$541.13,1632415,$541.22,$546.05,$537.50
07/03/2023,$541.04,950547,$537.25,$541.08,$534.34
06/30/2023,$538.38,2222116,$534.17,$539.56,$533.63
06/29/2023,$531.69,1121756,$530.58,$532.4475,$528.95
06/28/2023,$532.80,1245157,$528.98,$533.49,$528.61
06/27/2023,$530.33,1673558,$522.65,$532.41,$522.10
06/26/2023,$523.42,1278456,$524.40,$524.87,$521.26
06/23/2023,$524.44,1434348,$523.13,$525.40,$519.34
06/22/2023,$524.20,1114175,$520.69,$524.68,$519.68
06/21/2023,$519.62,1273579,$517.91,$521.64,$516.54
06/20/2023,$519.70,1684741,$521.95,$522.90,$518.14
06/16/2023,$523.65,3147777,$530.10,$530.42,$522.63
06/15/2023,$529.18,1871610,$529.00,$531.26,$526.66
06/14/2023,$527.20,1841361,$525.00,$527.8541,$523.14
06/13/2023,$522.02,1204672,$522.02,$522.95,$517.91
06/12/2023,$520.97,1405065,$517.28,$521.27,$516.00
06/09/2023,$517.28,1287649,$518.19,$522.06,$515.50
06/08/2023,$520.09,1530979,$512.50,$520.2876,$512.50
06/07/2023,$511.23,1784661,$514.51,$519.29,$510.57
06/06/2023,$516.26,1410270,$518.25,$518.63,$512.76
06/05/2023,$518.25,2023528,$512.59,$518.915,$512.02
06/02/2023,$512.59,2284798,$510.32,$518.50,$509.40
06/01/2023,$512.60,2407734,$509.33,$513.74,$502.10
05/31/2023,$511.56,3320765,$508.86,$513.865,$504.95
05/30/2023,$508.03,2544804,$509.785,$514.795,$501.59
05/26/2023,$507.26,5302638,$485.65,$510.75,$484.12
05/25/2023,$486.55,3421937,$480.21,$488.5399,$476.75
05/24/2023,$482.76,1600596,$487.25,$487.25,$480.91
05/23/2023,$484.87,1800161,$487.17,$487.17,$482.97
05/22/2023,$491.87,1943758,$497.00,$497.00,$488.54
05/19/2023,$496.52,1635036,$499.39,$499.39,$493.92
05/18/2023,$498.10,2298859,$495.00,$498.60,$494.08
05/17/2023,$495.00,2069473,$498.00,$498.01,$491.895
05/16/2023,$496.15,1230357,$500.00,$500.29,$494.30
05/15/2023,$502.04,1135682,$504.01,$504.995,$498.86
05/12/2023,$504.07,1472794,$503.17,$506.03,$501.20
05/11/2023,$501.89,1046730,$499.51,$503.00,$497.55
