Date,Close/Last,Volume,Open,High,Low
03/22/2024,$57.41,4501606,$57.41,$57.59,$57.18
03/21/2024,$57.21,5824396,$57.325,$57.855,$57.19
03/20/2024,$56.90,3890011,$56.42,$56.945,$56.28
03/19/2024,$56.27,3694592,$56.37,$56.50,$56.01
03/18/2024,$56.09,3588948,$56.56,$56.77,$56.04
03/15/2024,$56.13,10434770,$56.45,$56.75,$56.00
03/14/2024,$56.42,8977663,$56.64,$56.96,$56.27
03/13/2024,$56.25,9044944,$55.10,$56.455,$54.98
03/12/2024,$55.19,5398991,$54.77,$55.41,$54.35
03/11/2024,$54.53,5446224,$54.96,$54.96,$53.71
03/08/2024,$54.96,4094668,$55.19,$55.83,$54.72
03/07/2024,$55.21,4261471,$55.14,$55.38,$54.94
03/06/2024,$54.62,5377733,$54.19,$54.84,$53.93
03/05/2024,$53.86,6521642,$54.09,$54.10,$53.575
03/04/2024,$54.10,4883397,$53.68,$54.35,$53.57
03/01/2024,$53.58,4814500,$53.03,$53.70,$52.67
02/29/2024,$53.15,8278884,$53.32,$53.38,$52.58
02/28/2024,$53.08,4917879,$52.65,$53.145,$52.30
02/27/2024,$52.92,5576341,$52.43,$52.995,$51.92
02/26/2024,$52.50,9658580,$51.06,$52.81,$50.9695
02/23/2024,$51.38,13718460,$48.94,$51.535,$48.5775
02/22/2024,$49.41,5448413,$49.62,$49.895,$49.27
02/21/2024,$48.89,3072323,$48.33,$49.02,$48.22
02/20/2024,$48.52,4557860,$49.03,$49.24,$48.475
02/16/2024,$48.96,3927250,$49.64,$49.77,$48.925
02/15/2024,$49.73,3618430,$49.34,$49.87,$49.04
02/14/2024,$49.22,3770572,$49.54,$49.745,$48.71
02/13/2024,$49.23,4968454,$49.744,$49.915,$48.795
02/12/2024,$50.48,2710570,$50.74,$50.86,$50.29
02/09/2024,$50.91,3139133,$50.97,$51.145,$50.65
02/08/2024,$50.96,2219474,$50.80,$51.07,$50.59
02/07/2024,$50.85,3795368,$50.85,$51.265,$50.58
02/06/2024,$50.48,3132224,$50.12,$50.50,$49.76
02/05/2024,$49.99,4520421,$49.998,$50.1475,$49.40
02/02/2024,$50.03,4074209,$49.20,$50.24,$48.92
02/01/2024,$49.20,3162544,$48.29,$49.225,$48.06
01/31/2024,$48.04,4018865,$48.75,$49.0147,$47.92
01/30/2024,$48.95,3275170,$48.43,$48.99,$48.38
01/29/2024,$48.66,3513073,$47.84,$48.665,$47.73
01/26/2024,$48.06,6238964,$49.00,$49.03,$47.74
01/25/2024,$48.99,3505080,$48.96,$49.14,$48.45
01/24/2024,$48.65,4684482,$49.80,$49.88,$48.55
01/23/2024,$49.53,3703389,$49.41,$49.59,$49.0045
01/22/2024,$49.49,3601001,$49.005,$49.549,$49.00
01/19/2024,$48.70,4068729,$48.29,$48.85,$48.215
01/18/2024,$48.17,3551305,$47.78,$48.20,$47.51
01/17/2024,$47.75,3457518,$47.73,$47.99,$47.31
01/16/2024,$47.90,3756431,$47.39,$47.91,$47.36
01/12/2024,$47.57,3672328,$47.97,$47.97,$47.38
01/11/2024,$47.82,2965656,$48.00,$48.16,$47.185
01/10/2024,$47.93,7418939,$47.43,$47.98,$47.275
01/09/2024,$47.28,5236110,$46.87,$47.51,$46.82
01/08/2024,$47.34,3691985,$46.485,$47.39,$46.485
01/05/2024,$46.55,3037058,$46.55,$46.7096,$46.21
01/04/2024,$46.64,3840891,$46.72,$47.16,$46.635
01/03/2024,$46.83,4483303,$47.26,$47.36,$46.78
01/02/2024,$47.51,5203156,$48.80,$49.01,$47.27
12/29/2023,$49.00,5129849,$49.00,$49.08,$48.60
12/28/2023,$48.91,1530572,$49.07,$49.18,$48.76
12/27/2023,$48.88,1901631,$49.00,$49.09,$48.68
12/26/2023,$49.00,2491410,$49.01,$49.15,$48.5901
12/22/2023,$48.81,2702535,$48.51,$48.865,$48.40
12/21/2023,$48.41,4002289,$48.18,$48.515,$47.90
12/20/2023,$47.91,4060814,$48.59,$48.965,$47.89
12/19/2023,$48.56,4432235,$48.84,$49.015,$48.385
12/18/2023,$48.73,4495289,$49.37,$49.695,$48.44
12/15/2023,$48.91,10750500,$49.22,$49.36,$48.60
12/14/2023,$49.16,5391303,$50.22,$50.22,$48.85
12/13/2023,$49.87,5005072,$49.54,$50.02,$49.265
12/12/2023,$49.37,3966543,$49.06,$49.465,$48.665
12/11/2023,$49.01,6345155,$47.885,$49.19,$47.84
12/08/2023,$47.39,4750475,$47.21,$47.63,$47.08
