Date,Close/Last,Volume,Open,High,Low
03/22/2024,$327.58,2601709,$327.73,$328.39,$319.55
03/21/2024,$329.46,3253370,$325.89,$333.23,$322.05
03/20/2024,$326.87,2528767,$321.00,$328.47,$318.0625
03/19/2024,$320.86,2933639,$318.15,$321.48,$310.22
03/18/2024,$321.06,2736585,$319.03,$322.37,$315.90
03/15/2024,$315.65,4483098,$325.58,$327.39,$315.60
03/14/2024,$328.59,2776837,$333.00,$337.78,$325.475
03/13/2024,$332.17,2730946,$329.73,$334.825,$325.50
03/12/2024,$329.27,4156542,$318.61,$333.81,$317.37
03/11/2024,$317.37,3292004,$319.15,$323.50,$316.00
03/08/2024,$322.85,6021347,$331.00,$341.74,$322.41
03/07/2024,$329.68,9729496,$329.75,$331.85,$315.21
03/06/2024,$329.57,23050860,$360.05,$365.00,$324.01
03/05/2024,$297.56,13249340,$307.53,$308.50,$289.80
03/04/2024,$313.81,4796556,$317.33,$317.99,$311.29
03/01/2024,$314.60,5837437,$319.25,$319.72,$309.1201
02/29/2024,$324.15,3812125,$324.91,$328.98,$321.07
02/28/2024,$320.94,2072571,$318.86,$321.69,$314.55
02/27/2024,$321.21,2790368,$323.40,$329.09,$320.71
02/26/2024,$321.03,3884946,$313.16,$323.3138,$309.49
02/23/2024,$311.49,2965240,$313.78,$317.00,$308.58
02/22/2024,$310.91,4797892,$304.93,$313.6599,$297.00
02/21/2024,$292.36,9067401,$283.03,$294.599,$273.16
02/20/2024,$323.71,4136727,$327.00,$327.00,$315.07
02/16/2024,$329.24,2123905,$331.79,$332.37,$325.1301
02/15/2024,$331.38,2919881,$337.50,$338.4531,$327.1127
02/14/2024,$334.55,2394933,$327.76,$334.90,$326.56
02/13/2024,$322.44,4531372,$307.54,$326.3399,$302.00
02/12/2024,$321.29,3414141,$329.70,$330.6675,$320.63
02/09/2024,$329.34,3870002,$330.00,$336.99,$326.43
02/08/2024,$323.04,2531147,$316.71,$323.929,$314.0296
02/07/2024,$317.78,4017353,$307.73,$321.07,$306.71
02/06/2024,$302.11,2087639,$305.37,$307.77,$295.31
02/05/2024,$302.49,2481279,$305.00,$307.7659,$295.57
02/02/2024,$303.57,2374546,$299.75,$305.21,$296.71
02/01/2024,$299.37,1853575,$296.14,$299.90,$294.17
01/31/2024,$292.50,2494130,$298.00,$300.115,$290.89
01/30/2024,$301.35,2147356,$301.00,$302.615,$298.40
01/29/2024,$300.67,3131456,$294.00,$300.70,$293.75
01/26/2024,$290.31,2811484,$290.49,$293.7499,$286.75
01/25/2024,$293.46,4332878,$305.61,$306.30,$290.79
01/24/2024,$300.28,4454182,$300.58,$307.55,$298.54
01/23/2024,$297.27,2989274,$298.17,$299.70,$291.705
01/22/2024,$298.66,4229365,$300.48,$302.00,$295.37
01/19/2024,$290.54,3011195,$285.00,$290.85,$283.80
01/18/2024,$283.11,2705868,$281.67,$284.4602,$279.1698
01/17/2024,$276.27,4419699,$279.54,$283.23,$272.7986
01/16/2024,$286.29,2690815,$279.39,$287.20,$279.06
01/12/2024,$283.35,2534430,$287.00,$290.33,$282.51
01/11/2024,$284.52,3460716,$284.00,$287.76,$280.3501
01/10/2024,$282.04,4673987,$274.87,$282.315,$274.87
01/09/2024,$273.77,6066917,$265.695,$276.56,$264.99
01/08/2024,$261.28,4009166,$251.90,$261.6388,$251.56
01/05/2024,$247.46,2407480,$245.00,$249.48,$244.65
01/04/2024,$245.65,2102955,$246.00,$247.61,$243.64
01/03/2024,$244.36,3157582,$240.32,$248.831,$238.6102
01/02/2024,$246.89,3756799,$251.47,$252.29,$243.03
12/29/2023,$255.32,1858884,$255.83,$257.18,$251.88
12/28/2023,$256.13,1025554,$257.41,$257.42,$255.11
12/27/2023,$257.32,1553039,$258.265,$259.54,$255.73
12/26/2023,$257.87,1814413,$254.83,$258.24,$253.5829
12/22/2023,$255.63,1801749,$256.97,$256.97,$253.76
12/21/2023,$257.32,3178049,$254.25,$257.71,$250.61
12/20/2023,$253.95,2247840,$255.90,$259.57,$253.63
12/19/2023,$258.33,2783007,$260.12,$260.77,$256.24
12/18/2023,$259.80,2846824,$260.17,$261.81,$257.34
