Date,Close/Last,Volume,Open,High,Low
03/22/2024,$95.72,1832799,$97.73,$97.73,$95.565
03/21/2024,$97.73,1932053,$97.26,$97.91,$95.72
03/20/2024,$96.31,2254716,$95.03,$96.88,$94.0901
03/19/2024,$94.10,3071053,$96.36,$97.20,$93.95
03/18/2024,$96.15,5415428,$96.33,$100.38,$95.80
03/15/2024,$95.18,9555135,$87.52,$95.83,$87.52
03/14/2024,$87.87,2247041,$88.55,$88.57,$86.535
03/13/2024,$87.81,1607684,$87.58,$88.79,$87.16
03/12/2024,$87.13,1529975,$86.52,$87.43,$86.035
03/11/2024,$86.81,1637028,$86.34,$87.06,$85.85
03/08/2024,$86.11,2090443,$85.78,$86.92,$85.42
03/07/2024,$85.35,2385861,$88.34,$88.61,$84.93
03/06/2024,$87.68,1831702,$87.21,$87.93,$86.65
03/05/2024,$87.35,2521758,$88.75,$88.75,$86.615
03/04/2024,$88.59,1552858,$88.37,$89.37,$86.97
03/01/2024,$88.27,1902994,$87.03,$88.47,$86.085
02/29/2024,$87.03,2751327,$86.10,$87.49,$85.86
02/28/2024,$86.35,1756583,$84.24,$86.55,$84.24
02/27/2024,$84.89,1755260,$84.01,$86.03,$83.89
02/26/2024,$83.98,1749305,$84.48,$85.39,$83.49
02/23/2024,$84.79,3182748,$82.82,$85.38,$82.75
02/22/2024,$82.47,4683831,$84.37,$86.745,$81.62
02/21/2024,$83.98,5361723,$82.73,$84.07,$81.29
02/20/2024,$81.24,3054262,$81.06,$81.31,$79.82
02/16/2024,$81.40,1720300,$82.29,$82.47,$81.32
02/15/2024,$82.96,1663600,$82.84,$83.76,$82.57
02/14/2024,$82.32,1673944,$82.00,$82.68,$81.34
02/13/2024,$81.64,2890503,$81.59,$81.73,$80.02
02/12/2024,$82.88,2145870,$83.13,$84.28,$82.83
02/09/2024,$83.13,4207958,$82.08,$83.46,$80.51
02/08/2024,$81.77,2245325,$84.84,$85.308,$81.28
02/07/2024,$85.13,2024563,$84.58,$85.73,$83.92
02/06/2024,$83.88,1456795,$81.87,$83.92,$81.82
02/05/2024,$81.76,1778012,$83.25,$83.25,$80.175
02/02/2024,$83.94,2197000,$83.72,$84.44,$82.64
02/01/2024,$84.60,1694944,$83.88,$85.06,$82.89
01/31/2024,$83.48,1946622,$85.21,$85.77,$83.34
01/30/2024,$85.24,998413,$85.56,$86.18,$85.00
01/29/2024,$86.29,1572319,$84.72,$86.30,$84.66
01/26/2024,$85.09,1299674,$84.98,$85.68,$84.65
01/25/2024,$84.61,1357657,$84.50,$85.28,$84.07
01/24/2024,$83.76,1436734,$84.70,$84.73,$83.68
01/23/2024,$83.86,1363647,$83.71,$84.05,$82.63
01/22/2024,$83.29,1499588,$82.90,$84.62,$82.76
01/19/2024,$82.33,3414791,$82.16,$83.00,$81.46
01/18/2024,$81.83,1743073,$81.81,$82.34,$81.30
01/17/2024,$81.69,1546855,$80.81,$81.81,$80.17
01/16/2024,$81.76,1655292,$82.475,$82.65,$81.30
01/12/2024,$83.40,1261879,$83.03,$83.6195,$82.43
01/11/2024,$82.11,1749120,$82.47,$82.75,$81.00
01/10/2024,$82.71,1477616,$83.24,$83.49,$82.28
01/09/2024,$83.72,1536062,$82.00,$84.255,$81.70
01/08/2024,$82.90,1644382,$82.30,$82.97,$81.27
01/05/2024,$81.34,1471008,$81.12,$81.88,$80.4831
01/04/2024,$81.42,1916753,$82.37,$82.96,$81.31
01/03/2024,$82.77,1984639,$85.25,$85.25,$82.72
01/02/2024,$85.46,1974867,$86.87,$86.87,$84.24
12/29/2023,$87.39,1163995,$87.61,$88.09,$87.02
12/28/2023,$88.01,1133481,$87.82,$88.21,$87.45
12/27/2023,$87.58,1698240,$87.56,$87.58,$86.66
12/26/2023,$87.53,1058507,$87.65,$87.84,$87.12
12/22/2023,$87.47,1547147,$87.39,$87.80,$86.59
12/21/2023,$87.07,1278559,$87.44,$87.70,$86.47
12/20/2023,$86.50,2044210,$88.06,$88.265,$86.44
12/19/2023,$88.02,1819358,$88.86,$89.06,$87.59
12/18/2023,$88.245,1364941,$88.80,$89.105,$87.43
12/15/2023,$87.57,5078206,$88.33,$88.615,$86.775
12/14/2023,$88.25,3511163,$87.15,$89.07,$86.73
