Date,Close/Last,Volume,Open,High,Low
03/22/2024,$37.35,10437200,$37.97,$38.03,$37.335
03/21/2024,$37.87,10512500,$37.82,$37.88,$37.46
03/20/2024,$37.61,13891880,$36.94,$37.68,$36.79
03/19/2024,$36.98,14900350,$37.32,$37.44,$36.865
03/18/2024,$37.31,9414095,$37.00,$37.33,$36.91
03/15/2024,$36.97,17757970,$37.12,$37.365,$36.92
03/14/2024,$37.03,13671040,$37.86,$37.86,$36.70
03/13/2024,$37.78,12440910,$37.86,$37.925,$37.50
03/12/2024,$37.82,10346930,$37.925,$38.14,$37.71
03/11/2024,$38.04,5975402,$38.24,$38.35,$37.85
03/08/2024,$38.19,7684456,$37.94,$38.33,$37.89
03/07/2024,$37.92,8116238,$38.41,$38.46,$37.87
03/06/2024,$38.09,8585972,$38.21,$38.5075,$38.04
03/05/2024,$38.25,11336890,$38.44,$38.61,$38.08
03/04/2024,$38.38,7901456,$38.17,$38.395,$38.0925
03/01/2024,$38.23,7890967,$37.79,$38.25,$37.63
02/29/2024,$37.94,14362680,$37.86,$38.10,$37.73
02/28/2024,$37.68,10889970,$37.84,$38.10,$37.655
02/27/2024,$37.96,8876763,$38.20,$38.23,$37.795
02/26/2024,$38.18,13371170,$38.27,$38.70,$38.15
02/23/2024,$38.33,26652720,$37.94,$40.12,$37.86
02/22/2024,$37.89,17846500,$37.21,$38.03,$37.09
02/21/2024,$37.10,10010100,$37.00,$37.155,$36.83
02/20/2024,$36.86,14300470,$36.76,$36.92,$36.45
02/16/2024,$36.72,12668430,$36.89,$37.02,$36.645
02/15/2024,$37.00,9581408,$37.178,$37.39,$36.885
02/14/2024,$37.00,8318356,$36.63,$37.06,$36.5875
02/13/2024,$36.61,11241600,$36.77,$36.835,$36.345
02/12/2024,$36.87,11684720,$36.79,$36.93,$36.42
02/09/2024,$36.89,9439225,$37.12,$37.22,$36.74
02/08/2024,$37.07,8489062,$37.06,$37.145,$36.72
02/07/2024,$36.99,9536072,$37.20,$37.37,$36.99
02/06/2024,$37.02,9139148,$36.83,$37.15,$36.65
02/05/2024,$36.73,11621720,$36.23,$36.93,$36.20
02/02/2024,$36.53,13400780,$36.24,$36.75,$36.07
02/01/2024,$36.28,13146720,$35.75,$36.28,$35.64
01/31/2024,$35.70,15551050,$35.96,$36.12,$35.655
01/30/2024,$35.85,13619160,$35.30,$35.995,$35.27
01/29/2024,$35.59,11223900,$35.18,$35.63,$35.05
01/26/2024,$35.39,21484730,$35.07,$35.4975,$34.815
01/25/2024,$35.00,19979360,$34.52,$35.01,$33.45
01/24/2024,$34.39,17803440,$35.00,$35.00,$34.33
01/23/2024,$34.89,10098700,$34.77,$34.94,$34.595
01/22/2024,$34.75,15175190,$34.69,$34.98,$34.505
01/19/2024,$34.55,18313440,$34.42,$34.77,$34.315
01/18/2024,$34.45,17670860,$34.37,$34.59,$34.21
01/17/2024,$34.39,10484580,$34.40,$34.55,$34.18
01/16/2024,$34.74,9755417,$34.78,$34.96,$34.57
01/12/2024,$34.86,5727483,$34.72,$34.89,$34.475
01/11/2024,$34.57,7752009,$34.66,$34.66,$34.25
01/10/2024,$34.70,6448021,$34.62,$34.75,$34.51
01/09/2024,$34.61,7855281,$34.37,$34.64,$34.2337
01/08/2024,$34.69,8977677,$34.74,$34.765,$34.40
01/05/2024,$34.62,7118852,$34.67,$34.915,$34.565
01/04/2024,$34.72,9283370,$34.59,$34.975,$34.50
01/03/2024,$34.66,10827260,$34.64,$34.92,$34.52
01/02/2024,$34.62,9285276,$34.64,$34.975,$34.45
12/29/2023,$34.67,6712075,$34.69,$34.78,$34.55
12/28/2023,$34.74,4795134,$34.72,$34.82,$34.6001
12/27/2023,$34.65,9632229,$34.765,$34.89,$34.565
12/26/2023,$34.95,6058566,$34.63,$35.09,$34.57
12/22/2023,$34.63,6262838,$34.55,$34.81,$34.53
12/21/2023,$34.46,9828791,$34.44,$34.49,$34.195
12/20/2023,$34.36,9863969,$34.31,$34.835,$34.22
12/19/2023,$34.58,9939906,$34.31,$34.61,$34.19
12/18/2023,$34.33,10947770,$34.18,$34.55,$34.12
12/15/2023,$34.00,32750550,$33.76,$34.08,$33.55
12/14/2023,$33.84,17306150,$33.52,$34.04,$33.41
12/13/2023,$33.24,19160690,$33.17,$33.34,$32.775
12/12/2023,$33.22,9729104,$33.39,$33.435,$33.135
12/11/2023,$33.20,11108910,$33.24,$33.32,$33.11
12/08/2023,$32.96,15756850,$33.45,$33.49,$32.93
12/07/2023,$33.50,10666580,$33.73,$33.80,$33.44
12/06/2023,$33.52,10669660,$33.52,$33.57,$33.23
12/05/2023,$33.29,7736011,$33.45,$33.45,$33.13
12/04/2023,$33.66,16935740,$33.31,$33.83,$33.27
12/01/2023,$33.40,12861600,$32.41,$33.43,$32.37
11/30/2023,$32.30,17186820,$31.76,$32.33,$31.72
11/29/2023,$31.73,9414131,$32.09,$32.16,$31.645
11/28/2023,$32.05,11123170,$31.91,$32.275,$31.875
11/27/2023,$31.94,9971787,$32.52,$32.5468,$31.915
11/24/2023,$32.64,7221878,$32.54,$32.64,$32.38
11/22/2023,$32.55,13128620,$32.43,$32.61,$32.26
11/21/2023,$32.25,14009600,$32.10,$32.33,$31.93
11/20/2023,$32.06,13216000,$31.50,$32.12,$31.445
11/17/2023,$31.62,13336920,$31.44,$31.76,$31.435
11/16/2023,$31.33,13475090,$31.18,$31.39,$30.86
11/15/2023,$30.99,14571850,$31.11,$31.32,$30.89
11/14/2023,$31.11,13300620,$30.94,$31.38,$30.94
11/13/2023,$30.45,10154870,$30.59,$30.67,$30.30
11/10/2023,$30.70,11374220,$30.39,$30.78,$30.225
11/09/2023,$30.17,9203536,$30.44,$30.52,$30.125
11/08/2023,$30.37,7847137,$30.46,$30.59,$30.20
11/07/2023,$30.35,11292010,$30.20,$30.38,$30.005
11/06/2023,$30.38,8744582,$30.42,$30.58,$30.15
11/03/2023,$30.40,9469206,$30.55,$30.69,$30.27
11/02/2023,$30.39,16593260,$29.80,$30.48,$29.64
11/01/2023,$29.57,16273450,$29.85,$29.99,$29.375
10/31/2023,$29.85,11067760,$29.38,$29.94,$29.28
10/30/2023,$29.40,10692730,$29.39,$29.56,$29.26
10/27/2023,$29.24,14364060,$29.57,$29.69,$29.03
10/26/2023,$29.59,14729630,$29.52,$30.10,$29.52
10/25/2023,$29.60,15522980,$29.51,$29.80,$29.05
10/24/2023,$29.68,14734500,$30.27,$30.41,$29.56
10/23/2023,$30.16,11479820,$30.71,$30.95,$30.14
10/20/2023,$30.76,21527110,$31.23,$31.50,$30.395
10/19/2023,$30.54,22045620,$30.895,$31.16,$30.49
10/18/2023,$30.67,14342220,$31.06,$31.095,$30.63
10/17/2023,$31.37,8664682,$31.41,$31.645,$31.225
10/16/2023,$31.41,11420170,$31.33,$31.71,$31.2949
10/13/2023,$31.14,9054076,$31.10,$31.565,$31.05
10/12/2023,$31.16,12984910,$31.66,$31.68,$30.795
10/11/2023,$31.61,10968270,$31.93,$32.00,$31.435
10/10/2023,$31.54,11805530,$31.18,$31.57,$31.145
10/09/2023,$31.08,11418400,$30.76,$31.175,$30.725
10/06/2023,$30.91,11781900,$30.23,$31.11,$30.13
10/05/2023,$30.41,13856990,$30.84,$30.87,$30.23
10/04/2023,$30.85,11907680,$30.79,$30.965,$30.465
10/03/2023,$30.77,17736920,$30.42,$30.96,$30.33
10/02/2023,$30.54,16786120,$30.60,$30.69,$30.155
09/29/2023,$30.75,15052380,$30.99,$31.17,$30.70
09/28/2023,$30.57,12098860,$30.28,$30.82,$30.22
09/27/2023,$30.28,13493090,$30.66,$30.70,$30.025
09/26/2023,$30.62,9247073,$31.04,$31.05,$30.58
09/25/2023,$31.15,8789047,$31.05,$31.33,$30.96
09/22/2023,$31.20,16176620,$31.00,$31.51,$30.97
09/21/2023,$31.02,15185440,$31.14,$31.385,$30.96
09/20/2023,$31.31,13149990,$31.22,$31.5678,$31.17
09/19/2023,$30.91,15039810,$31.02,$31.10,$30.44
09/18/2023,$31.10,13835320,$30.98,$31.25,$30.73
09/15/2023,$30.85,25501240,$31.05,$31.20,$30.68
09/14/2023,$31.04,12407360,$30.80,$31.19,$30.69
09/13/2023,$30.50,11156820,$30.60,$30.66,$30.08
