Date,Close/Last,Volume,Open,High,Low
03/22/2024,$639.39,300549,$644.48,$644.48,$636.75
03/21/2024,$642.16,301941,$638.35,$644.955,$636.44
03/20/2024,$634.99,272024,$627.30,$636.47,$627.30
03/19/2024,$627.67,356608,$626.07,$628.22,$623.56
03/18/2024,$624.96,355914,$631.19,$633.29,$624.45
03/15/2024,$627.38,688229,$628.61,$630.195,$623.39
03/14/2024,$629.70,324499,$626.21,$631.3355,$622.05
03/13/2024,$623.28,471522,$626.28,$626.28,$619.30
03/12/2024,$626.70,259979,$622.40,$627.96,$620.88
03/11/2024,$624.45,203154,$627.42,$627.745,$616.62
03/08/2024,$625.37,303345,$627.63,$630.00,$623.72
03/07/2024,$628.38,255603,$630.25,$632.03,$627.2243
03/06/2024,$625.80,327276,$627.12,$630.66,$624.02
03/05/2024,$625.39,330200,$627.12,$628.68,$621.17
03/04/2024,$629.24,223265,$629.46,$631.84,$627.45
03/01/2024,$628.36,296600,$620.18,$630.625,$619.93
02/29/2024,$628.61,403351,$633.00,$633.00,$627.2301
02/28/2024,$630.72,211590,$629.49,$632.37,$627.75
02/27/2024,$628.15,273688,$631.57,$631.57,$626.52
02/26/2024,$633.94,444525,$632.19,$636.37,$631.28
02/23/2024,$633.10,177994,$627.95,$634.30,$627.95
02/22/2024,$627.10,339780,$622.73,$628.61,$622.73
02/21/2024,$618.66,309009,$617.23,$619.13,$613.78
02/20/2024,$614.64,423535,$614.68,$619.18,$611.07
02/16/2024,$614.66,339680,$620.89,$621.78,$612.74
02/15/2024,$621.02,303511,$616.09,$621.93,$613.47
02/14/2024,$612.67,356801,$606.47,$613.19,$603.77
02/13/2024,$605.96,444291,$611.00,$611.85,$602.80
02/12/2024,$613.69,289328,$617.00,$617.22,$611.915
02/09/2024,$618.22,280862,$618.93,$620.345,$614.07
02/08/2024,$617.16,428995,$620.50,$621.97,$615.96
02/07/2024,$621.62,272383,$622.10,$626.18,$620.59
02/06/2024,$617.89,335587,$618.01,$619.915,$614.47
02/05/2024,$615.62,355915,$616.86,$617.075,$611.14
02/02/2024,$619.30,337264,$616.31,$622.63,$611.9601
02/01/2024,$617.54,371609,$606.74,$618.39,$603.83
01/31/2024,$604.57,643888,$609.00,$611.69,$601.91
01/30/2024,$608.81,302344,$598.80,$609.08,$598.80
01/29/2024,$602.00,317570,$595.49,$604.61,$595.49
01/26/2024,$597.81,171430,$601.34,$601.34,$595.00
01/25/2024,$598.51,270080,$598.86,$601.72,$595.02
01/24/2024,$597.95,343093,$605.03,$606.36,$597.135
01/23/2024,$603.67,216037,$604.57,$607.13,$599.53
01/22/2024,$601.53,241843,$603.26,$603.99,$600.20
01/19/2024,$599.05,314988,$594.26,$600.58,$591.60
01/18/2024,$592.62,270589,$588.89,$593.88,$586.535
01/17/2024,$588.89,280642,$585.91,$589.71,$585.17
01/16/2024,$588.57,304519,$591.18,$593.305,$586.06
01/12/2024,$593.00,228631,$591.08,$593.345,$587.77
01/11/2024,$588.25,279298,$588.16,$588.905,$583.63
01/10/2024,$587.02,234532,$584.07,$587.47,$581.645
01/09/2024,$584.51,213936,$578.56,$584.65,$576.535
01/08/2024,$584.13,425849,$578.03,$584.72,$575.93
01/05/2024,$577.26,290210,$582.38,$584.47,$574.55
01/04/2024,$582.38,322897,$579.50,$587.40,$579.50
01/03/2024,$580.28,382717,$591.66,$593.19,$579.56
01/02/2024,$591.91,389013,$600.88,$603.57,$588.06
12/29/2023,$602.66,284063,$600.24,$604.47,$599.65
12/28/2023,$601.09,293848,$604.04,$607.19,$601.03
12/27/2023,$606.21,266387,$601.90,$607.79,$601.90
12/26/2023,$602.43,321989,$596.95,$603.80,$595.81
12/22/2023,$595.24,468277,$592.16,$597.74,$590.50
12/21/2023,$589.95,670771,$577.00,$591.26,$568.71
12/20/2023,$553.66,521991,$559.39,$563.10,$553.55
12/19/2023,$560.29,361308,$561.37,$564.01,$559.41
12/18/2023,$560.66,372368,$565.99,$565.99,$560.37
12/15/2023,$558.71,1130421,$562.25,$566.875,$557.60
12/14/2023,$563.42,613221,$576.47,$576.47,$562.075
12/13/2023,$574.90,388597,$567.56,$576.58,$564.56
12/12/2023,$564.52,336374,$562.01,$564.61,$556.71
12/11/2023,$559.60,409090,$556.46,$563.33,$554.84
12/08/2023,$553.33,328790,$549.46,$554.09,$548.60
12/07/2023,$553.75,628411,$552.93,$555.51,$547.48
12/06/2023,$550.93,267574,$554.95,$556.82,$548.2375
12/05/2023,$551.08,285180,$551.52,$553.945,$547.80
12/04/2023,$555.05,303578,$553.06,$557.79,$551.64
12/01/2023,$558.25,278874,$553.25,$559.06,$553.11
11/30/2023,$553.25,424991,$550.55,$553.89,$547.54
11/29/2023,$549.08,300505,$556.07,$556.07,$548.16
11/28/2023,$554.35,277203,$554.90,$559.94,$552.73
11/27/2023,$554.76,215932,$555.48,$558.45,$554.41
11/24/2023,$554.90,114129,$550.96,$556.06,$547.52
11/22/2023,$554.82,206397,$556.00,$559.01,$553.77
11/21/2023,$553.24,263203,$551.55,$555.06,$550.665
11/20/2023,$550.84,293656,$548.02,$552.95,$546.01
11/17/2023,$547.97,344269,$555.98,$556.8699,$547.43
11/16/2023,$553.44,492807,$549.48,$557.08,$546.73
11/15/2023,$547.24,526826,$548.92,$551.5797,$546.35
11/14/2023,$546.54,390920,$543.83,$548.26,$540.26
11/13/2023,$536.27,238181,$532.90,$537.595,$530.60
11/10/2023,$533.48,310953,$529.76,$534.07,$525.46
11/09/2023,$526.33,241883,$528.63,$530.68,$524.96
11/08/2023,$527.21,288790,$527.56,$528.96,$524.055
11/07/2023,$526.26,609042,$519.84,$528.22,$516.61
11/06/2023,$518.71,277607,$520.59,$520.93,$515.69
11/03/2023,$518.45,293665,$514.00,$520.97,$513.5406
11/02/2023,$511.09,478013,$509.51,$514.23,$506.955
11/01/2023,$509.00,327524,$508.72,$511.90,$504.655
10/31/2023,$507.12,349453,$502.97,$508.84,$502.485
10/30/2023,$502.81,302781,$500.00,$505.03,$496.292
10/27/2023,$496.41,464631,$499.42,$499.91,$494.585
10/26/2023,$498.62,411486,$501.03,$506.37,$498.50
10/25/2023,$501.51,387080,$503.83,$508.17,$500.72
10/24/2023,$505.82,385187,$501.14,$506.55,$499.30
10/23/2023,$499.48,273176,$498.88,$503.65,$498.88
10/20/2023,$498.19,406554,$503.14,$503.84,$497.15
10/19/2023,$502.82,312170,$508.80,$510.15,$500.775
10/18/2023,$508.19,250614,$514.21,$514.47,$507.57
10/17/2023,$514.27,327112,$516.68,$516.68,$511.20
10/16/2023,$516.68,283774,$517.83,$520.94,$514.945
10/13/2023,$512.63,262166,$517.60,$518.79,$510.97
10/12/2023,$514.99,509783,$519.18,$525.37,$511.26
10/11/2023,$512.51,353696,$507.13,$513.48,$507.13
10/10/2023,$506.64,498260,$502.62,$509.65,$498.99
10/09/2023,$502.22,383974,$491.50,$502.46,$490.40
10/06/2023,$493.26,613118,$480.03,$495.37,$479.99
10/05/2023,$481.85,301671,$484.00,$484.47,$479.42
10/04/2023,$483.94,346466,$482.28,$486.68,$479.93
10/03/2023,$480.87,486566,$481.88,$486.39,$478.9001
10/02/2023,$484.87,499291,$480.80,$485.70,$478.76
09/29/2023,$481.01,499805,$485.40,$488.5201,$480.32
09/28/2023,$483.89,565027,$481.19,$488.969,$480.17
09/27/2023,$481.08,718494,$481.92,$484.76,$474.74
09/26/2023,$478.87,859340,$499.85,$503.92,$478.55
09/25/2023,$505.52,317718,$502.89,$505.76,$502.00
09/22/2023,$504.75,391405,$504.93,$509.99,$504.195
09/21/2023,$504.43,366343,$512.90,$512.97,$504.35
09/20/2023,$514.53,223890,$517.52,$522.29,$514.26
09/19/2023,$515.24,272409,$514.14,$516.17,$511.54
09/18/2023,$514.73,263950,$514.44,$517.465,$513.655
09/15/2023,$515.08,841890,$524.35,$524.76,$514.67
09/14/2023,$523.38,460362,$518.06,$524.56,$517.87
09/13/2023,$514.79,343877,$511.50,$515.15,$507.75
09/12/2023,$511.79,456787,$503.16,$512.14,$500.00
09/11/2023,$497.85,355819,$494.80,$498.22,$494.69
09/08/2023,$495.13,245456,$498.83,$499.7375,$494.255
09/07/2023,$497.50,344170,$495.92,$499.42,$493.80
09/06/2023,$495.73,223632,$495.52,$499.11,$494.22
09/05/2023,$496.74,238434,$503.34,$504.60,$496.55
09/01/2023,$505.26,173545,$508.54,$508.54,$503.22
08/31/2023,$504.17,351634,$504.53,$507.765,$504.02
08/30/2023,$505.99,383068,$503.09,$507.26,$503.09
08/29/2023,$502.34,263607,$498.00,$502.99,$497.306
08/28/2023,$499.09,314302,$496.64,$500.45,$495.7035
08/25/2023,$496.01,287300,$489.60,$497.18,$489.00
08/24/2023,$487.90,252071,$491.92,$495.97,$487.45
08/23/2023,$491.22,272948,$488.60,$491.75,$486.23
08/22/2023,$485.61,201356,$485.41,$487.19,$484.1401
08/21/2023,$486.02,248698,$485.59,$487.92,$482.46
08/18/2023,$485.44,652992,$483.51,$487.38,$481.49
08/17/2023,$483.92,370602,$489.71,$492.345,$483.54
08/16/2023,$490.27,348218,$489.82,$497.07,$489.21
08/15/2023,$488.66,244782,$490.31,$491.88,$487.985
08/14/2023,$493.45,280742,$489.18,$494.05,$488.01
08/11/2023,$490.01,272541,$490.00,$491.85,$488.42
08/10/2023,$490.16,228601,$492.84,$497.195,$489.145
08/09/2023,$492.17,287892,$490.65,$494.80,$490.65
08/08/2023,$490.71,317366,$492.80,$494.50,$486.70
08/07/2023,$494.39,289615,$493.01,$497.00,$491.56
08/04/2023,$490.09,309765,$498.63,$498.63,$489.59
08/03/2023,$496.91,274666,$497.77,$500.20,$495.85
08/02/2023,$499.56,384835,$497.97,$502.02,$497.38
08/01/2023,$503.75,371714,$502.64,$505.79,$500.00
07/31/2023,$502.04,442300,$503.93,$504.13,$500.21
07/28/2023,$502.64,442333,$509.50,$509.50,$500.905
07/27/2023,$504.55,533526,$516.26,$517.94,$504.19
07/26/2023,$516.52,312366,$515.01,$518.71,$513.05
07/25/2023,$516.45,596619,$509.86,$517.26,$508.04
07/24/2023,$510.57,467313,$504.88,$511.395,$504.35
07/21/2023,$507.42,1827239,$510.98,$514.305,$507.08
07/20/2023,$507.08,480481,$506.00,$509.81,$503.29
07/19/2023,$504.06,572132,$501.59,$504.38,$497.57
07/18/2023,$503.73,450597,$503.49,$506.195,$501.27
