Date,Close/Last,Volume,Open,High,Low
03/22/2024,$71.90,5802299,$72.61,$72.62,$71.595
03/21/2024,$72.58,7625115,$73.48,$75.70,$72.41
03/20/2024,$75.15,6438605,$74.47,$75.40,$73.93
03/19/2024,$74.65,7622527,$74.83,$75.37,$74.53
03/18/2024,$75.09,11544250,$75.87,$76.07,$75.01
03/15/2024,$75.33,6883398,$76.25,$76.57,$75.13
03/14/2024,$76.35,3635541,$76.95,$77.14,$75.88
03/13/2024,$77.02,4120929,$77.14,$77.37,$76.76
03/12/2024,$77.09,2575871,$76.90,$77.42,$76.73
03/11/2024,$76.96,3015575,$76.85,$77.31,$76.46
03/08/2024,$76.77,5061531,$77.19,$77.525,$76.59
03/07/2024,$77.46,4783778,$77.05,$77.959,$77.05
03/06/2024,$76.69,6748864,$78.55,$78.95,$76.38
03/05/2024,$77.78,4556137,$78.63,$78.98,$77.54
03/04/2024,$79.08,7359988,$78.51,$79.68,$78.48
03/01/2024,$78.61,4516472,$78.90,$79.52,$78.53
02/29/2024,$79.02,6272449,$79.38,$79.70,$78.4401
02/28/2024,$78.48,3095938,$78.94,$79.0781,$78.23
02/27/2024,$79.14,1779672,$79.60,$79.79,$78.75
02/26/2024,$79.51,3442513,$79.58,$79.935,$78.95
02/23/2024,$79.82,3858286,$79.60,$80.09,$79.425
02/22/2024,$79.46,3771510,$78.40,$79.68,$78.12
02/21/2024,$77.47,3507726,$76.25,$77.53,$76.12
02/20/2024,$76.74,4622046,$76.91,$77.39,$76.36
02/16/2024,$77.00,2125913,$77.52,$77.78,$76.86
02/15/2024,$78.02,4396265,$77.14,$78.04,$77.09
02/14/2024,$76.74,2729580,$75.91,$76.83,$75.79
02/13/2024,$75.50,3214905,$75.54,$76.07,$74.79
02/12/2024,$76.53,5249758,$76.74,$76.88,$75.54
02/09/2024,$77.10,5330044,$78.57,$78.575,$76.87
02/08/2024,$78.30,3173887,$78.13,$78.66,$77.355
02/07/2024,$78.00,5302314,$75.64,$78.88,$75.42
02/06/2024,$78.73,6513053,$77.83,$78.93,$77.76
02/05/2024,$77.59,2472472,$77.27,$77.75,$76.63
02/02/2024,$77.89,4500620,$77.48,$78.20,$77.15
02/01/2024,$77.88,2530656,$77.35,$77.95,$76.54
01/31/2024,$77.12,3316034,$77.65,$78.70,$76.97
01/30/2024,$77.60,3377883,$77.30,$77.935,$77.20
01/29/2024,$77.87,3223525,$76.92,$78.13,$76.92
01/26/2024,$77.28,2481166,$78.56,$78.89,$77.04
01/25/2024,$78.30,5396738,$77.79,$78.68,$77.79
01/24/2024,$76.95,3473450,$77.55,$77.55,$76.73
01/23/2024,$77.11,2263181,$77.52,$77.6499,$76.835
01/22/2024,$77.27,2452820,$77.18,$77.71,$77.08
01/19/2024,$76.88,7178358,$75.71,$77.17,$75.60
01/18/2024,$75.66,4693541,$75.85,$76.68,$75.20
01/17/2024,$75.70,5570116,$75.75,$76.26,$75.24
01/16/2024,$76.20,3942511,$77.66,$77.81,$75.77
01/12/2024,$77.97,6351800,$75.32,$78.42,$75.10
01/11/2024,$74.88,4454835,$73.87,$74.92,$73.56
01/10/2024,$73.35,2562522,$72.97,$73.635,$72.74
01/09/2024,$73.16,2632466,$73.10,$73.36,$72.77
01/08/2024,$73.69,2863227,$73.00,$73.72,$72.74
01/05/2024,$72.84,2590230,$72.80,$73.47,$72.69
01/04/2024,$73.59,2100889,$73.78,$74.29,$73.505
01/03/2024,$73.67,3282391,$73.98,$74.29,$73.42
01/02/2024,$74.40,4277811,$75.28,$75.36,$73.99
12/29/2023,$75.53,1725299,$75.68,$75.87,$75.06
12/28/2023,$75.84,1440399,$75.68,$76.10,$75.50
12/27/2023,$75.60,2189555,$75.63,$75.72,$75.295
12/26/2023,$75.47,1801767,$75.15,$75.51,$74.68
12/22/2023,$75.15,1972321,$74.36,$75.22,$74.19
12/21/2023,$74.16,3214924,$74.58,$74.77,$73.63
12/20/2023,$74.03,3271548,$75.35,$75.515,$74.02
12/19/2023,$75.43,5067753,$75.40,$75.93,$74.92
12/18/2023,$75.90,6026631,$76.25,$76.85,$75.655
12/15/2023,$76.17,9195762,$75.20,$76.64,$75.00
12/14/2023,$74.68,6104954,$73.80,$75.11,$73.66
12/13/2023,$73.18,5279329,$72.24,$73.21,$71.72
12/12/2023,$72.05,2203049,$71.75,$72.27,$71.51
12/11/2023,$71.68,4844258,$70.54,$71.86,$70.41
12/08/2023,$70.33,1765269,$69.94,$70.5579,$69.94
12/07/2023,$70.42,2748959,$70.41,$70.55,$69.94
12/06/2023,$70.12,2289019,$70.40,$70.91,$70.04
12/05/2023,$70.13,2832947,$70.84,$71.04,$69.89
12/04/2023,$71.16,2405138,$70.40,$71.48,$70.22
12/01/2023,$70.82,2672566,$70.23,$70.87,$70.08
11/30/2023,$70.38,8254394,$70.39,$70.52,$69.80
11/29/2023,$70.12,3521683,$71.60,$71.80,$69.895
11/28/2023,$71.30,2607377,$70.70,$71.52,$70.70
11/27/2023,$70.77,2769476,$70.95,$71.30,$70.76
11/24/2023,$71.17,1410696,$70.93,$71.495,$70.93
11/22/2023,$70.88,2432649,$70.49,$71.26,$70.49
11/21/2023,$70.25,2375231,$69.92,$70.495,$69.81
11/20/2023,$69.80,2404391,$69.15,$70.02,$68.96
11/17/2023,$69.53,4257389,$68.79,$69.73,$68.775
11/16/2023,$68.48,3152486,$68.67,$69.32,$68.23
11/15/2023,$68.41,3046389,$67.39,$68.785,$67.32
11/14/2023,$67.38,2698931,$66.81,$67.54,$66.73
11/13/2023,$65.68,1937050,$65.77,$66.10,$65.34
11/10/2023,$65.95,2665931,$64.94,$66.05,$64.76
11/09/2023,$64.65,3613386,$65.58,$65.655,$64.49
11/08/2023,$65.52,3563019,$65.94,$65.96,$65.27
11/07/2023,$65.77,3091945,$66.58,$66.58,$65.685
11/06/2023,$66.28,2452921,$66.25,$66.47,$65.81
11/03/2023,$66.27,3849705,$64.05,$66.92,$64.05
11/02/2023,$63.65,6856842,$62.60,$63.82,$62.14
11/01/2023,$64.96,5497382,$64.39,$65.21,$64.165
10/31/2023,$64.47,3118905,$63.93,$64.59,$63.93
10/30/2023,$63.75,2514320,$63.67,$63.92,$63.20
10/27/2023,$63.30,2724320,$63.34,$63.805,$62.79
10/26/2023,$63.42,2812854,$64.08,$64.37,$63.32
10/25/2023,$64.09,2314415,$64.93,$65.03,$63.965
10/24/2023,$65.15,2988658,$65.18,$65.80,$64.695
10/23/2023,$65.02,2193896,$65.69,$65.995,$64.94
10/20/2023,$65.74,2584701,$66.46,$66.54,$65.68
10/19/2023,$65.44,2353065,$66.15,$66.35,$65.22
10/18/2023,$66.03,4496835,$66.80,$67.20,$65.83
10/17/2023,$67.17,2478810,$66.56,$67.36,$66.40
10/16/2023,$66.77,5399811,$66.10,$66.90,$65.955
10/13/2023,$65.78,3259185,$65.95,$66.39,$65.15
10/12/2023,$65.96,3144401,$68.21,$68.21,$65.70
10/11/2023,$68.34,2391166,$68.13,$68.595,$68.03
10/10/2023,$67.86,3083837,$68.13,$68.50,$67.49
10/09/2023,$68.18,1584416,$67.43,$68.37,$67.18
10/06/2023,$67.84,2171053,$67.185,$68.1732,$66.82
10/05/2023,$67.70,2193026,$67.46,$67.77,$66.75
10/04/2023,$67.54,2714945,$67.49,$67.64,$66.90
10/03/2023,$67.30,4139584,$67.38,$67.96,$66.97
10/02/2023,$67.76,3246500,$67.52,$67.99,$67.215
09/29/2023,$67.74,2866281,$68.03,$68.41,$67.49
09/28/2023,$67.84,4173198,$67.21,$68.25,$67.07
09/27/2023,$68.20,3222031,$69.04,$69.04,$67.76
09/26/2023,$68.64,3122577,$69.62,$69.76,$68.37
09/25/2023,$69.73,3463792,$69.40,$69.86,$69.24
09/22/2023,$69.61,2048358,$69.18,$70.0967,$68.99
09/21/2023,$69.21,2585033,$69.20,$69.925,$68.97
09/20/2023,$69.51,3550242,$70.30,$71.26,$69.48
09/19/2023,$70.09,5046527,$69.85,$70.19,$69.05
09/18/2023,$70.22,4789090,$70.27,$70.93,$70.085
09/15/2023,$70.17,9871524,$70.80,$70.93,$69.88
09/14/2023,$70.97,2351165,$71.00,$71.36,$70.66
09/13/2023,$70.70,2833264,$70.24,$70.85,$70.07
09/12/2023,$70.13,2512046,$70.64,$71.09,$70.04
09/11/2023,$71.33,1794357,$71.64,$71.91,$70.94
09/08/2023,$71.34,1823346,$71.38,$71.73,$71.09
09/07/2023,$71.25,2328356,$71.08,$71.38,$70.77
09/06/2023,$71.30,1900931,$70.85,$71.69,$70.75
09/05/2023,$70.97,2186973,$71.67,$71.72,$70.95
09/01/2023,$71.73,1744051,$72.00,$72.3625,$71.435
