Date,Close/Last,Volume,Open,High,Low
03/22/2024,$137.24,1387328,$136.81,$137.75,$135.71
03/21/2024,$136.76,2532892,$139.90,$140.00,$136.68
03/20/2024,$137.91,3141500,$131.25,$138.00,$131.05
03/19/2024,$130.83,3697809,$128.57,$130.876,$127.235
03/18/2024,$129.58,3823973,$132.90,$132.90,$128.31
03/15/2024,$130.55,4411192,$133.65,$134.80,$130.37
03/14/2024,$132.55,3145828,$132.30,$133.96,$130.292
03/13/2024,$132.42,3159706,$130.09,$133.265,$129.95
03/12/2024,$130.45,3959402,$128.77,$131.415,$128.25
03/11/2024,$128.77,3529342,$131.25,$131.42,$127.85
03/08/2024,$131.80,4139246,$133.35,$134.74,$129.31
03/07/2024,$133.20,2898980,$133.53,$134.1395,$131.922
03/06/2024,$132.13,3942792,$133.09,$133.38,$129.93
03/05/2024,$130.90,3723747,$131.21,$132.575,$129.21
03/04/2024,$132.40,5649494,$132.01,$134.43,$131.275
03/01/2024,$127.43,4484800,$124.50,$129.60,$124.50
02/29/2024,$124.57,3371571,$123.35,$124.83,$122.71
02/28/2024,$122.44,2132543,$122.54,$124.305,$121.64
02/27/2024,$123.70,2926063,$120.96,$124.19,$120.26
02/26/2024,$119.89,3114604,$121.25,$121.26,$118.61
02/23/2024,$121.76,3034430,$121.20,$123.87,$120.04
02/22/2024,$121.41,7053002,$122.39,$124.04,$120.02
02/21/2024,$114.69,3487569,$115.22,$117.20,$112.89
02/20/2024,$115.48,7963362,$115.01,$115.64,$110.505
02/16/2024,$116.01,19465470,$111.88,$116.8602,$109.00
02/15/2024,$126.27,9254534,$118.59,$126.65,$118.50
02/14/2024,$120.01,4945409,$119.27,$120.335,$117.76
02/13/2024,$116.39,3498457,$114.73,$117.66,$113.29
02/12/2024,$118.44,3625155,$118.47,$120.57,$118.03
02/09/2024,$119.31,3037394,$119.18,$119.79,$118.00
02/08/2024,$118.30,3580029,$116.32,$119.30,$115.3168
02/07/2024,$114.33,5495529,$112.34,$117.06,$112.02
02/06/2024,$112.34,4109847,$109.71,$113.37,$108.23
