Date,Close/Last,Volume,Open,High,Low
03/22/2024,$123.02,1503916,$122.65,$123.4005,$121.17
03/21/2024,$122.86,2096270,$125.01,$127.46,$122.38
03/20/2024,$123.44,2929623,$122.64,$124.08,$121.23
03/19/2024,$121.81,2699008,$119.44,$121.91,$118.75
03/18/2024,$120.87,2068658,$121.53,$122.85,$120.56
03/15/2024,$120.42,4325900,$122.96,$123.50,$119.79
03/14/2024,$122.65,2720711,$122.63,$123.85,$120.09
03/13/2024,$123.59,3302887,$122.47,$125.42,$121.52
03/12/2024,$122.99,3067075,$121.70,$123.07,$119.92
03/11/2024,$121.45,3695907,$120.15,$122.35,$118.40
03/08/2024,$121.31,3727158,$122.00,$125.70,$120.78
03/07/2024,$122.89,3884627,$125.00,$125.00,$121.52
03/06/2024,$124.59,4474591,$126.75,$127.00,$122.19
03/05/2024,$123.53,6143573,$129.09,$129.25,$122.03
03/04/2024,$130.67,5378205,$129.39,$131.87,$126.40
03/01/2024,$130.22,3470153,$131.75,$131.94,$129.2001
02/29/2024,$131.46,5176432,$130.47,$134.3024,$129.41
02/28/2024,$130.47,2108116,$129.79,$132.05,$128.83
02/27/2024,$130.95,1963242,$130.86,$132.18,$129.895
02/26/2024,$129.35,2323920,$130.00,$131.50,$128.78
02/23/2024,$129.51,3498398,$131.77,$132.78,$129.135
02/22/2024,$131.12,4298575,$130.20,$132.52,$129.76
02/21/2024,$125.84,3501281,$124.81,$126.65,$123.4328
02/20/2024,$127.66,3732108,$128.00,$129.05,$125.10
02/16/2024,$129.74,4977646,$131.98,$132.48,$128.44
02/15/2024,$131.84,6140178,$136.36,$137.45,$131.32
02/14/2024,$136.15,8112834,$134.79,$137.9316,$133.415
02/13/2024,$131.68,15677800,$126.50,$138.61,$123.50
02/12/2024,$134.85,9412826,$135.13,$137.105,$133.31
02/09/2024,$134.91,6683393,$135.81,$137.85,$134.68
02/08/2024,$131.45,4361318,$128.08,$133.24,$127.87
02/07/2024,$130.62,3696279,$131.30,$132.87,$130.16
02/06/2024,$129.18,3693786,$132.08,$132.78,$126.85
02/05/2024,$131.14,4089841,$135.14,$137.93,$129.80
02/02/2024,$134.31,7697226,$132.015,$135.22,$130.25
02/01/2024,$126.90,3222425,$125.67,$127.55,$123.87
01/31/2024,$124.44,3983565,$123.29,$127.32,$122.55
01/30/2024,$126.83,3371515,$128.36,$129.06,$125.51
01/29/2024,$128.87,3609598,$124.78,$128.94,$124.59
01/26/2024,$123.95,4501588,$121.46,$124.92,$120.59
01/25/2024,$122.19,9431958,$123.61,$123.6893,$119.34
01/24/2024,$122.58,10499830,$130.495,$130.495,$122.22
01/23/2024,$129.01,5797527,$133.00,$133.15,$128.56
01/22/2024,$132.98,4907986,$133.40,$136.075,$131.79
01/19/2024,$130.31,3972195,$128.05,$130.50,$126.62
01/18/2024,$126.92,4071978,$128.21,$128.64,$123.92
01/17/2024,$126.03,6172384,$122.81,$126.0649,$120.28
01/16/2024,$123.79,3105571,$122.76,$124.89,$121.96
01/12/2024,$123.00,3665096,$121.00,$123.09,$120.01
01/11/2024,$120.88,3001609,$121.455,$121.8599,$118.43
01/10/2024,$120.19,4219822,$121.75,$121.9993,$118.4301
01/09/2024,$121.18,2560052,$118.46,$121.74,$118.28
01/08/2024,$119.25,3002357,$116.61,$119.84,$116.61
01/05/2024,$115.99,4539479,$113.02,$117.04,$112.9875
01/04/2024,$113.02,3675303,$111.645,$113.86,$110.695
01/03/2024,$112.42,3666023,$113.76,$114.23,$111.27
01/02/2024,$115.08,4431180,$119.225,$119.225,$114.2777
12/29/2023,$121.38,2194121,$123.00,$123.725,$120.89
12/28/2023,$123.28,1506179,$124.00,$124.48,$122.82
12/27/2023,$123.60,1400331,$124.00,$124.16,$122.61
12/26/2023,$123.56,1142754,$122.85,$123.82,$122.25
12/22/2023,$122.49,2202450,$123.21,$123.46,$121.21
12/21/2023,$122.48,2426942,$122.75,$123.13,$120.66
12/20/2023,$120.62,2606806,$121.67,$123.49,$120.16
12/19/2023,$122.41,2753069,$124.45,$124.69,$121.5852
12/18/2023,$123.27,2550889,$122.44,$124.15,$121.69
12/15/2023,$122.60,6436409,$121.59,$123.823,$120.7211
12/14/2023,$120.65,5620796,$119.01,$120.9649,$117.685
12/13/2023,$117.23,4162641,$114.72,$117.46,$113.50
12/12/2023,$114.66,1939469,$113.46,$115.50,$112.59
