Date,Close/Last,Volume,Open,High,Low
03/22/2024,$125.71,2668423,$127.60,$127.60,$125.56
03/21/2024,$127.21,2868025,$127.50,$127.96,$125.95
03/20/2024,$128.10,4213578,$127.87,$128.80,$126.59
03/19/2024,$128.19,4544335,$127.47,$128.75,$126.27
03/18/2024,$127.25,6226397,$126.72,$128.1825,$126.625
03/15/2024,$127.42,6022976,$124.68,$128.38,$124.68
03/14/2024,$125.23,5902552,$128.54,$129.57,$124.01
03/13/2024,$128.42,14563590,$129.15,$133.37,$126.80
03/12/2024,$149.69,3268539,$149.40,$150.74,$148.69
03/11/2024,$149.00,2324128,$147.91,$149.35,$146.53
03/08/2024,$147.91,3704360,$149.74,$149.75,$146.71
03/07/2024,$150.02,2418190,$151.00,$151.00,$148.03
03/06/2024,$149.14,3367498,$149.98,$150.1762,$148.13
03/05/2024,$149.08,2019774,$147.89,$151.215,$147.81
03/04/2024,$146.42,1933486,$148.28,$148.97,$145.785
03/01/2024,$148.44,2149289,$145.98,$149.29,$145.43
02/29/2024,$146.68,2531602,$147.31,$147.34,$146.07
02/28/2024,$146.14,2020024,$148.97,$148.97,$145.595
02/27/2024,$148.90,2137460,$145.25,$149.09,$145.2101
02/26/2024,$145.77,2429233,$145.62,$146.87,$144.905
02/23/2024,$145.88,3255171,$145.15,$146.47,$144.675
02/22/2024,$144.76,1781693,$144.43,$146.37,$143.40
02/21/2024,$145.43,2315995,$146.28,$146.50,$145.025
02/20/2024,$146.29,3175709,$144.62,$146.47,$144.30
02/16/2024,$143.37,2642911,$141.72,$145.46,$141.41
02/15/2024,$142.15,1628735,$140.79,$144.15,$140.36
02/14/2024,$139.88,1465962,$140.55,$140.87,$138.395
02/13/2024,$139.81,1482351,$141.95,$141.95,$138.225
02/12/2024,$142.83,1726534,$139.50,$143.14,$139.00
02/09/2024,$139.50,2491652,$140.24,$140.7299,$139.17
02/08/2024,$140.90,1820033,$139.99,$142.82,$139.465
02/07/2024,$139.83,2677239,$140.32,$141.33,$139.48
02/06/2024,$137.765,1215267,$136.72,$138.71,$135.74
02/05/2024,$137.16,1944809,$137.80,$139.36,$135.6322
02/02/2024,$138.71,2452534,$135.00,$138.97,$133.93
02/01/2024,$135.63,1657432,$131.31,$136.09,$130.86
01/31/2024,$130.62,1503277,$131.80,$132.70,$130.61
01/30/2024,$131.30,2536930,$133.50,$133.50,$130.81
01/29/2024,$133.79,4050208,$136.47,$137.13,$132.90
01/26/2024,$132.73,1770980,$131.89,$133.915,$131.80
01/25/2024,$132.23,2620281,$131.83,$132.44,$129.51
01/24/2024,$130.16,2327010,$131.54,$131.54,$129.53
01/23/2024,$131.40,1759949,$132.01,$132.64,$130.42
01/22/2024,$131.02,1804065,$130.73,$131.86,$128.77
01/19/2024,$130.48,2656958,$132.52,$132.52,$129.22
01/18/2024,$132.51,3397124,$135.00,$135.00,$131.01
01/17/2024,$135.40,1986323,$135.06,$135.875,$134.04
01/16/2024,$135.96,2341849,$135.30,$136.02,$133.975
01/12/2024,$135.76,1417336,$135.72,$136.375,$134.19
01/11/2024,$135.22,2420560,$137.62,$137.62,$135.12
01/10/2024,$137.62,1759472,$137.87,$139.103,$137.0753
01/09/2024,$138.04,2810462,$136.00,$138.23,$135.3723
01/08/2024,$137.57,1578757,$135.59,$138.0642,$135.003
01/05/2024,$136.29,1649288,$135.90,$137.79,$135.25
01/04/2024,$136.18,2105029,$137.00,$137.75,$135.85
01/03/2024,$136.72,2382423,$141.58,$141.83,$136.62
01/02/2024,$142.54,2660960,$142.23,$145.085,$142.13
12/29/2023,$142.05,1252041,$142.24,$142.895,$141.01
12/28/2023,$142.29,1367815,$141.50,$142.88,$141.21
12/27/2023,$141.84,1766827,$140.10,$142.705,$140.08
12/26/2023,$140.01,1631481,$137.29,$140.56,$137.10
12/22/2023,$136.56,1937432,$135.69,$137.13,$135.34
12/21/2023,$134.33,2031723,$135.58,$136.11,$132.83
12/20/2023,$134.41,3823166,$132.52,$135.72,$131.80
12/19/2023,$133.60,2405427,$131.23,$133.84,$130.93
12/18/2023,$130.40,2188816,$131.35,$131.35,$130.13
12/15/2023,$130.81,5612455,$129.84,$131.68,$128.92
12/14/2023,$129.84,1986498,$131.56,$132.76,$128.995
12/13/2023,$130.48,1219960,$127.32,$130.62,$126.20
12/12/2023,$126.95,1777703,$126.58,$127.18,$125.56
12/11/2023,$126.67,2721224,$126.24,$127.31,$125.60
12/08/2023,$124.41,1580432,$126.28,$127.26,$124.35
12/07/2023,$126.74,1889356,$127.17,$127.90,$124.105
