Date,Close/Last,Volume,Open,High,Low
03/22/2024,$133.18,1426253,$133.54,$134.38,$131.36
03/21/2024,$133.41,2185478,$133.48,$136.4494,$133.15
03/20/2024,$132.53,1921634,$134.87,$135.81,$131.31
03/19/2024,$134.17,2267986,$133.83,$134.33,$131.635
03/18/2024,$134.72,2661607,$131.682,$135.58,$131.51
03/15/2024,$130.46,3965403,$130.95,$131.8188,$128.62
03/14/2024,$129.50,2590030,$132.44,$133.00,$128.72
03/13/2024,$131.68,2945537,$136.10,$137.4599,$131.53
03/12/2024,$135.38,3364109,$133.00,$136.73,$130.74
03/11/2024,$133.04,3227866,$134.65,$136.40,$133.01
03/08/2024,$135.25,3761934,$134.00,$136.25,$132.33
03/07/2024,$133.24,5021506,$135.60,$137.93,$132.26
03/06/2024,$133.72,9510525,$126.10,$133.94,$124.12
03/05/2024,$121.78,3543599,$123.08,$123.91,$120.90
03/04/2024,$122.30,3477446,$121.76,$124.30,$120.5101
03/01/2024,$121.74,4530844,$114.37,$122.23,$113.69
02/29/2024,$115.07,3557097,$115.09,$115.56,$114.03
02/28/2024,$114.22,2764224,$115.61,$115.71,$113.05
02/27/2024,$115.32,2269287,$116.25,$116.415,$114.55
02/26/2024,$116.17,2812732,$116.35,$118.19,$115.852
02/23/2024,$116.26,6214003,$117.13,$118.49,$116.01
02/22/2024,$117.50,3037323,$117.55,$118.00,$115.36
02/21/2024,$116.39,2933632,$117.00,$117.96,$115.30
02/20/2024,$117.87,3198888,$116.73,$119.095,$116.73
02/16/2024,$117.05,3971529,$116.83,$118.805,$116.32
02/15/2024,$117.69,3125665,$117.08,$118.51,$116.05
02/14/2024,$116.75,3158222,$117.03,$117.70,$114.96
02/13/2024,$117.03,3308294,$116.52,$120.24,$116.26
02/12/2024,$118.42,5252213,$119.53,$120.50,$117.14
02/09/2024,$120.47,5639150,$123.00,$124.9871,$120.29
02/08/2024,$127.05,4298564,$127.20,$127.37,$125.21
02/07/2024,$126.61,2246575,$124.92,$127.13,$124.275
02/06/2024,$124.92,1988440,$121.81,$124.98,$120.43
02/05/2024,$121.23,2714769,$120.71,$121.802,$119.60
02/02/2024,$120.96,2559747,$122.21,$122.45,$119.6302
02/01/2024,$122.60,2478180,$122.15,$123.87,$119.92
01/31/2024,$121.35,2392795,$121.23,$123.06,$120.12
01/30/2024,$120.79,2680756,$123.14,$123.24,$120.60
01/29/2024,$124.25,2675364,$121.88,$124.26,$119.55
01/26/2024,$121.96,3851213,$126.07,$126.39,$119.71
01/25/2024,$126.505,1680134,$129.14,$129.39,$125.24
01/24/2024,$127.42,1762073,$128.10,$128.56,$125.74
01/23/2024,$127.12,1823113,$129.15,$129.3192,$125.3883
01/22/2024,$129.29,3290126,$129.20,$130.31,$128.65
01/19/2024,$127.29,2819435,$127.12,$127.99,$125.06
01/18/2024,$127.45,3594834,$126.26,$128.00,$125.2967
01/17/2024,$125.45,1905712,$123.00,$125.53,$122.54
01/16/2024,$124.46,3116917,$123.59,$124.94,$121.29
01/12/2024,$125.00,3646326,$128.93,$130.00,$124.06
01/11/2024,$128.93,2507331,$127.97,$130.30,$126.72
01/10/2024,$128.00,2350982,$130.04,$130.74,$127.97
01/09/2024,$129.70,2714651,$128.81,$132.03,$128.38
01/08/2024,$129.63,3725697,$125.71,$130.32,$123.67
01/05/2024,$123.98,2084883,$121.27,$124.99,$120.50
01/04/2024,$121.83,1946375,$120.03,$122.80,$119.86
01/03/2024,$120.27,1895900,$123.44,$123.44,$119.645
01/02/2024,$123.09,2091561,$123.15,$126.225,$122.40
12/29/2023,$124.09,1301730,$123.78,$124.78,$123.65
12/28/2023,$124.16,1290397,$124.31,$125.72,$123.51
12/27/2023,$123.73,1844433,$124.02,$124.25,$122.264
12/26/2023,$123.55,1412776,$123.30,$123.86,$121.88
12/22/2023,$122.17,1829088,$122.38,$122.61,$120.23
12/21/2023,$122.80,2837320,$118.59,$122.92,$118.36
