Date,Close/Last,Volume,Open,High,Low
03/22/2024,$131.70,1770468,$132.90,$133.13,$131.62
03/21/2024,$132.48,2075428,$132.50,$134.2184,$131.83
03/20/2024,$132.32,2998991,$133.36,$133.88,$131.27
03/19/2024,$132.96,2466571,$131.67,$133.29,$131.00
03/18/2024,$132.48,3603285,$134.15,$134.92,$132.24
03/15/2024,$134.27,4225494,$134.45,$135.45,$133.68
03/14/2024,$135.03,2353175,$136.96,$137.04,$134.18
03/13/2024,$136.96,2809451,$135.97,$138.065,$135.97
03/12/2024,$136.02,1632984,$136.44,$137.40,$135.60
03/11/2024,$136.73,2547593,$134.94,$137.89,$134.73
03/08/2024,$135.15,1645721,$135.63,$135.875,$134.37
03/07/2024,$135.40,3342337,$135.94,$136.79,$134.305
03/06/2024,$135.52,2232158,$137.14,$137.47,$134.57
03/05/2024,$136.28,2750168,$137.66,$137.85,$135.01
03/04/2024,$138.81,2705032,$140.45,$141.43,$138.72
03/01/2024,$140.79,1782528,$139.08,$141.28,$138.52
02/29/2024,$139.48,3482334,$140.58,$140.64,$137.96
02/28/2024,$140.08,1584771,$138.82,$140.63,$138.30
02/27/2024,$139.50,2319748,$142.58,$142.58,$138.53
02/26/2024,$142.58,1984783,$142.59,$143.21,$141.21
02/23/2024,$142.59,1379989,$143.50,$144.20,$141.87
02/22/2024,$143.52,1673091,$142.38,$144.355,$141.54
02/21/2024,$141.17,1539078,$140.66,$141.27,$139.98
02/20/2024,$141.04,2128074,$141.77,$142.10,$139.85
02/16/2024,$142.28,3311163,$144.12,$144.44,$142.15
02/15/2024,$144.05,1849582,$143.24,$144.53,$142.89
02/14/2024,$143.08,2499255,$139.79,$143.35,$139.4301
02/13/2024,$139.00,2250726,$136.83,$139.68,$136.21
02/12/2024,$137.55,2465795,$140.41,$140.41,$137.19
02/09/2024,$140.61,2061523,$138.60,$140.98,$137.00
02/08/2024,$138.85,1770505,$137.00,$139.00,$136.68
02/07/2024,$136.75,1517615,$136.04,$137.48,$135.78
02/06/2024,$135.26,1480570,$135.47,$135.84,$134.57
02/05/2024,$134.94,2616767,$136.00,$136.26,$134.42
02/02/2024,$136.64,2547445,$137.82,$138.71,$135.24
02/01/2024,$137.92,2717352,$137.43,$137.96,$135.00
01/31/2024,$137.58,4345641,$134.61,$139.78,$133.51
01/30/2024,$137.55,2251396,$138.42,$138.755,$137.215
01/29/2024,$138.58,1474556,$139.58,$140.00,$138.25
01/26/2024,$139.42,1800445,$139.07,$139.82,$138.69
01/25/2024,$138.94,1513722,$138.76,$139.7503,$138.45
01/24/2024,$137.86,1419036,$139.85,$140.1109,$137.73
01/23/2024,$139.17,1241631,$138.22,$139.395,$137.94
01/22/2024,$137.57,1515065,$137.64,$138.72,$137.54
01/19/2024,$137.72,1294251,$138.75,$138.86,$137.3959
01/18/2024,$138.03,1449994,$136.62,$138.16,$136.01
01/17/2024,$136.62,1340142,$137.00,$137.08,$135.69
01/16/2024,$137.15,1166845,$137.95,$138.16,$136.50
01/12/2024,$137.92,1132749,$138.26,$138.78,$137.43
01/11/2024,$137.74,1192613,$137.56,$138.105,$136.85
01/10/2024,$137.63,1735339,$137.72,$138.33,$136.90
01/09/2024,$137.72,1328565,$136.14,$138.47,$136.14
01/08/2024,$136.46,1438791,$135.95,$136.7301,$135.435
01/05/2024,$135.61,1698367,$135.76,$136.88,$135.235
01/04/2024,$135.97,1236201,$135.88,$136.59,$135.37
01/03/2024,$135.71,1444016,$135.78,$136.17,$135.0461
01/02/2024,$135.78,1848394,$135.50,$136.40,$135.21
12/29/2023,$136.81,1087923,$136.81,$137.1099,$136.32
12/28/2023,$136.76,720423,$136.71,$137.31,$136.4904
12/27/2023,$136.71,1002196,$137.22,$137.59,$136.3393
12/26/2023,$137.29,1028043,$137.79,$138.00,$137.02
12/22/2023,$137.67,1192339,$137.73,$138.695,$137.27
12/21/2023,$137.88,1604325,$137.17,$138.08,$136.81
12/20/2023,$136.59,1751498,$137.67,$138.63,$136.14
12/19/2023,$138.55,1930090,$138.07,$139.17,$137.81
12/18/2023,$138.09,1892169,$139.60,$139.87,$137.98
12/15/2023,$138.83,4548843,$140.88,$141.465,$138.51
12/14/2023,$140.85,2287932,$143.00,$143.47,$140.24
12/13/2023,$142.35,2177574,$141.45,$142.77,$140.98
12/12/2023,$140.33,1551992,$139.87,$140.375,$139.03
12/11/2023,$138.56,1854762,$136.32,$139.34,$136.32
12/08/2023,$137.14,1531409,$135.00,$137.375,$134.8682
12/07/2023,$135.55,2056419,$137.52,$137.56,$135.43
