Date,Close/Last,Volume,Open,High,Low
03/22/2024,$194.70,1080359,$195.00,$195.12,$193.01
03/21/2024,$194.40,1326913,$193.22,$194.67,$192.38
03/20/2024,$192.90,1373612,$191.70,$193.01,$190.075
03/19/2024,$192.62,1288760,$189.91,$192.86,$189.50
03/18/2024,$190.06,1170339,$190.72,$191.29,$188.79
03/15/2024,$189.94,3367155,$189.09,$191.38,$187.85
03/14/2024,$189.50,1467788,$188.01,$189.70,$187.79
03/13/2024,$187.56,1436892,$186.75,$188.60,$185.99
03/12/2024,$184.52,1099172,$185.50,$185.87,$183.72
03/11/2024,$184.50,1290792,$182.53,$184.61,$181.55
03/08/2024,$183.29,1251802,$182.70,$184.89,$182.33
03/07/2024,$182.81,1551220,$181.55,$183.62,$181.50
03/06/2024,$181.18,1736752,$180.99,$181.8253,$179.30
03/05/2024,$180.06,1141535,$179.02,$182.1202,$178.89
03/04/2024,$178.89,1320011,$183.10,$183.10,$178.21
03/01/2024,$185.17,1774320,$183.34,$185.78,$183.15
02/29/2024,$182.52,2029369,$180.65,$182.99,$180.00
02/28/2024,$179.76,1458040,$177.13,$179.82,$176.725
02/27/2024,$177.95,1499105,$177.43,$178.26,$176.14
02/26/2024,$177.11,1374200,$175.79,$177.94,$174.65
02/23/2024,$176.36,2092467,$175.36,$177.7907,$174.39
02/22/2024,$176.73,2346087,$179.64,$180.36,$176.39
02/21/2024,$179.75,3443643,$182.23,$183.96,$178.28
02/20/2024,$178.06,2792245,$179.57,$180.14,$177.26
02/16/2024,$179.42,2540909,$179.43,$181.54,$178.07
02/15/2024,$178.52,3728695,$170.58,$179.53,$170.27
02/14/2024,$169.86,3724526,$167.71,$170.28,$166.1138
02/13/2024,$165.60,3354207,$167.31,$169.6603,$163.57
02/12/2024,$165.98,7276268,$160.00,$168.1247,$158.62
02/09/2024,$151.74,1015278,$153.71,$154.2218,$151.25
02/08/2024,$153.48,1674896,$151.50,$154.39,$151.31
02/07/2024,$151.45,1754743,$151.98,$152.80,$150.705
02/06/2024,$151.99,1927277,$150.40,$152.79,$150.00
02/05/2024,$149.62,1613121,$149.82,$150.56,$147.93
02/02/2024,$150.22,1282753,$152.57,$152.90,$150.19
02/01/2024,$152.72,1578773,$154.50,$155.16,$151.33
01/31/2024,$153.74,1636109,$156.81,$156.81,$153.50
01/30/2024,$156.93,2002636,$153.82,$157.38,$153.40
01/29/2024,$154.86,2775171,$155.90,$155.90,$153.71
01/26/2024,$156.24,1443219,$156.50,$157.0851,$154.245
01/25/2024,$156.32,2399542,$154.64,$156.41,$152.47
01/24/2024,$153.20,1470236,$152.39,$153.61,$151.25
01/23/2024,$151.47,1307481,$150.99,$153.09,$150.71
01/22/2024,$151.94,2268728,$151.28,$153.26,$150.16
01/19/2024,$151.06,1344153,$149.73,$151.11,$149.02
01/18/2024,$149.74,1460844,$149.72,$150.33,$148.31
01/17/2024,$149.78,1448318,$149.39,$151.315,$148.87
01/16/2024,$151.16,1423087,$153.03,$153.3605,$150.70
01/12/2024,$153.84,1472476,$153.99,$154.5936,$152.05
01/11/2024,$151.39,1234720,$151.99,$152.57,$150.3745
01/10/2024,$151.36,1470275,$152.19,$152.30,$149.87
01/09/2024,$152.76,1356895,$156.03,$156.19,$152.225
01/08/2024,$155.76,2130651,$152.80,$155.76,$150.71
01/05/2024,$155.95,1654678,$156.80,$157.65,$154.6401
01/04/2024,$155.82,1815199,$161.07,$161.6228,$155.52
01/03/2024,$160.17,1391274,$157.69,$160.8894,$156.3612
01/02/2024,$157.01,1400366,$156.57,$158.62,$156.32
12/29/2023,$155.08,2267726,$156.00,$156.36,$154.7253
12/28/2023,$155.33,1167015,$157.48,$157.69,$155.27
12/27/2023,$158.09,911835,$159.00,$159.74,$157.376
12/26/2023,$159.00,1039126,$157.62,$159.9899,$157.62
12/22/2023,$156.39,1258621,$157.54,$158.32,$155.975
12/21/2023,$156.26,1292324,$156.45,$156.72,$154.5696
12/20/2023,$155.83,1581460,$157.12,$159.44,$155.67
12/19/2023,$157.15,1578982,$155.55,$157.43,$154.88
12/18/2023,$155.63,1883524,$156.52,$157.85,$155.63
12/15/2023,$153.11,4063709,$152.67,$154.00,$150.865
12/14/2023,$153.44,2552864,$151.05,$154.14,$150.88
12/13/2023,$149.46,1840357,$148.09,$149.75,$147.36
12/12/2023,$147.88,2404824,$148.27,$148.93,$146.82
12/11/2023,$149.54,1992755,$148.48,$150.25,$148.315
12/08/2023,$148.73,1596061,$148.24,$150.41,$148.00
12/07/2023,$147.59,2245454,$147.93,$148.72,$146.52
12/06/2023,$146.48,3304502,$148.74,$149.10,$145.70
12/05/2023,$150.15,1842934,$154.21,$154.49,$150.05
12/04/2023,$153.86,1372976,$152.72,$154.10,$152.11
12/01/2023,$154.27,1353944,$154.30,$156.7699,$153.66
11/30/2023,$154.41,2406758,$155.16,$157.48,$151.13
11/29/2023,$153.79,1031529,$154.44,$154.89,$153.02
11/28/2023,$153.99,1066554,$154.41,$155.72,$153.54
11/27/2023,$154.02,1232199,$153.79,$154.38,$152.56
11/24/2023,$154.63,549782,$154.49,$156.26,$154.43
11/22/2023,$154.16,1363458,$150.98,$154.625,$149.99
11/21/2023,$155.09,1127828,$155.24,$155.60,$153.57
11/20/2023,$156.15,1421403,$157.03,$158.228,$155.6075
11/17/2023,$156.15,2183091,$154.03,$157.445,$153.4953
11/16/2023,$152.50,3097576,$154.79,$154.96,$148.67
11/15/2023,$155.79,1785598,$155.42,$157.9099,$155.42
11/14/2023,$159.16,2418036,$159.05,$159.75,$158.125
11/13/2023,$158.18,1289694,$158.02,$159.35,$157.35
11/10/2023,$157.71,1692396,$157.66,$158.66,$155.865
11/09/2023,$155.58,1785393,$156.64,$158.285,$155.39
11/08/2023,$155.97,2448731,$157.55,$159.54,$155.165
11/07/2023,$158.79,3074600,$157.82,$160.07,$153.575
11/06/2023,$160.14,1914839,$162.41,$163.08,$159.10
11/03/2023,$162.10,1294228,$163.47,$164.04,$160.87
11/02/2023,$163.24,1621308,$158.37,$163.48,$157.60
11/01/2023,$159.41,1700518,$161.94,$162.59,$158.71
10/31/2023,$160.32,1342472,$158.95,$161.16,$157.33
10/30/2023,$158.43,1496212,$160.26,$161.255,$157.05
10/27/2023,$160.05,1589319,$162.00,$162.0674,$157.9215
10/26/2023,$161.72,2669263,$163.03,$163.635,$159.73
10/25/2023,$164.68,1596656,$163.80,$165.13,$162.33
10/24/2023,$163.26,1604643,$165.80,$166.38,$163.18
10/23/2023,$165.32,2548846,$164.62,$167.385,$163.74
10/20/2023,$166.48,2465511,$168.92,$169.61,$166.01
10/19/2023,$168.92,1580338,$169.42,$170.67,$167.7599
10/18/2023,$169.92,1995968,$169.69,$171.395,$168.90
10/17/2023,$168.47,1925664,$167.27,$169.60,$167.20
10/16/2023,$167.41,1661815,$167.92,$168.125,$165.08
10/13/2023,$166.57,2908505,$165.75,$168.3283,$165.7302
10/12/2023,$162.36,3206371,$160.68,$163.15,$160.14
10/11/2023,$158.85,3028291,$156.10,$159.08,$155.63
10/10/2023,$156.38,1661580,$156.47,$157.96,$155.2901
10/09/2023,$156.47,2184398,$155.82,$157.41,$154.89
10/06/2023,$151.23,4441416,$147.80,$153.00,$146.16
10/05/2023,$145.12,1718253,$143.38,$146.10,$143.08
10/04/2023,$145.51,2536224,$149.57,$149.57,$144.23
10/03/2023,$150.89,1693876,$149.78,$150.89,$148.36
10/02/2023,$150.20,1678180,$155.15,$155.32,$148.75
09/29/2023,$154.88,1851687,$157.30,$157.42,$154.09
09/28/2023,$157.14,1221158,$157.23,$158.88,$156.23
09/27/2023,$157.23,3027967,$155.21,$158.47,$154.45
09/26/2023,$153.06,1392402,$151.72,$154.29,$151.60
09/25/2023,$152.64,1974674,$150.82,$152.93,$150.35
09/22/2023,$150.57,1367451,$151.99,$153.35,$150.16
09/21/2023,$151.36,2660806,$153.45,$153.55,$150.46
09/20/2023,$152.89,1378163,$154.60,$155.75,$152.71
09/19/2023,$155.39,1118567,$157.51,$157.89,$154.59
09/18/2023,$156.26,1018211,$157.09,$157.42,$155.34
09/15/2023,$155.75,3351078,$156.80,$158.50,$154.93
