Date,Close/Last,Volume,Open,High,Low
03/22/2024,$78.10,2345428,$78.61,$78.645,$77.835
03/21/2024,$78.42,3061133,$77.60,$79.04,$77.60
03/20/2024,$77.66,3538623,$76.45,$77.73,$75.98
03/19/2024,$76.21,2924818,$75.60,$76.31,$75.405
03/18/2024,$75.70,3342560,$75.75,$76.74,$75.59
03/15/2024,$75.03,10806770,$75.05,$75.635,$74.725
03/14/2024,$75.27,2885712,$75.69,$75.75,$74.61
03/13/2024,$75.04,2590691,$75.31,$75.495,$74.81
03/12/2024,$75.26,2407097,$74.46,$75.44,$74.29
03/11/2024,$74.32,3279609,$75.63,$75.655,$73.69
03/08/2024,$75.63,3217197,$76.13,$76.59,$75.56
03/07/2024,$75.94,3853584,$74.88,$76.25,$74.80
03/06/2024,$74.32,3614710,$74.16,$75.04,$73.76
03/05/2024,$74.34,3655188,$74.48,$75.34,$74.125
03/04/2024,$74.79,5814517,$73.66,$75.81,$73.65
03/01/2024,$72.84,3268417,$73.00,$73.025,$72.095
02/29/2024,$73.01,4778744,$73.66,$73.99,$72.47
02/28/2024,$73.56,2182897,$73.15,$73.60,$72.85
02/27/2024,$73.15,3271195,$73.15,$73.27,$72.74
02/26/2024,$73.00,5156403,$72.19,$73.185,$71.98
02/23/2024,$72.18,2444622,$72.40,$72.60,$71.61
02/22/2024,$72.06,4971873,$70.84,$72.275,$70.75
02/21/2024,$70.33,1981741,$70.19,$70.50,$69.90
02/20/2024,$70.08,3099421,$70.40,$70.54,$69.62
02/16/2024,$70.24,3083711,$70.30,$70.67,$70.05
02/15/2024,$70.15,2537461,$70.13,$70.355,$69.51
02/14/2024,$70.13,2716518,$69.33,$70.18,$69.17
02/13/2024,$68.92,3738307,$69.37,$69.565,$68.455
02/12/2024,$70.01,2891028,$69.89,$70.27,$69.665
02/09/2024,$70.02,2694410,$69.30,$70.06,$69.16
02/08/2024,$69.26,2659316,$69.49,$69.71,$69.0001
02/07/2024,$69.46,3212746,$70.09,$70.335,$69.39
02/06/2024,$69.48,3516844,$69.46,$69.725,$68.965
02/05/2024,$69.46,3752640,$70.52,$70.71,$69.32
02/02/2024,$70.65,4296746,$69.93,$70.95,$69.74
02/01/2024,$69.84,4623931,$68.55,$69.84,$67.96
01/31/2024,$68.23,11905170,$68.56,$69.06,$67.91
01/30/2024,$69.11,3418919,$68.34,$69.145,$68.23
01/29/2024,$68.60,4167951,$68.11,$68.62,$67.59
01/26/2024,$68.40,3561068,$69.07,$69.20,$68.275
01/25/2024,$69.21,3854024,$69.16,$69.57,$68.675
01/24/2024,$68.84,3771048,$69.86,$69.99,$68.62
01/23/2024,$69.51,4129819,$70.02,$70.095,$68.89
01/22/2024,$69.91,5142365,$69.60,$69.94,$68.64
01/19/2024,$69.34,7807631,$68.08,$69.51,$67.80
01/18/2024,$67.93,12793080,$66.04,$68.6881,$65.40
01/17/2024,$63.38,5729115,$63.77,$64.245,$63.21
01/16/2024,$63.77,4559147,$63.40,$63.83,$63.255
01/12/2024,$63.52,3451970,$63.53,$63.61,$62.97
01/11/2024,$63.37,4359317,$63.00,$63.42,$62.59
01/10/2024,$63.08,3088147,$62.68,$63.145,$62.49
01/09/2024,$62.53,3552358,$61.60,$62.625,$61.33
01/08/2024,$62.47,3756932,$62.17,$62.55,$62.00
01/05/2024,$61.98,2858295,$61.92,$62.27,$61.655
01/04/2024,$62.19,3240005,$62.08,$62.48,$61.895
01/03/2024,$62.08,4012663,$63.45,$63.53,$62.06
