Date,Close/Last,Volume,Open,High,Low
03/22/2024,$68.30,2832796,$68.919,$68.93,$67.53
03/21/2024,$68.57,3716264,$68.58,$68.72,$67.75
03/20/2024,$67.87,4230313,$67.79,$68.06,$67.02
03/19/2024,$67.79,3059385,$67.13,$67.88,$66.45
03/18/2024,$67.55,3909019,$66.99,$68.18,$66.8101
03/15/2024,$66.72,10117980,$67.72,$67.97,$66.51
03/14/2024,$68.04,6500142,$69.29,$69.75,$67.62
03/13/2024,$70.18,4078372,$71.59,$71.59,$70.00
03/12/2024,$71.34,3858463,$71.68,$71.95,$70.74
03/11/2024,$71.46,3139267,$70.93,$71.80,$69.905
03/08/2024,$71.35,5278875,$73.26,$73.50,$71.09
03/07/2024,$73.07,6314272,$71.95,$73.33,$71.19
03/06/2024,$71.32,7401228,$70.97,$71.73,$69.11
03/05/2024,$69.04,6840679,$71.07,$71.07,$67.31
03/04/2024,$71.39,4277706,$70.685,$71.69,$70.50
03/01/2024,$70.44,4840847,$69.09,$70.49,$68.57
02/29/2024,$69.11,5782091,$70.05,$70.15,$68.145
02/28/2024,$69.51,2744765,$69.95,$70.045,$68.78
02/27/2024,$69.95,4991533,$69.32,$70.28,$68.87
02/26/2024,$68.40,5204973,$68.00,$69.48,$67.77
02/23/2024,$67.64,3772767,$67.50,$67.89,$67.19
02/22/2024,$66.96,7627622,$66.95,$67.23,$65.77
02/21/2024,$65.34,12820120,$62.03,$65.515,$61.00
02/20/2024,$67.91,3271365,$68.16,$68.36,$66.76
02/16/2024,$68.48,4528400,$70.08,$70.08,$67.90
02/15/2024,$70.26,3186036,$71.45,$71.49,$70.04
02/14/2024,$70.88,3703416,$70.08,$70.94,$69.925
02/13/2024,$69.40,5427329,$68.52,$69.555,$68.25
02/12/2024,$70.26,4790775,$70.66,$71.087,$70.13
02/09/2024,$70.44,7522413,$68.25,$70.86,$68.20
02/08/2024,$67.85,8370859,$69.79,$70.64,$67.76
02/07/2024,$70.03,25551140,$73.83,$73.91,$67.22
02/06/2024,$67.48,13315840,$66.50,$67.56,$65.89
02/05/2024,$66.09,9137541,$66.41,$66.44,$64.855
02/02/2024,$66.44,8320021,$66.34,$66.99,$65.895
02/01/2024,$66.45,9622546,$64.71,$66.685,$64.59
01/31/2024,$64.49,9668130,$64.87,$65.275,$63.59
01/30/2024,$66.71,5829977,$66.19,$66.915,$65.80
01/29/2024,$66.45,4443352,$65.81,$66.64,$65.66
01/26/2024,$66.12,6691532,$65.46,$66.77,$65.3493
01/25/2024,$65.55,6800378,$67.27,$67.36,$65.02
01/24/2024,$66.11,7735358,$65.06,$66.72,$64.77
01/23/2024,$64.41,8220622,$64.26,$64.78,$63.7701
01/22/2024,$62.66,8397957,$61.88,$62.80,$61.395
01/19/2024,$60.90,9170503,$61.55,$62.10,$60.08
01/18/2024,$61.41,4429104,$61.00,$61.489,$60.29
01/17/2024,$60.62,5407773,$61.20,$61.62,$59.734
01/16/2024,$62.00,6578183,$61.09,$62.39,$61.01
01/12/2024,$62.44,4793979,$62.63,$63.04,$61.76
01/11/2024,$62.25,5072234,$62.00,$62.33,$60.96
01/10/2024,$61.37,6296082,$59.38,$61.595,$59.13
01/09/2024,$59.40,9085851,$60.31,$61.20,$59.31
01/08/2024,$61.26,6054488,$58.55,$61.30,$58.45
01/05/2024,$58.34,4914212,$58.26,$58.93,$58.08
01/04/2024,$58.39,5365387,$58.00,$58.725,$57.7783
01/03/2024,$57.85,5329549,$57.28,$58.22,$56.94
01/02/2024,$57.78,6012333,$58.10,$58.77,$57.35
12/29/2023,$58.53,2880568,$59.30,$59.39,$58.27
12/28/2023,$59.40,2900263,$59.50,$59.58,$59.06
12/27/2023,$59.34,2878074,$59.66,$59.83,$59.02
