Date,Close/Last,Volume,Open,High,Low
03/22/2024,$89.73,6178074,$91.46,$91.90,$89.37
03/21/2024,$91.20,2754875,$91.25,$92.18,$91.12
03/20/2024,$90.89,2016902,$90.48,$91.11,$90.15
03/19/2024,$90.78,2996548,$90.60,$91.00,$90.36
03/18/2024,$90.61,2843947,$89.90,$90.96,$89.4944
03/15/2024,$89.41,7314647,$88.25,$89.73,$87.93
03/14/2024,$88.33,4859083,$88.10,$89.04,$87.76
03/13/2024,$88.48,14434550,$87.56,$89.365,$86.55
03/12/2024,$91.82,3042189,$92.19,$92.50,$91.70
03/11/2024,$93.00,2123396,$93.81,$94.06,$92.13
03/08/2024,$93.87,2853883,$92.80,$94.50,$92.49
03/07/2024,$92.66,3014595,$93.20,$93.55,$91.99
03/06/2024,$93.10,2521202,$91.56,$94.08,$91.45
03/05/2024,$91.81,2804872,$92.72,$93.50,$91.52
03/04/2024,$92.73,2615241,$92.94,$93.50,$92.425
03/01/2024,$92.72,2696180,$91.05,$93.06,$90.575
02/29/2024,$91.28,6143958,$93.31,$93.34,$88.87
02/28/2024,$93.02,3431939,$92.25,$93.9592,$92.00
02/27/2024,$92.52,3993366,$90.01,$92.58,$89.4894
02/26/2024,$90.62,3805070,$88.94,$90.71,$88.79
02/23/2024,$89.07,3815582,$87.40,$89.73,$87.235
02/22/2024,$87.64,4154899,$85.45,$88.10,$85.005
02/21/2024,$84.98,5839786,$83.00,$85.21,$82.06
02/20/2024,$86.39,6372550,$85.93,$86.81,$85.58
02/16/2024,$86.02,13131800,$83.51,$87.29,$83.49
02/15/2024,$85.63,2346091,$83.94,$85.74,$83.925
02/14/2024,$83.17,2214771,$82.60,$83.4399,$82.3401
02/13/2024,$82.31,2529750,$82.35,$82.717,$81.16
02/12/2024,$83.17,2304304,$81.62,$83.31,$81.39
02/09/2024,$81.34,2755210,$82.29,$82.75,$80.6102
02/08/2024,$82.06,2483813,$81.53,$82.14,$80.4364
02/07/2024,$81.83,4278075,$82.04,$82.5081,$80.17
02/06/2024,$81.96,12511170,$76.75,$83.11,$76.56
02/05/2024,$73.41,3365666,$73.22,$73.57,$72.61
02/02/2024,$73.91,2446671,$74.03,$74.36,$72.52
02/01/2024,$74.35,2593628,$73.36,$75.13,$72.99
01/31/2024,$73.36,3129586,$73.93,$74.47,$72.95
01/30/2024,$74.00,1673926,$73.73,$74.52,$73.12
01/29/2024,$74.38,2160340,$72.91,$74.42,$72.50
01/26/2024,$73.15,2334567,$73.00,$73.29,$72.47
01/25/2024,$72.87,2126518,$72.33,$73.10,$71.42
01/24/2024,$71.55,3594377,$73.64,$73.70,$71.31
01/23/2024,$73.67,2850390,$74.63,$74.73,$72.685
01/22/2024,$74.64,2414925,$74.28,$75.45,$74.17
01/19/2024,$74.11,3704645,$73.445,$74.12,$73.20
01/18/2024,$73.52,2421515,$72.75,$73.76,$72.42
01/17/2024,$72.75,3766982,$74.24,$74.24,$72.02
01/16/2024,$74.97,2831576,$75.90,$75.90,$74.54
01/12/2024,$76.17,1888313,$76.28,$76.47,$75.40
