Date,Close/Last,Volume,Open,High,Low
03/22/2024,$52.21,580051,$52.23,$52.55,$51.67
03/21/2024,$52.48,1118514,$53.56,$54.22,$52.42
03/20/2024,$52.44,986062,$51.20,$52.54,$50.57
03/19/2024,$51.29,864451,$51.58,$51.795,$50.678
03/18/2024,$52.10,1192684,$52.00,$52.97,$51.92
03/15/2024,$51.88,2652781,$52.10,$52.65,$51.773
03/14/2024,$52.56,1664492,$53.70,$53.795,$52.14
03/13/2024,$53.73,1057720,$53.64,$54.18,$53.15
03/12/2024,$54.00,1301292,$53.91,$54.13,$52.88
03/11/2024,$53.46,1404071,$52.25,$53.52,$51.46
03/08/2024,$52.41,1700801,$53.441,$54.14,$52.22
03/07/2024,$53.80,1429484,$53.35,$55.10,$53.16
03/06/2024,$52.57,1349371,$52.84,$53.33,$52.29
03/05/2024,$52.53,1998051,$53.08,$54.0099,$51.95
03/04/2024,$54.62,1687904,$55.94,$55.99,$54.51
03/01/2024,$55.66,1474402,$54.97,$56.40,$54.01
02/29/2024,$54.67,1972079,$53.16,$54.77,$52.98
02/28/2024,$52.64,1137849,$52.97,$53.22,$52.37
02/27/2024,$53.50,1386342,$55.00,$55.10,$53.47
02/26/2024,$54.52,972953,$53.42,$54.55,$53.388
02/23/2024,$53.15,1051710,$54.16,$54.3331,$52.985
02/22/2024,$54.11,2684449,$54.51,$54.77,$52.90
02/21/2024,$53.39,2084870,$54.39,$54.40,$52.40
02/20/2024,$54.50,4351045,$55.90,$56.13,$53.292
02/16/2024,$53.38,2500012,$54.27,$54.35,$52.19
02/15/2024,$54.33,1958175,$55.44,$55.61,$53.75
02/14/2024,$54.97,2578417,$54.22,$55.25,$53.59
02/13/2024,$54.66,4136885,$53.68,$56.33,$53.18
02/12/2024,$55.82,2536646,$55.99,$57.21,$55.675
02/09/2024,$55.94,2308368,$55.05,$56.26,$54.65
02/08/2024,$54.78,2453722,$52.69,$55.79,$52.44
02/07/2024,$52.54,1419311,$52.38,$52.735,$51.12
02/06/2024,$51.65,1856275,$51.31,$52.01,$51.10
02/05/2024,$51.565,3297802,$53.12,$53.60,$51.5486
02/02/2024,$55.27,1114793,$54.07,$55.48,$53.91
02/01/2024,$54.66,1383915,$55.10,$55.40,$54.30
01/31/2024,$54.98,1393065,$55.85,$56.40,$54.87
01/30/2024,$56.47,1136368,$56.72,$56.955,$55.995
01/29/2024,$57.35,1381188,$56.60,$57.57,$56.37
01/26/2024,$56.50,2240461,$58.22,$58.27,$55.93
01/25/2024,$59.33,1408826,$61.15,$61.27,$58.765
01/24/2024,$60.27,1177418,$60.86,$61.49,$59.91
01/23/2024,$60.42,1389674,$59.28,$60.79,$58.88
01/22/2024,$58.74,1499752,$59.48,$59.87,$57.77
01/19/2024,$59.17,1833095,$57.19,$59.25,$56.4959
01/18/2024,$56.77,1765105,$55.96,$57.155,$55.15
01/17/2024,$54.87,1620004,$54.50,$55.02,$52.79
01/16/2024,$55.61,1968593,$56.58,$56.58,$54.77
01/12/2024,$57.39,798979,$57.27,$57.765,$56.70
01/11/2024,$56.95,773809,$57.20,$57.635,$56.07
01/10/2024,$57.18,694625,$58.11,$58.11,$56.84
01/09/2024,$58.42,1257737,$57.06,$58.77,$56.92
01/08/2024,$58.20,1559181,$56.17,$59.0999,$56.10
01/05/2024,$56.04,761197,$55.92,$56.78,$55.60
01/04/2024,$55.83,975477,$55.56,$56.83,$55.56
01/03/2024,$57.02,1299487,$57.00,$57.73,$56.24
01/02/2024,$58.00,1423453,$59.87,$60.49,$57.465
12/29/2023,$60.60,962116,$61.38,$61.4084,$60.14
12/28/2023,$61.51,743648,$62.61,$62.61,$61.30
12/27/2023,$62.24,829546,$62.49,$62.61,$61.81
12/26/2023,$61.99,783561,$60.73,$62.13,$60.6244
12/22/2023,$60.34,855892,$60.00,$60.84,$59.78
12/21/2023,$59.81,1027611,$59.10,$60.079,$58.91
12/20/2023,$58.04,1438275,$58.25,$58.95,$57.91
12/19/2023,$58.63,795974,$58.80,$59.47,$58.36
12/18/2023,$58.52,1130446,$58.93,$58.9885,$57.565
12/15/2023,$58.75,3838691,$59.22,$60.255,$57.97
12/14/2023,$59.22,2387226,$58.50,$60.76,$58.19
12/13/2023,$57.75,1620058,$56.50,$57.88,$55.80
12/12/2023,$56.31,1975832,$55.41,$56.485,$55.11
12/11/2023,$55.35,2655856,$53.35,$55.96,$53.28
12/08/2023,$52.50,2969017,$52.38,$53.3266,$52.19
12/07/2023,$52.76,2109826,$51.66,$53.14,$51.25
12/06/2023,$51.08,1257645,$52.44,$52.785,$50.98
12/05/2023,$51.62,1341019,$51.95,$52.19,$51.19
12/04/2023,$52.46,2478787,$53.01,$53.18,$51.46
12/01/2023,$53.63,1307793,$53.49,$54.09,$53.27
11/30/2023,$53.69,1322570,$55.05,$55.20,$53.50
11/29/2023,$54.95,1063477,$55.69,$56.59,$54.85
11/28/2023,$54.84,788341,$55.15,$55.39,$54.51
11/27/2023,$55.37,1051492,$55.51,$56.015,$54.67
11/24/2023,$55.96,625576,$56.33,$56.79,$55.925
11/22/2023,$56.87,731156,$57.18,$57.59,$56.585
11/21/2023,$56.49,747387,$58.04,$58.05,$56.07
11/20/2023,$58.42,1534280,$56.37,$58.68,$56.331
11/17/2023,$56.31,819859,$56.50,$56.72,$55.95
11/16/2023,$56.42,1039308,$56.42,$57.35,$55.87
11/15/2023,$56.14,1375625,$56.09,$57.325,$55.92
11/14/2023,$55.79,2241893,$54.01,$56.05,$53.71
11/13/2023,$52.13,1139662,$51.42,$52.40,$51.13
11/10/2023,$51.97,2372037,$51.08,$52.00,$50.06
11/09/2023,$50.81,1697046,$53.10,$53.15,$50.56
11/08/2023,$53.02,1690011,$54.51,$54.87,$52.71
11/07/2023,$54.27,3808977,$54.50,$56.46,$53.00
11/06/2023,$51.66,1932229,$53.20,$53.87,$51.33
11/03/2023,$52.85,1945823,$51.31,$53.30,$51.26
11/02/2023,$50.38,1984291,$49.97,$50.79,$49.40
11/01/2023,$48.85,3123680,$49.75,$49.75,$48.115
10/31/2023,$49.62,1502473,$50.00,$50.05,$48.54
10/30/2023,$49.91,1640764,$51.98,$52.00,$49.71
10/27/2023,$51.98,702067,$52.41,$52.74,$51.72
10/26/2023,$52.06,1222979,$51.54,$53.07,$51.54
10/25/2023,$51.59,1789402,$53.50,$53.81,$51.142
10/24/2023,$54.39,1262342,$54.11,$54.91,$53.95
10/23/2023,$53.95,945844,$54.58,$55.03,$53.46
10/20/2023,$54.36,1464070,$56.10,$56.205,$54.01
10/19/2023,$55.83,1027847,$56.55,$57.05,$55.68
10/18/2023,$55.61,819401,$55.69,$56.25,$55.20
10/17/2023,$56.48,894368,$55.71,$57.00,$55.25
10/16/2023,$56.52,1008197,$56.01,$56.84,$55.615
10/13/2023,$55.65,997723,$57.21,$57.38,$55.19
10/12/2023,$57.23,832309,$57.42,$58.5299,$56.875
10/11/2023,$57.23,1183635,$58.38,$58.70,$56.875
10/10/2023,$58.02,884950,$56.54,$58.69,$56.54
10/09/2023,$56.48,852531,$56.32,$56.69,$55.74
10/06/2023,$56.92,1131640,$55.88,$57.25,$55.57
10/05/2023,$56.47,1025486,$57.33,$57.45,$55.65
10/04/2023,$57.06,1208470,$56.48,$57.38,$55.8198
10/03/2023,$56.06,1444307,$57.28,$58.10,$55.36
10/02/2023,$57.97,1102688,$57.96,$58.74,$57.37
09/29/2023,$58.19,1024202,$59.17,$59.50,$57.92
09/28/2023,$58.60,1086276,$58.19,$59.87,$57.30
09/27/2023,$57.81,1245593,$56.77,$58.13,$56.2158
09/26/2023,$56.23,1151869,$56.89,$57.51,$55.93
09/25/2023,$57.26,1219703,$56.31,$57.335,$55.99
09/22/2023,$56.83,1085456,$57.77,$58.36,$56.72
09/21/2023,$57.31,1926540,$56.74,$58.66,$56.43
09/20/2023,$57.35,984911,$57.98,$58.79,$57.29
09/19/2023,$57.86,1339368,$58.19,$58.19,$56.74
09/18/2023,$58.25,847993,$57.90,$58.8115,$57.85
09/15/2023,$58.08,2235194,$60.405,$60.85,$57.71
09/14/2023,$60.76,1329663,$60.45,$61.06,$59.231
09/13/2023,$59.81,1145254,$60.00,$61.14,$59.52
09/12/2023,$60.07,1631478,$58.65,$60.60,$58.51
09/11/2023,$59.01,1441452,$58.57,$59.19,$57.48
09/08/2023,$57.99,2073888,$56.59,$58.46,$56.55
09/07/2023,$56.53,1712888,$54.55,$56.67,$54.33
09/06/2023,$55.78,828649,$56.03,$56.69,$55.21
09/05/2023,$56.15,831850,$55.27,$56.4499,$54.90
09/01/2023,$55.44,879022,$55.80,$55.95,$55.02
08/31/2023,$55.25,849956,$54.49,$55.47,$54.34
08/30/2023,$54.69,820350,$54.35,$55.065,$53.8071
08/29/2023,$54.53,1569881,$52.12,$54.77,$51.95
08/28/2023,$52.74,841772,$53.21,$53.40,$52.31
08/25/2023,$52.52,1275597,$52.50,$52.80,$51.41
08/24/2023,$52.17,1992973,$55.28,$55.28,$52.05
08/23/2023,$54.63,2268867,$53.91,$55.07,$53.43
08/22/2023,$54.03,1005908,$55.67,$55.735,$53.24
08/21/2023,$54.97,1267573,$53.83,$55.22,$53.66
08/18/2023,$53.91,1750212,$54.35,$54.55,$52.98
08/17/2023,$54.65,1583154,$56.08,$56.20,$54.595
08/16/2023,$55.95,1083430,$56.85,$57.32,$55.95
08/15/2023,$57.17,817328,$57.69,$57.945,$56.73
08/14/2023,$58.19,962092,$56.67,$58.20,$56.14
08/11/2023,$56.88,2514381,$57.24,$57.28,$55.70
08/10/2023,$58.49,944154,$60.00,$60.71,$58.32
08/09/2023,$59.21,1635142,$59.73,$60.16,$58.79
08/08/2023,$60.13,3800449,$55.79,$60.495,$55.65
08/07/2023,$59.15,2121988,$59.20,$59.7169,$58.49
08/04/2023,$58.77,2299646,$59.46,$59.89,$58.45
08/03/2023,$59.66,1499349,$59.49,$60.07,$58.80
08/02/2023,$60.35,1455475,$61.21,$61.21,$59.77
08/01/2023,$62.23,848698,$63.33,$63.69,$62.20
07/31/2023,$63.69,1094062,$62.70,$63.85,$62.665
07/28/2023,$62.75,1340583,$62.65,$63.08,$61.865
07/27/2023,$61.46,1741360,$62.19,$63.7739,$61.05
07/26/2023,$60.65,1502913,$61.68,$61.76,$60.37
07/25/2023,$62.44,1302818,$61.85,$63.28,$61.85
07/24/2023,$61.85,1783005,$63.755,$64.43,$61.67
07/21/2023,$63.75,6481894,$65.25,$65.50,$62.895
07/20/2023,$64.32,2411841,$65.80,$66.00,$63.851
07/19/2023,$66.73,1014682,$67.45,$67.81,$66.47
07/18/2023,$67.45,1660476,$67.33,$68.17,$66.4805
07/17/2023,$68.10,1741039,$66.67,$68.57,$66.46
07/14/2023,$66.72,1074146,$66.64,$66.99,$66.10
07/13/2023,$66.74,1145628,$66.18,$66.93,$65.885
07/12/2023,$65.55,1287693,$65.18,$66.22,$65.06
07/11/2023,$64.20,2129331,$64.33,$64.39,$61.67
07/10/2023,$64.33,1778199,$63.17,$64.45,$62.61
07/07/2023,$62.54,758489,$61.88,$63.395,$61.63
07/06/2023,$61.79,1342753,$62.07,$62.195,$60.84
07/05/2023,$63.35,718189,$64.39,$64.44,$63.085
07/03/2023,$64.74,637046,$65.08,$65.345,$63.74
06/30/2023,$64.58,1260228,$64.03,$65.05,$63.68
06/29/2023,$63.09,1236842,$63.10,$63.13,$61.88
06/28/2023,$62.97,1617368,$62.25,$64.33,$61.81
06/27/2023,$62.83,1435603,$60.17,$63.03,$59.57
06/26/2023,$59.86,1549381,$58.11,$60.37,$58.11
06/23/2023,$57.69,1806186,$58.46,$58.80,$57.41
06/22/2023,$59.61,585189,$59.14,$59.85,$58.72
06/21/2023,$59.44,928080,$61.26,$61.445,$59.375
06/20/2023,$61.85,1048135,$62.69,$63.13,$60.88
06/16/2023,$62.46,2642557,$63.72,$63.72,$61.78
06/15/2023,$62.94,1116853,$61.85,$63.53,$61.85
06/14/2023,$62.48,1248089,$62.71,$63.175,$61.195
06/13/2023,$62.89,1371937,$63.14,$63.7899,$62.76
06/12/2023,$62.30,1757159,$60.30,$62.33,$60.13
06/09/2023,$59.43,1154520,$59.81,$60.84,$59.00
06/08/2023,$59.40,730939,$59.40,$59.875,$58.675
06/07/2023,$59.20,1734141,$57.69,$60.285,$57.69
06/06/2023,$57.40,1160535,$56.47,$57.56,$56.335
06/05/2023,$56.63,1484923,$58.95,$58.95,$56.41
06/02/2023,$59.17,1117573,$60.00,$60.54,$57.80
06/01/2023,$59.35,1521099,$58.81,$59.565,$57.3564
05/31/2023,$58.33,1656521,$59.97,$60.17,$58.26
05/30/2023,$60.69,1672407,$62.08,$62.255,$59.70
05/26/2023,$60.05,2693788,$56.93,$60.52,$56.93
05/25/2023,$56.41,2087928,$56.61,$56.91,$55.04
05/24/2023,$55.51,1314137,$56.78,$56.795,$55.015
05/23/2023,$57.52,1202466,$56.94,$57.76,$56.76
05/22/2023,$57.40,697914,$56.97,$57.59,$56.63
05/19/2023,$56.97,1050937,$57.20,$57.33,$56.2949
05/18/2023,$56.89,1168676,$56.40,$57.04,$55.82
05/17/2023,$55.74,1272050,$54.59,$56.2881,$54.215
05/16/2023,$54.23,1021569,$54.45,$55.11,$53.785
05/15/2023,$54.78,992826,$53.67,$55.025,$53.30
05/12/2023,$53.72,1324340,$54.51,$54.88,$53.24
05/11/2023,$53.98,1502066,$54.37,$54.84,$53.50
05/10/2023,$54.50,2085062,$54.36,$55.65,$54.04
05/09/2023,$54.23,5369730,$55.942,$56.75,$54.21
05/08/2023,$59.80,1625102,$59.53,$59.80,$58.48
05/05/2023,$59.41,1541994,$58.44,$59.83,$58.23
05/04/2023,$58.22,2327048,$59.08,$59.45,$57.745
05/03/2023,$59.43,1385924,$59.51,$60.21,$59.03
05/02/2023,$59.39,1524031,$59.23,$59.96,$59.06
05/01/2023,$59.18,1734272,$58.79,$59.38,$58.46
04/28/2023,$58.80,1633378,$58.72,$59.60,$58.34
04/27/2023,$58.01,1537128,$58.20,$58.305,$57.36
04/26/2023,$58.25,1244213,$58.64,$59.41,$57.95
04/25/2023,$58.47,1476445,$60.37,$60.37,$58.24
