Date,Close/Last,Volume,Open,High,Low
03/22/2024,$72.61,7730620,$73.11,$73.23,$72.56
03/21/2024,$73.09,5836856,$73.90,$74.28,$73.03
03/20/2024,$73.98,7311351,$73.27,$73.98,$72.80
03/19/2024,$73.41,8661777,$73.34,$73.77,$73.19
03/18/2024,$73.26,6939612,$73.69,$74.17,$73.205
03/15/2024,$73.69,13963770,$74.25,$74.66,$73.29
03/14/2024,$74.21,8399270,$74.72,$75.02,$73.82
03/13/2024,$75.94,6003025,$75.49,$76.175,$74.96
03/12/2024,$75.08,7056289,$75.25,$75.34,$74.25
03/11/2024,$75.32,7394928,$74.88,$76.21,$74.83
03/08/2024,$75.12,9519011,$73.96,$75.435,$73.66
03/07/2024,$73.66,9902838,$72.97,$74.08,$72.68
03/06/2024,$72.63,6170328,$72.88,$73.32,$72.51
03/05/2024,$72.99,6280430,$72.40,$73.01,$72.10
03/04/2024,$72.25,5750080,$72.39,$72.60,$71.96
03/01/2024,$72.31,5401188,$72.28,$72.655,$72.04
02/29/2024,$72.10,8583444,$72.72,$72.91,$71.92
02/28/2024,$72.70,4245558,$73.18,$73.25,$72.61
02/27/2024,$73.02,6090379,$72.85,$73.135,$72.63
02/26/2024,$72.95,5177937,$73.50,$73.89,$72.84
02/23/2024,$73.55,5573505,$73.25,$74.24,$73.00
02/22/2024,$72.78,7323717,$72.26,$72.885,$71.83
02/21/2024,$73.20,6233571,$72.51,$73.29,$72.51
02/20/2024,$72.04,7874245,$71.59,$72.73,$71.45
02/16/2024,$71.58,12823250,$73.00,$73.0878,$71.37
02/15/2024,$73.37,5482851,$73.04,$73.57,$72.81
02/14/2024,$73.04,7487680,$73.11,$73.83,$72.83
02/13/2024,$73.53,8560069,$74.69,$74.77,$72.97
02/12/2024,$74.45,7605845,$73.41,$75.14,$73.11
02/09/2024,$73.67,10718250,$73.82,$74.12,$72.81
02/08/2024,$73.80,8815205,$74.40,$74.59,$73.03
