Date,Close/Last,Volume,Open,High,Low
03/22/2024,$150.77,29211770,$149.12,$151.58,$148.98
03/21/2024,$147.60,24755600,$149.47,$150.37,$146.9001
03/20/2024,$148.74,21311500,$148.00,$148.86,$146.735
03/19/2024,$147.03,24070440,$148.16,$148.7913,$146.08
03/18/2024,$147.68,69273700,$148.61,$152.15,$147.17
03/15/2024,$141.18,49475420,$142.50,$143.18,$140.03
03/14/2024,$143.10,42753390,$141.19,$143.585,$140.455
03/13/2024,$139.79,23347210,$139.00,$141.09,$138.99
03/12/2024,$138.50,27563350,$137.03,$139.375,$137.03
03/11/2024,$137.67,32437770,$136.13,$139.095,$136.13
03/08/2024,$135.41,39370390,$134.21,$138.085,$134.00
03/07/2024,$134.38,37738210,$132.795,$134.94,$131.61
03/06/2024,$131.40,35318610,$133.12,$133.58,$130.85
03/05/2024,$132.67,40194760,$131.88,$133.24,$130.665
03/04/2024,$133.35,55999420,$135.66,$135.66,$131.91
03/01/2024,$137.14,31151120,$138.43,$138.87,$136.92
02/29/2024,$138.46,42132950,$137.28,$138.86,$136.40
02/28/2024,$136.38,37328560,$137.90,$138.01,$135.41
02/27/2024,$138.88,33099190,$138.02,$139.25,$137.09
02/26/2024,$137.57,53641800,$142.14,$142.44,$137.39
02/23/2024,$143.96,19493750,$143.67,$144.68,$143.43
02/22/2024,$144.09,27191890,$144.93,$145.00,$142.80
02/21/2024,$142.55,23315690,$141.45,$142.69,$140.675
02/20/2024,$141.12,24935710,$139.655,$142.08,$139.49
02/16/2024,$140.52,31468930,$142.99,$143.19,$140.14
02/15/2024,$142.77,37590700,$143.14,$143.52,$140.46
02/14/2024,$145.94,22704170,$146.08,$146.52,$144.094
02/13/2024,$145.14,27837730,$144.92,$146.67,$143.69
02/12/2024,$147.53,21564090,$148.42,$149.335,$147.37
02/09/2024,$149.00,26829500,$146.68,$149.44,$146.18
02/08/2024,$145.91,22563760,$145.83,$146.33,$145.105
02/07/2024,$145.54,25208860,$144.76,$145.615,$143.925
02/06/2024,$144.10,29128200,$144.65,$145.36,$143.19
02/05/2024,$143.68,38505410,$142.82,$145.47,$142.78
02/02/2024,$142.38,62499570,$139.26,$142.62,$136.50
02/01/2024,$141.16,40466550,$142.12,$143.06,$140.79
01/31/2024,$140.10,71910040,$143.62,$144.00,$139.87
01/30/2024,$151.46,36331830,$152.80,$153.62,$151.185
01/29/2024,$153.51,27784260,$152.06,$153.78,$151.43
01/26/2024,$152.185,26115490,$151.10,$152.535,$151.01
01/25/2024,$151.87,29149070,$150.065,$153.05,$149.54
01/24/2024,$148.70,25233450,$148.54,$149.855,$148.10
