Date,Close/Last,Volume,Open,High,Low
03/22/2024,$530.72,251360,$532.92,$537.78,$526.88
03/21/2024,$532.09,428487,$535.00,$541.84,$530.74
03/20/2024,$529.50,422478,$533.27,$535.48,$524.545
03/19/2024,$534.42,335025,$529.10,$536.575,$529.03
03/18/2024,$529.81,379506,$532.83,$535.69,$529.00
03/15/2024,$529.77,829385,$530.12,$536.854,$526.73
03/14/2024,$535.58,337138,$540.68,$542.43,$531.55
03/13/2024,$540.18,315251,$547.28,$550.24,$537.91
03/12/2024,$546.84,396978,$549.12,$552.20,$543.16
03/11/2024,$548.31,465019,$562.25,$562.25,$544.31
03/08/2024,$561.41,299172,$564.81,$574.94,$559.32
03/07/2024,$563.22,375038,$565.21,$570.71,$559.49
03/06/2024,$557.46,371779,$563.59,$567.03,$557.29
03/05/2024,$558.32,417787,$571.67,$571.67,$555.925
03/04/2024,$571.28,323489,$578.34,$580.18,$565.01
03/01/2024,$576.87,375725,$575.23,$583.39,$560.18
02/29/2024,$575.23,551852,$573.13,$576.84,$568.88
02/28/2024,$571.68,270071,$573.19,$575.575,$568.71
02/27/2024,$575.07,292557,$569.61,$576.57,$567.67
02/26/2024,$569.87,348869,$576.29,$576.49,$566.38
02/23/2024,$576.29,256622,$568.76,$577.52,$568.76
02/22/2024,$571.31,428834,$558.51,$574.74,$558.51
02/21/2024,$554.77,413751,$552.00,$555.22,$545.69
02/20/2024,$551.21,441413,$553.77,$553.77,$546.945
02/16/2024,$555.54,376863,$565.15,$565.37,$555.00
02/15/2024,$568.83,308647,$562.39,$569.26,$558.49
02/14/2024,$560.56,390769,$558.54,$562.74,$555.52
02/13/2024,$555.66,336003,$553.14,$558.88,$546.41
02/12/2024,$565.56,301984,$568.96,$569.84,$561.22
02/09/2024,$572.21,320643,$575.80,$578.35,$565.52
02/08/2024,$573.61,542607,$565.72,$575.945,$562.42
02/07/2024,$572.31,626309,$568.79,$576.115,$562.105
02/06/2024,$567.00,576057,$575.96,$579.6799,$561.97
02/05/2024,$572.12,921479,$531.51,$573.625,$531.51
02/02/2024,$527.14,607874,$521.68,$531.365,$518.485
02/01/2024,$527.28,457705,$519.62,$527.97,$510.02
01/31/2024,$515.08,436166,$522.67,$524.33,$513.25
01/30/2024,$521.03,467015,$520.80,$527.79,$517.15
01/29/2024,$532.06,316581,$523.71,$532.70,$522.185
01/26/2024,$524.98,385209,$526.59,$529.42,$521.435
01/25/2024,$522.44,325362,$525.98,$530.13,$519.96
01/24/2024,$520.21,357997,$535.37,$537.73,$519.99
01/23/2024,$531.52,293767,$533.73,$534.98,$524.00
01/22/2024,$531.43,449004,$525.91,$537.85,$525.91
01/19/2024,$523.82,443076,$525.23,$525.51,$513.33
01/18/2024,$525.28,696214,$515.91,$525.76,$515.50
01/17/2024,$515.48,753457,$516.23,$520.04,$507.605
01/16/2024,$520.00,817126,$533.69,$536.50,$519.52
01/12/2024,$535.29,624900,$563.00,$564.80,$534.83
01/11/2024,$558.71,463801,$551.58,$559.705,$546.05
