Date,Close/Last,Volume,Open,High,Low
03/22/2024,$137.24,1295148,$137.02,$137.49,$133.865
03/21/2024,$137.45,1987287,$140.71,$144.1899,$136.42
03/20/2024,$133.19,1275456,$132.68,$133.29,$129.75
03/19/2024,$133.16,3055361,$128.88,$135.81,$128.485
03/18/2024,$130.14,2846620,$128.38,$131.58,$125.82
03/15/2024,$127.73,2239647,$127.50,$128.55,$126.2759
03/14/2024,$128.10,1437785,$131.94,$133.20,$126.20
03/13/2024,$132.78,1590013,$132.00,$135.61,$131.605
03/12/2024,$132.71,2134263,$138.94,$138.94,$132.615
03/11/2024,$139.06,1342618,$136.30,$140.22,$135.52
03/08/2024,$135.43,1922425,$137.23,$139.84,$134.28
03/07/2024,$136.00,1148385,$136.82,$138.77,$135.30
03/06/2024,$135.13,1180353,$136.31,$137.19,$133.375
03/05/2024,$134.68,1432154,$136.20,$137.3899,$134.42
03/04/2024,$137.70,1476377,$140.25,$140.80,$135.92
03/01/2024,$140.50,1898734,$139.20,$142.70,$135.47
02/29/2024,$139.83,1226294,$143.97,$146.08,$139.78
02/28/2024,$140.98,1180936,$138.32,$143.17,$138.12
02/27/2024,$139.76,1322847,$137.03,$140.05,$134.79
02/26/2024,$136.97,2048934,$135.01,$139.66,$135.00
02/23/2024,$133.00,1321940,$135.77,$136.61,$132.91
02/22/2024,$135.55,2100099,$137.34,$137.41,$134.15
02/21/2024,$136.41,1529908,$137.50,$139.14,$133.87
02/20/2024,$140.05,1363165,$141.72,$142.90,$138.60
02/16/2024,$143.41,1878086,$144.17,$147.25,$142.70
02/15/2024,$146.07,1469171,$142.17,$147.00,$141.00
02/14/2024,$140.74,1735231,$135.02,$140.95,$134.02
02/13/2024,$133.74,2320076,$136.49,$137.96,$129.63
02/12/2024,$139.96,2602929,$137.84,$140.32,$135.31
02/09/2024,$137.84,3727894,$143.75,$147.6999,$135.30
02/08/2024,$143.33,2435406,$142.47,$144.85,$139.19
02/07/2024,$142.94,1715764,$145.09,$145.09,$139.91
02/06/2024,$144.89,1766414,$142.10,$146.12,$141.21
