Date,Close/Last,Volume,Open,High,Low
03/22/2024,$42.57,28503060,$42.25,$42.80,$42.09
03/21/2024,$42.42,50807590,$42.99,$43.60,$42.32
03/20/2024,$42.20,74864990,$42.99,$43.01,$41.41
03/19/2024,$42.05,34672950,$42.25,$42.29,$41.44
03/18/2024,$42.71,27668280,$43.09,$43.38,$42.595
03/15/2024,$42.64,66952860,$42.45,$43.15,$42.35
03/14/2024,$42.75,38100020,$43.23,$43.35,$42.51
03/13/2024,$43.23,53195930,$44.51,$44.98,$43.20
03/12/2024,$45.24,31795830,$45.06,$45.265,$44.46
03/11/2024,$44.86,35050990,$43.87,$44.93,$43.66
03/08/2024,$44.00,54916600,$46.44,$46.6277,$44.00
03/07/2024,$46.15,50378150,$45.55,$46.4199,$45.18
03/06/2024,$44.51,52652050,$43.93,$45.505,$43.555
03/05/2024,$43.16,56655140,$44.56,$44.8675,$42.69
03/04/2024,$45.61,59990810,$44.27,$46.61,$43.85
03/01/2024,$43.82,41426070,$43.41,$44.2698,$43.13
02/29/2024,$43.05,48875120,$42.37,$43.15,$42.3551
02/28/2024,$41.99,26928470,$42.44,$42.45,$41.91
02/27/2024,$42.73,25126370,$43.25,$43.265,$42.51
02/26/2024,$42.99,27035380,$43.50,$43.68,$42.82
02/23/2024,$42.99,33810710,$43.125,$43.51,$42.66
02/22/2024,$42.98,62809320,$44.68,$44.68,$42.53
02/21/2024,$43.47,57714970,$44.48,$44.69,$43.08
02/20/2024,$44.52,61514140,$44.26,$45.17,$43.42
02/16/2024,$43.51,29975300,$44.03,$44.2199,$43.12
02/15/2024,$44.05,44024510,$44.755,$45.27,$44.02
02/14/2024,$44.19,36186230,$43.82,$44.29,$43.39
02/13/2024,$43.16,36622230,$43.00,$43.63,$42.76
02/12/2024,$44.03,51107350,$43.39,$45.04,$43.32
02/09/2024,$43.31,51192960,$42.55,$43.52,$42.395
02/08/2024,$42.50,33206470,$42.72,$42.97,$42.33
02/07/2024,$42.78,34269250,$42.89,$43.095,$42.55
02/06/2024,$42.74,34068220,$42.70,$42.78,$42.14
02/05/2024,$42.77,28890260,$42.62,$43.15,$42.425
02/02/2024,$42.60,53683500,$43.00,$43.14,$41.60
02/01/2024,$43.36,38819860,$43.15,$43.57,$42.485
01/31/2024,$43.08,51584250,$42.57,$43.785,$42.36
01/30/2024,$42.92,47958760,$43.67,$43.82,$42.89
01/29/2024,$43.84,51790860,$43.71,$43.99,$42.81
01/26/2024,$43.65,127665300,$44.18,$45.41,$43.35
01/25/2024,$49.55,84845090,$50.00,$50.30,$48.97
01/24/2024,$49.09,49375830,$49.17,$49.77,$48.265
01/23/2024,$48.89,37224140,$48.12,$48.94,$47.32
01/22/2024,$48.22,45639520,$48.85,$49.17,$47.64
01/19/2024,$48.15,55979800,$47.00,$48.76,$46.44
01/18/2024,$46.74,46681350,$47.03,$47.57,$46.17
01/17/2024,$46.06,33488020,$46.4151,$46.4151,$45.65
01/16/2024,$47.06,43720670,$46.98,$47.22,$46.38
01/12/2024,$47.12,27587900,$47.60,$47.67,$46.61
01/11/2024,$47.64,31707880,$47.44,$47.84,$46.73
01/10/2024,$47.47,31480190,$48.24,$48.30,$46.94
01/09/2024,$48.05,30097010,$48.01,$48.56,$47.795
01/08/2024,$48.45,42135130,$47.07,$48.76,$46.97
01/05/2024,$46.89,34344030,$47.03,$47.83,$46.635
01/04/2024,$46.87,47797810,$45.715,$47.16,$45.24
01/03/2024,$47.05,35858430,$47.10,$47.81,$46.80
01/02/2024,$47.80,45905730,$49.20,$49.38,$47.4527
12/29/2023,$50.25,29288710,$50.30,$50.5699,$49.77
12/28/2023,$50.39,27705230,$50.81,$50.87,$50.16
12/27/2023,$50.76,52148040,$50.63,$51.28,$50.19
12/26/2023,$50.50,60287410,$48.92,$50.515,$48.71
12/22/2023,$48.00,30095730,$47.25,$48.1557,$47.20
12/21/2023,$47.08,28320460,$46.48,$47.12,$46.02
12/20/2023,$45.76,38159140,$46.64,$46.95,$45.70
12/19/2023,$46.66,35358770,$45.60,$46.68,$45.51
12/18/2023,$45.69,27895650,$46.15,$46.23,$45.40
12/15/2023,$46.16,84583410,$45.94,$47.27,$45.67
12/14/2023,$45.18,70620770,$45.01,$47.07,$44.65
12/13/2023,$44.57,35216050,$44.08,$44.72,$43.33
12/12/2023,$44.04,31452160,$44.36,$44.44,$43.63
12/11/2023,$44.54,48288160,$43.16,$44.73,$43.08
12/08/2023,$42.70,42814960,$41.84,$42.955,$41.81
12/07/2023,$42.15,29118700,$41.75,$42.435,$41.1801
12/06/2023,$41.27,31992260,$42.48,$42.59,$41.17
12/05/2023,$41.92,31859320,$41.91,$42.29,$41.61
12/04/2023,$42.35,50417590,$43.30,$43.31,$41.685
12/01/2023,$43.74,43928370,$44.36,$44.36,$42.86
11/30/2023,$44.70,46262970,$44.65,$45.09,$44.41
11/29/2023,$44.94,38982030,$44.60,$45.34,$44.60
11/28/2023,$44.23,24548870,$43.69,$44.3827,$43.66
11/27/2023,$44.08,33339940,$43.65,$44.545,$43.65
11/24/2023,$43.96,13037110,$43.68,$44.00,$43.61
