Date,Close/Last,Volume,Open,High,Low
03/22/2024,$643.74,838552,$649.48,$650.59,$639.42
03/21/2024,$651.29,1347563,$643.51,$659.12,$640.50
03/20/2024,$639.65,1335557,$635.19,$642.18,$633.31
03/19/2024,$634.55,1675659,$631.50,$635.34,$625.59
03/18/2024,$630.39,1811079,$630.19,$636.75,$628.96
03/15/2024,$625.52,3145835,$645.49,$649.00,$621.04
03/14/2024,$650.04,1129145,$660.00,$660.00,$645.56
03/13/2024,$655.07,954898,$660.00,$661.5451,$653.68
03/12/2024,$662.64,1097291,$655.73,$666.46,$647.63
03/11/2024,$650.87,1045748,$649.15,$653.16,$638.61
03/08/2024,$651.73,1054477,$644.15,$657.20,$641.88
03/07/2024,$649.34,903200,$656.00,$657.00,$646.56
03/06/2024,$650.28,1071093,$645.77,$650.98,$640.30
03/05/2024,$639.73,1382219,$664.66,$665.52,$631.60
03/04/2024,$668.41,896779,$664.34,$671.01,$660.60
03/01/2024,$666.52,1003879,$659.05,$667.11,$656.22
02/29/2024,$662.89,1934125,$661.52,$667.57,$660.00
02/28/2024,$659.16,1059682,$661.90,$665.73,$656.2647
02/27/2024,$669.36,1059221,$665.00,$670.73,$661.33
02/26/2024,$663.84,1579381,$659.04,$668.285,$651.455
02/23/2024,$659.81,1740445,$652.76,$668.24,$646.15
02/22/2024,$657.92,1975613,$650.08,$659.38,$649.5208
02/21/2024,$638.27,1146180,$640.50,$643.84,$630.52
02/20/2024,$645.91,1470601,$650.71,$655.44,$641.047
02/16/2024,$655.74,1336802,$662.96,$663.00,$651.12
02/15/2024,$664.28,1438184,$662.66,$664.83,$657.00
02/14/2024,$657.13,1285456,$642.99,$657.645,$642.99
02/13/2024,$638.29,1785301,$634.53,$646.40,$628.70
02/12/2024,$656.99,1279158,$655.72,$659.72,$651.89
02/09/2024,$658.16,1005195,$657.53,$662.83,$654.69
02/08/2024,$653.07,1005760,$646.43,$654.24,$643.17
02/07/2024,$643.17,970633,$640.54,$649.31,$636.975
02/06/2024,$635.30,908634,$644.59,$645.85,$630.95
02/05/2024,$640.60,1007974,$638.68,$641.86,$629.28
02/02/2024,$639.58,1287275,$628.22,$642.53,$628.22
02/01/2024,$632.86,1034142,$631.52,$634.88,$623.195
01/31/2024,$631.33,1208581,$641.83,$642.525,$626.205
01/30/2024,$647.72,1114646,$647.89,$652.14,$646.13
01/29/2024,$652.88,869353,$643.00,$654.02,$642.085
01/26/2024,$641.36,770859,$642.80,$646.20,$639.7058
01/25/2024,$641.49,1043447,$649.47,$649.47,$637.07
01/24/2024,$636.18,1017502,$641.75,$644.73,$634.80
01/23/2024,$635.82,853729,$630.59,$636.69,$624.14
01/22/2024,$630.61,954374,$626.55,$632.44,$626.00
