Date,Close/Last,Volume,Open,High,Low
03/22/2024,$394.07,1562713,$392.45,$394.51,$387.17
03/21/2024,$391.96,920837,$394.00,$397.00,$391.93
03/20/2024,$390.37,930134,$390.39,$390.67,$384.40
03/19/2024,$390.53,1610816,$391.99,$392.58,$381.77
03/18/2024,$392.62,1654503,$399.60,$401.27,$390.79
03/15/2024,$396.28,3906792,$398.16,$398.16,$382.63
03/14/2024,$384.31,1413037,$383.23,$384.43,$376.60
03/13/2024,$382.99,1447955,$389.67,$390.69,$380.985
03/12/2024,$389.40,1446493,$378.90,$390.255,$378.52
03/11/2024,$378.90,1602471,$391.00,$391.00,$377.44
03/08/2024,$391.85,1737950,$392.02,$395.93,$390.79
03/07/2024,$392.68,1797733,$393.30,$396.61,$390.35
03/06/2024,$388.16,1203238,$386.76,$393.136,$386.76
03/05/2024,$387.32,1610642,$400.00,$400.41,$386.30
03/04/2024,$400.59,1943687,$398.30,$403.00,$396.51
03/01/2024,$397.90,2194148,$383.48,$399.67,$382.3201
02/29/2024,$385.60,2134795,$384.41,$389.26,$383.93
02/28/2024,$386.59,902880,$384.60,$386.7455,$383.56
02/27/2024,$386.46,1042975,$386.46,$389.4701,$385.275
02/26/2024,$388.27,1024539,$389.40,$391.81,$386.15
02/23/2024,$389.77,1000527,$389.08,$391.25,$387.28
02/22/2024,$389.08,1540785,$382.43,$389.68,$382.21
02/21/2024,$380.23,1216678,$376.75,$380.47,$373.15
02/20/2024,$377.64,1445682,$379.69,$382.88,$374.61
02/16/2024,$378.63,1272001,$378.29,$381.15,$376.00
02/15/2024,$380.17,1053098,$382.03,$383.00,$377.54
02/14/2024,$381.76,1147614,$380.09,$381.91,$378.00
02/13/2024,$378.89,1705296,$375.00,$383.245,$371.00
02/12/2024,$382.13,1569858,$386.09,$387.36,$381.0701
02/09/2024,$388.22,1234101,$387.46,$389.92,$383.05
02/08/2024,$386.94,998655,$389.51,$391.60,$385.36
02/07/2024,$391.375,1458965,$390.38,$392.00,$385.72
02/06/2024,$389.69,1694266,$385.26,$389.79,$384.12
02/05/2024,$383.94,1575287,$384.47,$388.6199,$380.57
02/02/2024,$383.77,1773557,$382.33,$385.43,$377.90
02/01/2024,$383.83,1630137,$378.41,$384.29,$375.67
01/31/2024,$378.22,1802098,$378.50,$383.74,$375.595
01/30/2024,$377.29,1375320,$377.37,$381.79,$376.42
01/29/2024,$379.16,1602969,$374.41,$379.34,$373.06
01/26/2024,$374.76,2144764,$371.60,$375.06,$368.0101
01/25/2024,$374.97,1873334,$372.61,$377.325,$370.60
01/24/2024,$370.07,4949678,$383.93,$384.00,$362.14
01/23/2024,$371.41,2393791,$377.25,$377.8025,$367.50
01/22/2024,$375.81,1813143,$377.91,$379.39,$375.07
01/19/2024,$374.82,2392529,$374.00,$376.90,$370.655
01/18/2024,$371.93,2533109,$369.88,$374.18,$366.7911
01/17/2024,$358.88,1246107,$358.40,$361.23,$355.17
01/16/2024,$362.33,1494965,$363.39,$364.48,$359.395
01/12/2024,$363.71,1456460,$365.00,$366.86,$360.96
01/11/2024,$362.31,2230616,$364.45,$366.8004,$357.63
01/10/2024,$364.45,4868411,$348.00,$364.87,$345.53
01/09/2024,$330.56,1421605,$326.03,$332.80,$325.765
01/08/2024,$328.86,1463337,$324.50,$329.53,$324.12
01/05/2024,$322.50,1042127,$322.55,$327.5185,$321.31
01/04/2024,$323.27,1471767,$320.43,$326.4071,$320.26
01/03/2024,$322.13,1596584,$328.10,$328.10,$320.68
01/02/2024,$330.98,1379307,$333.00,$336.20,$328.38
12/29/2023,$337.36,1303314,$337.83,$339.26,$336.62
12/28/2023,$338.39,740722,$337.01,$340.4899,$336.34
12/27/2023,$337.47,750000,$337.00,$337.67,$335.065
12/26/2023,$337.39,736795,$336.92,$338.345,$335.21
12/22/2023,$336.26,1025099,$334.52,$337.06,$333.46
12/21/2023,$333.45,1969692,$328.97,$333.98,$327.53
12/20/2023,$325.43,1845639,$334.05,$334.05,$325.26
12/19/2023,$335.72,2276743,$328.42,$336.58,$328.00
12/18/2023,$328.42,1937882,$325.73,$331.99,$325.01
12/15/2023,$324.35,3637298,$325.83,$327.00,$322.59
12/14/2023,$326.18,2068912,$330.00,$332.61,$324.83
12/13/2023,$328.96,1446993,$320.68,$329.45,$320.22
12/12/2023,$320.71,1371293,$316.965,$321.36,$314.38
12/11/2023,$315.43,1731147,$310.00,$319.80,$309.80
12/08/2023,$310.42,1222954,$310.52,$312.88,$308.58
12/07/2023,$311.56,1313392,$310.97,$312.745,$307.72
12/06/2023,$310.26,1182695,$311.39,$313.60,$308.6101
12/05/2023,$309.52,1246409,$312.00,$312.00,$304.50
12/04/2023,$311.84,1431186,$311.92,$315.93,$308.91
12/01/2023,$315.20,1388826,$310.59,$315.64,$308.73
11/30/2023,$310.84,2437496,$310.76,$311.99,$304.70
11/29/2023,$310.76,1389053,$312.00,$316.305,$309.965
11/28/2023,$310.95,1558995,$311.84,$312.76,$309.26
11/27/2023,$314.98,1084261,$314.68,$316.00,$312.02
11/24/2023,$318.01,601268,$316.95,$318.26,$316.00
11/22/2023,$315.80,1199862,$315.00,$317.39,$313.92
11/21/2023,$311.82,1461585,$311.00,$312.22,$308.85
11/20/2023,$311.34,1746309,$305.44,$312.20,$305.00
11/17/2023,$305.28,2993483,$306.34,$311.235,$304.615
11/16/2023,$303.95,2296070,$296.79,$305.30,$295.02
11/15/2023,$293.22,1889778,$291.39,$297.34,$291.39
11/14/2023,$291.62,1847810,$288.37,$294.135,$287.98
11/13/2023,$282.48,1772734,$285.328,$289.99,$281.12
11/10/2023,$277.49,1536435,$273.41,$278.55,$269.49
11/09/2023,$272.40,1095214,$277.98,$278.95,$271.895
11/08/2023,$277.93,1620156,$280.50,$282.4475,$276.80
11/07/2023,$278.69,1810265,$277.22,$279.62,$275.275
11/06/2023,$277.26,1156013,$278.13,$279.52,$273.70
11/03/2023,$278.52,1310940,$280.22,$281.58,$277.39
11/02/2023,$277.89,1965926,$274.57,$278.15,$272.63
11/01/2023,$270.46,2087263,$262.17,$272.18,$262.00
10/31/2023,$262.22,2373380,$260.39,$263.95,$260.17
10/30/2023,$258.49,2277841,$260.08,$261.15,$254.85
10/27/2023,$258.98,1861819,$263.82,$264.77,$257.01
10/26/2023,$259.51,2924876,$264.24,$264.24,$255.95
10/25/2023,$266.61,2618054,$280.13,$281.88,$266.13
10/24/2023,$277.39,2529146,$271.93,$280.02,$271.77
10/23/2023,$272.59,2556159,$268.50,$278.18,$267.05
10/20/2023,$266.91,7002531,$260.05,$269.49,$256.72
10/19/2023,$273.45,3022847,$277.10,$278.13,$271.71
10/18/2023,$275.52,1993131,$275.00,$278.70,$273.05
10/17/2023,$275.37,2518811,$272.41,$279.62,$268.43
10/16/2023,$274.16,2283273,$276.00,$278.61,$270.60
10/13/2023,$273.15,2938452,$266.83,$273.72,$265.50
10/12/2023,$266.12,5153342,$281.93,$283.265,$265.60
10/11/2023,$281.79,3560364,$298.66,$298.72,$278.205
10/10/2023,$297.83,1459776,$295.13,$301.07,$292.52
10/09/2023,$294.49,920385,$293.13,$295.13,$289.6025
10/06/2023,$295.68,1444071,$286.47,$296.73,$284.99
10/05/2023,$290.09,963159,$291.85,$292.45,$284.795
10/04/2023,$290.28,1123927,$289.62,$290.82,$285.4662
10/03/2023,$288.04,1059949,$291.54,$292.83,$286.47
10/02/2023,$294.98,978189,$291.96,$296.3933,$290.01
09/29/2023,$292.29,1294334,$297.87,$298.35,$291.70
09/28/2023,$296.15,1206565,$292.13,$297.40,$292.13
09/27/2023,$291.43,1749135,$292.00,$297.455,$288.55
09/26/2023,$290.74,1297599,$291.73,$292.85,$288.95
09/25/2023,$293.25,1519437,$286.40,$293.39,$285.74
09/22/2023,$288.20,1962444,$286.49,$293.92,$284.42
09/21/2023,$284.35,2039755,$290.06,$290.66,$283.74
09/20/2023,$291.96,1391844,$303.17,$303.39,$291.79
09/19/2023,$299.65,1076576,$298.17,$300.48,$295.25
09/18/2023,$298.17,1007141,$296.13,$303.795,$296.00
09/15/2023,$295.54,2792093,$303.74,$304.04,$294.845
09/14/2023,$303.74,1348461,$305.23,$305.87,$299.81
09/13/2023,$302.70,1225361,$301.05,$304.95,$300.14
09/12/2023,$301.55,1205376,$300.92,$302.88,$300.00
09/11/2023,$302.35,1566542,$300.00,$304.185,$298.697
09/08/2023,$298.22,1507751,$297.55,$300.22,$296.575
09/07/2023,$297.22,2117376,$305.53,$305.97,$295.01
09/06/2023,$307.84,1171433,$309.48,$309.65,$303.8018
