Date,Close/Last,Volume,Open,High,Low
03/22/2024,$29.80,7166725,$29.58,$29.855,$29.53
03/21/2024,$29.58,9582255,$29.65,$29.855,$29.54
03/20/2024,$29.71,12464520,$29.35,$29.73,$29.29
03/19/2024,$29.31,13656680,$29.49,$29.91,$29.255
03/18/2024,$29.51,13215360,$28.87,$29.56,$28.795
03/15/2024,$28.88,28531280,$29.02,$29.065,$28.615
03/14/2024,$29.00,16255040,$28.90,$29.285,$28.805
03/13/2024,$28.90,14514820,$29.38,$29.50,$28.89
03/12/2024,$29.29,7185390,$29.34,$29.425,$29.25
03/11/2024,$29.30,6977924,$29.27,$29.47,$29.21
03/08/2024,$29.14,9728487,$29.05,$29.20,$28.90
03/07/2024,$28.96,7363680,$29.18,$29.23,$28.92
03/06/2024,$29.20,7722774,$29.24,$29.40,$29.17
03/05/2024,$29.09,10791550,$29.18,$29.355,$29.03
03/04/2024,$29.10,19511860,$29.195,$29.33,$29.07
03/01/2024,$29.28,47327440,$28.91,$29.45,$28.85
02/29/2024,$29.91,10848180,$30.08,$30.465,$29.77
02/28/2024,$30.03,9757879,$29.42,$30.10,$29.32
02/27/2024,$29.50,10699720,$29.40,$29.73,$29.32
02/26/2024,$29.50,20269360,$30.05,$30.08,$29.17
02/23/2024,$30.19,24281760,$30.45,$30.45,$29.92
02/22/2024,$30.37,16363520,$30.57,$30.96,$29.9895
02/21/2024,$31.60,11468270,$31.45,$31.66,$31.36
02/20/2024,$31.23,15705060,$30.99,$31.555,$30.73
02/16/2024,$30.97,11899500,$31.06,$31.11,$30.675
02/15/2024,$31.09,6392780,$31.16,$31.415,$31.05
02/14/2024,$31.10,8864101,$30.83,$31.145,$30.74
02/13/2024,$30.92,10990890,$31.48,$31.50,$30.72
02/12/2024,$31.32,6261196,$31.09,$31.36,$30.9501
02/09/2024,$31.15,5257455,$31.45,$31.49,$30.945
02/08/2024,$31.49,6873199,$31.24,$31.52,$31.135
02/07/2024,$31.26,7611081,$31.45,$31.58,$31.155
02/06/2024,$31.11,12983660,$31.11,$31.235,$30.92
02/05/2024,$31.04,8392614,$31.47,$31.48,$31.00
02/02/2024,$31.65,5962851,$31.77,$31.90,$31.39
02/01/2024,$31.98,8024256,$31.51,$32.01,$31.215
01/31/2024,$31.44,6335995,$31.88,$31.90,$31.325
01/30/2024,$31.80,5829751,$32.03,$32.09,$31.74
01/29/2024,$32.01,10680050,$31.94,$32.05,$31.90
01/26/2024,$31.98,4879422,$31.73,$32.02,$31.73
01/25/2024,$31.59,7898824,$31.30,$31.60,$31.19
01/24/2024,$31.14,6216728,$31.73,$31.77,$31.07
01/23/2024,$31.74,6970413,$31.51,$31.80,$31.28
01/22/2024,$31.50,6014291,$31.76,$31.91,$31.49
01/19/2024,$31.89,7295528,$31.77,$31.955,$31.41
01/18/2024,$31.80,8788434,$31.54,$31.835,$31.38
01/17/2024,$31.74,6070943,$31.76,$32.015,$31.66
01/16/2024,$31.83,8093317,$31.91,$31.94,$31.62
01/12/2024,$31.91,6273514,$32.09,$32.15,$31.82
01/11/2024,$31.95,6696363,$31.68,$31.98,$31.55
01/10/2024,$31.77,7003225,$31.95,$32.06,$31.64
01/09/2024,$31.98,9428472,$31.64,$31.99,$31.48
01/08/2024,$31.81,18370650,$31.76,$32.0001,$31.53
01/05/2024,$31.97,5261573,$32.24,$32.285,$31.65
01/04/2024,$32.37,7351270,$32.33,$32.605,$32.215
01/03/2024,$32.59,9610264,$33.05,$33.06,$32.40
01/02/2024,$33.37,7861058,$33.38,$33.635,$33.235
12/29/2023,$33.32,4988474,$33.26,$33.37,$33.135
12/28/2023,$33.35,3808076,$33.18,$33.37,$33.115
12/27/2023,$33.11,4895339,$33.06,$33.195,$32.97
12/26/2023,$33.05,3492531,$32.81,$33.125,$32.7125
12/22/2023,$32.83,4467748,$32.465,$32.98,$32.46
12/21/2023,$32.52,4853907,$32.38,$32.55,$32.24
12/20/2023,$32.28,7322697,$32.34,$32.73,$32.26
12/19/2023,$32.54,5632923,$32.30,$32.6464,$32.26
12/18/2023,$32.40,6357280,$32.12,$32.59,$31.8099
12/15/2023,$31.97,18610910,$32.18,$32.50,$31.87
12/14/2023,$32.21,13049730,$33.31,$33.65,$32.17
12/13/2023,$33.24,7104459,$32.71,$33.29,$32.545
12/12/2023,$32.67,5925615,$33.02,$33.02,$32.57
12/11/2023,$32.76,7108555,$32.45,$32.79,$32.45
12/08/2023,$32.11,8254180,$32.33,$32.33,$32.08
12/07/2023,$32.36,6874299,$32.25,$32.455,$32.09
12/06/2023,$32.19,5957472,$32.05,$32.23,$31.815
12/05/2023,$32.03,4578369,$32.12,$32.20,$31.92
12/04/2023,$32.23,5379152,$32.12,$32.429,$32.12
12/01/2023,$32.17,8212940,$31.66,$32.19,$31.6307
11/30/2023,$31.57,21381650,$31.78,$31.855,$31.20
11/29/2023,$31.73,7236513,$32.24,$32.26,$31.66
11/28/2023,$32.24,7068122,$32.55,$32.68,$32.18
11/27/2023,$32.55,8790381,$32.55,$32.72,$32.46
11/24/2023,$32.62,3426127,$32.37,$32.735,$32.37
11/22/2023,$32.41,6123937,$32.06,$32.43,$32.005
11/21/2023,$31.91,5339662,$31.70,$32.02,$31.67
11/20/2023,$31.78,5239026,$31.62,$31.885,$31.40
11/17/2023,$31.73,6947395,$31.95,$31.95,$31.445
11/16/2023,$31.78,7302697,$31.96,$32.21,$31.65
11/15/2023,$31.89,7162715,$31.94,$32.00,$31.775
11/14/2023,$31.88,10032890,$31.57,$31.99,$31.50
11/13/2023,$31.28,6601756,$30.96,$31.37,$30.86
11/10/2023,$30.97,7836202,$30.90,$31.06,$30.815
