Date,Close/Last,Volume,Open,High,Low
03/22/2024,$35.85,8880379,$35.70,$35.945,$35.565
03/21/2024,$35.60,7424446,$35.40,$35.65,$35.31
03/20/2024,$35.35,9952119,$35.31,$35.69,$35.025
03/19/2024,$35.27,7909522,$34.85,$35.29,$34.82
03/18/2024,$34.92,8794132,$34.37,$35.035,$34.28
03/15/2024,$34.37,12259750,$34.26,$34.60,$34.215
03/14/2024,$34.32,9222596,$34.50,$34.60,$34.085
03/13/2024,$34.53,11161940,$34.85,$34.94,$34.34
03/12/2024,$34.60,6893407,$34.85,$34.91,$34.57
03/11/2024,$34.98,7694736,$34.88,$35.24,$34.85
03/08/2024,$34.84,5872796,$34.385,$34.9342,$34.31
03/07/2024,$34.50,6584130,$35.23,$35.24,$34.41
03/06/2024,$35.35,7354968,$35.17,$35.44,$35.15
03/05/2024,$35.13,8928707,$35.202,$35.37,$34.99
03/04/2024,$35.04,8826290,$35.05,$35.28,$34.81
03/01/2024,$35.13,6032444,$35.31,$35.34,$34.975
02/29/2024,$35.28,15251040,$35.61,$35.69,$35.11
02/28/2024,$35.54,4922986,$35.87,$35.89,$35.50
02/27/2024,$35.80,4807487,$36.03,$36.10,$35.58
02/26/2024,$35.96,7033788,$35.90,$36.15,$35.866
02/23/2024,$36.05,6194355,$36.44,$36.5855,$36.03
02/22/2024,$36.41,6661025,$36.08,$36.48,$35.91
02/21/2024,$36.39,9722599,$35.83,$36.41,$35.74
02/20/2024,$35.62,8710405,$35.00,$35.69,$35.00
02/16/2024,$34.81,6404021,$34.91,$35.15,$34.78
02/15/2024,$34.97,10689070,$34.25,$35.17,$34.23
02/14/2024,$34.16,20793770,$34.99,$35.51,$33.67
02/13/2024,$36.13,9869410,$36.43,$36.62,$35.82
02/12/2024,$36.36,9648201,$35.97,$36.40,$35.75
02/09/2024,$35.97,8189336,$36.31,$36.375,$35.80
02/08/2024,$36.47,10685490,$36.44,$36.68,$36.23
02/07/2024,$36.40,7750794,$37.33,$37.37,$36.39
02/06/2024,$37.21,6116063,$37.25,$37.35,$37.05
02/05/2024,$37.22,5800796,$37.52,$37.56,$37.175
02/02/2024,$37.65,5809553,$37.75,$37.91,$37.44
02/01/2024,$37.76,8337669,$37.31,$37.76,$36.77
01/31/2024,$37.13,6270797,$37.35,$37.61,$37.03
01/30/2024,$37.35,5029993,$37.32,$37.46,$37.21
01/29/2024,$37.31,7089439,$37.13,$37.40,$36.97
01/26/2024,$37.21,6726986,$37.37,$37.44,$37.075
01/25/2024,$37.26,5129929,$36.98,$37.43,$36.92
01/24/2024,$36.82,6210888,$37.15,$37.165,$36.77
01/23/2024,$37.15,24754310,$36.74,$37.20,$36.40
01/22/2024,$36.76,9334521,$37.10,$37.10,$36.38
01/19/2024,$37.08,8786781,$37.00,$37.30,$36.59
01/18/2024,$37.01,10693750,$37.77,$37.77,$36.85
01/17/2024,$37.79,7680887,$37.46,$37.99,$37.43
01/16/2024,$37.61,8373769,$37.75,$37.79,$37.43
01/12/2024,$37.68,4958803,$37.74,$37.815,$37.52
01/11/2024,$37.58,7661863,$37.76,$37.84,$37.50
01/10/2024,$37.89,7852082,$38.47,$38.47,$37.74
01/09/2024,$38.55,8108751,$38.06,$38.6099,$37.8825
01/08/2024,$38.25,7553761,$37.86,$38.32,$37.82
01/05/2024,$37.94,5630100,$37.76,$38.115,$37.635
01/04/2024,$37.78,7755447,$37.97,$38.15,$37.695
01/03/2024,$38.08,8913546,$38.245,$38.36,$38.00
01/02/2024,$38.12,11647890,$37.025,$38.3187,$36.98
12/29/2023,$36.98,5537909,$36.66,$37.03,$36.64
12/28/2023,$36.74,5455875,$36.52,$36.86,$36.51
12/27/2023,$36.52,4385636,$36.64,$36.64,$36.33
12/26/2023,$36.50,4079636,$36.35,$36.545,$36.1795
12/22/2023,$36.36,5806270,$36.05,$36.425,$35.98
12/21/2023,$35.96,6185060,$35.74,$36.07,$35.69
12/20/2023,$35.75,8456053,$36.125,$36.195,$35.71
12/19/2023,$36.49,7464522,$36.56,$36.56,$36.17
12/18/2023,$36.71,6447844,$36.68,$36.98,$36.39
12/15/2023,$36.59,14202930,$37.00,$37.14,$36.411
12/14/2023,$37.00,10242680,$37.60,$37.69,$36.935
12/13/2023,$37.66,7541669,$37.15,$37.775,$37.075
12/12/2023,$37.26,9353838,$36.99,$37.45,$36.77
12/11/2023,$36.78,11739750,$36.77,$36.83,$36.55
12/08/2023,$36.23,6113227,$36.52,$36.54,$36.0801
12/07/2023,$36.50,8693164,$36.34,$36.665,$35.975
12/06/2023,$36.20,8942519,$35.90,$36.45,$35.85
12/05/2023,$35.84,7659978,$35.75,$35.96,$35.52
12/04/2023,$35.82,7963635,$35.23,$35.98,$35.23
12/01/2023,$35.52,9401596,$35.05,$35.53,$34.99
11/30/2023,$35.11,23929030,$34.66,$35.27,$34.65
11/29/2023,$35.08,8116855,$35.20,$35.22,$34.935
11/28/2023,$35.12,10641460,$34.95,$35.32,$34.92
11/27/2023,$34.89,8878063,$35.49,$35.49,$34.835
11/24/2023,$34.94,3984128,$34.80,$35.03,$34.72
11/22/2023,$34.68,7111495,$34.30,$34.71,$34.21
11/21/2023,$34.15,8677640,$33.91,$34.27,$33.82
11/20/2023,$33.79,6552094,$33.56,$33.89,$33.545
11/17/2023,$33.66,6462333,$33.90,$33.95,$33.48
11/16/2023,$33.81,6816866,$33.75,$33.89,$33.525
11/15/2023,$33.56,6432836,$33.58,$33.77,$33.33
11/14/2023,$33.58,9084795,$33.92,$34.105,$33.48
11/13/2023,$33.24,6532220,$32.90,$33.48,$32.775
11/10/2023,$32.89,6562002,$32.87,$33.02,$32.75
11/09/2023,$32.95,6038649,$33.22,$33.25,$32.94
11/08/2023,$33.17,5985457,$33.10,$33.34,$32.87
11/07/2023,$33.09,5879254,$33.29,$33.395,$33.07
11/06/2023,$33.29,6880470,$33.33,$33.48,$32.975
11/03/2023,$33.27,8384960,$33.70,$33.80,$33.225
11/02/2023,$33.51,11280820,$32.38,$33.705,$32.18
11/01/2023,$32.20,16109370,$31.45,$33.0776,$31.10
10/31/2023,$31.46,10525700,$31.62,$31.70,$31.075
10/30/2023,$31.62,6628599,$31.61,$31.7921,$31.465
10/27/2023,$31.44,6053828,$31.77,$31.94,$31.355
10/26/2023,$31.86,5876858,$32.22,$32.33,$31.83
10/25/2023,$32.08,6616602,$31.61,$32.115,$31.51
10/24/2023,$31.71,7251848,$31.25,$31.77,$31.25
10/23/2023,$31.12,5213331,$31.31,$31.495,$31.105
10/20/2023,$31.31,6693409,$31.53,$31.75,$31.20
10/19/2023,$31.45,6258673,$31.76,$31.82,$31.405
10/18/2023,$31.73,5653420,$31.57,$32.07,$31.535
10/17/2023,$31.51,6768551,$31.50,$31.70,$31.285
10/16/2023,$31.58,7099047,$31.60,$31.82,$31.3689
10/13/2023,$31.43,9364332,$30.89,$31.47,$30.86
10/12/2023,$30.81,13884060,$32.34,$32.34,$30.68
10/11/2023,$32.44,7981583,$32.50,$32.735,$32.335
10/10/2023,$32.47,6075658,$32.69,$32.817,$32.315
10/09/2023,$32.49,5565168,$32.09,$32.565,$32.0318
10/06/2023,$32.03,10106550,$32.13,$32.21,$31.12
10/05/2023,$32.32,6681095,$33.24,$33.2994,$32.24
10/04/2023,$33.28,5401377,$33.19,$33.29,$32.89
10/03/2023,$33.11,6157345,$32.92,$33.145,$32.85
10/02/2023,$33.09,7421870,$33.62,$33.63,$32.89
09/29/2023,$33.64,5633342,$33.83,$33.985,$33.505
09/28/2023,$33.75,11673400,$34.03,$34.13,$33.43
09/27/2023,$34.03,13114390,$34.48,$34.56,$33.98
09/26/2023,$34.50,8787826,$34.32,$34.605,$34.275
09/25/2023,$34.32,6382812,$34.11,$34.355,$33.91
09/22/2023,$34.16,9533875,$34.31,$34.57,$34.13
09/21/2023,$34.49,11581590,$34.04,$34.56,$33.92
09/20/2023,$34.02,7012942,$34.18,$34.261,$33.85
09/19/2023,$33.94,9262297,$33.49,$33.98,$33.41
09/18/2023,$33.42,8084410,$33.565,$33.665,$33.17
09/15/2023,$33.45,12095750,$33.60,$33.80,$33.405
09/14/2023,$33.77,6522854,$33.40,$33.85,$33.30
09/13/2023,$33.19,6994018,$33.65,$33.68,$33.00
09/12/2023,$33.56,6726928,$33.64,$33.75,$33.46
09/11/2023,$33.63,10683460,$33.07,$33.67,$33.04
09/08/2023,$32.96,8049107,$32.67,$33.02,$32.6421
09/07/2023,$32.68,7472327,$32.80,$32.93,$32.53
09/06/2023,$32.57,7067210,$32.57,$32.685,$32.46
09/05/2023,$32.55,7828793,$32.64,$32.9488,$32.42
09/01/2023,$32.58,7765365,$33.20,$33.20,$32.49
08/31/2023,$33.09,14009170,$33.30,$33.365,$33.015
08/30/2023,$33.67,6450896,$33.78,$33.92,$33.60
08/29/2023,$33.76,6554727,$33.98,$33.99,$33.53
08/28/2023,$33.84,5730093,$33.99,$34.045,$33.71
08/25/2023,$33.85,7265544,$33.60,$34.00,$33.57
08/24/2023,$33.52,7037724,$33.34,$33.89,$33.34
08/23/2023,$33.49,7451478,$33.42,$33.655,$33.36
08/22/2023,$33.30,6852694,$33.41,$33.52,$33.215
08/21/2023,$33.48,6604865,$33.705,$33.705,$33.28
08/18/2023,$33.66,6558605,$33.49,$33.86,$33.45
08/17/2023,$33.49,5742499,$33.59,$33.68,$33.39
08/16/2023,$33.56,5400315,$33.74,$33.91,$33.53
08/15/2023,$33.76,6197424,$34.07,$34.10,$33.71
08/14/2023,$34.24,7806090,$34.64,$34.745,$34.11
08/11/2023,$34.55,6922455,$34.43,$34.56,$34.32
08/10/2023,$34.39,4151952,$34.60,$34.755,$34.34
08/09/2023,$34.52,6146126,$34.47,$34.845,$34.431
08/08/2023,$34.46,7586293,$34.91,$34.97,$34.21
08/07/2023,$35.00,7329212,$35.21,$35.405,$34.95
08/04/2023,$35.28,5771088,$35.57,$35.76,$35.26
08/03/2023,$35.57,9138715,$36.26,$36.475,$35.51
08/02/2023,$36.32,13251230,$35.55,$36.45,$35.35
08/01/2023,$35.88,9719502,$36.25,$36.36,$35.55
07/31/2023,$36.18,7961012,$36.15,$36.31,$36.02
07/28/2023,$36.16,8383887,$36.36,$36.40,$36.06
07/27/2023,$36.20,5797314,$36.41,$36.595,$36.14
07/26/2023,$36.36,6028400,$36.46,$36.60,$36.13
07/25/2023,$36.55,5689232,$36.40,$36.67,$36.27
07/24/2023,$36.35,6842448,$36.36,$36.51,$36.30
07/21/2023,$36.32,22388530,$36.42,$36.62,$36.245
07/20/2023,$36.40,6593486,$36.22,$36.54,$35.97
07/19/2023,$36.14,8147595,$35.69,$36.19,$35.64
07/18/2023,$35.51,6004500,$35.55,$35.72,$35.24
07/17/2023,$35.51,6698776,$35.69,$35.79,$35.48
07/14/2023,$35.85,6540245,$35.73,$35.915,$35.48
07/13/2023,$35.64,6825801,$35.76,$35.90,$35.45
07/12/2023,$35.76,6360153,$35.75,$35.82,$35.59
07/11/2023,$35.63,7666520,$35.58,$35.745,$35.355
07/10/2023,$35.40,11608930,$35.63,$35.84,$35.35
07/07/2023,$35.46,5440892,$35.65,$35.775,$35.44
07/06/2023,$35.66,6234601,$35.82,$35.89,$35.53
07/05/2023,$35.85,7294027,$35.74,$36.03,$35.61
07/03/2023,$35.81,3830859,$35.49,$35.94,$35.385
06/30/2023,$35.50,8907876,$35.22,$35.58,$35.19
06/29/2023,$35.02,5822354,$35.00,$35.09,$34.83
06/28/2023,$35.02,8543245,$35.26,$35.26,$34.85
06/27/2023,$35.58,7221428,$35.73,$35.77,$35.41
06/26/2023,$35.55,6648873,$35.93,$35.93,$35.0301
06/23/2023,$35.91,12208360,$36.10,$36.25,$35.88
06/22/2023,$36.07,5866757,$36.12,$36.18,$35.86
06/21/2023,$36.07,8490258,$36.50,$36.61,$36.00
06/20/2023,$36.62,6844332,$37.05,$37.15,$36.60
06/16/2023,$36.99,12250540,$36.82,$37.14,$36.43
06/15/2023,$36.87,7082163,$36.95,$37.09,$36.685
06/14/2023,$36.67,7445402,$36.69,$36.92,$36.42
06/13/2023,$36.80,6304775,$36.61,$36.84,$36.46
06/12/2023,$36.58,9797075,$36.79,$36.925,$36.28
06/09/2023,$36.88,7828469,$36.965,$37.10,$36.77
06/08/2023,$37.19,6077678,$36.84,$37.22,$36.67
06/07/2023,$36.95,11075900,$37.23,$37.273,$36.721
06/06/2023,$37.79,5270953,$38.15,$38.295,$37.46
06/05/2023,$38.06,6678163,$38.00,$38.36,$37.8501
06/02/2023,$38.51,9653055,$38.16,$38.54,$38.04
06/01/2023,$38.19,6726984,$38.28,$38.47,$38.11
05/31/2023,$38.22,15509900,$37.90,$38.38,$37.765
05/30/2023,$37.85,7503674,$38.00,$38.23,$37.74
05/26/2023,$38.34,7170983,$38.305,$38.44,$37.855
05/25/2023,$38.26,7841696,$38.21,$38.59,$38.02
05/24/2023,$38.72,6208407,$38.90,$38.97,$38.49
05/23/2023,$38.69,7738798,$38.755,$39.04,$38.50
05/22/2023,$38.74,5394243,$39.28,$39.34,$38.615
05/19/2023,$39.07,5899562,$39.05,$39.315,$38.79
05/18/2023,$38.91,7300282,$38.56,$38.92,$38.33
05/17/2023,$38.91,7796842,$38.97,$39.12,$38.47
05/16/2023,$39.00,9101047,$39.95,$39.97,$38.98
05/15/2023,$40.17,5675029,$40.80,$40.815,$40.09
05/12/2023,$40.66,4624523,$40.57,$40.74,$40.515
05/11/2023,$40.65,4147887,$40.61,$40.70,$40.33
05/10/2023,$40.68,6066225,$40.67,$41.09,$40.40
05/09/2023,$40.88,7023796,$41.025,$41.10,$40.6499
05/08/2023,$41.08,5869852,$41.24,$41.33,$40.91
05/05/2023,$41.32,7676866,$40.73,$41.445,$40.64
05/04/2023,$40.84,10050090,$40.48,$40.92,$40.255
05/03/2023,$40.25,20626250,$40.768,$41.47,$40.19
05/02/2023,$39.45,11098020,$39.78,$39.81,$39.15
05/01/2023,$39.76,7369276,$39.35,$39.88,$39.31
04/28/2023,$39.27,7061574,$39.74,$39.84,$39.19
04/27/2023,$39.68,5971160,$39.16,$39.71,$39.13
04/26/2023,$39.36,6803296,$39.18,$39.52,$39.13
04/25/2023,$39.44,6185040,$39.18,$39.63,$39.11
04/24/2023,$39.18,3857419,$39.20,$39.38,$39.005
04/21/2023,$39.22,4659932,$39.40,$39.49,$38.945
04/20/2023,$39.41,3878800,$39.37,$39.53,$39.2001
04/19/2023,$39.47,4715832,$39.52,$39.56,$39.20
04/18/2023,$39.46,4271619,$39.42,$39.50,$39.065
04/17/2023,$39.54,3755525,$39.19,$39.55,$39.10
04/14/2023,$39.10,4577839,$39.14,$39.35,$38.895
04/13/2023,$39.17,5721625,$39.28,$39.28,$38.70
04/12/2023,$39.28,4475694,$39.20,$39.52,$39.06
04/11/2023,$39.25,5742023,$39.20,$39.315,$38.95
04/10/2023,$39.10,4284578,$39.20,$39.22,$38.7909
04/06/2023,$39.14,4978138,$39.145,$39.36,$38.97
04/05/2023,$39.02,6513359,$38.79,$39.29,$38.74
04/04/2023,$38.61,7472102,$38.81,$38.90,$38.165
04/03/2023,$38.85,5605280,$38.71,$39.06,$38.555
03/31/2023,$38.67,6192918,$39.00,$39.00,$38.345
03/30/2023,$38.84,4557443,$38.80,$39.035,$38.585
03/29/2023,$38.67,4518179,$38.60,$38.95,$38.5814
03/28/2023,$38.39,4118440,$38.62,$38.895,$38.36
03/27/2023,$38.60,5427739,$38.29,$38.75,$38.29
03/24/2023,$38.18,4940729,$37.50,$38.22,$37.42
03/23/2023,$37.42,5383910,$37.44,$37.795,$37.2232
03/22/2023,$37.57,4445759,$38.15,$38.3364,$37.56
03/21/2023,$38.04,6405470,$38.04,$38.14,$37.795
03/20/2023,$37.94,6216232,$37.69,$38.19,$37.63
03/17/2023,$37.63,11363640,$38.10,$38.10,$37.425
03/16/2023,$38.18,7559186,$38.00,$38.22,$37.57
03/15/2023,$38.11,6029910,$37.78,$38.16,$37.49
03/14/2023,$38.14,8377654,$38.06,$38.21,$37.71
03/13/2023,$38.12,7654272,$37.73,$38.74,$37.73
03/10/2023,$37.94,5349601,$37.84,$38.07,$37.75
03/09/2023,$37.79,6423838,$37.865,$38.16,$37.62
03/08/2023,$38.32,5839551,$38.74,$38.7625,$38.035
03/07/2023,$38.64,4812982,$38.87,$38.94,$38.445
03/06/2023,$38.99,4142885,$38.95,$39.06,$38.74
03/03/2023,$39.04,5627785,$38.56,$39.165,$38.10
