Date,Close/Last,Volume,Open,High,Low
03/22/2024,$710.56,412731,$706.43,$718.29,$705.21
03/21/2024,$713.13,758168,$716.89,$727.64,$711.53
03/20/2024,$695.95,904367,$680.16,$698.21,$673.57
03/19/2024,$681.06,888650,$677.80,$686.00,$668.70
03/18/2024,$690.70,798087,$696.33,$705.17,$689.27
03/15/2024,$683.90,1669472,$686.83,$691.892,$679.71
03/14/2024,$692.33,934329,$698.46,$701.00,$687.77
03/13/2024,$688.71,1155487,$690.60,$695.66,$682.17
03/12/2024,$698.40,875570,$691.72,$698.85,$683.35
03/11/2024,$685.38,1037728,$690.05,$691.43,$675.11
03/08/2024,$699.21,1121948,$722.81,$724.47,$699.21
03/07/2024,$723.26,1059117,$719.28,$729.15,$719.28
03/06/2024,$715.46,1063689,$711.77,$721.47,$706.04
03/05/2024,$705.87,1107519,$712.33,$716.2209,$697.81
03/04/2024,$717.81,751361,$724.75,$728.00,$716.43
03/01/2024,$717.57,1124895,$688.28,$719.22,$688.245
02/29/2024,$682.30,998855,$682.44,$684.10,$674.84
02/28/2024,$673.00,622749,$667.70,$675.63,$667.70
02/27/2024,$677.58,717488,$679.99,$684.70,$676.67
02/26/2024,$683.82,649815,$675.62,$686.77,$673.985
02/23/2024,$668.82,597982,$683.00,$687.57,$668.03
02/22/2024,$683.77,1077775,$675.66,$687.69,$672.85
02/21/2024,$651.92,746149,$645.17,$652.07,$639.1701
02/20/2024,$651.77,1262762,$654.51,$660.99,$644.70
02/16/2024,$661.35,1060403,$666.99,$677.47,$657.56
02/15/2024,$652.38,1025640,$655.00,$661.82,$650.5001
02/14/2024,$653.84,1175003,$650.00,$661.87,$647.78
02/13/2024,$641.07,1499634,$628.17,$649.47,$625.50
02/12/2024,$648.05,1233324,$646.10,$657.56,$645.22
02/09/2024,$649.80,1246384,$629.15,$651.26,$628.55
02/08/2024,$618.49,733203,$608.90,$624.80,$608.165
02/07/2024,$608.90,857850,$609.40,$612.5006,$598.68
02/06/2024,$601.62,1027768,$616.37,$616.37,$595.86
02/05/2024,$614.88,902975,$607.33,$615.09,$600.54
02/02/2024,$604.32,854364,$595.25,$607.63,$593.01
02/01/2024,$599.10,890076,$598.78,$602.04,$594.64
01/31/2024,$594.04,1081358,$587.74,$601.99,$581.70
01/30/2024,$595.35,1036487,$595.02,$602.01,$594.51
01/29/2024,$600.08,1060555,$596.49,$602.20,$594.56
01/26/2024,$599.37,2195375,$624.00,$625.92,$596.21
01/25/2024,$641.69,1716810,$651.50,$658.783,$639.15
01/24/2024,$638.45,1083649,$635.76,$646.13,$627.30
01/23/2024,$619.33,895696,$618.79,$622.97,$610.37
01/22/2024,$623.10,967550,$618.53,$628.29,$617.60
01/19/2024,$612.99,1335133,$595.42,$616.98,$593.03
01/18/2024,$590.00,1445282,$579.30,$591.99,$577.00
01/17/2024,$562.50,741065,$564.00,$564.00,$552.85
01/16/2024,$566.81,962193,$559.12,$569.591,$557.75
01/12/2024,$560.61,617431,$563.98,$564.425,$557.19
01/11/2024,$562.14,650660,$557.00,$565.41,$549.63
01/10/2024,$556.09,793550,$558.95,$558.95,$549.87
01/09/2024,$556.34,810294,$555.00,$561.67,$551.10
01/08/2024,$562.36,1268137,$549.06,$565.89,$548.845
01/05/2024,$544.31,767001,$548.11,$551.35,$542.41
01/04/2024,$546.44,859928,$546.39,$554.90,$544.81
01/03/2024,$552.59,819122,$552.00,$558.2459,$550.00
01/02/2024,$560.39,967475,$573.21,$573.21,$553.65
