Date,Close/Last,Volume,Open,High,Low
03/22/2024,$977.90,690086,$984.75,$990.52,$976.02
03/21/2024,$982.57,1407817,$983.10,$1004.295,$976.00
03/20/2024,$949.08,849294,$926.00,$949.92,$923.39
03/19/2024,$931.05,702972,$913.99,$932.88,$909.11
03/18/2024,$925.28,751167,$922.41,$934.95,$919.97
03/15/2024,$910.09,1974575,$908.88,$920.21,$905.60
03/14/2024,$925.68,996385,$933.95,$937.8465,$916.295
03/13/2024,$926.71,1008188,$937.01,$940.70,$920.905
03/12/2024,$950.83,1351224,$933.47,$950.88,$928.01
03/11/2024,$931.20,1326744,$943.11,$943.85,$920.62
03/08/2024,$956.65,1331317,$992.72,$995.81,$955.73
03/07/2024,$994.57,1097411,$989.01,$1007.3899,$987.85
03/06/2024,$981.86,1432903,$976.68,$989.85,$972.25
03/05/2024,$963.10,1308329,$969.99,$979.00,$951.90
03/04/2024,$977.52,901624,$991.17,$993.86,$973.48
03/01/2024,$981.53,1111079,$945.00,$982.445,$943.65
02/29/2024,$938.25,1308447,$936.47,$941.82,$926.22
02/28/2024,$922.67,615103,$917.24,$924.095,$912.85
02/27/2024,$930.73,630334,$940.38,$944.03,$928.23
02/26/2024,$938.76,609081,$936.60,$946.95,$933.015
02/23/2024,$928.50,686883,$947.14,$950.05,$926.1875
02/22/2024,$944.36,1263908,$930.00,$949.33,$925.27
02/21/2024,$901.93,714049,$895.015,$902.22,$886.75
02/20/2024,$900.44,1089031,$918.92,$925.41,$891.01
02/16/2024,$926.03,1327986,$940.41,$955.99,$923.43
02/15/2024,$913.78,852863,$917.75,$921.54,$906.55
02/14/2024,$915.70,1185102,$908.63,$928.97,$907.68
02/13/2024,$892.59,1259538,$875.30,$901.12,$871.965
02/12/2024,$908.00,1254208,$905.50,$924.22,$904.01
02/09/2024,$911.58,1836334,$880.00,$913.815,$874.86
02/08/2024,$864.36,862703,$852.00,$869.59,$846.1401
02/07/2024,$848.54,857204,$837.72,$857.99,$833.22
02/06/2024,$834.62,1054788,$852.90,$857.395,$823.80
02/05/2024,$851.32,865069,$838.79,$857.325,$832.4901
02/02/2024,$838.70,762873,$827.29,$846.38,$827.29
02/01/2024,$832.21,763277,$831.85,$836.07,$824.0401
01/31/2024,$825.17,997084,$822.00,$837.81,$815.67
01/30/2024,$835.79,1069575,$841.09,$849.99,$831.97
01/29/2024,$845.80,990441,$835.70,$846.87,$834.00
01/26/2024,$839.04,1675121,$853.00,$860.00,$836.63
01/25/2024,$865.60,3107341,$877.00,$900.09,$864.70
01/24/2024,$848.16,1927639,$850.00,$858.64,$838.455
01/23/2024,$830.39,824328,$829.61,$831.98,$821.47
