Date,Close/Last,Volume,Open,High,Low
03/22/2024,$403.19,19680080,$416.25,$418.70,$387.11
03/21/2024,$478.84,4022027,$472.00,$480.94,$469.00
03/20/2024,$469.05,1627824,$467.34,$469.7863,$461.92
03/19/2024,$467.27,1428923,$457.69,$467.86,$454.23
03/18/2024,$459.57,1261256,$465.92,$469.69,$459.48
03/15/2024,$464.94,1678133,$467.12,$470.67,$463.1642
03/14/2024,$470.01,1316881,$472.06,$472.06,$462.75
03/13/2024,$465.55,799871,$467.93,$471.7199,$465.37
03/12/2024,$465.28,841235,$459.48,$467.86,$458.56
03/11/2024,$457.76,729732,$461.53,$461.53,$453.67
03/08/2024,$460.39,755175,$461.27,$465.42,$457.29
03/07/2024,$457.28,1078429,$449.03,$461.00,$449.03
03/06/2024,$448.54,941273,$451.99,$452.66,$443.52
03/05/2024,$446.06,975657,$448.81,$448.81,$443.61
03/04/2024,$450.79,1254151,$458.63,$459.03,$449.77
03/01/2024,$458.50,1295260,$461.44,$464.57,$457.63
02/29/2024,$467.09,1431890,$466.03,$469.90,$461.10
02/28/2024,$464.14,913757,$466.50,$474.17,$463.34
02/27/2024,$467.84,919605,$471.09,$471.50,$463.945
02/26/2024,$468.25,1446990,$461.06,$472.96,$459.26
02/23/2024,$457.89,862276,$458.50,$462.82,$454.22
02/22/2024,$455.26,1104969,$448.10,$457.36,$447.35
02/21/2024,$443.46,808288,$447.28,$448.41,$440.26
02/20/2024,$444.60,1185268,$445.77,$449.60,$441.01
02/16/2024,$449.60,1340971,$457.12,$457.39,$445.53
02/15/2024,$458.98,915605,$461.32,$463.24,$454.5001
02/14/2024,$460.71,697273,$460.44,$461.99,$456.70
02/13/2024,$456.23,1264280,$457.56,$461.95,$454.00
02/12/2024,$466.08,1174690,$473.28,$478.00,$465.12
02/09/2024,$470.24,1350033,$466.61,$471.26,$458.78
02/08/2024,$472.98,1510301,$463.27,$476.62,$460.975
