Date,Close/Last,Volume,Open,High,Low
03/22/2024,$255.16,1282881,$255.91,$256.53,$253.221
03/21/2024,$255.27,1530806,$254.74,$256.12,$253.38
03/20/2024,$254.05,1630410,$249.43,$254.69,$249.26
03/19/2024,$249.82,1164320,$249.36,$250.01,$247.83
03/18/2024,$248.52,1915491,$246.60,$249.36,$246.41
03/15/2024,$244.07,3709734,$246.15,$246.97,$243.36
03/14/2024,$248.00,1711041,$252.38,$253.00,$247.7208
03/13/2024,$251.41,1804650,$249.90,$253.12,$248.19
03/12/2024,$250.69,1271141,$248.69,$252.325,$248.69
03/11/2024,$248.47,1176455,$250.28,$250.70,$246.99
03/08/2024,$250.28,1276756,$247.17,$251.11,$246.22
03/07/2024,$246.91,1197493,$248.40,$248.97,$246.21
03/06/2024,$247.10,1314748,$247.88,$250.57,$246.97
03/05/2024,$247.88,1083968,$247.53,$249.19,$245.69
03/04/2024,$247.42,1156253,$249.77,$250.485,$247.02
03/01/2024,$250.00,1096855,$248.98,$251.16,$247.94
02/29/2024,$249.87,1698183,$249.70,$250.35,$247.865
02/28/2024,$248.99,953425,$248.73,$251.23,$248.18
02/27/2024,$249.03,1079289,$248.89,$249.82,$247.675
02/26/2024,$249.22,1475992,$251.47,$251.47,$247.05
02/23/2024,$251.48,1477347,$248.59,$252.1697,$248.59
02/22/2024,$249.31,1383565,$244.99,$250.43,$244.78
02/21/2024,$243.35,1396478,$241.28,$244.01,$240.5743
02/20/2024,$242.94,2162176,$241.19,$243.97,$240.51
02/16/2024,$241.63,2119841,$239.03,$243.21,$238.30
02/15/2024,$240.49,1521703,$237.53,$240.855,$236.8901
02/14/2024,$235.39,2349732,$235.81,$236.405,$232.20
02/13/2024,$234.94,3110216,$241.90,$241.90,$232.01
02/12/2024,$248.84,1429926,$246.28,$249.14,$246.00
02/09/2024,$247.02,1479755,$250.64,$250.75,$245.45
02/08/2024,$249.58,1030919,$249.69,$250.44,$245.81
02/07/2024,$247.94,1046799,$246.10,$250.00,$245.08
02/06/2024,$244.76,1471497,$244.23,$245.7502,$242.83
02/05/2024,$244.23,1338286,$244.16,$245.29,$241.84
02/02/2024,$245.12,1222339,$243.22,$246.745,$241.61
02/01/2024,$243.67,1191016,$240.41,$243.79,$238.72
01/31/2024,$239.73,1181240,$243.415,$243.91,$239.27
01/30/2024,$243.19,1059861,$240.19,$244.01,$240.19
01/29/2024,$242.13,1302970,$241.58,$242.52,$239.775
01/26/2024,$241.60,1118996,$242.52,$243.215,$241.04
01/25/2024,$242.52,1594268,$241.70,$243.53,$241.36
01/24/2024,$237.87,1239403,$238.46,$239.33,$237.32
01/23/2024,$237.10,1268751,$236.97,$237.91,$235.74
01/22/2024,$237.38,1552297,$234.25,$238.297,$234.08
01/19/2024,$233.67,1885255,$232.67,$234.10,$231.56
