Date,Close/Last,Volume,Open,High,Low
03/22/2024,$88.04,3646655,$88.52,$89.31,$87.76
03/21/2024,$88.87,5317189,$90.45,$91.32,$88.55
03/20/2024,$88.34,4835961,$86.85,$88.58,$85.8039
03/19/2024,$87.28,3859231,$87.76,$87.78,$86.22
03/18/2024,$88.08,4266634,$90.24,$90.41,$87.97
03/15/2024,$88.64,14460140,$87.53,$89.31,$87.53
03/14/2024,$88.98,5431015,$90.49,$91.25,$88.12
03/13/2024,$90.54,5223072,$91.41,$92.48,$89.89
03/12/2024,$91.97,5954762,$91.77,$92.23,$89.95
03/11/2024,$90.57,6657328,$88.62,$90.88,$88.19
03/08/2024,$88.84,8088395,$93.11,$93.6598,$88.79
03/07/2024,$93.34,8868398,$89.00,$94.19,$89.00
03/06/2024,$87.81,8080708,$87.50,$88.60,$86.81
03/05/2024,$85.64,4916203,$85.83,$87.215,$84.91
03/04/2024,$86.92,4730095,$87.44,$87.96,$86.79
03/01/2024,$87.00,5963108,$84.70,$87.85,$84.565
02/29/2024,$84.14,6229094,$83.36,$84.25,$83.00
02/28/2024,$82.18,4955495,$81.25,$82.71,$81.00
02/27/2024,$82.94,4485889,$83.05,$84.225,$82.93
02/26/2024,$82.90,3011446,$83.81,$83.82,$82.70
02/23/2024,$82.84,3925634,$83.81,$83.90,$82.36
02/22/2024,$83.90,7121978,$84.07,$84.645,$82.24
02/21/2024,$83.48,5337174,$82.00,$83.50,$81.4834
02/20/2024,$82.40,5653941,$80.402,$82.51,$80.38
02/16/2024,$81.61,4055788,$82.41,$83.10,$81.08
02/15/2024,$82.51,8322551,$81.08,$82.91,$80.81
02/14/2024,$80.58,8419547,$81.14,$81.63,$79.94
02/13/2024,$80.67,7910683,$81.71,$82.0601,$79.95
02/12/2024,$83.95,5507282,$85.50,$86.04,$83.89
02/09/2024,$85.44,4905768,$85.06,$86.005,$84.67
02/08/2024,$84.35,6136933,$83.40,$85.29,$82.96
02/07/2024,$83.31,5766028,$84.10,$84.105,$82.415
02/06/2024,$83.25,6298412,$85.59,$85.66,$83.005
02/05/2024,$85.46,7174697,$85.07,$86.43,$83.39
02/02/2024,$84.29,9615472,$82.84,$85.29,$82.4008
02/01/2024,$85.65,5489583,$85.45,$86.15,$84.06
01/31/2024,$85.18,6713822,$84.70,$86.89,$84.445
01/30/2024,$85.96,4283486,$86.40,$87.06,$85.52
01/29/2024,$87.23,6610430,$86.92,$87.25,$85.46
01/26/2024,$86.92,4710964,$88.56,$89.13,$86.67
01/25/2024,$89.65,6521505,$92.09,$92.20,$89.399
01/24/2024,$90.56,6640387,$92.71,$92.71,$90.125
01/23/2024,$91.99,5147343,$91.25,$92.17,$90.34
01/22/2024,$90.74,4978034,$90.00,$91.20,$89.60
01/19/2024,$89.44,6381327,$87.48,$89.94,$86.64
01/18/2024,$86.16,6735641,$85.86,$86.56,$85.14
01/17/2024,$83.34,6446526,$84.00,$84.00,$81.72
01/16/2024,$85.16,4335047,$85.31,$85.9902,$84.36
01/12/2024,$85.41,3025942,$86.09,$86.35,$84.80
01/11/2024,$85.70,4206140,$85.08,$85.92,$83.92
01/10/2024,$85.44,5123987,$85.35,$85.90,$84.17
01/09/2024,$85.34,6725745,$84.31,$86.60,$84.0613
01/08/2024,$85.64,4621168,$84.38,$85.81,$84.38
01/05/2024,$83.99,3968622,$83.44,$84.79,$83.29
01/04/2024,$83.40,7079169,$82.07,$84.23,$81.81
01/03/2024,$84.57,5271032,$85.35,$85.54,$83.925
01/02/2024,$86.56,6584927,$89.14,$89.52,$85.83
12/29/2023,$90.18,2488477,$90.75,$91.3299,$89.72
12/28/2023,$90.84,2375286,$91.48,$91.77,$90.765
12/27/2023,$91.12,3411303,$91.58,$91.79,$90.63
12/26/2023,$91.31,2417797,$90.53,$91.78,$90.52
12/22/2023,$90.19,2388659,$90.58,$91.41,$89.66
12/21/2023,$89.88,5001863,$89.95,$90.36,$88.89
12/20/2023,$88.55,5762601,$90.53,$91.16,$88.47
12/19/2023,$91.39,3941482,$91.64,$92.06,$91.09
12/18/2023,$91.31,4291814,$92.60,$92.63,$90.80
12/15/2023,$92.20,10915510,$93.42,$94.14,$92.06
12/14/2023,$92.96,7914537,$90.90,$93.18,$90.66
12/13/2023,$89.86,4861011,$89.36,$90.86,$87.97
12/12/2023,$89.23,3941581,$88.45,$89.68,$88.01
12/11/2023,$88.91,5765967,$87.18,$89.47,$86.92
12/08/2023,$86.08,3838699,$85.46,$86.75,$85.40
12/07/2023,$85.81,5818626,$84.30,$86.33,$83.77
12/06/2023,$83.62,4104835,$84.76,$85.18,$83.33
12/05/2023,$83.55,3218760,$83.89,$83.95,$82.89
12/04/2023,$84.49,4680806,$84.12,$84.55,$82.99
12/01/2023,$84.66,3883615,$83.11,$84.80,$82.84
11/30/2023,$83.44,7440460,$83.48,$83.84,$82.47
11/29/2023,$82.98,3629644,$83.30,$84.69,$82.809
11/28/2023,$81.82,3290019,$81.67,$82.30,$81.1434
11/27/2023,$81.76,3493736,$82.39,$82.62,$81.51
11/24/2023,$83.26,1608607,$82.47,$83.31,$82.16
11/22/2023,$82.46,3110338,$83.44,$84.175,$82.35
11/21/2023,$82.51,3899669,$83.86,$84.00,$82.08
11/20/2023,$84.71,4030374,$83.23,$85.13,$83.21
11/17/2023,$83.53,4887866,$82.47,$83.69,$82.03
11/16/2023,$82.16,5371786,$82.35,$82.66,$81.17
11/15/2023,$82.50,6602378,$82.01,$84.16,$81.58
11/14/2023,$81.28,6996660,$79.35,$81.85,$79.23
11/13/2023,$76.62,3581906,$76.65,$76.91,$75.69
11/10/2023,$77.56,6186900,$74.17,$77.7725,$73.92
11/09/2023,$73.70,5678085,$75.77,$76.15,$73.58
11/08/2023,$75.36,4393457,$76.04,$76.17,$75.09
11/07/2023,$75.31,5131850,$75.28,$76.075,$74.62
11/06/2023,$75.12,4998515,$76.32,$76.42,$74.08
11/03/2023,$76.43,9982192,$75.115,$77.00,$74.20
11/02/2023,$73.60,9691754,$72.35,$73.99,$71.92
11/01/2023,$71.04,8116627,$70.51,$71.14,$68.75
10/31/2023,$71.29,6717165,$70.50,$71.46,$70.21
10/30/2023,$70.66,6769671,$70.88,$71.34,$69.21
10/27/2023,$72.26,4197600,$73.71,$73.71,$71.94
10/26/2023,$72.76,4571744,$72.52,$74.09,$72.07
10/25/2023,$71.38,8532289,$74.14,$74.22,$70.91
10/24/2023,$76.03,4801554,$75.09,$76.41,$74.59
10/23/2023,$74.39,3587808,$74.92,$75.74,$73.80
10/20/2023,$75.36,3642722,$76.83,$77.10,$75.18
