Date,Close/Last,Volume,Open,High,Low
03/22/2024,$355.50,1011284,$355.78,$358.96,$349.30
03/21/2024,$360.15,1174557,$366.50,$373.40,$360.14
03/20/2024,$359.07,959596,$353.48,$363.66,$350.67
03/19/2024,$353.80,1646099,$346.06,$354.70,$340.35
03/18/2024,$356.37,1049351,$357.00,$360.71,$352.87
03/15/2024,$355.44,1823545,$365.60,$366.745,$354.67
03/14/2024,$368.94,1686893,$376.00,$380.36,$363.64
03/13/2024,$372.81,1669639,$368.64,$380.09,$366.57
03/12/2024,$368.64,1575043,$371.86,$374.85,$362.30
03/11/2024,$366.99,2334695,$379.62,$382.95,$363.96
03/08/2024,$383.42,6256702,$383.45,$411.50,$378.00
03/07/2024,$412.01,3660398,$406.23,$413.87,$397.07
03/06/2024,$409.50,1417579,$420.25,$424.00,$407.07
03/05/2024,$405.00,2476379,$428.28,$428.905,$398.00
03/04/2024,$439.00,1006662,$437.08,$443.09,$427.29
03/01/2024,$436.84,1444391,$449.12,$449.12,$430.835
02/29/2024,$447.58,1542431,$437.00,$447.9359,$433.54
02/28/2024,$443.45,917161,$444.04,$448.555,$440.27
02/27/2024,$449.95,580917,$454.15,$458.80,$445.80
02/26/2024,$450.80,635817,$454.81,$459.27,$450.77
02/23/2024,$451.52,801294,$452.75,$459.6989,$447.68
02/22/2024,$449.98,1233863,$443.94,$450.47,$435.78
02/21/2024,$427.49,997292,$432.37,$437.7299,$423.22
02/20/2024,$444.81,1183894,$457.13,$459.78,$433.6501
02/16/2024,$465.06,832184,$471.29,$477.00,$464.55
02/15/2024,$474.21,858384,$488.00,$488.00,$474.08
02/14/2024,$486.51,825874,$481.58,$486.775,$473.21
02/13/2024,$472.13,1766707,$463.00,$480.00,$451.00
02/12/2024,$487.99,1364256,$500.01,$509.62,$487.07
02/09/2024,$500.90,2181359,$486.72,$507.25,$481.86
02/08/2024,$475.12,1267466,$457.85,$477.095,$457.61
02/07/2024,$457.39,1403297,$447.50,$463.20,$440.265
02/06/2024,$443.31,1545262,$447.00,$451.31,$429.13
02/05/2024,$436.89,2015070,$437.99,$454.59,$427.36
02/02/2024,$436.01,1959571,$416.40,$437.22,$412.03
02/01/2024,$409.07,1129238,$404.93,$411.31,$399.88
01/31/2024,$400.52,1543734,$409.06,$410.9999,$394.10
01/30/2024,$415.53,781984,$418.49,$421.99,$410.7301
01/29/2024,$420.17,1072779,$397.28,$420.34,$397.28
01/26/2024,$395.29,973617,$394.70,$401.725,$391.35
01/25/2024,$400.30,971802,$416.04,$416.04,$397.38
01/24/2024,$410.11,1163249,$417.69,$424.78,$409.36
01/23/2024,$411.06,762734,$418.61,$418.92,$407.03
01/22/2024,$413.42,1910172,$406.78,$426.51,$406.78
01/19/2024,$401.05,974991,$395.41,$401.66,$391.50
