Date,Close/Last,Volume,Open,High,Low
03/22/2024,$72.40,6006016,$72.26,$72.70,$71.95
03/21/2024,$72.21,5859193,$72.00,$72.365,$71.51
03/20/2024,$71.87,6714039,$72.30,$72.57,$71.285
03/19/2024,$72.25,9590891,$71.66,$72.435,$71.56
03/18/2024,$71.31,8754453,$71.00,$71.595,$70.82
03/15/2024,$70.75,16858280,$71.00,$71.06,$70.14
03/14/2024,$70.96,7898506,$71.40,$71.51,$70.485
03/13/2024,$71.49,6781121,$72.06,$72.24,$71.41
03/12/2024,$71.74,5862264,$72.21,$72.38,$71.60
03/11/2024,$72.40,5065303,$71.90,$72.5925,$71.889
03/08/2024,$71.85,7227640,$70.725,$72.235,$70.37
03/07/2024,$71.00,8339462,$71.81,$71.99,$70.93
03/06/2024,$71.62,5228905,$70.93,$71.845,$70.93
03/05/2024,$70.84,8569521,$71.23,$71.81,$70.67
03/04/2024,$71.51,7258188,$72.00,$72.30,$71.295
03/01/2024,$72.37,5652846,$72.86,$72.965,$72.155
02/29/2024,$73.07,9569535,$73.62,$73.85,$72.67
02/28/2024,$73.19,4628051,$73.25,$73.545,$72.93
02/27/2024,$73.13,8864096,$73.27,$73.725,$73.005
02/26/2024,$73.29,7264060,$73.90,$74.04,$73.14
02/23/2024,$73.98,6732591,$74.04,$75.04,$73.98
02/22/2024,$74.13,7953425,$73.13,$74.35,$73.00
02/21/2024,$73.80,7316558,$73.62,$73.92,$73.42
02/20/2024,$73.19,7733430,$72.51,$73.38,$72.25
02/16/2024,$71.98,7077677,$71.56,$72.085,$71.06
02/15/2024,$71.61,5890408,$71.50,$71.98,$71.44
02/14/2024,$71.41,7769448,$71.74,$72.23,$70.97
02/13/2024,$71.98,8809331,$73.62,$73.87,$71.585
02/12/2024,$73.50,5776405,$73.07,$73.65,$72.85
02/09/2024,$73.17,7425053,$74.45,$74.48,$72.83
02/08/2024,$74.76,4848964,$74.59,$75.175,$74.44
02/07/2024,$74.62,6067973,$75.56,$75.78,$74.56
02/06/2024,$75.25,6191658,$75.31,$75.48,$74.57
02/05/2024,$75.33,8487918,$76.46,$76.69,$75.22
02/02/2024,$76.87,8314801,$76.90,$77.20,$76.07
02/01/2024,$76.54,9887193,$74.80,$76.59,$74.06
01/31/2024,$75.27,19236250,$73.78,$76.015,$73.58
01/30/2024,$76.34,10329220,$75.62,$76.51,$75.35
01/29/2024,$75.72,9822136,$75.27,$75.82,$75.00
01/26/2024,$75.14,9517298,$74.60,$75.40,$74.275
01/25/2024,$74.50,5003762,$74.29,$74.62,$73.89
01/24/2024,$73.95,6612775,$74.18,$74.40,$73.82
01/23/2024,$74.41,6295235,$73.25,$74.605,$73.1875
01/22/2024,$73.12,5210224,$72.79,$73.47,$72.65
01/19/2024,$72.85,6427688,$72.96,$73.13,$72.42
01/18/2024,$72.91,5121720,$73.36,$73.36,$72.65
01/17/2024,$73.30,4650692,$72.70,$73.385,$72.55
01/16/2024,$72.85,6040927,$73.00,$73.235,$72.55
01/12/2024,$73.12,4494000,$73.20,$73.38,$72.72
01/11/2024,$72.78,5221541,$72.85,$73.06,$72.275
01/10/2024,$73.08,4675779,$73.70,$73.77,$72.815
01/09/2024,$73.74,5078769,$73.09,$73.765,$72.635
01/08/2024,$73.71,5596782,$73.10,$73.835,$73.10
01/05/2024,$73.09,3733215,$73.06,$73.4354,$72.60
01/04/2024,$73.28,5218719,$73.09,$73.855,$73.04
01/03/2024,$73.28,5610014,$74.36,$74.43,$73.20
01/02/2024,$73.84,6321914,$72.37,$73.955,$72.37
12/29/2023,$72.43,4658650,$72.14,$72.65,$72.11
12/28/2023,$72.26,4095263,$71.78,$72.35,$71.69
12/27/2023,$72.21,4061568,$71.77,$72.255,$71.54
12/26/2023,$71.71,4003149,$71.20,$71.895,$71.00
12/22/2023,$71.21,4108979,$70.83,$71.57,$70.75
12/21/2023,$70.46,5538115,$69.62,$70.48,$69.50
12/20/2023,$69.33,9276133,$70.37,$70.705,$69.24
12/19/2023,$71.05,5096691,$70.85,$71.375,$70.755
12/18/2023,$71.06,5243936,$71.255,$71.50,$70.60
12/15/2023,$70.70,15088660,$70.41,$71.065,$70.04
