Date,Close/Last,Volume,Open,High,Low
03/22/2024,$1571.99,266499,$1557.30,$1577.01,$1537.86
03/21/2024,$1555.69,497984,$1538.07,$1581.00,$1538.07
03/20/2024,$1528.84,324513,$1524.32,$1534.255,$1495.65
03/19/2024,$1519.44,296026,$1502.76,$1523.45,$1480.04
03/18/2024,$1509.05,301000,$1524.81,$1529.605,$1500.79
03/15/2024,$1499.51,631833,$1560.21,$1567.50,$1496.41
03/14/2024,$1561.27,332999,$1555.66,$1583.49,$1547.45
03/13/2024,$1550.62,300908,$1546.00,$1558.76,$1529.96
03/12/2024,$1545.56,314657,$1553.11,$1575.00,$1530.45
03/11/2024,$1547.32,385655,$1525.65,$1550.59,$1516.02
03/08/2024,$1512.50,378881,$1528.00,$1552.99,$1511.51
03/07/2024,$1529.94,349021,$1541.43,$1543.00,$1510.00
03/06/2024,$1525.59,672634,$1550.75,$1557.15,$1504.22
03/05/2024,$1527.29,481097,$1550.00,$1562.20,$1508.13
03/04/2024,$1560.08,543482,$1611.11,$1612.3375,$1552.79
03/01/2024,$1612.75,379099,$1605.06,$1614.90,$1579.44
02/29/2024,$1595.30,519383,$1593.95,$1614.85,$1584.13
02/28/2024,$1579.49,330155,$1596.00,$1600.69,$1577.77
02/27/2024,$1607.44,480703,$1630.55,$1630.55,$1590.18
02/26/2024,$1610.13,631622,$1625.01,$1667.85,$1600.45
02/23/2024,$1629.32,1858157,$1670.00,$1670.00,$1577.00
02/22/2024,$1817.98,711942,$1767.64,$1825.00,$1760.35
02/21/2024,$1737.77,326390,$1740.21,$1752.6099,$1711.35
02/20/2024,$1740.01,371948,$1746.99,$1768.78,$1729.00
02/16/2024,$1768.78,354154,$1772.66,$1792.57,$1750.30
02/15/2024,$1771.83,300440,$1760.00,$1773.02,$1742.315
02/14/2024,$1746.37,290547,$1721.72,$1746.48,$1703.50
02/13/2024,$1706.24,325060,$1682.22,$1729.88,$1669.01
02/12/2024,$1733.23,242343,$1740.18,$1767.00,$1727.83
02/09/2024,$1742.26,379868,$1757.51,$1775.01,$1740.10
02/08/2024,$1732.83,297707,$1729.33,$1743.78,$1712.65
02/07/2024,$1713.87,442774,$1718.45,$1734.92,$1704.37
02/06/2024,$1710.39,704436,$1770.00,$1772.61,$1676.01
02/05/2024,$1774.75,200530,$1769.82,$1778.97,$1752.06
02/02/2024,$1772.90,304974,$1727.08,$1783.51,$1726.3248
02/01/2024,$1748.28,250703,$1751.83,$1759.9599,$1730.30
01/31/2024,$1711.81,295772,$1715.00,$1736.00,$1705.30
01/30/2024,$1735.30,300366,$1760.00,$1762.5279,$1733.86
01/29/2024,$1777.43,359554,$1796.98,$1800.09,$1760.15
01/26/2024,$1795.80,382889,$1741.00,$1798.675,$1727.735
01/25/2024,$1738.80,316566,$1768.66,$1773.71,$1722.00
01/24/2024,$1762.70,337065,$1770.66,$1799.27,$1756.795
01/23/2024,$1759.91,281446,$1767.65,$1769.81,$1750.00
01/22/2024,$1756.30,592536,$1748.45,$1769.20,$1738.41
01/19/2024,$1726.19,683975,$1670.00,$1735.79,$1665.30
01/18/2024,$1661.98,424304,$1646.00,$1672.44,$1643.94
01/17/2024,$1635.28,312708,$1663.60,$1669.03,$1615.27
01/16/2024,$1672.67,364640,$1658.58,$1685.715,$1653.47
01/12/2024,$1658.58,444298,$1610.00,$1678.00,$1596.04
01/11/2024,$1591.68,263649,$1605.31,$1620.00,$1573.42
01/10/2024,$1598.16,231483,$1585.00,$1610.28,$1581.29
01/09/2024,$1573.34,189286,$1563.58,$1582.87,$1563.58
01/08/2024,$1575.60,278726,$1548.18,$1579.38,$1548.18
01/05/2024,$1538.83,317400,$1527.08,$1559.655,$1527.08
01/04/2024,$1519.38,436355,$1489.52,$1543.07,$1483.64
01/03/2024,$1500.00,272395,$1515.01,$1523.19,$1497.90
01/02/2024,$1529.16,350379,$1562.61,$1562.61,$1518.12
12/29/2023,$1571.54,180292,$1581.60,$1589.80,$1565.01
12/28/2023,$1581.60,143392,$1590.88,$1593.355,$1580.62
12/27/2023,$1590.88,200647,$1576.82,$1598.00,$1576.82
12/26/2023,$1576.64,191014,$1597.90,$1598.00,$1568.0922
12/22/2023,$1589.08,301495,$1593.00,$1593.00,$1575.57
12/21/2023,$1598.33,398593,$1617.39,$1621.465,$1581.645
12/20/2023,$1597.44,324504,$1625.11,$1643.50,$1595.74
12/19/2023,$1629.99,333304,$1620.00,$1653.42,$1620.00
12/18/2023,$1619.57,264492,$1605.00,$1629.919,$1602.68
12/15/2023,$1606.19,505840,$1603.51,$1626.67,$1598.01
12/14/2023,$1603.51,540607,$1626.80,$1631.09,$1571.00
12/13/2023,$1612.16,346497,$1612.87,$1622.16,$1582.005
12/12/2023,$1616.92,311797,$1611.00,$1618.07,$1590.00
12/11/2023,$1614.70,346273,$1575.13,$1631.75,$1571.02
12/08/2023,$1577.98,336618,$1577.69,$1594.01,$1573.00
12/07/2023,$1590.94,260488,$1576.46,$1592.81,$1567.047
12/06/2023,$1569.25,277737,$1598.46,$1598.46,$1564.21
12/05/2023,$1584.60,543459,$1582.75,$1595.41,$1570.24
12/04/2023,$1599.63,574107,$1638.07,$1645.00,$1590.00
12/01/2023,$1652.01,377783,$1609.33,$1660.00,$1607.75
11/30/2023,$1620.46,489010,$1605.31,$1625.24,$1574.365
11/29/2023,$1610.58,425333,$1602.00,$1615.47,$1592.92
11/28/2023,$1589.09,636079,$1598.32,$1605.50,$1579.42
11/27/2023,$1599.21,681068,$1550.00,$1608.95,$1545.95
11/24/2023,$1535.50,281038,$1522.22,$1549.00,$1522.125
