Date,Close/Last,Volume,Open,High,Low
03/22/2024,$59.50,3034281,$59.79,$59.90,$59.41
03/21/2024,$59.88,3328627,$60.24,$60.545,$59.80
03/20/2024,$60.14,3336121,$60.81,$60.82,$59.84
03/19/2024,$60.54,3342274,$60.94,$61.03,$60.38
03/18/2024,$60.79,3923408,$60.70,$61.205,$60.50
03/15/2024,$60.45,8046630,$60.00,$60.655,$59.53
03/14/2024,$60.30,3927237,$61.00,$61.19,$60.06
03/13/2024,$60.85,5953682,$59.92,$61.225,$59.77
03/12/2024,$59.82,3761259,$59.13,$59.93,$58.90
03/11/2024,$59.16,3307661,$58.87,$59.545,$58.75
03/08/2024,$59.18,4294886,$59.19,$59.76,$58.82
03/07/2024,$59.38,4683264,$58.46,$59.53,$58.25
03/06/2024,$58.31,6487259,$57.91,$58.605,$57.525
03/05/2024,$57.89,5846381,$58.46,$58.62,$57.685
03/04/2024,$58.50,6993170,$58.86,$59.20,$58.32
03/01/2024,$58.79,6401956,$58.80,$59.13,$58.36
02/29/2024,$59.10,11115750,$59.20,$60.07,$58.39
02/28/2024,$55.85,6789483,$56.21,$56.25,$55.05
02/27/2024,$56.11,4200879,$55.42,$56.14,$55.28
02/26/2024,$55.72,4876722,$55.29,$55.925,$55.05
02/23/2024,$55.29,3307984,$55.11,$55.69,$54.97
02/22/2024,$55.11,6579869,$55.14,$55.45,$54.795
02/21/2024,$55.14,5714577,$55.44,$55.66,$54.905
02/20/2024,$55.40,5620358,$55.30,$55.68,$54.86
02/16/2024,$55.02,6077720,$55.88,$55.97,$54.96
02/15/2024,$56.17,5553181,$56.14,$56.42,$55.79
02/14/2024,$55.87,3981935,$56.16,$56.64,$55.455
02/13/2024,$56.16,5970913,$55.96,$56.455,$55.4225
02/12/2024,$55.93,3497830,$55.57,$55.99,$55.265
02/09/2024,$55.66,3893969,$56.52,$56.57,$55.345
02/08/2024,$56.49,4253902,$56.49,$56.53,$56.005
02/07/2024,$56.46,4315138,$56.71,$56.91,$56.22
02/06/2024,$56.34,7406959,$55.26,$56.38,$55.04
02/05/2024,$55.12,4768898,$55.13,$55.365,$54.755
02/02/2024,$55.35,5481813,$55.80,$55.93,$54.995
02/01/2024,$55.94,5619549,$55.15,$56.0401,$54.815
01/31/2024,$55.02,5908152,$55.37,$55.59,$54.84
01/30/2024,$55.31,4704197,$55.53,$55.58,$55.00
01/29/2024,$55.59,5736036,$55.47,$55.845,$55.23
01/26/2024,$55.44,5273127,$55.16,$55.58,$55.00
01/25/2024,$55.14,5711641,$55.40,$55.47,$54.89
01/24/2024,$55.07,9574705,$55.47,$55.685,$54.98
01/23/2024,$55.57,7050033,$56.30,$56.30,$54.89
01/22/2024,$56.32,4294443,$57.29,$57.325,$56.245
01/19/2024,$57.18,5450409,$57.45,$57.45,$56.55
01/18/2024,$57.25,4800425,$56.76,$57.44,$56.61
01/17/2024,$57.11,8595546,$57.49,$57.535,$56.34
01/16/2024,$58.17,5783083,$59.40,$59.40,$57.95
01/12/2024,$59.05,4024985,$59.13,$59.3075,$58.80
01/11/2024,$58.63,4159343,$58.90,$58.93,$58.21
01/10/2024,$58.91,4436276,$58.75,$59.13,$58.33
01/09/2024,$58.74,5042871,$57.62,$58.76,$57.40
01/08/2024,$57.96,5764345,$57.62,$58.17,$57.39
01/05/2024,$57.54,3741772,$57.57,$58.135,$57.305
01/04/2024,$57.71,4984379,$57.59,$58.585,$57.53
01/03/2024,$57.48,6954559,$59.07,$59.08,$57.27
01/02/2024,$58.59,8150088,$57.52,$58.81,$57.37
12/29/2023,$57.61,4061621,$57.43,$57.78,$57.325
12/28/2023,$57.42,3344826,$57.51,$57.5632,$57.1935
12/27/2023,$57.34,3606206,$56.84,$57.37,$56.715
12/26/2023,$56.79,3469185,$55.90,$56.92,$55.90
12/22/2023,$56.01,3942673,$55.65,$56.35,$55.52
12/21/2023,$55.38,4323807,$54.71,$55.47,$54.68
12/20/2023,$54.36,4820446,$55.28,$55.54,$54.36
12/19/2023,$55.58,4203793,$55.38,$55.73,$55.285
12/18/2023,$55.30,4230201,$55.47,$55.55,$54.765
12/15/2023,$55.09,9880424,$55.56,$55.95,$54.915
12/14/2023,$55.56,5595397,$56.68,$56.68,$55.295
12/13/2023,$56.55,5780710,$55.93,$56.57,$55.78
12/12/2023,$55.80,4122405,$55.83,$55.86,$55.17
12/11/2023,$55.26,4631845,$54.53,$55.3987,$54.53
12/08/2023,$53.92,4935825,$54.16,$54.345,$53.70
12/07/2023,$54.30,5129858,$54.53,$54.59,$53.99
12/06/2023,$54.30,5649426,$54.26,$54.44,$53.54
12/05/2023,$54.26,5775496,$55.08,$55.26,$53.99
12/04/2023,$55.17,5413259,$54.97,$55.575,$54.67
12/01/2023,$55.22,5526628,$54.92,$55.53,$54.92
11/30/2023,$55.15,8484083,$54.82,$55.20,$54.18
11/29/2023,$54.71,8844517,$55.48,$55.50,$54.32
11/28/2023,$55.28,8008569,$54.70,$55.415,$54.675
11/27/2023,$54.72,4535610,$55.22,$55.33,$54.645
11/24/2023,$55.17,1871755,$55.11,$55.41,$55.015
11/22/2023,$55.22,4756325,$55.32,$55.61,$55.00
11/21/2023,$54.80,8424467,$54.97,$55.12,$54.60
11/20/2023,$54.82,6965091,$54.65,$55.04,$54.375
11/17/2023,$54.79,7936431,$54.934,$55.00,$54.145
11/16/2023,$55.10,5015760,$55.70,$56.01,$54.99
11/15/2023,$55.42,4658000,$55.81,$55.90,$55.25
11/14/2023,$55.68,4625257,$56.00,$56.10,$55.29
11/13/2023,$55.54,3461675,$55.32,$55.78,$55.29
11/10/2023,$55.28,5849616,$55.30,$55.375,$54.3315
11/09/2023,$55.08,5374583,$56.00,$56.02,$54.91
11/08/2023,$55.66,7613899,$56.12,$56.28,$55.25
11/07/2023,$55.98,5121816,$56.12,$56.145,$55.6301
11/06/2023,$56.14,5532505,$55.56,$56.96,$55.56
11/03/2023,$55.56,9951842,$57.24,$58.86,$55.3296
11/02/2023,$52.66,9394217,$51.80,$52.77,$51.76
11/01/2023,$51.65,6458367,$51.21,$51.71,$51.06
10/31/2023,$51.10,5686371,$50.77,$51.13,$50.55
10/30/2023,$50.68,5665526,$50.41,$50.835,$50.35
10/27/2023,$49.90,5087188,$49.97,$50.40,$49.51
10/26/2023,$50.06,5384870,$50.10,$50.38,$49.965
10/25/2023,$50.08,4751922,$49.93,$50.535,$49.79
10/24/2023,$50.05,7827640,$49.23,$50.83,$49.20
10/23/2023,$50.30,4386674,$49.75,$50.59,$49.43
10/20/2023,$49.98,7487872,$50.40,$50.66,$49.775
10/19/2023,$50.40,8158998,$50.07,$50.81,$49.80
10/18/2023,$49.84,5449164,$49.73,$50.38,$49.615
10/17/2023,$49.79,7497980,$48.63,$49.86,$48.63
10/16/2023,$48.67,5461751,$48.01,$48.83,$47.80
10/13/2023,$47.72,6060628,$47.71,$48.0155,$47.1301
10/12/2023,$47.54,8329925,$49.59,$49.615,$47.23
10/11/2023,$49.60,4923132,$50.70,$50.865,$49.395
10/10/2023,$50.40,7167990,$50.16,$50.635,$49.68
10/09/2023,$49.64,4593361,$49.86,$49.865,$48.80
10/06/2023,$49.97,7947161,$49.60,$50.105,$48.505
10/05/2023,$50.09,6769832,$52.29,$52.40,$49.935
10/04/2023,$52.33,6805089,$50.89,$52.43,$50.625
10/03/2023,$50.67,7451716,$52.40,$52.50,$50.435
10/02/2023,$52.54,4082934,$52.83,$52.96,$52.285
09/29/2023,$52.95,5133633,$53.50,$53.60,$52.755
09/28/2023,$53.16,4003301,$53.24,$53.50,$53.05
09/27/2023,$53.12,6239281,$54.32,$54.49,$52.94
09/26/2023,$54.29,5285069,$54.50,$54.605,$54.22
09/25/2023,$54.65,5082854,$54.30,$54.705,$54.26
09/22/2023,$54.52,7062448,$54.70,$54.995,$54.375
09/21/2023,$54.75,8015423,$55.53,$55.61,$54.61
09/20/2023,$55.76,4330723,$56.30,$56.325,$55.69
09/19/2023,$56.01,3798837,$56.02,$56.17,$55.60
09/18/2023,$56.27,3840311,$56.335,$56.505,$55.975
09/15/2023,$56.14,9790594,$56.93,$57.04,$55.985
09/14/2023,$56.87,2990141,$56.59,$57.015,$56.345
09/13/2023,$56.52,4684759,$56.06,$56.98,$56.04
09/12/2023,$56.15,3830430,$56.64,$56.77,$56.13
09/11/2023,$56.78,3285839,$56.40,$57.005,$56.30
09/08/2023,$56.37,2486772,$56.53,$56.669,$56.15
09/07/2023,$56.64,3873793,$56.28,$56.795,$55.98
09/06/2023,$56.28,4046114,$56.00,$56.29,$55.8092
09/05/2023,$55.96,6205771,$56.47,$56.47,$55.375
09/01/2023,$56.55,2832924,$57.70,$57.76,$56.49
08/31/2023,$57.41,4962721,$58.06,$58.17,$57.25
08/30/2023,$58.15,3246440,$58.50,$58.895,$58.079
08/29/2023,$58.49,3403945,$57.71,$58.60,$57.60
08/28/2023,$57.71,2244928,$57.74,$57.95,$57.40
08/25/2023,$57.34,2654896,$57.22,$57.525,$56.81
08/24/2023,$57.03,5129117,$58.08,$58.33,$56.93
08/23/2023,$57.91,3975053,$57.57,$58.295,$57.56
08/22/2023,$57.35,2674942,$57.42,$57.54,$57.07
08/21/2023,$57.42,3318127,$57.29,$57.87,$57.07
08/18/2023,$57.36,3319823,$57.00,$57.56,$56.79
08/17/2023,$57.25,3542663,$58.29,$58.33,$57.195
08/16/2023,$58.30,2776285,$58.54,$58.985,$58.2401
08/15/2023,$58.21,2949370,$59.00,$59.23,$58.15
08/14/2023,$59.01,3904846,$58.50,$59.235,$58.165
