Date,Close/Last,Volume,Open,High,Low
03/22/2024,$105.43,2037299,$104.11,$105.97,$103.51
03/21/2024,$104.09,2254570,$104.50,$106.38,$102.55
03/20/2024,$103.08,3424151,$103.41,$103.597,$100.30
03/19/2024,$105.11,3045309,$103.90,$105.55,$102.64
03/18/2024,$104.26,4034481,$104.98,$107.59,$103.65
03/15/2024,$103.85,5464806,$103.17,$104.725,$100.9399
03/14/2024,$103.46,4635880,$106.14,$106.99,$101.88
03/13/2024,$106.51,5122006,$110.43,$112.65,$105.99
03/12/2024,$110.43,4180437,$112.00,$113.70,$109.9224
03/11/2024,$111.98,9874408,$103.44,$114.25,$102.75
03/08/2024,$103.03,4328335,$99.21,$103.95,$98.65
03/07/2024,$99.48,3204749,$99.10,$99.92,$96.515
03/06/2024,$98.10,3327336,$96.38,$98.51,$95.5801
03/05/2024,$95.56,2864766,$94.65,$96.17,$93.35
03/04/2024,$96.00,3474024,$94.65,$96.135,$92.60
03/01/2024,$95.06,3789169,$92.52,$96.88,$92.11
02/29/2024,$92.24,5324001,$96.79,$97.24,$92.22
02/28/2024,$97.48,2971906,$95.00,$99.27,$94.34
02/27/2024,$96.20,3086137,$94.31,$97.47,$92.50
02/26/2024,$94.02,4580980,$93.68,$94.79,$91.46
02/23/2024,$96.46,4531114,$99.60,$100.97,$95.32
02/22/2024,$99.44,11354470,$91.865,$101.73,$91.06
02/21/2024,$87.59,3759970,$86.15,$88.57,$85.53
02/20/2024,$86.99,3140293,$87.36,$89.54,$86.48
02/16/2024,$88.37,3708097,$90.41,$90.85,$87.37
02/15/2024,$91.14,4972760,$86.13,$92.08,$84.80
02/14/2024,$85.95,3572060,$86.04,$86.85,$84.23
02/13/2024,$85.37,4035145,$86.81,$88.30,$84.06
02/12/2024,$89.00,3991684,$87.41,$89.07,$85.75
02/09/2024,$87.41,7216450,$93.36,$93.36,$86.41
02/08/2024,$93.66,4916430,$99.00,$99.00,$92.95
02/07/2024,$99.30,2271473,$100.15,$100.24,$97.86
02/06/2024,$100.03,3046850,$95.65,$100.1033,$95.14
02/05/2024,$95.49,2799244,$96.70,$96.95,$94.1737
02/02/2024,$97.50,3352347,$97.39,$98.21,$95.30
02/01/2024,$99.02,3770447,$100.90,$101.00,$97.17
01/31/2024,$101.05,2543615,$102.47,$104.09,$100.50
01/30/2024,$102.47,2180107,$103.51,$104.00,$101.90
01/29/2024,$104.84,3458116,$101.79,$105.81,$100.01
01/26/2024,$101.81,2346289,$103.55,$103.90,$101.0101
01/25/2024,$102.81,2688985,$101.76,$103.815,$101.07
01/24/2024,$101.11,2595643,$103.20,$104.27,$101.01
01/23/2024,$101.92,2818574,$100.50,$102.94,$99.54
01/22/2024,$99.70,3403256,$100.25,$102.9699,$98.60
01/19/2024,$99.70,3733489,$98.43,$100.44,$97.0799
01/18/2024,$99.07,3781762,$100.01,$100.01,$96.65
01/17/2024,$100.35,4584949,$98.30,$101.49,$97.61
01/16/2024,$102.16,5930182,$104.31,$104.31,$97.52
01/12/2024,$105.95,3872881,$107.00,$110.80,$105.88
01/11/2024,$106.795,4015864,$108.61,$108.61,$105.53
01/10/2024,$109.46,4082663,$110.00,$110.01,$106.65
01/09/2024,$110.18,5099137,$113.88,$114.25,$108.8747
01/08/2024,$115.44,6011779,$111.47,$115.97,$108.62
01/05/2024,$111.12,9216724,$107.77,$115.81,$106.50
01/04/2024,$108.66,6284631,$109.01,$109.41,$105.51
01/03/2024,$108.58,8350953,$112.51,$112.67,$107.58
01/02/2024,$112.50,14530220,$99.88,$115.68,$99.40
12/29/2023,$99.45,5204646,$98.61,$100.80,$98.02
12/28/2023,$98.79,4561913,$101.60,$102.95,$97.91
12/27/2023,$100.73,5413148,$98.47,$100.98,$97.3633
12/26/2023,$97.33,3852772,$96.39,$97.77,$94.3417
12/22/2023,$94.89,6174806,$92.00,$96.49,$91.95
12/21/2023,$91.16,5337113,$87.50,$92.3848,$86.68
12/20/2023,$86.19,4503356,$88.93,$90.18,$86.12
12/19/2023,$89.09,5931991,$86.41,$89.295,$84.80
12/18/2023,$85.42,5815286,$85.87,$86.80,$83.60
12/15/2023,$86.01,12822440,$87.03,$89.53,$85.40
12/14/2023,$85.87,22300250,$88.47,$94.93,$83.73
