Date,Close/Last,Volume,Open,High,Low
03/22/2024,$66.54,10233760,$66.30,$67.26,$65.76
03/21/2024,$66.59,17415920,$68.00,$68.56,$66.45
03/20/2024,$65.54,14717290,$65.04,$66.05,$64.55
03/19/2024,$65.06,19428330,$65.00,$66.045,$63.46
03/18/2024,$67.20,11330450,$67.825,$68.22,$66.455
03/15/2024,$66.87,18474770,$65.72,$68.23,$65.15
03/14/2024,$66.08,21934670,$67.30,$67.47,$65.22
03/13/2024,$67.63,27385930,$70.66,$70.7107,$67.31
03/12/2024,$71.77,16875630,$73.085,$73.26,$71.27
03/11/2024,$72.36,20587300,$74.05,$74.05,$70.91
03/08/2024,$75.42,40992420,$80.95,$81.40,$75.38
03/07/2024,$85.09,30723260,$81.18,$85.7571,$80.98
03/06/2024,$81.37,16829490,$81.635,$82.51,$79.779
03/05/2024,$78.73,11051870,$78.30,$79.59,$77.54
03/04/2024,$79.35,17817850,$78.74,$80.09,$77.15
03/01/2024,$77.61,20462800,$73.99,$78.09,$73.46
02/29/2024,$71.66,14234450,$68.78,$71.785,$68.68
02/28/2024,$67.54,7690328,$68.22,$68.3799,$67.23
02/27/2024,$69.13,10797490,$69.53,$71.16,$69.11
02/26/2024,$68.62,6307028,$68.33,$68.925,$67.95
02/23/2024,$67.58,8541907,$69.85,$70.38,$67.53
02/22/2024,$69.87,16683180,$68.855,$70.40,$68.23
02/21/2024,$65.52,8805169,$64.50,$65.55,$63.86
02/20/2024,$65.04,12304910,$65.81,$66.08,$63.53
02/16/2024,$66.29,11088190,$67.31,$68.17,$65.96
02/15/2024,$67.44,12986570,$68.50,$68.68,$66.56
02/14/2024,$68.96,10569220,$69.41,$69.54,$68.06
02/13/2024,$68.13,12862560,$67.75,$69.67,$67.06
02/12/2024,$70.42,14266560,$69.06,$72.725,$68.85
02/09/2024,$68.83,21879410,$68.23,$69.46,$66.93
02/08/2024,$71.02,17086390,$70.20,$72.86,$69.96
02/07/2024,$69.37,15515970,$67.67,$69.74,$66.01
02/06/2024,$67.08,8568957,$67.22,$67.49,$65.85
02/05/2024,$67.02,8514269,$67.68,$68.05,$65.77
02/02/2024,$67.53,11434060,$67.10,$68.67,$66.70
02/01/2024,$66.87,11575440,$68.20,$68.25,$65.51
01/31/2024,$67.70,10017650,$67.412,$69.45,$66.69
01/30/2024,$68.83,9223620,$70.00,$70.76,$68.34
01/29/2024,$70.14,8733619,$68.45,$70.20,$68.19
01/26/2024,$68.04,14228710,$68.70,$69.565,$67.78
01/25/2024,$70.00,15890480,$73.46,$73.53,$69.91
01/24/2024,$72.28,13684850,$71.75,$73.235,$71.09
01/23/2024,$70.60,10142400,$70.05,$70.73,$68.86
01/22/2024,$70.11,14311550,$72.14,$72.55,$68.93
01/19/2024,$71.08,18636680,$69.00,$71.21,$68.62
01/18/2024,$68.21,22439660,$67.33,$69.88,$67.33
01/17/2024,$65.36,10483670,$64.69,$65.44,$63.28
01/16/2024,$65.52,10386320,$65.57,$66.99,$64.655
01/12/2024,$65.68,13828890,$65.87,$67.145,$65.44
01/11/2024,$65.87,17050720,$63.49,$66.045,$62.91
01/10/2024,$63.43,9645259,$64.01,$64.295,$62.24
01/09/2024,$63.47,10379460,$63.11,$63.98,$63.06
01/08/2024,$64.11,18835050,$60.00,$64.46,$59.95
01/05/2024,$59.92,17199780,$58.55,$61.15,$58.52
01/04/2024,$58.07,17872580,$56.03,$59.06,$55.63
01/03/2024,$56.76,6446208,$57.01,$57.43,$56.335
01/02/2024,$58.17,8894068,$59.46,$59.759,$57.55
12/29/2023,$60.31,4778619,$61.39,$61.59,$60.07
12/28/2023,$61.30,4109218,$61.39,$61.785,$60.89
12/27/2023,$61.26,4737122,$61.50,$61.70,$60.89
12/26/2023,$61.15,4670330,$60.66,$61.49,$60.565
12/22/2023,$60.25,3677683,$60.50,$60.67,$59.71
12/21/2023,$60.25,8210466,$59.25,$60.37,$59.01
12/20/2023,$57.54,11758070,$59.31,$60.60,$57.50
12/19/2023,$59.66,5956585,$59.62,$59.92,$59.07
12/18/2023,$59.72,8117292,$59.51,$59.93,$58.37
12/15/2023,$59.59,15502720,$59.65,$60.276,$59.10
12/14/2023,$59.29,16705480,$58.07,$59.94,$57.84
12/13/2023,$57.21,12116200,$54.34,$57.34,$54.20
12/12/2023,$54.26,7184346,$53.81,$54.32,$53.50
12/11/2023,$54.48,13871180,$53.74,$54.61,$52.89
12/08/2023,$52.88,7086058,$51.72,$53.12,$51.66
12/07/2023,$52.19,9685829,$50.77,$52.49,$50.56
12/06/2023,$50.43,8285783,$51.56,$51.855,$50.35
12/05/2023,$50.70,9851142,$51.22,$51.47,$50.49
12/04/2023,$52.01,13407520,$52.02,$52.075,$50.63
12/01/2023,$52.80,25375900,$52.215,$53.84,$50.519
11/30/2023,$55.73,17162480,$56.71,$56.95,$55.27
11/29/2023,$56.10,7682515,$56.49,$57.24,$55.90
11/28/2023,$55.58,7650031,$55.77,$55.77,$54.66
11/27/2023,$55.90,5724415,$55.61,$56.41,$55.35
11/24/2023,$56.03,3121717,$55.50,$56.228,$55.37
