Date,Close/Last,Volume,Open,High,Low
03/22/2024,$110.21,37281440,$109.31,$111.34,$107.0548
03/21/2024,$109.85,89554120,$113.365,$113.50,$108.7816
03/20/2024,$96.25,39807350,$94.99,$96.68,$93.59
03/19/2024,$94.00,21054660,$92.58,$94.16,$91.00
03/18/2024,$93.78,23140270,$96.82,$97.08,$93.69
03/15/2024,$93.25,29579530,$92.48,$94.70,$92.02
03/14/2024,$91.43,16718900,$93.30,$93.45,$90.30
03/13/2024,$94.16,16732630,$95.32,$95.34,$93.10
03/12/2024,$97.42,14993730,$95.33,$97.50,$93.64
03/11/2024,$94.51,15673310,$95.90,$96.46,$93.525
03/08/2024,$97.62,22379000,$99.88,$101.85,$97.32
03/07/2024,$98.98,24843320,$98.93,$99.69,$97.47
03/06/2024,$95.56,14232420,$95.05,$96.43,$94.5577
03/05/2024,$94.47,12887530,$94.25,$95.365,$93.275
03/04/2024,$95.77,20913230,$96.93,$97.38,$94.6177
03/01/2024,$95.15,23446170,$91.92,$96.059,$91.92
02/29/2024,$90.61,17027010,$90.645,$90.83,$88.8201
02/28/2024,$89.71,14190650,$90.46,$90.79,$89.30
02/27/2024,$91.85,21422680,$91.89,$92.745,$90.49
02/26/2024,$89.46,28920120,$89.68,$92.35,$88.90
02/23/2024,$86.00,10232770,$86.55,$86.8199,$85.05
02/22/2024,$85.91,17510920,$85.00,$86.31,$83.88
02/21/2024,$81.49,9943627,$80.79,$81.50,$79.94
02/20/2024,$80.71,12627190,$79.335,$80.77,$79.15
02/16/2024,$79.50,15553080,$80.96,$81.3405,$79.25
02/15/2024,$81.63,11527610,$82.24,$82.71,$81.51
02/14/2024,$81.83,12870940,$82.18,$83.175,$81.49
02/13/2024,$81.53,21207910,$82.47,$83.55,$80.765
02/12/2024,$85.70,10366000,$85.53,$86.905,$85.39
02/09/2024,$85.56,12161510,$85.06,$85.62,$83.96
02/08/2024,$84.88,12524470,$85.51,$86.0346,$84.53
02/07/2024,$85.17,16374840,$84.14,$85.28,$82.47
02/06/2024,$84.60,12990330,$86.83,$87.19,$83.72
02/05/2024,$86.98,8409312,$86.74,$87.22,$85.61
02/02/2024,$86.48,10450040,$85.07,$86.61,$84.941
02/01/2024,$85.61,10459040,$86.07,$86.19,$84.615
01/31/2024,$85.75,11396690,$84.957,$86.92,$84.7863
01/30/2024,$86.16,12980390,$88.08,$88.79,$85.76
01/29/2024,$89.07,12108100,$88.50,$89.57,$88.015
01/26/2024,$88.05,14934530,$87.24,$88.50,$86.29
01/25/2024,$89.20,15892370,$89.15,$90.0446,$88.495
01/24/2024,$88.08,19752770,$88.41,$88.57,$86.61
01/23/2024,$87.53,16850890,$89.00,$89.18,$86.88
01/22/2024,$89.24,14371230,$88.27,$89.95,$88.01
01/19/2024,$87.51,18156760,$86.06,$87.785,$85.62
01/18/2024,$84.82,15077690,$85.22,$85.82,$84.04
01/17/2024,$83.28,10245440,$83.69,$83.97,$82.625
01/16/2024,$84.61,13713530,$82.54,$85.215,$82.33
01/12/2024,$82.39,10187530,$82.75,$83.045,$81.71
01/11/2024,$83.39,10579320,$82.80,$83.45,$81.82
01/10/2024,$82.38,10748630,$82.955,$83.02,$81.66
01/09/2024,$83.33,12138740,$83.13,$84.19,$82.90
01/08/2024,$84.95,16219820,$83.89,$85.51,$83.83
01/05/2024,$83.45,15483750,$81.48,$83.53,$81.01
01/04/2024,$82.71,19134160,$83.47,$84.26,$82.61
01/03/2024,$82.26,12915620,$81.20,$82.5883,$80.585
01/02/2024,$82.34,13597090,$84.00,$84.08,$81.75
12/29/2023,$85.34,8549232,$85.84,$86.1441,$85.03
12/28/2023,$86.00,9606174,$86.75,$86.75,$85.84
12/27/2023,$86.66,9186288,$87.48,$87.49,$86.22
12/26/2023,$87.06,11203900,$86.695,$87.87,$86.43
12/22/2023,$86.49,22531840,$86.15,$87.49,$85.62
12/21/2023,$85.48,53969660,$85.00,$86.02,$83.11
12/20/2023,$78.69,29084990,$81.46,$81.62,$78.63
12/19/2023,$82.17,14316380,$81.67,$82.27,$81.17
12/18/2023,$81.56,12416650,$81.59,$81.86,$80.81
12/15/2023,$81.41,19547760,$82.89,$82.99,$81.11
12/14/2023,$82.19,17342790,$80.81,$82.40,$80.79
12/13/2023,$79.79,11629880,$78.30,$80.265,$78.03
12/12/2023,$78.16,10262090,$77.42,$78.26,$77.0985
12/11/2023,$77.79,18547630,$77.19,$78.51,$76.965
12/08/2023,$74.96,12007070,$73.48,$75.35,$73.43
12/07/2023,$73.65,10641260,$74.02,$74.205,$72.99
12/06/2023,$73.13,8883918,$75.30,$75.40,$72.93
12/05/2023,$73.69,8800502,$73.47,$73.97,$73.04
12/04/2023,$74.29,11659330,$75.42,$75.60,$73.33
12/01/2023,$75.93,14354670,$76.01,$76.54,$75.09
11/30/2023,$76.12,21701560,$76.82,$77.00,$74.97
11/29/2023,$76.69,14062880,$77.45,$79.02,$76.375
11/28/2023,$76.12,19225730,$75.08,$76.24,$73.985
11/27/2023,$77.51,11005570,$76.87,$78.2899,$76.66
11/24/2023,$76.87,4349574,$76.68,$77.0055,$76.37
11/22/2023,$77.10,8580370,$77.20,$78.45,$76.85
11/21/2023,$76.71,12016740,$77.85,$77.93,$76.305
11/20/2023,$78.62,11426590,$77.34,$78.905,$77.13
11/17/2023,$77.56,9378253,$76.60,$77.94,$76.47
11/16/2023,$76.67,12988970,$76.89,$77.48,$76.48
11/15/2023,$77.14,9954004,$77.50,$77.50,$76.31
11/14/2023,$77.17,12972720,$76.00,$77.45,$75.91
11/13/2023,$74.78,9116000,$74.15,$75.2025,$73.39
11/10/2023,$75.36,12309410,$74.44,$75.805,$73.565
11/09/2023,$73.57,22435870,$73.55,$76.10,$73.495
11/08/2023,$72.28,9917555,$72.62,$72.78,$71.715
11/07/2023,$72.80,8248379,$72.48,$73.13,$71.71
11/06/2023,$72.92,10069800,$72.58,$72.99,$72.0201
11/03/2023,$72.58,14457880,$71.30,$73.19,$71.15
11/02/2023,$70.44,11925950,$70.32,$71.025,$69.75
11/01/2023,$69.40,16777510,$67.00,$69.66,$67.00
10/31/2023,$66.87,8268405,$66.08,$67.07,$65.26
10/30/2023,$66.07,10667690,$66.355,$67.55,$65.17
10/27/2023,$65.65,9980252,$64.92,$66.27,$64.88
10/26/2023,$64.53,16697860,$66.45,$67.44,$63.875
10/25/2023,$66.50,11924260,$68.485,$69.20,$65.8998
10/24/2023,$68.07,8450723,$67.29,$68.35,$67.13
10/23/2023,$66.88,9489552,$66.82,$68.16,$66.23
10/20/2023,$67.22,11506070,$67.56,$68.52,$67.135
10/19/2023,$67.53,18111020,$69.68,$69.78,$67.18
10/18/2023,$69.14,11200980,$68.01,$69.55,$67.98
10/17/2023,$69.00,11843010,$68.07,$69.63,$67.62
10/16/2023,$69.08,11294110,$69.01,$70.03,$68.14
10/13/2023,$69.21,10288570,$69.87,$70.06,$69.09
10/12/2023,$69.75,11408730,$70.39,$70.72,$69.295
10/11/2023,$70.21,11165350,$69.72,$70.27,$68.93
10/10/2023,$69.07,9007592,$69.49,$70.11,$68.89
10/09/2023,$69.48,8588667,$69.61,$69.95,$68.575
10/06/2023,$69.96,15113360,$68.71,$70.325,$68.0001
10/05/2023,$69.05,14045020,$68.61,$69.54,$68.34
10/04/2023,$68.11,12912850,$68.31,$68.50,$67.12
10/03/2023,$67.83,12481500,$67.17,$69.65,$67.11
10/02/2023,$67.96,14880490,$68.24,$69.28,$67.06
09/29/2023,$68.03,24315500,$66.36,$68.73,$66.36
09/28/2023,$65.20,46749770,$65.97,$67.0899,$63.83
09/27/2023,$68.21,20852300,$68.12,$68.85,$66.75
09/26/2023,$67.94,12752500,$67.97,$69.045,$67.59
09/25/2023,$68.58,14899960,$68.29,$69.185,$67.61
09/22/2023,$68.88,15489770,$68.59,$69.75,$67.79
09/21/2023,$67.90,14978570,$69.00,$69.29,$67.83
09/20/2023,$69.68,15529660,$70.95,$72.3052,$69.65
09/19/2023,$70.71,10400200,$70.62,$71.06,$69.97
09/18/2023,$70.50,12735680,$70.65,$71.0501,$69.9101
09/15/2023,$69.88,16416130,$71.29,$71.628,$69.64
09/14/2023,$71.79,11170290,$71.67,$72.23,$71.28
09/13/2023,$70.85,14525470,$71.05,$71.86,$70.365
09/12/2023,$70.31,11062110,$69.955,$71.69,$69.79
09/11/2023,$70.03,9310367,$70.83,$70.86,$69.31
09/08/2023,$70.18,9806902,$69.765,$70.61,$69.61
09/07/2023,$69.87,12043220,$69.45,$70.288,$69.10
09/06/2023,$70.41,9192768,$70.13,$70.6599,$69.64
09/05/2023,$70.29,11144300,$69.91,$71.16,$69.53
09/01/2023,$70.39,10772020,$70.21,$70.62,$69.55
08/31/2023,$69.94,18420870,$67.97,$70.54,$67.97
08/30/2023,$68.09,16892170,$67.19,$68.70,$66.52
08/29/2023,$66.68,9954960,$64.90,$67.03,$64.87
08/28/2023,$65.31,9904856,$65.72,$66.11,$64.66
08/25/2023,$63.72,9409035,$63.46,$64.39,$62.625
08/24/2023,$63.69,12661620,$66.14,$66.24,$63.37
08/23/2023,$65.19,10747420,$63.57,$65.62,$63.17
08/22/2023,$63.41,8877758,$64.30,$65.08,$63.285
08/21/2023,$63.96,11311890,$63.68,$64.195,$62.86
08/18/2023,$63.59,9576535,$62.31,$63.855,$61.75
08/17/2023,$63.56,9933301,$64.49,$64.709,$63.40
08/16/2023,$64.22,9895360,$65.00,$65.2299,$64.09
08/15/2023,$65.33,13808530,$67.59,$67.63,$65.32
08/14/2023,$68.28,21953960,$64.37,$68.48,$64.20
08/11/2023,$64.37,11823080,$64.90,$65.31,$64.07
08/10/2023,$65.44,12775330,$67.06,$67.46,$64.93
08/09/2023,$66.70,10043170,$67.78,$67.97,$66.62
08/08/2023,$67.65,14767790,$68.70,$68.76,$66.96
08/07/2023,$69.38,10537540,$69.85,$70.2294,$68.83
08/04/2023,$69.91,11255550,$69.50,$70.9345,$69.13
08/03/2023,$69.18,11081190,$67.57,$69.39,$67.1614
08/02/2023,$68.17,14012010,$69.75,$69.85,$67.34
08/01/2023,$70.76,13153440,$71.00,$71.08,$69.89
07/31/2023,$71.39,11193790,$71.12,$71.77,$70.87
07/28/2023,$71.20,11935820,$71.58,$72.1299,$70.655
07/27/2023,$71.07,25068350,$70.48,$72.34,$69.96
07/26/2023,$67.38,14920570,$65.00,$67.88,$65.00
07/25/2023,$65.68,8610906,$65.40,$65.995,$65.08
07/24/2023,$65.48,10275070,$65.36,$66.64,$65.225
07/21/2023,$65.65,24540160,$65.29,$66.16,$64.34
07/20/2023,$64.69,12745070,$64.40,$65.545,$64.25
07/19/2023,$64.96,9463941,$65.63,$65.76,$64.80
