Date,Close/Last,Volume,Open,High,Low
03/22/2024,$244.33,2236543,$244.35,$247.18,$243.315
03/21/2024,$246.11,2926572,$246.65,$249.975,$244.56
03/20/2024,$241.27,2102466,$235.58,$241.7399,$234.55
03/19/2024,$236.38,2172363,$234.91,$238.145,$233.54
03/18/2024,$236.62,2236909,$240.17,$241.99,$236.31
03/15/2024,$237.54,5827326,$234.49,$239.31,$233.00
03/14/2024,$243.73,3520138,$250.35,$251.345,$241.32
03/13/2024,$250.98,2457706,$253.69,$254.35,$250.155
03/12/2024,$257.46,2104492,$256.19,$257.99,$251.73
03/11/2024,$253.29,2020545,$250.63,$254.305,$249.7166
03/08/2024,$252.03,2481950,$259.92,$262.91,$251.79
03/07/2024,$259.04,2942300,$253.72,$264.26,$253.17
03/06/2024,$251.25,2527872,$252.07,$255.355,$250.335
03/05/2024,$248.46,2319781,$251.71,$254.28,$246.79
03/04/2024,$254.30,2667655,$259.49,$259.49,$253.73
03/01/2024,$257.51,2444768,$251.88,$259.08,$250.29
02/29/2024,$249.73,3374693,$247.94,$250.30,$245.66
02/28/2024,$243.98,1489157,$243.11,$245.865,$242.00
02/27/2024,$245.73,2438279,$245.88,$252.83,$245.00
02/26/2024,$243.79,1595984,$240.36,$245.00,$240.15
02/23/2024,$238.85,1817815,$240.82,$241.325,$237.50
02/22/2024,$239.50,3173421,$241.47,$242.40,$237.11
02/21/2024,$235.32,1641086,$230.02,$235.35,$229.665
02/20/2024,$231.35,2140523,$230.00,$232.20,$227.31
02/16/2024,$232.16,1476242,$234.50,$236.69,$231.30
02/15/2024,$234.49,2078353,$235.42,$238.13,$234.03
02/14/2024,$233.96,1824982,$233.96,$235.46,$232.43
02/13/2024,$232.07,2723745,$230.10,$234.23,$228.10
02/12/2024,$236.68,2787798,$234.00,$241.26,$233.10
02/09/2024,$233.55,2621521,$229.87,$233.66,$228.325
02/08/2024,$227.83,2815415,$221.44,$228.85,$221.44
02/07/2024,$221.37,2788986,$225.00,$225.00,$218.61
02/06/2024,$223.00,3949333,$220.98,$225.42,$218.84
02/05/2024,$221.02,4119437,$218.36,$223.42,$218.00
02/02/2024,$214.99,2136288,$210.16,$215.56,$209.86
02/01/2024,$213.01,1968641,$211.69,$214.04,$209.44
01/31/2024,$210.57,3150816,$212.88,$215.32,$209.75
01/30/2024,$215.17,1708229,$215.55,$217.25,$214.23
01/29/2024,$217.47,1828064,$216.93,$217.57,$213.29
01/26/2024,$215.12,2424543,$218.12,$218.95,$214.36
01/25/2024,$219.41,2552668,$222.99,$223.89,$217.83
01/24/2024,$221.69,2798797,$222.73,$224.87,$219.6501
01/23/2024,$223.93,2485113,$220.35,$224.87,$219.45
01/22/2024,$218.84,2445287,$219.63,$223.00,$217.3467
01/19/2024,$218.36,2750105,$213.34,$219.45,$212.46
01/18/2024,$211.61,3148691,$210.71,$212.675,$208.96
01/17/2024,$205.48,2146697,$205.93,$206.00,$201.58
01/16/2024,$208.99,1749728,$210.69,$211.72,$206.31
01/12/2024,$209.11,1247691,$211.30,$212.205,$207.57
01/11/2024,$211.49,2138929,$210.99,$212.49,$207.31
01/10/2024,$211.29,1759449,$211.86,$212.51,$207.18
01/09/2024,$211.71,2023270,$208.13,$213.07,$207.72
01/08/2024,$212.17,1923573,$207.30,$213.03,$207.255
01/05/2024,$205.72,2246412,$207.99,$208.96,$204.66
01/04/2024,$207.76,3880677,$204.305,$210.54,$204.12
01/03/2024,$216.08,1924012,$217.58,$218.25,$214.08
01/02/2024,$221.18,2668473,$227.26,$227.26,$218.57
12/29/2023,$229.68,1105152,$231.07,$231.9599,$227.73
12/28/2023,$231.07,946434,$233.17,$233.365,$230.64
12/27/2023,$232.10,919215,$232.84,$233.90,$230.645
12/26/2023,$231.95,1159961,$230.00,$233.28,$229.37
12/22/2023,$228.95,1033647,$230.90,$232.15,$227.77
12/21/2023,$229.25,1905565,$226.97,$229.869,$226.52
12/20/2023,$222.90,2483935,$228.56,$229.95,$222.68
12/19/2023,$229.38,1722348,$230.41,$231.28,$228.615
12/18/2023,$229.33,2531881,$233.20,$233.86,$227.27
12/15/2023,$232.93,3936705,$235.17,$238.27,$232.80
12/14/2023,$232.68,3894400,$223.81,$233.245,$223.00
12/13/2023,$221.33,2001640,$219.31,$223.06,$217.53
12/12/2023,$219.13,1847328,$219.61,$221.71,$218.76
12/11/2023,$220.55,2936978,$216.43,$221.90,$215.96
12/08/2023,$215.55,2609802,$211.43,$217.225,$210.80
12/07/2023,$211.70,2487904,$207.80,$213.15,$206.817
12/06/2023,$205.92,2052544,$208.54,$210.3399,$205.38
12/05/2023,$205.83,1937141,$204.57,$206.35,$202.68
12/04/2023,$206.28,1638549,$204.06,$206.49,$203.41
12/01/2023,$205.68,1363075,$204.00,$206.54,$202.43
11/30/2023,$204.08,2269543,$205.18,$205.52,$201.76
11/29/2023,$204.33,2149190,$203.74,$207.80,$202.25
11/28/2023,$200.03,1263660,$200.00,$201.88,$198.36
11/27/2023,$199.66,1023244,$199.05,$201.025,$198.00
11/24/2023,$200.12,834982,$199.03,$200.775,$198.48
11/22/2023,$199.58,1501089,$201.88,$204.98,$199.27
11/21/2023,$200.44,2313052,$202.00,$202.43,$198.50
11/20/2023,$203.34,2086559,$201.00,$204.78,$200.79
11/17/2023,$200.94,1659068,$200.93,$202.20,$199.00
11/16/2023,$200.80,2333254,$200.38,$203.07,$199.61
11/15/2023,$200.75,2807521,$196.43,$202.65,$196.43
11/14/2023,$194.89,2876854,$191.02,$195.80,$190.17
11/13/2023,$184.84,1845381,$185.00,$185.375,$181.96
11/10/2023,$186.67,3055946,$183.26,$187.84,$180.73
11/09/2023,$180.33,2662338,$184.41,$184.55,$179.64
11/08/2023,$183.35,2521926,$180.50,$184.66,$180.11
11/07/2023,$185.80,4285091,$178.25,$191.49,$178.19
11/06/2023,$182.80,4400033,$182.50,$184.42,$180.44
11/03/2023,$181.55,3689986,$179.83,$183.75,$178.93
11/02/2023,$177.59,2472725,$175.00,$178.36,$173.31
11/01/2023,$172.52,2889283,$171.57,$172.68,$167.50
10/31/2023,$172.43,2588851,$170.79,$172.86,$167.9301
10/30/2023,$170.18,4475363,$172.40,$173.00,$167.2102
10/27/2023,$179.13,1448062,$181.01,$181.96,$177.55
10/26/2023,$179.56,3048756,$178.49,$185.29,$177.40
10/25/2023,$175.94,2923590,$180.72,$181.40,$175.21
10/24/2023,$183.61,2337504,$182.92,$184.43,$180.88
10/23/2023,$182.35,1700656,$183.91,$186.07,$181.17
10/20/2023,$185.76,2155052,$187.62,$188.53,$184.3961
10/19/2023,$187.93,3027852,$193.81,$194.05,$187.10
10/18/2023,$193.20,1908886,$194.50,$195.6175,$190.60
10/17/2023,$197.72,1274914,$197.32,$200.24,$194.46
10/16/2023,$199.78,1963847,$195.77,$200.25,$195.01
10/13/2023,$194.50,2439465,$202.37,$202.51,$193.22
10/12/2023,$202.36,2120807,$204.34,$206.14,$200.50
10/11/2023,$203.46,1646196,$201.84,$204.90,$201.60
10/10/2023,$201.75,1216716,$198.86,$204.00,$198.215
10/09/2023,$198.12,860095,$196.77,$198.90,$194.50
10/06/2023,$199.02,1837361,$194.20,$200.79,$192.14
10/05/2023,$195.45,1415829,$198.39,$199.10,$192.85
10/04/2023,$198.19,1610184,$195.77,$198.85,$194.58
10/03/2023,$195.20,2468256,$197.90,$201.4808,$194.09
10/02/2023,$200.19,1227713,$200.78,$202.45,$197.52
09/29/2023,$199.92,1170721,$202.77,$203.40,$198.755
09/28/2023,$200.53,1198237,$197.09,$202.745,$196.12
09/27/2023,$196.70,1156145,$197.03,$198.27,$194.125
09/26/2023,$194.99,1538595,$197.00,$197.53,$194.055
09/25/2023,$198.12,1045406,$195.57,$198.27,$194.70
09/22/2023,$196.79,1523179,$195.54,$198.9646,$194.51
09/21/2023,$194.00,1711903,$193.54,$196.21,$193.04
09/20/2023,$194.96,1131838,$200.39,$201.445,$194.74
09/19/2023,$199.14,1307834,$198.71,$199.58,$196.37
09/18/2023,$199.29,1483846,$196.86,$199.79,$196.52
09/15/2023,$197.38,4382017,$201.83,$202.39,$196.335
09/14/2023,$202.69,1293857,$202.54,$203.42,$198.915
09/13/2023,$200.40,1897679,$199.15,$204.265,$199.15
09/12/2023,$199.50,1301745,$200.83,$204.21,$199.32
09/11/2023,$203.50,1101818,$204.86,$205.10,$200.74
09/08/2023,$203.05,1220364,$204.01,$205.50,$201.91
09/07/2023,$204.01,1847186,$203.79,$205.27,$202.1101
09/06/2023,$207.79,1582922,$207.14,$209.94,$205.48
09/05/2023,$207.57,1443607,$208.87,$210.57,$207.33
09/01/2023,$209.96,1583547,$207.42,$210.16,$205.32
08/31/2023,$205.72,3461044,$205.27,$207.80,$203.3949
08/30/2023,$205.88,1962387,$204.95,$206.29,$202.37
08/29/2023,$205.16,1683639,$197.25,$205.96,$197.25
08/28/2023,$199.23,1456638,$197.51,$200.81,$197.51
08/25/2023,$196.20,2358954,$194.81,$196.89,$193.09
08/24/2023,$193.82,2888125,$203.27,$203.29,$193.23
08/23/2023,$201.10,2256825,$193.50,$202.28,$193.50
08/22/2023,$199.66,1428475,$203.75,$204.29,$198.56
08/21/2023,$201.62,1946296,$196.57,$202.545,$196.57
08/18/2023,$196.57,1989335,$192.55,$197.79,$192.40
08/17/2023,$194.53,1970158,$197.81,$198.25,$193.61
08/16/2023,$196.74,2400515,$202.42,$202.96,$195.79
08/15/2023,$201.74,1944014,$205.07,$205.48,$200.8542
08/14/2023,$207.25,1757295,$203.10,$207.35,$202.56
08/11/2023,$204.20,2703852,$209.22,$209.22,$202.91
08/10/2023,$211.98,1750622,$217.70,$218.61,$210.97
08/09/2023,$214.37,2069373,$217.38,$218.68,$214.13
08/08/2023,$216.89,1862403,$215.00,$217.50,$213.26
08/07/2023,$218.73,1524237,$216.00,$218.92,$214.01
08/04/2023,$213.70,2888608,$210.39,$215.64,$209.415
08/03/2023,$215.95,2491787,$213.03,$217.74,$211.7801
