Date,Close/Last,Volume,Open,High,Low
03/22/2024,$441.07,430140,$444.82,$444.885,$437.65
03/21/2024,$444.82,463075,$438.68,$447.21,$438.68
03/20/2024,$434.26,441711,$422.31,$434.43,$421.89
03/19/2024,$424.07,533049,$416.76,$424.95,$416.65
03/18/2024,$418.74,528876,$426.03,$427.125,$418.31
03/15/2024,$421.11,1631812,$424.89,$428.68,$420.27
03/14/2024,$426.57,973360,$437.10,$437.35,$420.01
03/13/2024,$433.82,429331,$441.84,$443.34,$432.97
03/12/2024,$441.03,427994,$431.39,$442.90,$430.995
03/11/2024,$432.88,564396,$430.95,$434.35,$427.67
03/08/2024,$428.29,495276,$443.32,$444.885,$428.04
03/07/2024,$443.07,539315,$439.97,$446.57,$439.585
03/06/2024,$435.46,646643,$429.01,$439.775,$428.185
03/05/2024,$430.08,1050953,$442.00,$445.93,$424.58
03/04/2024,$446.23,693129,$447.43,$452.34,$445.13
03/01/2024,$444.28,1063808,$443.56,$447.37,$438.986
02/29/2024,$442.48,969241,$437.37,$443.92,$434.15
02/28/2024,$432.90,518493,$435.45,$438.516,$431.58
02/27/2024,$441.06,893685,$445.00,$446.85,$436.77
02/26/2024,$445.89,888299,$438.65,$447.29,$438.03
02/23/2024,$440.22,513660,$440.20,$445.395,$437.78
02/22/2024,$436.93,515028,$429.90,$437.46,$428.78
02/21/2024,$424.42,500261,$421.38,$425.51,$417.5201
02/20/2024,$419.41,629368,$422.38,$423.865,$412.265
02/16/2024,$423.45,575479,$430.54,$434.45,$423.18
02/15/2024,$432.33,507943,$434.11,$434.92,$425.03
02/14/2024,$431.13,711445,$425.00,$432.745,$423.96
02/13/2024,$423.94,941873,$420.43,$428.79,$418.835
02/12/2024,$429.10,648278,$434.46,$437.10,$427.65
02/09/2024,$435.33,805097,$437.88,$437.88,$428.67
02/08/2024,$435.16,675831,$431.34,$437.32,$428.605
02/07/2024,$432.45,1167127,$431.00,$448.45,$430.57
02/06/2024,$425.55,822769,$417.00,$427.64,$415.00
02/05/2024,$414.44,886477,$408.60,$415.56,$402.78
02/02/2024,$408.69,1131206,$391.45,$410.9584,$385.665
02/01/2024,$392.19,1158611,$385.57,$393.60,$376.175
01/31/2024,$391.02,1466594,$405.72,$412.56,$380.03
01/30/2024,$395.87,731903,$392.79,$399.62,$392.76
01/29/2024,$397.23,584987,$389.91,$397.45,$388.26
01/26/2024,$392.67,450494,$397.61,$399.00,$388.92
01/25/2024,$395.44,521822,$395.68,$399.4202,$391.415
01/24/2024,$391.68,550895,$398.19,$398.42,$391.33
01/23/2024,$394.24,655652,$402.14,$405.2998,$393.22
01/22/2024,$401.71,865149,$390.45,$401.95,$389.95
01/19/2024,$387.23,837622,$383.31,$388.73,$380.82
01/18/2024,$382.40,647368,$379.00,$383.91,$377.49
01/17/2024,$377.86,478554,$378.76,$379.07,$374.38
01/16/2024,$382.80,467288,$387.28,$388.08,$380.25
01/12/2024,$388.87,558023,$391.35,$391.35,$383.10
01/11/2024,$388.84,667472,$392.14,$392.82,$383.68
01/10/2024,$391.02,597742,$388.59,$391.20,$382.91
01/09/2024,$390.76,530448,$388.91,$394.725,$386.03
01/08/2024,$392.71,545168,$387.43,$393.535,$384.81
01/05/2024,$383.77,546926,$389.18,$389.31,$382.465
01/04/2024,$389.26,711592,$384.88,$390.18,$380.03
01/03/2024,$385.12,888060,$393.42,$393.99,$384.21
01/02/2024,$397.74,585656,$403.31,$407.05,$394.21
12/29/2023,$405.33,387501,$410.00,$413.10,$403.62
12/28/2023,$411.06,319745,$415.88,$416.095,$408.44
12/27/2023,$413.60,341032,$416.81,$418.93,$411.22
12/26/2023,$416.00,312754,$414.18,$417.96,$413.34
12/22/2023,$412.97,405514,$412.70,$415.37,$408.60
12/21/2023,$409.21,515808,$405.40,$410.90,$402.99
12/20/2023,$402.03,813492,$396.59,$415.95,$395.14
12/19/2023,$401.07,466519,$394.67,$404.21,$394.67
12/18/2023,$393.08,539647,$397.07,$400.01,$389.17
12/15/2023,$393.05,1457246,$383.97,$398.06,$383.97
12/14/2023,$382.52,1097247,$386.62,$389.73,$380.25
12/13/2023,$384.06,810573,$382.35,$384.085,$374.845
12/12/2023,$382.24,1041249,$380.14,$384.675,$378.005
12/11/2023,$378.88,1140182,$376.86,$383.03,$371.735
12/08/2023,$369.45,1032999,$373.80,$380.54,$369.015
12/07/2023,$374.99,1105843,$373.11,$375.61,$367.05
12/06/2023,$372.89,1174495,$394.91,$396.48,$370.51
12/05/2023,$394.79,777108,$400.24,$403.32,$394.28
12/04/2023,$403.90,538724,$402.95,$407.22,$398.39
12/01/2023,$405.74,818933,$388.05,$407.86,$386.22
11/30/2023,$389.06,1292615,$384.27,$389.77,$376.895
11/29/2023,$383.91,697604,$388.71,$393.00,$382.14
11/28/2023,$387.38,779560,$397.93,$397.93,$380.02
11/27/2023,$398.65,420116,$398.40,$400.69,$392.115
11/24/2023,$404.32,149471,$404.94,$406.46,$402.87
11/22/2023,$403.75,400054,$408.10,$411.4267,$403.15
11/21/2023,$404.88,295268,$402.29,$405.9466,$400.42
11/20/2023,$402.27,345839,$400.18,$403.75,$397.88
11/17/2023,$399.90,523935,$401.42,$402.62,$397.87
11/16/2023,$397.79,543375,$404.05,$405.945,$394.615
11/15/2023,$402.74,620244,$406.40,$411.319,$402.16
11/14/2023,$404.83,705577,$397.74,$407.23,$396.825
11/13/2023,$391.01,463163,$391.00,$392.43,$386.73
11/10/2023,$392.63,583462,$388.52,$393.27,$385.373
11/09/2023,$385.60,717489,$393.53,$395.24,$380.24
11/08/2023,$390.15,970371,$396.30,$399.919,$389.43
11/07/2023,$396.36,643109,$391.48,$401.18,$390.41
11/06/2023,$394.04,490761,$391.83,$394.13,$384.81
11/03/2023,$392.34,514510,$392.71,$395.28,$388.80
