Date,Close/Last,Volume,Open,High,Low
03/22/2024,$1167.53,273592,$1162.94,$1168.595,$1155.88
03/21/2024,$1162.94,427747,$1149.61,$1169.1099,$1144.14
03/20/2024,$1145.29,297086,$1141.24,$1145.73,$1136.11
03/19/2024,$1134.63,263951,$1121.58,$1136.27,$1121.50
03/18/2024,$1113.83,325431,$1122.57,$1125.34,$1111.55
03/15/2024,$1113.18,533788,$1113.41,$1121.99,$1110.40
03/14/2024,$1116.90,374455,$1105.00,$1118.10,$1100.72
03/13/2024,$1101.40,268123,$1093.92,$1105.465,$1088.50
03/12/2024,$1094.60,309299,$1086.00,$1098.46,$1084.7875
03/11/2024,$1086.13,229541,$1089.49,$1089.49,$1071.57
03/08/2024,$1084.20,316670,$1083.94,$1095.00,$1078.88
03/07/2024,$1089.43,264265,$1090.45,$1096.6845,$1086.00
03/06/2024,$1081.65,333946,$1079.67,$1089.71,$1074.98
03/05/2024,$1079.67,296777,$1082.05,$1084.86,$1077.415
03/04/2024,$1077.98,321595,$1088.06,$1090.79,$1072.84
03/01/2024,$1085.45,233548,$1085.71,$1091.23,$1082.13
02/29/2024,$1087.42,422869,$1098.95,$1098.95,$1078.145
02/28/2024,$1092.96,336800,$1080.00,$1093.99,$1074.87
02/27/2024,$1081.75,354778,$1069.20,$1083.57,$1058.84
02/26/2024,$1062.07,338590,$1058.90,$1068.80,$1056.185
02/23/2024,$1058.02,223840,$1053.93,$1066.115,$1053.74
02/22/2024,$1054.81,305682,$1043.20,$1058.913,$1043.20
02/21/2024,$1039.77,259916,$1039.12,$1047.50,$1033.20
02/20/2024,$1035.63,413704,$1050.73,$1056.14,$1032.76
02/16/2024,$1051.05,443135,$1055.23,$1060.51,$1041.99
02/15/2024,$1047.90,406179,$1050.98,$1057.20,$1037.03
02/14/2024,$1049.30,515205,$1035.00,$1050.60,$1034.63
02/13/2024,$1039.26,487463,$1025.00,$1041.72,$1025.00
02/12/2024,$1026.39,408158,$1025.70,$1027.28,$1016.86
02/09/2024,$1025.82,553829,$1025.89,$1041.33,$1021.75
02/08/2024,$1020.83,810185,$1010.50,$1069.415,$1009.29
02/07/2024,$1067.02,605587,$1055.71,$1074.038,$1050.48
02/06/2024,$1051.86,292048,$1054.62,$1056.32,$1045.865
02/05/2024,$1055.62,342615,$1043.75,$1057.225,$1040.62
02/02/2024,$1047.31,314719,$1037.00,$1054.57,$1034.91
02/01/2024,$1041.75,278096,$1031.11,$1042.06,$1021.29
01/31/2024,$1023.05,330865,$1036.82,$1045.8542,$1022.44
01/30/2024,$1041.12,256921,$1030.00,$1047.57,$1027.15
01/29/2024,$1030.01,255891,$1024.06,$1032.64,$1017.20
01/26/2024,$1022.51,268002,$1026.38,$1028.92,$1018.06
01/25/2024,$1024.04,340230,$1023.92,$1024.38,$1013.51
01/24/2024,$1018.45,370809,$1025.51,$1025.51,$1010.025
01/23/2024,$1025.32,473620,$1037.50,$1039.83,$1011.44
01/22/2024,$1035.94,362163,$1028.61,$1039.1592,$1015.69
01/19/2024,$1028.10,679794,$1015.62,$1037.245,$1014.88
01/18/2024,$1015.53,516778,$987.08,$1015.60,$987.08
01/17/2024,$992.16,511864,$991.14,$1004.45,$983.98
