Date,Close/Last,Volume,Open,High,Low
03/22/2024,$286.78,3796733,$290.82,$290.89,$285.5572
03/21/2024,$287.63,3831434,$283.82,$290.14,$281.57
03/20/2024,$282.05,3407632,$281.73,$283.72,$278.27
03/19/2024,$280.58,5465416,$283.10,$284.1397,$276.55
03/18/2024,$285.24,3839169,$285.37,$286.63,$281.18
03/15/2024,$282.16,6595167,$284.24,$287.29,$281.61
03/14/2024,$287.58,4951565,$292.36,$292.74,$283.36
03/13/2024,$290.12,5272751,$285.62,$292.79,$281.73
03/12/2024,$284.73,4066758,$285.33,$287.435,$281.402
03/11/2024,$283.33,4949101,$278.30,$286.80,$277.61
03/08/2024,$280.20,5742415,$286.18,$288.45,$279.70
03/07/2024,$286.485,8028278,$280.00,$288.13,$277.751
03/06/2024,$278.86,11691720,$298.98,$300.00,$276.81
03/05/2024,$291.13,7267100,$295.89,$297.55,$284.68
03/04/2024,$299.44,7214179,$302.00,$302.375,$292.06
03/01/2024,$302.40,11375130,$311.53,$311.53,$296.81
02/29/2024,$310.55,8177971,$315.78,$320.69,$308.73
02/28/2024,$316.15,7995338,$311.28,$316.85,$307.8096
02/27/2024,$314.75,21354320,$317.40,$327.57,$307.55
02/26/2024,$302.78,21937160,$288.52,$313.88,$286.79
02/23/2024,$282.09,15331460,$276.95,$284.32,$271.62
02/22/2024,$267.82,19297270,$274.127,$276.81,$265.00
02/21/2024,$261.97,43937340,$275.20,$275.98,$260.09
02/20/2024,$366.09,10458810,$362.85,$369.2872,$359.8182
02/16/2024,$366.41,3262885,$369.50,$370.99,$362.05
02/15/2024,$366.88,2717598,$368.18,$369.79,$361.62
02/14/2024,$368.33,3093731,$368.81,$375.17,$366.125
02/13/2024,$368.26,7842207,$359.12,$374.38,$353.81
02/12/2024,$371.97,2868510,$375.45,$376.30,$367.53
02/09/2024,$376.90,3500980,$373.05,$380.84,$369.0001
02/08/2024,$367.02,2958187,$363.22,$371.7199,$363.00
02/07/2024,$364.50,6581637,$351.40,$366.14,$349.40
02/06/2024,$341.49,2741585,$345.49,$347.75,$336.0001
02/05/2024,$344.48,2670306,$344.28,$345.50,$337.94
02/02/2024,$345.06,2540323,$339.56,$346.43,$339.00
02/01/2024,$339.97,2175490,$339.00,$340.445,$335.44
01/31/2024,$338.51,2484251,$342.23,$343.99,$332.67
01/30/2024,$345.89,1744165,$344.83,$347.63,$342.76
01/29/2024,$345.25,2619104,$341.99,$345.4933,$340.77
01/26/2024,$342.44,2165620,$340.00,$344.30,$338.0601
01/25/2024,$340.19,3454965,$344.46,$344.46,$336.57
01/24/2024,$340.24,2927102,$347.82,$347.99,$339.84
01/23/2024,$344.18,3022507,$345.57,$346.00,$338.32
01/22/2024,$345.65,3510984,$346.29,$350.60,$342.45
01/19/2024,$337.74,3294031,$339.53,$340.40,$334.31
01/18/2024,$335.77,3598745,$336.41,$338.594,$332.56
01/17/2024,$330.06,3932217,$330.54,$332.47,$322.61
01/16/2024,$332.05,3758423,$328.30,$333.30,$325.50
01/12/2024,$325.24,3195471,$324.51,$330.40,$321.3963
01/11/2024,$323.49,5000749,$320.53,$325.37,$316.52
01/10/2024,$316.09,5080758,$305.20,$316.49,$305.10
01/09/2024,$300.42,3651225,$287.61,$301.00,$286.90
01/08/2024,$289.50,2915538,$283.52,$290.74,$283.50
01/05/2024,$282.93,1857347,$284.19,$286.45,$281.84
01/04/2024,$283.30,2542677,$286.00,$287.4799,$282.90
01/03/2024,$286.47,2468193,$284.68,$289.12,$282.82
01/02/2024,$288.92,2883862,$291.94,$292.12,$284.83
12/29/2023,$294.88,2068880,$296.71,$296.72,$291.95
12/28/2023,$295.58,1936264,$296.98,$297.66,$293.80
12/27/2023,$297.50,2093403,$300.48,$300.89,$295.82
12/26/2023,$300.82,1558694,$298.87,$301.99,$298.50
12/22/2023,$298.21,2391538,$300.33,$300.75,$297.50
12/21/2023,$299.40,2886395,$302.78,$304.11,$295.91
12/20/2023,$300.98,3347157,$305.46,$308.00,$300.45
12/19/2023,$308.61,3880025,$307.58,$310.88,$306.18
12/18/2023,$307.58,3331786,$304.25,$309.42,$304.01
12/15/2023,$307.30,9110525,$301.03,$309.05,$299.25
12/14/2023,$300.44,6795998,$315.00,$318.00,$298.127
