Date,Close/Last,Volume,Open,High,Low
03/22/2024,$120.84,1426408,$122.84,$122.84,$120.69
03/21/2024,$122.33,2191106,$123.34,$123.68,$122.30
03/20/2024,$123.00,1500089,$121.53,$123.54,$120.96
03/19/2024,$121.04,1111373,$120.44,$121.16,$120.02
03/18/2024,$120.54,1214870,$121.08,$121.60,$120.48
03/15/2024,$120.28,5841065,$121.33,$121.90,$119.79
03/14/2024,$121.57,1674357,$122.21,$122.52,$120.92
03/13/2024,$122.13,1637657,$122.65,$123.34,$121.96
03/12/2024,$122.65,1551829,$121.16,$122.94,$120.983
03/11/2024,$121.64,1280410,$121.24,$121.78,$119.84
03/08/2024,$120.82,1344903,$120.84,$121.885,$120.25
03/07/2024,$121.13,2036052,$121.53,$122.06,$120.125
03/06/2024,$120.73,1800107,$120.12,$121.38,$119.61
03/05/2024,$120.23,1691309,$122.38,$122.50,$119.665
03/04/2024,$122.34,2728554,$122.95,$124.355,$122.30
03/01/2024,$122.23,1017723,$122.11,$122.65,$121.38
02/29/2024,$122.62,1954942,$123.14,$123.14,$122.16
02/28/2024,$122.41,898500,$122.90,$123.405,$122.30
02/27/2024,$122.90,1052096,$123.05,$123.75,$122.30
02/26/2024,$123.37,1192525,$124.62,$124.83,$123.28
02/23/2024,$124.64,1077026,$125.00,$125.26,$124.58
02/22/2024,$124.71,1467190,$123.78,$125.01,$123.24
02/21/2024,$123.43,1100755,$124.71,$124.85,$122.77
02/20/2024,$124.49,1415525,$123.38,$124.51,$123.27
02/16/2024,$123.38,1100291,$122.65,$123.82,$122.005
02/15/2024,$122.79,1435401,$122.60,$123.20,$122.41
02/14/2024,$122.22,1792141,$121.80,$122.785,$121.27
02/13/2024,$121.39,1932748,$121.65,$121.84,$120.355
02/12/2024,$122.10,2257088,$122.12,$122.54,$121.56
02/09/2024,$123.03,1714784,$123.01,$123.25,$121.84
02/08/2024,$122.75,1084544,$122.00,$122.81,$121.10
02/07/2024,$122.10,1411125,$122.95,$123.19,$121.65
02/06/2024,$122.19,2238545,$120.35,$122.61,$119.96
02/05/2024,$119.89,1663622,$121.32,$121.335,$119.42
02/02/2024,$121.77,1946192,$121.19,$122.09,$120.19
02/01/2024,$121.10,2086813,$121.78,$122.01,$119.23
01/31/2024,$121.73,2351279,$123.04,$123.82,$121.4704
01/30/2024,$122.42,1445652,$120.39,$122.54,$120.24
01/29/2024,$121.36,1490248,$120.57,$121.53,$120.46
01/26/2024,$120.94,1166743,$121.25,$121.42,$120.345
01/25/2024,$121.01,1563786,$121.84,$123.20,$120.49
01/24/2024,$121.89,2591301,$123.55,$124.39,$121.50
01/23/2024,$122.82,2017714,$122.64,$123.50,$122.51
01/22/2024,$122.79,1151221,$121.99,$123.0884,$121.80
01/19/2024,$122.09,2256426,$121.03,$122.75,$119.7901
01/18/2024,$120.37,1884780,$120.20,$120.51,$118.90
01/17/2024,$120.11,1385093,$119.36,$120.37,$119.36
01/16/2024,$119.81,1967390,$119.36,$119.85,$118.6375
01/12/2024,$119.72,1033813,$119.98,$120.37,$118.79
01/11/2024,$119.14,1711695,$118.97,$119.23,$117.78
01/10/2024,$118.89,1011399,$118.70,$119.26,$118.16
01/09/2024,$118.67,1252788,$118.55,$118.85,$117.50
01/08/2024,$119.47,2047509,$117.96,$119.58,$117.44
01/05/2024,$117.98,1299376,$117.49,$118.6528,$117.43
01/04/2024,$117.85,1525395,$117.42,$118.4597,$117.15
01/03/2024,$116.84,1594965,$118.46,$118.69,$116.77
01/02/2024,$117.87,1982081,$118.84,$119.09,$117.32
12/29/2023,$119.11,1241833,$119.13,$119.5522,$118.33
12/28/2023,$119.50,2203009,$119.36,$120.07,$119.06
12/27/2023,$119.07,1394919,$120.11,$120.11,$118.90
12/26/2023,$120.18,1388325,$119.32,$120.595,$119.12
12/22/2023,$119.86,2654401,$118.70,$121.10,$118.58
12/21/2023,$118.90,5819956,$122.25,$122.25,$118.59
12/20/2023,$127.86,2761536,$128.23,$129.66,$127.78
12/19/2023,$128.79,2755408,$127.90,$129.37,$127.02
12/18/2023,$127.74,1751129,$127.83,$128.00,$126.81
12/15/2023,$126.84,3827355,$126.54,$127.84,$126.33
12/14/2023,$126.83,3489724,$128.71,$128.86,$126.54
12/13/2023,$128.12,2907720,$126.89,$128.19,$125.73
12/12/2023,$126.56,1406478,$125.75,$126.66,$124.61
12/11/2023,$125.20,2264853,$124.79,$126.13,$124.725
12/08/2023,$124.02,1707821,$124.44,$125.16,$123.84
12/07/2023,$124.83,1753254,$124.85,$125.34,$123.55
12/06/2023,$124.42,1841554,$123.64,$124.56,$123.00
12/05/2023,$123.04,1731985,$124.01,$124.27,$122.53
12/04/2023,$124.18,1610639,$122.497,$124.40,$122.48
12/01/2023,$123.92,1625865,$121.96,$124.14,$121.635
11/30/2023,$121.97,2678400,$121.59,$122.17,$120.82
11/29/2023,$121.15,1991063,$120.00,$121.909,$119.67
11/28/2023,$119.58,1903100,$119.14,$119.69,$118.60
11/27/2023,$118.95,1659805,$118.19,$119.10,$117.74
11/24/2023,$118.50,548152,$119.31,$119.315,$118.23
11/22/2023,$118.95,2495315,$119.35,$119.89,$118.25
11/21/2023,$118.36,1861908,$118.80,$119.06,$118.1327
11/20/2023,$118.77,1502327,$117.07,$119.03,$117.07
11/17/2023,$117.52,1275488,$117.19,$117.679,$116.56
11/16/2023,$116.49,1316387,$118.31,$118.88,$115.43
11/15/2023,$117.14,2240507,$116.69,$117.8761,$116.595
11/14/2023,$116.26,1737825,$116.30,$116.93,$115.335
11/13/2023,$114.48,1275371,$114.16,$114.87,$113.87
11/10/2023,$115.43,1537186,$114.90,$115.83,$114.255
11/09/2023,$114.02,1896977,$114.65,$115.155,$113.70
11/08/2023,$114.05,1502710,$113.06,$114.42,$112.34
11/07/2023,$112.53,1910787,$111.62,$112.68,$110.82
11/06/2023,$111.49,1732438,$110.77,$111.54,$109.9763
11/03/2023,$110.46,2878292,$113.49,$114.10,$108.58
11/02/2023,$112.47,1562621,$109.65,$112.53,$109.50
11/01/2023,$108.86,3094388,$109.36,$109.36,$106.27
10/31/2023,$111.05,1369798,$110.68,$111.31,$110.0002
10/30/2023,$110.57,1290472,$110.56,$111.02,$109.24
10/27/2023,$109.57,1739073,$111.57,$111.57,$109.02
10/26/2023,$111.75,2315017,$112.25,$113.275,$111.65
10/25/2023,$112.19,3904916,$115.94,$115.94,$111.355
10/24/2023,$117.12,1229343,$117.24,$117.645,$115.5704
10/23/2023,$116.63,1540135,$116.08,$117.945,$115.67
10/20/2023,$116.00,2038937,$118.19,$118.38,$115.90
10/19/2023,$118.19,1622631,$118.51,$119.63,$117.53
10/18/2023,$118.27,1373132,$119.08,$119.23,$117.80
10/17/2023,$119.14,1110731,$118.81,$119.55,$118.445
10/16/2023,$118.73,1292095,$119.03,$119.19,$117.62
10/13/2023,$117.98,932626,$119.14,$119.395,$116.97
10/12/2023,$118.56,1332511,$119.14,$119.3159,$117.96
10/11/2023,$118.66,1380283,$119.03,$119.18,$117.48
10/10/2023,$118.43,2029674,$119.12,$120.16,$118.03
10/09/2023,$119.16,1259065,$117.08,$119.41,$117.07
10/06/2023,$117.40,2219653,$114.08,$117.68,$113.62
10/05/2023,$114.87,1103852,$115.61,$115.73,$113.97
10/04/2023,$115.28,1702638,$114.79,$115.64,$113.82
10/03/2023,$114.24,1680672,$113.93,$115.34,$113.49
10/02/2023,$113.78,2220230,$114.83,$115.07,$113.41
09/29/2023,$115.33,1691471,$117.72,$118.07,$114.80
09/28/2023,$117.12,2402493,$117.15,$118.65,$116.39
09/27/2023,$116.51,3391555,$112.50,$118.075,$110.42
09/26/2023,$112.72,3140556,$113.96,$114.33,$112.39
09/25/2023,$114.35,1667102,$112.97,$114.39,$112.85
09/22/2023,$112.95,1285265,$112.88,$114.17,$112.88
09/21/2023,$113.31,1872388,$115.08,$115.3824,$113.11
09/20/2023,$115.65,1612428,$116.63,$116.95,$115.60
09/19/2023,$116.15,1514390,$115.98,$116.42,$115.22
09/18/2023,$116.31,1857917,$115.97,$117.15,$115.97
09/15/2023,$115.97,3431454,$119.00,$119.00,$115.73
09/14/2023,$118.94,1479638,$119.69,$119.835,$118.77
09/13/2023,$119.30,872758,$119.49,$119.88,$118.82
09/12/2023,$119.76,968264,$119.89,$120.12,$119.39
