Date,Close/Last,Volume,Open,High,Low
03/22/2024,$123.75,2397299,$124.61,$124.89,$123.69
03/21/2024,$124.42,2014348,$122.00,$124.57,$121.64
03/20/2024,$121.45,2535108,$121.43,$121.88,$120.19
03/19/2024,$121.00,1949954,$120.46,$121.23,$120.19
03/18/2024,$120.34,3021432,$118.99,$120.43,$118.67
03/15/2024,$118.33,7281403,$116.54,$118.95,$116.24
03/14/2024,$115.21,2864627,$116.75,$116.75,$113.83
03/13/2024,$115.97,2036014,$115.21,$116.06,$114.68
03/12/2024,$114.78,1765209,$114.16,$115.255,$113.37
03/11/2024,$114.03,1972474,$114.85,$115.23,$112.32
03/08/2024,$114.65,2038562,$114.44,$116.065,$114.25
03/07/2024,$114.33,2759174,$116.08,$116.88,$114.24
03/06/2024,$115.47,2290442,$114.45,$116.1527,$114.30
03/05/2024,$114.08,2556660,$112.51,$115.78,$112.35
03/04/2024,$112.29,1742996,$113.48,$114.22,$112.28
03/01/2024,$113.19,2190514,$111.48,$113.35,$111.17
02/29/2024,$110.89,3660519,$111.66,$111.71,$110.71
02/28/2024,$111.37,1632258,$111.51,$112.047,$111.165
02/27/2024,$111.33,1794648,$112.18,$112.3679,$110.59
02/26/2024,$112.25,2085191,$110.64,$112.68,$110.46
02/23/2024,$110.78,1690000,$110.87,$111.02,$110.115
02/22/2024,$110.52,2020916,$109.19,$110.67,$108.98
02/21/2024,$108.67,1673345,$107.42,$108.71,$107.01
02/20/2024,$107.41,2322898,$107.51,$108.29,$106.95
02/16/2024,$107.77,2594387,$108.17,$108.67,$107.48
02/15/2024,$108.06,1524885,$107.20,$108.58,$106.63
02/14/2024,$106.67,2048251,$105.36,$107.17,$105.36
02/13/2024,$105.19,2295823,$105.12,$105.40,$103.97
02/12/2024,$106.02,1378158,$105.89,$106.41,$105.20
02/09/2024,$106.01,1474686,$105.97,$106.08,$104.96
02/08/2024,$105.61,2223618,$105.20,$106.23,$104.63
02/07/2024,$105.06,1885313,$104.86,$105.61,$103.90
02/06/2024,$104.23,2120922,$104.63,$105.00,$103.63
02/05/2024,$104.16,2589441,$102.40,$104.37,$102.20
02/02/2024,$103.12,1665214,$101.75,$103.545,$101.38
02/01/2024,$102.02,1725061,$101.24,$102.2299,$100.56
01/31/2024,$100.39,2070162,$101.95,$102.20,$100.01
01/30/2024,$101.97,1712974,$100.64,$102.25,$100.45
01/29/2024,$101.39,1833102,$101.43,$102.04,$100.66
01/26/2024,$101.76,2058069,$101.49,$103.35,$101.41
01/25/2024,$102.01,2280136,$102.21,$103.40,$101.455
01/24/2024,$100.83,3385358,$101.83,$102.22,$100.01
01/23/2024,$101.01,5705757,$97.80,$101.31,$96.28
01/22/2024,$97.09,2931544,$96.33,$97.80,$96.1066
