Date,Close/Last,Volume,Open,High,Low
03/22/2024,$122.99,12437130,$122.00,$127.57,$120.25
03/21/2024,$122.30,19340910,$129.90,$131.90,$121.37
03/20/2024,$132.17,45616080,$147.085,$148.2999,$127.64
03/19/2024,$127.68,10252960,$128.195,$128.50,$124.26
03/18/2024,$128.71,10711270,$126.00,$130.78,$126.00
03/15/2024,$123.74,10541830,$124.73,$125.40,$122.38
03/14/2024,$123.20,8818606,$123.24,$123.72,$119.6385
03/13/2024,$122.36,12512730,$122.24,$127.85,$121.64
03/12/2024,$118.16,10782810,$115.085,$119.10,$115.00
03/11/2024,$111.89,11018010,$114.21,$115.65,$111.68
03/08/2024,$110.34,15225530,$115.97,$116.0596,$108.87
03/07/2024,$117.14,6558051,$115.785,$118.09,$115.09
03/06/2024,$116.64,11791440,$122.50,$122.87,$116.37
03/05/2024,$121.33,5291834,$122.05,$122.665,$119.01
03/04/2024,$122.12,6386855,$126.85,$126.90,$121.13
03/01/2024,$126.85,4482616,$126.90,$129.08,$126.35
02/29/2024,$124.54,4677866,$126.65,$128.80,$124.10
02/28/2024,$125.01,3994858,$126.50,$127.86,$124.83
02/27/2024,$128.33,6109335,$127.55,$130.79,$126.20
02/26/2024,$126.48,8113653,$123.18,$126.62,$121.25
02/23/2024,$127.69,10267160,$133.10,$133.90,$124.18
02/22/2024,$131.63,4591176,$131.93,$133.16,$130.66
02/21/2024,$129.76,6377784,$132.89,$135.07,$128.995
02/20/2024,$131.30,7554534,$135.00,$135.00,$129.12
02/16/2024,$135.26,6121923,$138.20,$139.06,$135.24
02/15/2024,$135.32,5396393,$133.00,$135.53,$133.00
02/14/2024,$132.01,4128643,$130.74,$132.44,$130.74
02/13/2024,$129.04,5210593,$129.63,$131.70,$128.15
02/12/2024,$131.57,7764572,$129.09,$133.94,$128.68
02/09/2024,$127.48,3110994,$127.50,$127.86,$125.48
02/08/2024,$126.655,3693576,$128.99,$129.08,$126.51
02/07/2024,$128.78,8481797,$124.07,$129.94,$122.39
02/06/2024,$125.78,9763736,$126.10,$126.67,$123.39
