Date,Close/Last,Volume,Open,High,Low
03/22/2024,$172.02,4106531,$173.02,$173.10,$171.76
03/21/2024,$172.45,4343007,$171.92,$173.42,$171.05
03/20/2024,$171.86,5046920,$172.30,$173.10,$171.12
03/19/2024,$171.80,7653926,$171.10,$172.65,$171.00
03/18/2024,$171.26,10478530,$167.05,$172.18,$166.95
03/15/2024,$164.66,21887270,$165.06,$165.38,$163.64
03/14/2024,$164.78,5155326,$166.26,$166.26,$164.20
03/13/2024,$165.30,4585789,$165.10,$166.14,$164.74
03/12/2024,$164.54,6158507,$165.14,$165.42,$163.96
03/11/2024,$164.73,5404790,$163.92,$165.42,$163.31
03/08/2024,$163.05,6065294,$162.32,$164.20,$162.09
03/07/2024,$163.11,5801610,$163.82,$163.90,$162.50
03/06/2024,$163.00,5302463,$162.06,$163.99,$162.04
03/05/2024,$162.04,6631346,$165.22,$165.50,$161.81
03/04/2024,$165.37,4303882,$164.45,$165.65,$163.60
03/01/2024,$164.59,6109856,$164.86,$165.00,$163.25
02/29/2024,$165.34,8489449,$166.21,$166.68,$164.91
02/28/2024,$167.03,5275282,$168.12,$168.50,$166.45
02/27/2024,$168.16,3567644,$167.82,$168.22,$167.35
02/26/2024,$168.26,3836980,$169.42,$169.42,$167.71
02/23/2024,$169.60,6409765,$167.94,$170.25,$167.80
02/22/2024,$168.25,7539232,$167.64,$168.8298,$166.10
02/21/2024,$168.83,4195366,$169.95,$170.18,$167.855
02/20/2024,$168.65,6117866,$167.74,$169.52,$167.185
02/16/2024,$166.32,5245994,$167.21,$167.41,$165.68
02/15/2024,$167.86,4451374,$167.95,$168.365,$166.68
02/14/2024,$167.52,5731904,$168.34,$168.64,$166.06
02/13/2024,$168.88,7302014,$171.22,$171.45,$167.24
02/12/2024,$170.61,7867544,$167.86,$171.0694,$167.20
02/09/2024,$167.67,12731740,$171.20,$171.39,$166.97
02/08/2024,$173.85,9269699,$171.72,$174.10,$171.41
02/07/2024,$171.47,5769679,$172.63,$172.90,$171.38
02/06/2024,$171.42,5182879,$171.45,$171.8252,$169.94
02/05/2024,$170.92,5142706,$170.55,$171.58,$169.045
02/02/2024,$170.97,5307883,$171.235,$171.96,$170.10
02/01/2024,$171.70,4920789,$168.53,$171.80,$167.17
01/31/2024,$168.53,5769214,$169.96,$170.3838,$167.88
01/30/2024,$169.62,4804243,$167.67,$169.70,$167.32
01/29/2024,$168.15,5713559,$167.53,$168.70,$167.3926
01/26/2024,$167.86,4848987,$166.60,$168.03,$166.60
01/25/2024,$166.56,5373787,$165.81,$166.60,$164.935
01/24/2024,$165.60,4984700,$167.64,$167.74,$165.515
01/23/2024,$167.64,4932727,$164.56,$167.93,$164.36
01/22/2024,$165.11,5697428,$165.96,$166.705,$165.02
01/19/2024,$165.78,6528578,$167.14,$167.24,$165.57
01/18/2024,$167.17,4709362,$165.47,$167.28,$164.99
01/17/2024,$166.44,4392400,$165.99,$166.727,$165.435
01/16/2024,$166.17,4576842,$167.27,$167.52,$165.19
01/12/2024,$167.27,3546260,$166.34,$167.38,$165.57
01/11/2024,$166.13,4800727,$167.14,$167.14,$164.82
01/10/2024,$166.92,4394876,$166.59,$167.96,$166.20
01/09/2024,$167.17,6268763,$167.79,$167.89,$165.93
01/08/2024,$169.11,5735563,$168.94,$169.73,$167.79
01/05/2024,$168.94,5252478,$171.57,$171.57,$167.56
01/04/2024,$171.47,6283225,$171.61,$173.53,$170.58
01/03/2024,$172.95,5588224,$175.00,$175.20,$172.6966
01/02/2024,$172.91,5743112,$169.52,$172.99,$169.19
12/29/2023,$169.84,3291629,$169.34,$170.065,$169.17
12/28/2023,$169.39,2911277,$169.40,$169.54,$168.70
12/27/2023,$169.40,3502620,$168.90,$169.49,$168.36
12/26/2023,$168.86,2779405,$167.65,$169.42,$167.25
12/22/2023,$167.68,3030355,$167.36,$168.17,$166.86
12/21/2023,$166.97,4374203,$166.50,$167.10,$165.39
12/20/2023,$165.69,5157779,$166.51,$167.465,$165.67
12/19/2023,$167.95,4855853,$167.935,$168.83,$167.31
12/18/2023,$168.91,5439517,$168.06,$170.25,$167.41
12/15/2023,$167.00,17734650,$167.45,$168.51,$166.45
12/14/2023,$168.25,7119267,$171.65,$171.97,$167.94
12/13/2023,$172.01,6082063,$168.54,$172.05,$168.12
12/12/2023,$168.47,4515820,$169.28,$169.28,$167.71
12/11/2023,$167.82,6912556,$167.44,$168.13,$166.46
12/08/2023,$165.68,5115158,$167.04,$167.12,$165.27
12/07/2023,$167.46,4934842,$168.00,$168.3043,$166.70
12/06/2023,$167.51,4726646,$167.98,$168.32,$166.73
12/05/2023,$167.94,4553781,$169.15,$169.5731,$167.71
12/04/2023,$169.14,5323333,$168.40,$169.92,$168.19
12/01/2023,$168.69,4897439,$168.37,$168.85,$167.38
11/30/2023,$168.29,7346920,$166.11,$168.36,$164.82
11/29/2023,$167.16,4722423,$169.10,$169.12,$166.65
11/28/2023,$168.86,4056190,$168.38,$169.76,$168.02
11/27/2023,$168.32,3664714,$169.70,$169.70,$168.09
11/24/2023,$169.37,1751667,$168.95,$170.02,$168.95
11/22/2023,$169.22,3235732,$168.35,$169.57,$168.2963
11/21/2023,$167.80,3979988,$167.11,$167.86,$165.9216
11/20/2023,$166.52,4887350,$166.00,$166.77,$165.72
11/17/2023,$166.76,5583290,$168.05,$168.25,$165.77
11/16/2023,$167.71,5386432,$168.39,$170.00,$166.40
11/15/2023,$167.25,5611162,$168.70,$168.7889,$166.27
11/14/2023,$168.11,6238935,$167.95,$168.44,$166.89
11/13/2023,$167.77,5402335,$167.00,$168.78,$166.46
